address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Mặt tiền,Số tầng,Đường vào
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Đường Tây Sơn', '229', 'MIPEC Towers']","
Bán căn Penhouse chung cư Mipec 229 Tây Sơn, Đống Đa.- Diện tích 200m² thiết kế 4PN, 3 wc. Nội thất đẹp, căn góc ban công đông nam rất thoáng mát.Giá thỏa thuận.Liên hệ xem nhà: 0984 272 90.            ",200 m²,Thỏa thuận,Tây - Bắc,Đông - Nam,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,32933194,batdongsan_com_vn_32933194,,,,
"['Hà Nội', 'Quận Hà Đông', 'Dự án HPC Landmark 105']","
Chính chủ cần bán căn hộ 112m 3PN - 2VS tại HPC Landmark 105:- Thiết kế căn hộ vuông vắn, căn góc 2 mặt thoáng.- Ban công Đông Nam cực thoáng mát.- Full nội thất, chỉ việc kéo vali về ở.- Pháp lí rõ ràng, sổ đỏ sang tên nhanh gọn.- Căn hộ đẹp, dự án mới bàn giao khu dân cư tập trung đông đúc, thân thiện, hoà đồng...Anh chị em quan tâm liên hệ em: 0978 356 *** ",112 m²,3.1 tỷ,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35956891,batdongsan_com_vn_35956891,Đầy đủ nội thất,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', '219', 'Central Field Trung Kính']","
Chính chủ gưi bán nhanh căn hộ tại chung cư 219 trung kính.Diện tích 68m², thiết kế 2 phòng ngủ 2 vệ sinh, nhà full nội thất full cả đồ điện tử, ban công Đông Nam view nhìn ra đương Trung Kính, căn hộ đã có sổ đỏ chính chủ.Nhanh tay liên hệ ngay em Trang: 0986 270 *** để được xem nhà 24/7.            ",68 m²,Thỏa thuận,,Đông - Nam,2 phòng,2 phòng,,27/11/2022,04/12/2022,Tin thường,31131572,batdongsan_com_vn_31131572,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Dự án Mỹ Đình Pearl']","
Tôi cần bán gấp 3 căn hộ tại chung cư Mỹ Đình Pearl.Hiện tại 3 căn hộ của tôi đang cho người Hàn Quốc thuê với giá 19.28 triệu/tháng trở lên. Nay tôi cần tiền đầu tư nên bán lại.Căn hộ có thông tin như sau.1. Căn 54m² thiết kế 1 phòng ngủ và 1 phòng vệ sinh cửa vào hướng Tây Bắc, ban công Đông Nam.2. Căn 72m² thiết kế 2 phòng ngủ và 2 vệ sinh. Cửa vào TN ban công ĐB.3. Căn 95m² thiết kế 3 PN và 2 vệ sinh.Căn góc cửa vào Tây Nam ban công Tây Bắc và Đông Bắc.Giá bán từ: 1.850 tỷ (cả 3 căn hộ đều có sổ đỏ).Mời anh chị liên hệ: 0986 270 *** ",72 m²,Thỏa thuận,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,,27/11/2022,04/12/2022,Tin thường,33522303,batdongsan_com_vn_33522303,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Phạm Văn Đồng']","
Chủ nhà cần tiền bán gấp căn nhà xây tại Phạm Văn Đồng với các thông số đỉnh:+ Diện tích: 52m2x5T.+ MT 6m.+ Ngõ thông thoáng cách đường ô tô 10m, ngõ thông với đường Xuân Đỉnh thuận tiện đi lại.+ Gần công viên Hòa Bình, trường cấp 1,2,3 Xuân Đỉnh, khu Ngoại Giao Đoàn, bệnh viện Nam Thăng Long, các trường Đại học.+ Chủ nhà xây dựng tâm huyết, tặng lại nội thất xịn sò. Khách mua về chỉ việc ở.+ Tiện ích xung quanh không thiếu thứ gì, khu vực buôn bán kinh doanh sầm uất. Có bãi gửi xe ô tô cách nhà 50m.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng gia dịch ngay và luôn.+ Giá bán: 4.1 tỷ (có thương lượng với khách thiện chí).LH Mr Đức: 0783 924 *** - Chuyên thổ cư khu vực Từ Liêm - Cầu Giấy để được tư vấn miễn phí 24/24.Miễn trung gian.Trăm nghe không bằng một thấy, khuyến khích anh chị gọi điện để xem nhà ngay hơn là việc chỉ đọc và nghe thông tin.Mọi tư vấn và xem nhà là hoàn toàn miễn phí.            ",52 m²,4.1 tỷ,,,,,,25/11/2022,03/12/2022,Tin thường,35497112,batdongsan_com_vn_35497112,,6 m,4 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Trường Chinh']","
- Vị trí vô cùng đắc địa, kinh doanh sầm uất, tòa building 2 mặt thoáng thích hợp mô hình vừa ở vừa kinh doanh và cho thuê khối văn phòng, ngân hàng,... Tầng 8,9 view toàn Hà Nội ở cực kì sướng.- Xây dựng 9 tầng 1 hầm chuẩn công năng, thang bộ thang máy nhập khẩu cuối nhà, nội thất đẹp lung linh, toàn hàng nhập khẩu cao cấp, bước vào chỉ muốn ở lại luôn.- Chủ nhà xây tâm huyết làm công ty gia đình, nhưng nay chuyển mục đích nên đành phải bán, giá thương lượng.- Sổ đỏ đẹp, chính chủ, pháp lý chuẩn.- 36 tỷ.- Liên hệ tôi, Tuấn Anh, 0966 068 ***. Tôi sẵn sàng tư vấn tận tâm và giúp anh chị mua được giá tốt nhất.            ",75 m²,36 tỷ,,,,,Có sổ.,25/11/2022,02/12/2022,Tin thường,32237303,batdongsan_com_vn_32237303,,5 m,9 tầng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Chung tôi không có nhu cầu sử dụng căn hộ penhoues tại chung cư The Zei Mỹ Đình.Diện tích 320m², thiết kế 3 ngủ 3 vệ sinh, nhà full nội thất châu âu + đồ điện tử sang trọng quý phái, view đẹp nhìn toàn cảnh.Căn hộ đã có sổ đỏ chính chủ sẵn sàng giao dịch, chủ nhà rất thiện trí có thể thương lượng thêm.Anh chị có như cầu liên hệ ngay E Trang: 0986 270 *** để được tư vấn và xem nhà 24/24.Xin cảm ơn!            ",320 m²,Thỏa thuận,,,3 phòng,3 phòng,,27/11/2022,04/12/2022,Tin thường,35377593,batdongsan_com_vn_35377593,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', '119', ""Vinhomes D'Capitale""]","
Gia đình cần bán căn 3PN, căn góc tòa C7 Vinhomes D'Capitale - 119 Trần Duy Hưng.- Diện tích tim tường 99m², diện tích sử dụng 89m², tầng trung, 3PN 2VS, hướng cửa Tây Nam và ban công Đông Nam.- Căn hộ còn mới chưa sử dụng, nguyên trạng theo của chủ đầu tư với sàn + tường và thiết bị vệ sinh.- Căn góc 2 mặt thoáng view được cả công viên hồ điều hòa và trường học Amsterdam.- Tòa nhà có bể bơi ở tầng 6 và phía dưới khối đế là Trung tâm thương mại Vincom Mega Mall.- Các tiện ích trong khu dự án gồm có: Bể bơi ngoài trời, sân thể thao, khu tiểu cảnh, trung tâm thương mại, 3 hầm để xe thông nhau.            ",99 m²,7 tỷ,Tây - Nam,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35685579,batdongsan_com_vn_35685579,Sàn và tường,,,
"['Hà Nội', 'Long Biên', 'Dự án Vinhomes Symphony Riverside']","
Cần bán nhanh căn góc 3PN tòa S2 Symphony.DT 93m²,căn góc đẹp.Gồm 3pn,2 vệ sinh,1 PK và 1 bếp.View ngắm hoàng hôn,công viên khủng long,nội khu biệt thự.Nội thất cơ bản chủ đầu tư gồm tủ âm tường,thiết bị bếp,thiết bị vệ sinh,điều hòa,sàn gỗ,hệ thống chiếu sáng.Sổ đỏ cầm tay,cần bán nhanh.Gía 6,5 tỷ bao phí,gia lộc nhanh cho khách mua thiện chí.LH xem nhà 0868 441 *** ",93 m²,6.5 tỷ,Đông,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,06/12/2022,Tin thường,35964181,batdongsan_com_vn_35964181,Cơ bản,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', 'Dự án 90 Nguyễn Tuân']","
Chính chủ bán nhanh liền kề siêu đẹp khu nhà ở 90 Nguyễn Tuân - Thanh Xuân.70m² - 5 tầng - MT 5.5 m - giá 20 tỷ.+ Nhà nằm tại trục chính trong khu đô thị - vỉa hè - kinh doanh.+ Thang máy nhập khẩu - nội thất lên tới 4 tỷ còn nguyên bill.+ Toàn bộ nội thất đều đặt thiết kế để phù hợp với nhà.+ Để lại hết nội thất cho chủ mới.Sổ đẹp phân lô - trước sau như 1.+ Sát sườn lô góc, đường rộng, ô tô 16 chỗ tránh, vỉa hè 02 bên. Kinh doanh, cho thuê đều tuyệt.+ Xung quanh đầy đủ tiện ích, từ trường học vip đến BV...LH Mr. Han: 0704 086 *** để xem mặt bằng trực tiếp và chốt giá.            ",70 m²,20 tỷ,Đông - Nam,,5 phòng,5 phòng,Sổ đỏ chính chủ,27/11/2022,04/12/2022,Tin thường,32028546,batdongsan_com_vn_32028546,Đầy đủ nội thất,5.5 m,5 tầng,10 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lương Thế Vinh', 'Dự án VOV Mễ Trì']","
Chính chủ bán căn hộ VOV Mễ Trì đặc biệt 81m².Gía 2,4 tỷ căn 2pn 2wc full nội thất châu âu.Căn thiết kế 81m².Căn thiết kế 2PN 2WC.Gía 2,4 tỷ.Căn đã có sổ đỏ.Thiết kế full nội thất Châu Âu chỉ việc vào ở.LH, Thọ 0983 814 *** dẫn đi xem nhà ngay chốt liền.            ",81 m²,2.4 tỷ,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin thường,35935962,batdongsan_com_vn_35935962,Đầy đủ,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hào Nam', 'Ngõ 126']","
Tôi chính chủ cần bán nhà riêng tại ngõ 126 Hào Nam.Nhà gần ga tầu điện Cát Linh.Dân cư đông đúc, gần chợ, trường học.Đường trước nhà 3 - 4 xe máy tránh nhau.Nhà hướng Đông Nam, 3 tầng còn mới.Nội thất đầy đủ - Chỉ việc xách đồ về ở.            ",34.4 m²,3.8 tỷ,Đông - Nam,Đông - Nam,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,07/12/2022,Tin thường,35865507,batdongsan_com_vn_35865507,Nội thất đầy đủ công năng sử dụng.,3 m,3 tầng,2.5 m
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Bồ Đề']","
Bán nhà Bồ Đề quận Long Biên - Nhà đẹp ở ngay 6.2 tỷ.Nhà khung BT 5 tầng còn rất đẹp, đầy đủ trang thiết bị, công năng, dọn về ở ngay không phải sửa chữa bất cứ thứ gì. Nhà cách mặt phố chỉ 10m, DT 50m x 5 tầng, mặt tiền rộng, đầu hồi, thoáng sáng quanh năm. Sổ đỏ chính chủ vuông đẹp.Giá Bán: 6.2 tỷ chỉ ra lộc.            ",50 m²,6.2 tỷ,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962705,batdongsan_com_vn_35962705,,,,
"['Hà Nội', 'Đông Anh', 'Xã Hải Bối']","
Mảnh đất siêu đẹp - Hải Bối - thành phố thông minh - giá 18tr/m².+ Vị trí: Mảnh đất thuộc khu giãn dân, phân lô Hải Bối, ô tô 4 chỗ ra vào, cách 40m ra mặt đường trục chính kinh doanh, ô tô tránh - vài bước chân ra Thành phố thông minh đã và đang triển khai xong nhà điều hành, tiến độ rất nhanh... Chủ trương lên quận của Đông Anh vào năm 2023 càng được khẳng định khi ĐA đã đã 26/27 chỉ tiêu lên Quận. Rất nhiều dự án lớn đã triển khai quanh khu Hải Bối.- Đất cách Ủy Ban nhân dân xã Hải Bối 100m, cạnh trường Tiểu Học Hải Bối... Tiện ích đầy đủ.- Diện tích: 50m², mặt tiền 5m, hậu 5m.- Pháp lý: Đất thuộc khu giãn dân, đang chờ cấp sổ, hiện tại 60% các hộ đã xây dựng nhà 3,4 tầng ở có GPXD đầy đủ, chờ làm sổ hàng loạt.+ Giá bán: 18tr/m² (900 triệu) có gia lộc.Liên hệ để xem đất.            ",50 m²,18 triệu/m²,,,,,Chuẩn bị cấp sổ,27/11/2022,04/12/2022,Tin thường,35741042,batdongsan_com_vn_35741042,,5 m,,4 m
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
Bán gấp nhà Nguyễn Văn Cừ, Long Biên, ô tô đỗ cổng, 50m² x 5T, tặng full nội thất nhỉnh 4 tỷ có tl.Mô tả:+ Từ nhà 5 phút đến BV Tâm Anh, Big C Long Biên, 8 phút sang Phố Cổ...+ Nội thất chủ sắm toàn hàng cao cấp, nhập ngoại xịn sò.+ Thiết kế 5 tầng 4 phòng ngủ, 2 phòng rộng, 2 phòng nhỏ, Wc giữa.+ Sổ đẹp pháp lý chuẩn. Sang tên nhanh.Liên hệ: Ms Oanh 0335 142 *** xem nhà 24/7 miễn phí.            ",50 m²,4.74 tỷ,Tây - Nam,Tây - Nam,4 phòng,4 phòng,Sổ đỏ,21/11/2022,28/11/2022,Tin thường,35893296,batdongsan_com_vn_35893296,"Nội thất chủ sắm toàn hàng cao cấp, nhập ngoại xịn sò.",6 m,5 tầng,3 m
