address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Mặt tiền,Số tầng,Hướng nhà
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Dự án Chung cư NO-08 Giang Biên']","
Tôi cần bán gấp căn hộ chung cư tòa CT1 NO8 KĐT Việt Hưng.Đường Mai Chí Thọ - Giang Biên.Diện tích: 72m², 2 phòng ngủ, 2 vệ sinh. Full nội thất giá cực mềm: 2.4 tỷ bao thuế phí.+ Ban công hướng: ĐN.+ Full nội thất cao cấp, đầy đủ giường, tủ, bàn ghế, điều hòa, tủ lạnh, quạt, bếp từ, bình nóng lạnh. Rèm cửa ban công và các cửa sổ...+ Mặt đường 40m kéo dài sang khu đô thị cao cấp Vinhomes Riverside Long Biên.            ",72 m²,2.4 tỷ,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Full nội thất cao cấp, đầy đủ giường, tủ, bàn ghế, điều hòa, tủ lạnh, quạt, bếp từ, bình nóng lạnh. Rèm cửa ban công và các cửa sổ...",05/12/2022,15/12/2022,Tin thường,36032723,batdongsan_com_vn_36032723,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Sơn Đông']","
Bán đất Sơn Đông, Sơn Tây HN.- Cách QL21 chỉ 500m.- Đường rộng oto tránh thoải mái.- Bán kính 500m là UB, trường học, trạm yte.- Cách khu tổ hợp ĐHQG Hoà Lạc chỉ 10p di chuyển.- Đất nở hậu, full thổ cư, sẵn sổ hồng.LH e Hạnh 0386 385 *** ",60 m²,950 triệu,,,,Sổ đỏ/ Sổ hồng.,,05/12/2022,15/12/2022,Tin thường,36033098,batdongsan_com_vn_36033098,6 m,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Linh Đường', 'Dự án HH4 Linh Đàm']","
Cần bán căn hộ 1 phòng ngủ nhà nguyên bản phù hợp với ai về làm thiết kế theo ý mình.- Diện tích: 45m².- Thiết kế: 1 phòng ngủ, 1 nhà vệ sinh, ban công thoáng.Gía bán: 960 triệu.Liên hệ: 0981 962 *** ",45 m²,960 triệu,,1 phòng,1 phòng,Hợp đồng mua bán,,05/12/2022,15/12/2022,Tin thường,36032989,batdongsan_com_vn_36032989,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Dự án KĐT Linh Đàm']","
* Biệt thự có vị trí đắc địa, đường to, ô tô 2 làn, dừng đỗ ngày đêm, vỉa hè cực rộng, dân trí cao, hàng xóm toàn đại gia.* Tiện ích nằm trong KĐT Linh Đàm, gần UBND P. Hoàng Liệt, gần trường mầm non, tiểu học, THCS, Công viên, bệnh viện, gần chợ... An ninh tốt.- Phù hợp cho nhà đầu tư cho thuê. Ngân hàng. Phòng khám. Trung tâm ngoại ngữ. Trường mầm non...- Diện tích 110m² - Mặt tiền siêu rộng.- Đã xây 3,5 tầng thô.- Sổ đỏ vuông vắn nở hậu.- Giá 17 tỷ có TL.            ",110 m²,17 tỷ,,4 phòng,3 phòng,Sổ đỏ chính chủ.,,05/12/2022,16/12/2022,Tin thường,36032954,batdongsan_com_vn_36032954,,10 m,3 tầng,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Phạm Đình Hổ', 'Phố Lò Đúc']","
TT Quận Hai Bà Trưng giáp phố cổ đỉnh cao tiện ích dân trí - ở luôn.+ Nhà nằm vị trí phố Lò Đúc con phố kinh doanh sầm uất ngày đêm. TTTM, ngân hàng, dịch vụ ăn uống nhà hàng mọc lên như nấm.+ Tiện ích đủ thứ, dân trí cực cao, chợ chỉ 3 bước chân.+ Nhà cách mặt phố 10m nằm mặt ngõ, ngõ đẹp thẳng tắp, ngõ 3 gác đỗ cửa. An ninh cực tốt.+ Hiện trạng nhà 4 tầng xây khung cột bê tông cốt thép, chắc chắn với cùng.+ Tầng 1: Phòng khách, sân để xe, Wc.+ Tầng 2, 3: 4 phòng ngủ + wc + ban công view chung cư.+ Tầng 4: Bếp, phòng ăn, sân phơi thoáng mát.Pháp lý: Diện tích sổ là 38.8 m², diện tích sử dụng là 48m².LH. Phong ĐT 0333 379 *** ",38.8 m²,5.4 tỷ,,4 phòng,,,,05/12/2022,12/12/2022,Tin thường,35888996,batdongsan_com_vn_35888996,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Bán nhà xuân đỉnh 7.6 tỷ, 45m², 6T MT 4.3m - oto tránh - nhà mới - siêu đẹp - đầy đủ nội thất an ninh đảm bảo.Bán nhà Xuân Đỉnh, Quận Bắc Từ Liêm.Nhà mới - phân lô - ô tô tránh ba bước ra công viên Hòa Bình dân trí cao.- Mô tả: Nhà xây chắc chắn, nhiều công năng, thiết kế vô cùng đẹp, nội thất cực đỉnh, ngõ trước nhà rộng mênh mông, ba bước ra Công Viên Hòa Bình, gần chợ, siêu thị, thuận tiện di chuyển, xung quanh đầy đủ tiện nghi, không thiếu gì, khu dân trí cao, an ninh đảm bảo, hàng xóm thân thiện.- Thiết kế:+ Tầng 1: Gara Ô TÔ + Phòng Khách + Wc.+ Tầng 2: Phòng Ngủ Master + WC.+ Tầng 3 + 4: Mỗi tầng 2 Phòng Ngủ + Wc.+ Tầng 5: P hòng Khách + Bếp To, có thể đặt bàn Sơ Chế ở Giữa Bếp.+ Tầng 6: Phòng Thờ + 2 sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên Hệ: 0912 823 *** Đức Minh.            ",45 m²,7.6 tỷ,,4 phòng,3 phòng,Sổ đỏ,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36032288,batdongsan_com_vn_36032288,,4.3 m,6 tầng,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Khang Villa']","
Bán  BT An Khang Villa, Nam Cường, 225m². nhà hòa thiện có thang máy, thiết kế để thông tầng 1 & 2 tầng 3,4 ở, vị trí nằm sát ngay đường lớn, rất phù hợp cho ai nhu cầu vừa văn phòng và ở mặt đường 11,5m, diện tích 225m², mặt tiền 9m, hướng Đông Nam, nhà xây thô 3,5 tầng + hầm,  cách công viên thiên văn, hồ điều hòa 200m, cách siêu thị Aeon Mall Hà Đông 800m.Giá bán liên hệ trực tiếp: 0948 198 *** ",225 m²,Thỏa thuận,Đông - Nam,,,,Nội thất xịn.,05/12/2022,12/12/2022,Tin thường,13375070,batdongsan_com_vn_13375070,11.5 m,9 m,4 tầng,Đông - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
* 3 Toà DV2 - 3 - 4 đã bàn giao sổ dân cư đầy đủ Dự án ra mắt toà DV01 cuối cùng tiệnn ích sẵn có không phải lo về vấn đề pháp lý Quý 3/2023 nhận nhà luôn.* Tòa DV01, tòa căn hộ trung tâm thiết kế riêng đầy đủ tiện ích cao cấp nhất KĐT Rose Town.6 tầng để xe (3 tầng hầm, 3 tầng nổi).Bể bơi cao cấp.Căn hộ đa dạng.Nội thất cao cấp.Tiện ích nội khu hoàn thiện.Giá bán + CSBH của CĐT tốt nhất từ trước tới nay.* Thiết kế rộng rãi từ 2 đến 3 phòng ngủ.- 71m 79m 89m thiết kế 2PN 2VS hướng TB ĐN - ĐB.- 104m thiết kế 3PN 2VS căn góc 2 mặt thoáng.* Chính sách bán hàng chưa từng có (chỉ dành cho 20KH đầu tiên).- Quà tân gia lên tới 50.000.000 VNĐ.- Hỗ trợ lãi suất 0% cho 65% GTCH lên tới 15 tháng (ân hạn gốc).- Chiết khấu tới 12% GTCH cho khách thanh toán sớm.- Khách hàng hoặc người thân mua từ căn thứ 2 được tặng thêm 10.000.000 VNĐ.- Chương trình tri ân khách hàng với tổng giải thưởng lên tới 700.000.000 VNĐ: Xe ô tô Hyundai, xe máy Honda SH 125i, iPhone 14 Pro max, điều hòa...* Vị trí.Dự án Rose Town 79 Ngọc Hồi được sở hữu vị trí đắc địa trên tuyến đường huyết mạch nối Hà Nội với tỉnh như Ninh Bình, Nam Định, Thanh Hóa, Hà Tĩnhvà cũng chỉ cách trung tâm thủ đô Hà Nội khoảng 10 phút di chuyển qua tuyến đường Giải Phóng. Khu vực phía tây nam Hà Nội cũng là nơi tập trung không quá nhiều dự án cao tầng, mật độ xây dựng đang ở mức vừa phải, về tương lai còn phát triển dài hạn.Cách Bến xe nước ngầm 0,8 km.1.5km đến Bến xe Giáp Bát.Cách bệnh viện nội tiết Trung Ương 01km.Cách trường THCS Tứ Hiệp 1,5km.1.5km đến Bến xe Giáp Bát.05km đến quận Hà Đông theo đường quốc lộ 70.05km đến Lĩnh Nam theo đường vành đai 03.02km đến KĐT Linh Đàm.02km đến đường vành đai 03.04km đến bệnh viện Bạch Mai.08km đến Hồ Hoàn Kiếm.Cách Ngọc Hồi Store 01km.* Chỉ còn 1 căn duy nhất giá rẻ 2,8 tỷ mua để ở hay đầu tư cứ rẻ nhất là thanh khoản dễ nhất ac ạ. Liên hệ ngay em Phúc Thường 0931 998 *** để được tham gia Chương trình tri ân khách hàng với tổng giải thưởng lên tới 700.000.000 VNĐ.            ",71 m²,2.8 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,05/12/2022,12/12/2022,Tin thường,36032927,batdongsan_com_vn_36032927,,,,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Khang Villa']","
Bán lô BT An Khang Villa, Nam Cường, 225m².Tôi đang cần bán lô biệt thự An Khang, Nam Cường, diện tích 225m², hướng Đông Nam, đường 12m. Nhà xây thô hoàn thiện mặt ngoài, thiết kế 1 hầm, cao 3,5 tầng, vị trí đẹp, giá thương lượng. LH: 0948 198 *** ",225 m²,Thỏa thuận,Đông - Nam,,,,,05/12/2022,12/12/2022,Tin thường,13375380,batdongsan_com_vn_13375380,12 m,,4 tầng,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Trần Phú', 'Dự án Grand Sunlake']","
Tôi có căn hộ ở Ngã tư Trần Phú - Nguyễn khuyến cần bán gấp.- Diện tích: 70m², 2 PN.- Cửa Đông Nam view hồ Văn Quán và hồ than thở cực kì đẹp.- Toà nhà đầy đủ tiện ích 5 tầng TTTM, có bể bơi và vườn treo.- Giá bán nhỉnh 2 tỷ, cũng có thể vay ngân hàng hoặc trả thẳng để hưởng chiết khấu 10%.- Tặng nội thất 150tr cho KH giao dịch trong tháng này.Lh 0967 967 *** ",70 m²,Thỏa thuận,,2 phòng,,Hợp đồng mua bán,,05/12/2022,12/12/2022,Tin thường,36032916,batdongsan_com_vn_36032916,,,,Đông - Nam
