address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Ngô Gia Tự']","
Nhỉnh 1 tỷ có ngay nhà trung tâm quận Long Biên. Nhà dân xây 2,5 tầng. Chắc chắn. Bán kính 300m tiện ích đầy đủ, chợ, mầm non, cấp 1 + 2. Ô tô đỗ cửa.Chủ mới về chồng 4 tầng thì ok.LH Phong 0333 379 *** ",31 m²,1.7 tỷ,05/12/2022,12/12/2022,Tin thường,35789995,batdongsan_com_vn_35789995,,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Khang Villa']","
Bán gấp suất ngoại giao biệt thự An khang, khu A, Dương Nội, tập đoàn Nam Cường, lô góc ba mặt thoáng, hướng Đông Bắc, Đông Nam, mặt hồ, công viên Thiên Văn Học, diện tích 300m², vị trí siêu đẹp, giá bán cam kết tốt nhất thị trường hiện nay. LH 0948 198 *** ",300 m²,Thỏa thuận,05/12/2022,12/12/2022,Tin thường,13910363,batdongsan_com_vn_13910363,15 m,40 m,Đông - Nam,Đông - Nam,4 tầng,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Vĩnh Hưng', 'Số 4B ngõ 76']","
Nhà mới 26m² x 5 tầng full nội thất, cách đường chính 30m oto đỗ cửa tiện giao thông đi lại. Gần bến xe bus, siêu thị, gần chợ đầu mối.Giá 2,5 tỷ có thương lượng!            ",26 m²,2.5 tỷ,10/10/2022,08/01/2023,Tin thường,33546954,batdongsan_com_vn_33546954,5 m,50 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,3 phòng,Hợp đồng mua bán,Full
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', 'Dự án Central Field Trung Kính']","
Gia đình chuyển qua căn Duplex ở cần nhượng lại căn hộ 68m² - 2pn 2wc Dự án Central Field Trung Kính - 219 Trung Kính.Vị trí vô cùng thuận tiện di chuyển các ngả, trường học BV gần.DT 68m², 2PN, 2WC - Nội thất full.Gía bán nhanh cho khách thiện trí 3,2 tỷ.Call em Hiệp 0907 871 *** ",68 m²,3.2 tỷ,01/12/2022,08/12/2022,Tin thường,36003072,batdongsan_com_vn_36003072,,,Tây - Bắc,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chính chủ bán căn hộ chung cư 34T - Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, bán lại cho ai có nhu cầu thực sự.- Diện tích thông thủy 112m², với thiết kế 2 phòng ngủ, 1 phòng khách rộng rãi thoáng mát đón ánh sáng, 2 nhà vệ sinh, 1 phòng bếp, 2 logia phơi.- Nội thất liền tường.- Sổ đỏ tên tôi và bà xã, công chứng sang tên nhanh gọn.- Giá có thương lượng cho bác nào thiện chí.Liên hệ xem nhà: 0972 509 *** ",112 m²,Thỏa thuận,04/12/2022,11/12/2022,Tin thường,35343858,batdongsan_com_vn_35343858,,,Tây - Nam,Đông - Bắc,,2 phòng,2 phòng,Sổ đỏ,Nội thất liền tường 
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Gia đình cần bán gấp nhà 2 mặt ngõ, tại phố Minh Khai, quận Hai Bà Trưng, diện tích 80m², mặt tiền 5m, nhà cách mặt phố chỉ 40m, đường trước nhà ô tô tránh, ô tô vào nhà, kinh doanh, văn phòng vị trí nằm nằm gần ngã tư chợ Mơ, tiện ích không thiếu thứ gì, gần mặt phố, đường thông khắp các phố chính: Bạch Mai, Phố Vọng gần các trường đại học Bách Khoa, Kinh Tế, Xây Dựng...Sổ đỏ chính chủ sẵn sàng giao dịch. Gia đình cần bán gấp để chia tài sản cho con. Giá chỉ 10.9 tỷ.Liên hệ tôi Lượng 0986 048 *** ",80 m²,10.9 tỷ,02/12/2022,09/12/2022,Tin thường,36016006,batdongsan_com_vn_36016006,5 m,8 m,,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án Hapulico Complex']","
Chuyển về nhà đất ăn tết với bố mẹ, vợ chồng tôi cần bán gấp căn hộ Hapulico Complex, Vũ Trọng Phụng, Thanh Xuân.- Vị trí đắc địa, giao thông thuận tiện, tiện ích nội khu bạt ngàn.- Diện tích 135m² thiết kế 3 phòng ngủ, 2 vệ sinh, phòng nào cũng có cửa sổ thoáng mát, tối đa hoá diện tích sử dụng cho gia chủ.- Hướng cửa TB ban công ĐN, view nhìn ra thành phố vừa đẹp vừa chill.- Full nội thất thiết kế, khách chỉ việc xách vali đến ở.Giá 5.6 tỷ (có thương lượng). Rất mong giao dịch nhanh trong tháng.* Liên hệ xem nhà em Hương: 0911 126 *** ",135 m²,5.6 tỷ,05/12/2022,12/12/2022,Tin thường,36033966,batdongsan_com_vn_36033966,,,Tây - Bắc,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Đống Đa', 'Phường Quang Trung', 'Đường Nguyễn Lương Bằng', '187']","
Tôi bán căn hộ tòa chung cư Ba Cây Cọ 187 Nguyễn Lương Bằng.Diện tích 140m² thiết kế 4PN và 2 WC.Nhà đã sửa đẹp, nội thất cao cấp đắt tiền, view hồ rất mát.Sổ đỏ chính chủ, sở hữu vĩnh viễn.Giá 5.7 tỷ tl.Xem nhà LH: 0988 637 *** ",140 m²,5.7 tỷ,05/12/2022,12/12/2022,Tin thường,36031736,batdongsan_com_vn_36031736,,,,,,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', '79', 'Rose Town']","
* 3 Toà DV2 - 3 - 4 đã bàn giao sổ dân cư đầy đủ Dự án ra mắt toà DV01 cuối cùng tiện ích sẵn có không phải lo về vấn đề pháp lý Quý 3/2023 nhận nhà luôn.* Tòa DV01, tòa căn hộ trung tâm thiết kế riêng đầy đủ tiện ích cao cấp nhất KĐT Rose Town.- Có bể bơi trong nhà 4 mùa, 3 tầng hầm để xe kết hợp 3 tầng nổi đáp ứng đủ 100% chỗ đỗ xe.- 5 tầng thương mại dịch vụ đủ mọi loại hình phục vụ cư dân.- Trường mầm non, đương dạo bộ, khuôn viên cây xanh rộng.* Thiết kế rộng rãi từ 2 đến 3 phòng ngủ.- 71m² 79m² 89m² thiết kế 2PN 2VS hướng TB ĐN - ĐB.- 104m² thiết kế 3PN 2VS căn góc 2 mặt thoáng.* Chính sách bán hàng chưa từng có (chỉ dành cho 20KH đầu tiên).- Quà tân gia lên tới 50.000.000 VNĐ.- Hỗ trợ lãi suất 0% cho 65% GTCH lên tới 15 tháng (ân hạn gốc).- Chiết khấu tới 12% GTCH cho khách thanh toán sớm.- Khách hàng hoặc người thân mua từ căn thứ 2 được tặng thêm 10.000.000 VNĐ.- Chương trình tri ân khách hàng với tổng giải thưởng lên tới 700.000.000 VNĐ: Xe ô tô Hyundai, xe máy Honda SH 125i, iPhone 14 Pro max, điều hòa...* Vị trí.Dự án Rose Town 79 Ngọc Hồi được sở hữu vị trí đắc địa trên tuyến đường huyết mạch nối Hà Nội với tỉnh như Ninh Bình, Nam Định, Thanh Hóa, Hà Tĩnhvà cũng chỉ cách trung tâm thủ đô Hà Nội khoảng 10 phút di chuyển qua tuyến đường Giải Phóng. Khu vực phía tây nam Hà Nội cũng là nơi tập trung không quá nhiều dự án cao tầng, mật độ xây dựng đang ở mức vừa phải, về tương lai còn phát triển dài hạn.Cách bến xe Nước Ngầm 0,8 km.1.5km đến Bến xe Giáp Bát.Cách bệnh viện nội tiết Trung Ương 01km.Cách trường THCS Tứ Hiệp 1,5km.1.5km đến Bến xe Giáp Bát.05km đến quận Hà Đông theo đường quốc lộ 70.05km đến Lĩnh Nam theo đường vành đai 03.02km đến KĐT Linh Đàm.02km đến đường vành đai 03.04km đến bệnh viện Bạch Mai.08km đến Hồ Hoàn Kiếm.Cách Ngọc Hồi Store 01km.* Liên hệ ngay em Phúc Thường O93.199.8386 để được tham gia Chương trình tri ân khách hàng với tổng giải thưởng lên tới 700.000.000 VNĐ.            ",71 m²,2.9 tỷ,05/12/2022,12/12/2022,Tin thường,36032793,batdongsan_com_vn_36032793,,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh']","
- Gia đình cần tiền bán gấp nhà Nguyễn Chí Thanh, Đống Đa, Hà Nội, S65m², 5 tầng, cách 30m ra ngõ ô tô tránh.* Vị trí trung tâm quận Đống Đa, dân trí cao, gần trường học cấp 1 Nam Thành Công, trường THPT chuyên Chu Văn An, Đại Học Luật, Đại Học Ngoại Thương, Đại Học Ngoại Giao...* Giao thông đi các các phố Nguyên Hồng, Nam Thành Công, Láng, Láng Hạ, Trần Duy Hưng, Huỳnh Thúc Kháng... Đều rất thuận tiện.- Nhà 5 tầng gia đình tự xây chắc chắn, còn khá mới, nội thất đẹp, cầu thang, cửa đều làm bằng gỗ lim.- Nhà 2 mặt thoáng nên tất cả các phòng đều có ánh nắng và thoáng khí.* Giá 6,3 tỷ.* Chi tiết lh: 0983 093 *** để làm việc trực tiếp với chủ nhà.            ",65 m²,6.3 tỷ,05/12/2022,12/12/2022,Tin thường,36033816,batdongsan_com_vn_36033816,,,,,5 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ
