address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Hướng nhà,Hướng ban công,Số toilet,Nội thất
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên']","
Chính chủ bán lô 120m², tái định cư Bình Yên.            ",120 m²,25 triệu/m²,5 m,10 m,Đã có sổ,05/12/2022,12/12/2022,Tin thường,36032680,batdongsan_com_vn_36032680,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
Toà nhà mặt phố Trần Duy Hưng 250m², 14 tầng, mặt tiền 11m, giá 250 tỷ Cầu Giấy.Mô tả:Đẳng cấp nhất phố - 14 tầng nguy nga - cho thuê 600 triệu/tháng.- Toà nhà 14 tầng mặt phố Trần Duy Hưng mặt tiền 11m lừng lững cao nhất phố, gần Chamvit Tower cực kỳ đắc địa, hiện đang cho tổ hợp ăn chơi, giải trí nhà hàng Karaoke Monaza thuê 7 tỷ/năm, HĐ còn hơn 6 năm, khách mua cho thuê, giữ tài sản thì cực kỳ lý tưởng.- Toà nhà thiết kế 14 tầng thông sàn phù hợp tất cả các loại mô hình kinh doanh, thang máy tốc độ cao, có trạm biến áp riêng, phòng cháy chữa cháy.            ",250 m²,250 tỷ,11 m,40 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35885185,batdongsan_com_vn_35885185,14 tầng,20 phòng,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Phan Trọng Tuệ', 'Dự án Chung cư Đại Thanh']","
Chuyển công tác vào Sài Gòn, chính chủ cần bán nhanh căn hộ 2PN tại tòa CT10, chung cư Đại Thanh, Thanh Trì, Hà Nội.- Diện tích: 60m vuông.- Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh, 1 khách + 1 bếp + 1 ban công.- Nội thất: Điều hòa, nóng lạnh, tủ bếp, giường, tủ,...- Pháp lý: Sổ hồng chính chủ, sẵn sàng giao dịch nhanh chóng.- Giá bán: 1,3xty.Liên hệ xem nhà trực tiếp: Em Thu 0365 999 *** ",60 m²,1.33 tỷ,,,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36033813,batdongsan_com_vn_36033813,,2 phòng,Tây - Bắc,Đông - Nam,2 phòng,Đầy đủ
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Đại Linh']","
Bán 43m² đất Đại Linh - Trung Văn, ngõ rộng 2m, gần chợ, giá 2,7 tỷ - Lh: 0399 183 ***- S = 43,8m².- Mặt tiền: 3,1m.+ Giá bán: 2,7 tỷ - Có thương lượng - Chỉ có 1 lô duy nhất.+ Sổ đỏ chính chủ - Sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem đất thực tế miễn phí!Xin cảm ơn anh/chị đã xem tin!            ",43.8 m²,2.7 tỷ,3.1 m,2 m,Đã có sổ hồng riêng.,05/12/2022,12/12/2022,Tin thường,33382139,batdongsan_com_vn_33382139,,,Tây,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Võ Văn Dũng']","
- Vị trí trung tâm khu phân lô VIP, gần phố, vài bước chân ra vườn hoa Trần Quang Diệu. Phù hợp cho thuê văn phòng, spa, cà phê.- Giao thông thuận tiện, nối liền các tuyến phố Hoàng Cầu, Thái Hà, Mai Anh Tuấn.- Sổ phân lô A4, chủ thiện chí.- Gọi ngay cho tôi: 0336 600 *** Mr Cương chuyên nhà phố, dòng tiền.            ",50 m²,11 tỷ,4.5 m,12 m,Sổ đỏ/ Sổ hồng,02/12/2022,09/12/2022,Tin thường,36009038,batdongsan_com_vn_36009038,5 tầng,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Quang Tiến']","
Bán 50m² đất Quang Tiến, lô góc, ngõ ôtô i10, thông thoáng, giá 3,55 tỷ - LH: 0399 183 ***+ Vị trí lô đất ở gần VinCom Mega Mall, cách Đại Lộ Thăng Long 300m, chỉ 10p di chuyển đến Mỹ Đình, Keangnam, trung tâm thành phố...- S = 50m².- Mặt tiền: 6m.+ Đất ở khu vực an ninh tốt, xanh sạch, thoáng mát, xung quanh dân cư đông, tiện ích đầy đủ...+ Giá bán: 3,55 tỷ - Có thương lượng.+ Sổ đỏ chính chủ - sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem đất thực tế miễn phí.Xin cảm ơn anh/chị đã xem tin!            ",50 m²,3.55 tỷ,6 m,3 m,,05/12/2022,12/12/2022,Tin thường,35257419,batdongsan_com_vn_35257419,,,Đông - Nam,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Ngọc Trục']","
Bán 35m² đất Ngọc Trục - Đại Mỗ, vuông vắn, MT rộng, gần chợ, giá 2,03 tỷ - lh: 0399 183 ***+ Vị trí lô đất ở gần chợ Ngọc Trục, chỉ 5p di chuyển đến ngã tư Vạn Phúc - Tố Hữu, giao thông các ngả dễ dàng thuận tiện...- S = 35m².- Mặt tiền: 3.5m.+ Giá bán: 2,03 tỷ - Có thương lượng.+ Sổ đỏ chính chủ - Sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem đất thực tế miễn phí!Xin cảm ơn anh/chị đã xem tin!            ",35 m²,2.03 tỷ,3.5 m,2 m,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,34406210,batdongsan_com_vn_34406210,,,Đông - Nam,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Do Nha']","
Bán 45m² đất Tây Mỗ, lô góc, MT rộng, ôtô đỗ cách 20m, giá 2,5 tỷ - LH: 0399 183 ***+ Vị trí gần trường C1, C2 trường Lý Nam Đế, chợ Miêu Nha, KĐT Vinhomes Smart City... Di chuyển 15p đến Mỹ Đình, Keang Nam, trung tâm thành phố...- Giá bán: 2.5 tỷ - có thương lượng.- Sổ đỏ chính chủ - sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem đất thực tế miễn phí!Xin cảm ơn anh/chị đã xem tin!            ",45 m²,2.5 tỷ,5 m,2.5 m,Đã có sổ đỏ riêng.,05/12/2022,12/12/2022,Tin thường,34390968,batdongsan_com_vn_34390968,,,Tây - Nam,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Tây Mỗ']","
+ Bán 51m² đất Tây Mỗ, ôtô đỗ cửa, gần đường chính, mt rộng, vuông vắn, giá 3,92 tỷ - lh: 0399 183 ***+ Vị trí đất ở gần UBND Tây Mỗ, KĐT Vinhomes Smart City, Đại Lộ Thăng Long, chỉ 10p di chuyển đến Mỹ Đình, trung tâm thành phố...- Diện tích: 51m².- Mặt tiền: 4.5m.+ Giá bán: 3,92 tỷ - Có thương lượng.+ Sổ đỏ chính chủ - sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem đất thực tế miễn phí!Xin cảm ơn anh/chị đã xem tin!            ",51 m²,3.92 tỷ,4.5 m,3.5 m,Sổ đỏ chính chủ.,05/12/2022,12/12/2022,Tin thường,35744604,batdongsan_com_vn_35744604,,,Bắc,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú']","
- Vị trí cực đẹp, 2 mặt ngõ trước sau, thoáng sáng vĩnh viễn.- Gần các toà nhà VP, trường Hv Bưu Chính Viễn Thông, ĐH Kiến Trúc, HV An Ninh.. Khu dân trí cực cao.- Cách 5m ra mặt phố to kinh doanh sầm uất, trước nhà rộng ô tô vào.- Hiện trạng đất trống, khách mua về xây CCCMN hoặc toà nhà VP cho thuê kinh doanh.- Giá 6.7 tỷ có thương lượng.Lh Ms Yến 0904 702 *** chuyên nhà đẹp giá rẻ Hà Đông.            ",62 m²,6.7 tỷ,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34645393,batdongsan_com_vn_34645393,,,,,,
