address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Biệt thự đơn lập Gamuda Gardens có thang máy - gara 2 ô tô - nội thất đẳng cấp, có chốt bảo vệ 24/24.Diện tích 300m², 4 tầng, mặt tiền 12m, giá 67 tỷ.Mô tả:- Nhà thiết kế hiện đại, cửa cổng toàn bộ bằng đồng đúc, hệ thống khóa tự động, hệ thống camera từ trong nhà ra ngoài ngõ, hệ thống kính 2 lớp các âm và cách nhiệt nhập khẩu từ Châu Âu.- Hệ thống cửa nhà toàn bộ bằng gỗ Lim Lào, sàn gỗ Hương, cửa sổ kính cách âm và cách nhiệt nhập khẩu, cầu thang kính tay vịn và bậc thang toàn bộ là gỗ Lim Lào, tủ bếp và hệ thống tủ các phòng đều là gỗ gõ đỏ.- Thiết bị vệ sinh toàn bộ là hàng nhập khẩu Nhật, có bồn tắm sục xông hơi. Hệ thống bệt vs tự động.Nằm tại tại trái tim khu đô thị Gamuda, căn biệt thự được thiết kế theo phong cách Xanh vô cùng tươi mát và khẳng định giá trị sang trọng bậc nhất Hà Nội.+ Chủ đầu tư Gamuda Land: MT 12m 24m.- Tầng 1: Có sân để được 2 oto, xung quanh là vườn cây và bể cá vàng, Phòng khách rộng, khu bếp rộng thoáng, có vườn trà sau nhà.- Tầng 2: 2 phòng ngủ master khép kín, thiết bị vệ sinh tiền tỷ.- Tầng 3: 2 phòng ngủ khép kín và 1 phòng thờ.- Tầng 4: Sân phơi.Mỗi tầng có 1 bộ bàn ghế bằng gỗ Hương tuyệt đẹp.Thửa đất vuông vắn.            ",300 m²,67 tỷ,12 m,20 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35881059,batdongsan_com_vn_35881059,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Tây Mỗ']","
+ Vị trí nhà ở khu vực thoáng mát, gần UBND Tây Mỗ, chỉ 5p lái xe ra Đại Lộ Thăng Long đến Mỹ Đình - Trung tâm thành phố...+ Căn nhà DT 32m² xây 5 tầng chắc chắn, thiết kế hài hòa, tận dụng không gian, ánh sáng tự nhiên, phù hợp cho hộ gia đình về ở thoải mái...- Tầng 1: Phòng khách + bếp + WC.- Tầng 2 + 3 + 4: Mỗi tầng 1 phòng ngủ + WC.- Tầng 5: Phòng thờ + sân phơi..+ Giá bán: 2,9 tỷ - Có thương lượng.+ Sổ đỏ chính chủ - Sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem nhà thực tế miễn phí!Xin cảm ơn anh/chị đã xem tin!            ",32 m²,2.9 tỷ,3.5 m,2 m,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35477355,batdongsan_com_vn_35477355,Tây - Nam,4 phòng,Nội thất cơ bản.,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Không có nhu cầu sử dụng nữa cần bán nhanh chấp nhận lỗ căn hộ 3PN.- Diện tích 86m², sử dụng 76m².- Thiết kế: 3 phòng ngủ, 2VS.- Nội thất: Đồ cơ bản bếp + tủ bếp. Điều hòa âm trần, bàn ghế sofa, giường, tủ quần áo.- Tầng đẹp, view hồ điều hòa thành phố.- Giá bán 3.65 tỷ.Khách hàng có nhu cầu liên hệ em Nhẫn biết thêm thông tin chi tiết.Hotline: 0979 267 ***zalo, viber).            ",86 m²,3.65 tỷ,,,,3 phòng,Hợp đồng mua bán,05/12/2022,12/12/2022,Tin thường,36031658,batdongsan_com_vn_36031658,Đông - Bắc,2 phòng,Cơ bản,Tây - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Ngụy Như Kon Tum']","
Toà nhà văn phòng phố Nguỵ Như Kon Tum 90m², 8 tầng, mặt tiền 10m, giá 45 tỷ Thanh Xuân.Mô tả:Vị trí cực hiếm - cực vip - lô góc - 2 mặt ngõ phân lô - ngõ to như phố - kinh doanh sầm uất ngày đêm - vỉa hè - ô tô tránh - ô tô chạy vòng quanh - 3 bước ra phố.+ Vị trí không phải đẹp mà là quá đẹp.+ Nhà cách phố chỉ khoảng 30m, ngõ to như phố, vỉa hè 2 bên, để xe thoải mái hai bên, ô tô dừng đỗ ngày đêm khỏi nói an ninh.+ Mặt ngõ kinh doanh đa dạng mọi loại hình hoặc làm văn phòng đều oki ô tô tải vào tận cửa, ngõ thông tứ tung.+ Thiết kế 8 tầng, 1 tầng hầm, 7 tầng nổi:+ Tầng hầm: Gara, phòng bảo vệ.+ Tầng 2,3,4 thông sàn.+ Tầng 5,6: 2 phòng ngủ rộng, VS khép kín.+ Tầng 7: Phòng khách, bếp, phòng ăn, VS.+ Sổ đỏ đẹp, giao dịch trong ngày.            ",90 m²,45 tỷ,10 m,10 m,8 tầng,8 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35881065,batdongsan_com_vn_35881065,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Tây Mỗ']","
Bán nhà dân Tây Mỗ, 45m² x 3T, MT rộng, vuông vắn, ôtô đỗ cách 15m, giá 3,1 tỷ - LH: 0399 183 ***- Vị trí nhà ở khu vực thoáng mát, trong lành, gần UBND Tây Mỗ, KĐT Vinhomes Smart City, chỉ 10p di chuyển ra Đại Lộ Thăng Long đến Mỹ Đình - trung tâm thành phố...- Căn nhà dân xây 3 tầng chắc chắn, thiết kế hài hòa, tận dụng không gian, ánh sáng tự nhiên, phù hợp cho hộ gia đình về ở thoải mái...- Tầng 1: Phòng khách + bếp + WC.- Tầng 2: Có 2 phòng ngủ + WC.- Tầng 3: Phòng ngủ + phòng thờ + sân phơi.- Giá bán: 3,1 tỷ - có thương lượng - chỉ có 1 căn duy nhất.- Sổ đỏ chính chủ - Sẵn sàng giao dịch.- Liên hệ ngay: 0399 183 *** em Đồng Mạnh để đi xem nhà thực tế miễn phí!Xin cảm ơn anh/chị đã xem tin.            ",45.2 m²,3.1 tỷ,5 m,2 m,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35477343,batdongsan_com_vn_35477343,Đông - Bắc,2 phòng,Nội thất cơ bản.,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Trần Nguyên Đán', 'Dự án KĐT Định Công']","
Biệt thự KĐT Định Công 222m², 3 tầng, mặt tiền 11m, giá 51 tỷ Hoàng Mai.Mô tả:Biệt thự mặt phố - 3 ô tô tránh - 3 thoáng - vỉa hè - kinh doanh - khu vip quan chức - nội thất full gỗ lim.+ Lô biệt thự vip dành cho cán bộ cấp cao, chủ tự xây dựng hết sức tâm huyết và kiên cố.+ Toàn bộ nội thất toàn bằng gỗ Lim chủ lát gỗ nền nhà, cửa sổ, tủ bếp...+ Thiết kế tầng 1 sân rộng, vườn cây xanh ngắt quả sai lúc lắc. Phòng khách lớn, phòng bếp rộng, phòng ngủ cho giúp việc, phòng sinh hoạt chung.+ Tầng 2 chia 2 phòng ngủ khép kín, phòng đọc sách làm việc của chủ.+ Tầng 3 có 2 phòng ngủ, kho và phòng thờ rộng.+ Gần bãi gửi xe ô tô số 1 Định Công, để vài trăm xe. Quán cà phê AHA luôn kín khách khu biệt thự và chung cư kiểu mẫu, tiện ích, đẳng cấp.+ Ngay ngã 4 dân cư đông đúc, 3 ô tô tránh, vỉa hè rộng kết hợp ở, kinh doanh.Sổ đỏ vuông vức, pháp lý chuẩn sẵn sàng giao dịch.            ",222 m²,51 tỷ,11 m,15 m,3 tầng,6 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35881072,batdongsan_com_vn_35881072,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Khương Đình']","
Toà nhà building mặt phố Khương Đình - xây 10 tầng thang máy - lô góc - thông sàn - cực vip - 210m².- Mặt phố tiềm năng, giao thông thuận tiện. Nằm trung tâm quận Thanh Xuân, giao nút Ngã Tư Sở.- Con phố ngự tại vị trí siêu đẹp, làm văn phòng cực chuẩn.- Căn nhà độc nhất vô nhị trên con phố.- Với thiết kế 10 tầng gồm 9 nổi 1 hầm.- Mặt tiền miên man thêm lô góc cực thoáng.Sổ giao dịch ngay.LH: 0978 229 *** ",210 m²,79.5 tỷ,10 m,20 m,10 tầng,10 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36031267,batdongsan_com_vn_36031267,,12 phòng,Đầy đủ,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Dự án Mễ Trì Thượng']","
Biệt thự Mễ Trì Thượng 150m², 4 tầng, mặt tiền 24m, giá 45.8 tỷ Từ Liêm.Mô tả:Vị trí có 102 - biệt thự mặt phố - lô góc - 3 mặt thoáng - vỉa hè rộng - đường 3 ô tô tránh - nội thất khủng - kinh doanh đỉnh.Mô tả:- Vị trí cực đẹp, nằm trong khu biệt thự Mễ Trì, lô góc, một mặt là phố Mễ Trì Thượng ôtô tránh, một mặt là ngõ 6 Đại lộ Thăng Long xe tải tránh. Nhà mình cách đại lộ Thăng Long chỉ 50m thẳng tắp, vô cùng thuận tiện.- Ngay trước nhà mình là khoảng sân mênh mông của tòa chung cư để đc hàng chục ôtô, giao thông cực kỳ thuận tiện.- Nhà Chủ tự tay xây thuê thiết kế nổi tiếng ở HUẾ, xây được 10 năm mà nhà như mới và cực hiện đại, làm hoàn toàn bằng gỗ Lim từ Lào và gỗ căm xe, nội thất cực kỳ hiện đại.- Thiết kế:+ T1: Phòng khách, bếp, gara ôtô, vs.+ T2: Phòng khách và 2 phòng ngủ khép kín.+ T3: 1 phòng ngủ nhỏ và 1 phòng ngủ lớn nối liền phòng làm việc, VS khép kín.+ T4: Phòng tập, phòng thờ, bể sục, máy giặt sân phơi.- Sổ đỏ vuông đẹp, cất két, sẵn sàng giao dịch.            ",150 m²,45.8 tỷ,24 m,20 m,4 tầng,6 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35881077,batdongsan_com_vn_35881077,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án An Bình Plaza']","
Bán căn hộ An Bình Plaza Trần Bình.DT 55,2m², 2PN, 1PK, 1WC.Giá 2.5 tỷ.            ",55 m²,2.5 tỷ,,,,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,34395717,batdongsan_com_vn_34395717,Đông - Bắc,1 phòng,Nội thất đầy đủ.,Tây - Nam
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công', '298', 'D’. El Dorado II']","
Chính chủ cần bán căn Penthouse vip thuộc tòa nhà D'. El Dorado 2 Phú Thanh, địa chỉ 298 Võ Chí Công, phường Xuân La, Tây Hồ, Hà Nội.- Diện tích 142 m², thiết kế 3 ngủ, 3WC, 1 phòng khách, 1 bếp.- Căn hộ hoàn thiện full nội thất nhập ngoại cao cấp.- Căn pen đẹp nhất tòa, tầm view trọn Hồ Tây.- Giá bán 14 tỷ.Liên hệ 0837 326 *** ",142 m²,14 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35897567,batdongsan_com_vn_35897567,Đông - Bắc,3 phòng,Đầy đủ,Tây - Nam
