address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Hướng ban công,Hướng nhà,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án Kim Văn Kim Lũ']","
+ Nội thất cơ bản, điều hòa, giường tủ, nội thất gắn tường.+ Vị trí đẹp ngay mặt đường Nguyễn Xiển giao thông thuận tiện.+ Ngay gần trường học các cấp, công viên cây xanh, vỉa hè thoáng rộng.+ Thiết kế: 65m², 2 phòng ngủ, 2 vệ sinh, phòng khách, phòng khách rộng.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá bán: 1,6 tỷ.+ Liên hệ: 0934 535 *** ",65 m²,1.6 tỷ,2 phòng,2 phòng,Sổ đỏ,"Nội thất cơ bản, điều hòa, giường tủ, nội thất gắn tường. ",05/12/2022,12/12/2022,Tin thường,36031642,batdongsan_com_vn_36031642,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Cơ Thạch']","
Cần bán ngay. Phố Nguyễn Cơ Thạch, Nam Từ Liêm: 80m². Mặt tiền 6m. Ô tô, 2 mặt thoáng. Nhích 9 tỷ.- Hàng xóm Vinhomes Gardenia, hưởng trọn tiện ích.- Khu Liên cơ, an ninh đảm bảo, văn minh.- Ô tô đỗ cổng, đi lại thuận tiện.- Chủ nhà tự xây tâm huyết, kiên cố.- 2 mặt thoáng, sân vườn trong lành.+ Sổ đỏ đẹp.+ Giá: Nhích 9 tỷ.Chi tiết thêm, xin liên hệ 24/7. (MTG).- Đ/c. Duy Quang.- 0399.549.214 - 032.668.9688.Tư vấn đầu tư bất động sản.Xin trân trọng cảm ơn!            ",80 m²,9 tỷ,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,05/12/2022,12/12/2022,Tin thường,35879443,batdongsan_com_vn_35879443,6 m,4 tầng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Dự án N01-T2 Ngoại Giao Đoàn']","
Cần bán gấp căn 95m² bên toà N01 - T1.Khu Ngoại Giao Đoàn.Đã có sổ.Giá bán thực tế.Nên ai có nhu cầu thực tế mua nhà liên hệ mình.Anh Hoàng Dũng 0976 944 *** ",95 m²,5.3 tỷ,3 phòng,2 phòng,,Cơ bản của chủ đầu tư,05/12/2022,12/12/2022,Tin thường,32963048,batdongsan_com_vn_32963048,,,Nam,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Heritage West Lake']","
Heritage West Lake căn hộ Soho(officetel) thanh toán 20%, xuất đầu tư từ 600trieu/ căn Studio, nhận nhà Q2/2024, có nội thất cơ bản. Giá bán dự kiến trung bình 60triệu/m².Nhận Booking có hoàn lại chỉ với 100 triệu đồng/ căn. Căn hộ vừa có chức năng để ở, vừa có thể đăng ký kinh doanh. Đã có căn hộ mẫu tại 677 Lạc Long Quân, Tây Hồ, Hà Nội.Liên hệ Em Quý 0816 193 *** để nhận thông tin tốt nhất!------------------- Loại căn hộ: 12 căn/tầng.- Loại phòng ngủ: Studio, 1 phòng ngủ + , 2 phòng ngủ + .+ Căn Studio: 45m².+ Căn 1PN: 57m².+ Căn 2PN: 82 - 88m².* Tiến độ thanh toán linh hoạt.- Tháng 12/2022 đóng 10%.- Tháng 3/2023 đóng 10%.- Khi bàn giao tháng 12/2024 đóng 80%.* 8 lý do nên đầu tư ngay Soho Heritage West Lake.- Căn hộ mua 1 được 2 được cấp phép để ở và đăng ký kinh doanh.- Vị trí kim cương độc nhất Hồ Tây kết nối giao thương thuận tiện.- Thương hiệu dự án hạng sang siêu đẳng cấp.- Chủ đầu tư Capitaland uy tín, dày dặn kinh nghiệm.- Chứng nhận dự án xanh BCA Green Mark Singapore, kính Low - E cao cấp.- Thị trường BĐS cao cấp đang thiếu những sản phẩm hàng hiệu, nhất là khu vực hồ Tây với nhu cầu về căn hộ cho thuê cao.- Tiện ích cao cấp chuẩn 5 sao: Bể bơi trong nhà, phòng gym, yoga, trường mầm non, không gian làm việc chung,..Liên hệ em Quý 0816 193 *** để nhận thông tin tốt nhất!            ",45 m²,2.8 tỷ,1 phòng,1 phòng,Hợp đồng mua bán,Đồ cơ bản.,05/12/2022,12/12/2022,Tin thường,35763836,batdongsan_com_vn_35763836,,,Tây - Bắc,Đông - Nam,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Cần bán gấp biệt thự Vinhomes Green Bay.- Diện tích 150m² xây 3 tầng nổi và 1 tầng hầm.- Mặt sàn xây dựng 86m², đã hoàn thiện mặt ngoài theo CĐT Vinhomes.- Hướng Đông Nam, đường to, vị trí đẹp nhất nhì khu Vinhomes Green Bay.- Sổ đỏ.- Cần bán cho người thiện chí, miễn trung gian.            ",150 m²,55 tỷ,,,,,05/12/2022,12/12/2022,Tin thường,29195347,batdongsan_com_vn_29195347,,3 tầng,,Đông - Nam,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Đường Vũ Thạnh']","
- Phố phân nhánh trục chính Giảng Võ sầm uất, giá rẻ hơn trong ngõ.- Nhà đang để không, chủ mới đến kinh doanh được luôn. Trước cho thuê 30 triệu/ tháng, chủ đã lấy lại nhà để bán.- Phố kết nối Giảng Võ, Hào Nam, An Trạch, La Thành. Giao thông thuận tiện đa dạng với xe bus nhanh BRT và ga tàu điện trên cao Cát Linh ngay gần.- Mặt phố, vỉa hè 3m, khu vực dân cư đông đúc, nhiều văn phòng, kinh doanh tốt.- Nhà xây 4 tầng phù hợp vừa ở vừa kinh doanh. Diện tích rộng, kinh doanh trưng bày được nhiều. Có điều kiện xây dựng tòa cao tầng thang máy làm văn phòng, khách sạn kinh doanh tuyệt đỉnh.- Diện tích 95m² x 4 tầng, mặt tiền 4m, giá 19.2 tỷ.- Nhà xây dựng chắc chắn, thiết kế mỗi tầng 2 phòng rộng rãi. Vừa ở vừa kinh doanh vẫn đầy đủ công năng.- Sổ chính chủ, vuông vắn trước sau như 1.- Liên hệ giao dịch trực tiếp ĐT & Zalo Hiểu Nova 0921 677 *** ",95 m²,19.2 tỷ,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,03/12/2022,13/12/2022,Tin thường,35537717,batdongsan_com_vn_35537717,4 m,4 tầng,,,10 m
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Nguyễn Lương Bằng', '187']","
Bán căn hộ chung cư 187 Nguyễn Lương Bằng 132m². Lh: 0971 405 ***Diện tích: 132m², gồm 4 ngủ, 2 vệ sinh, bếp, phòng khách. Nhà đẹp, nội thất đầy đủ nhà nhiều ánh sáng. Sổ đỏ chính chủ. Lh: 0971 405 *** ",132 m²,6.25 tỷ,4 phòng,2 phòng,,,05/12/2022,12/12/2022,Tin thường,36030956,batdongsan_com_vn_36030956,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', 'số 122 - 124', 'Mipec Rubik 360']","
Danh sách căn hộ Mipec Rubik Xuân Thuỷ cần bán.Căn 2 ngủ 54m²: 3,28 tỷ.Căn 2 ngủ 70m²: 4,2 tỷ.Căn 2 ngủ 77m²: 4,2 tỷ tầng thấp, 4,350 tỷ tầng cao.Căn 2 ngủ 83,5m²: 4,6 tỷ.Căn 3 ngủ 95m²: 5,4 tỷ.Căn 3 ngủ 110m²: 6,3 tỷ hướng tây.Căn 3 ngủ 110m²: 6,8 tỷ.Thiết kế tầng 2 - 31: 15 hộ căn / sàn; Tầng 32: 13 căn hộ/ sàn; Tầng 33: 11 căn hộ/ sàn; Tầng 34: 7 căn hộ/ sàn; Tầng 35: 5 căn hộ/ sàn.Dự án Mipec Rubik 360 nằm tại vị trí kim cương số 122 - 124 Xuân Thủy thuộc trung tâm quận Cầu Giấy khu vực phát triển và năng động nhất thành phố Hà Nội.Đường Xuân Thủy kết nối thuận tiện để vào trung tâm TP, ra sân bay hoặc cao tốc thuận tiện.Sát các trường THPT, đại học Quốc gia, Sư phạm, HV báo chí.Hợp đồng mua bán, đã đóng 70% giá trị căn hộ.Có hỗ trợ vay ngân hàng.Liên hệ tư vấn miễn phí: 0943 802 ***em Mây).            ",83.5 m²,4.6 tỷ,2 phòng,2 phòng,,,05/12/2022,12/12/2022,Tin thường,34747468,batdongsan_com_vn_34747468,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ngã Tư Sở', 'Đường Tây Sơn']","
Bán nhà 6tầng, Tây Sơn, đối diện ĐH Thủy lợi, lô góc 28m², ôtô tránh, kinh doanh sầm uất 6,2tỷ.Ngõ thông Thái Hà, Thái Thịnh.Hiện trạng đang cho thuê, gần hồ.Đối diện Đại học Thủy lợi, khu vực nhiều văn phòng, quán ăn, gần chợ.Liên hệ em Tâm 0828 881 *** ",28 m²,6.2 tỷ,4 phòng,4 phòng,Đã có sổ,,05/12/2022,12/12/2022,Tin thường,36033163,batdongsan_com_vn_36033163,,6 tầng,,,5 m
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Chính chủ bán nhà mặt phố Xuân Đỉnh, diện tích trong sổ 110m² mặt tiền 8m siêu đẹp cho khách xây làm tòa văn phòng cho thuê, vị trí đẹp, kinh doanh thuận tiện, lợi nhuận tăng giá theo thời gian tốt, Hàng hiếm có trên mặt phố Xuân Đỉnh, vì là làng nghề nên kinh doanh sầm uất, giao thương tốt. LH: 0963 416 ***Nhà xây có 2 tầng nên Chủ nhà xác định chỉ bán đất, Gia chủ đang cần tiền làm ăn kinh doanh nên giá thỏa thuận cho khách hàng thiện chí.Liên hệ đi xem nhà thực tế: 24/7: 0963 416 *** ",110 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,01/12/2022,08/12/2022,Tin thường,35851499,batdongsan_com_vn_35851499,,2 tầng,,,
