address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Phú Xá']","
Vị trí ngay đầu Phú Xá mặt phố nên kinh doanh sầm uất ba bước ra cầu Nhật Tân, gần chung cư Lạc Hồng, trường tiểu học Phú Thượng, uỷ ban phường...Chủ cần bán gấp gấp trong tháng.Sổ đỏ vuông vắn sẵn sàng giao dịch.Liên hệ Mr Thọ chuyên nhà đất Phú Thượng để xem nhà và tư vấn miễn phí.            ",50 m²,8.3 tỷ,4 m,15 m,3 tầng,Sổ đỏ,03/12/2022,10/12/2022,Tin thường,32906410,batdongsan_com_vn_32906410,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Thụy Khuê']","
Mô tả:Nhà nằm vị trí đắc địa của quận Ba Đình, nhà mặt phố, khu vực hiếm nhà bán. Khu phố kinh doanh sầm uất ngày đêm, vài bước ra Hồ Tây lộng gió.Khu vực dân cư đông đúc, tiện ích ngập tràn.Hiện tại là nhà cấp 4 chủ nhà đang cho thuê kinh doanh.Khách mua về xây khách sạn tuyệt vời.Chủ nhà xác bán đất.Thiết kế:Tầng 1; Cửa hàng, kinh doanh.Phía trong: Phòng khách, phòng ngủ, bếp, vệ sinh.Sổ đỏ chính chủ nở hậu.Lh em toán - chuyên nhà phố và biệt thự Hà Nội.            ",102 m²,24 tỷ,3.6 m,,1 tầng,Sổ vuông vắn,05/12/2022,12/12/2022,Tin thường,36033095,batdongsan_com_vn_36033095,4 phòng,4 phòng,,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh']","
Bán nhà Thái Thịnh I xây 4 tầng vị trí đắc địa vừa ở vừa kinh doanh.Nhà hướng Tây Bắc.Nhà xây đẹp, chắc chắn 60m², mặt tiền 3,6m, 4 tầng, mỗi tầng 2 phòng vệ sinh khép kín, thoáng trước sau...Đường trước nhà 4m, kinh doanh khủng.Xung quanh rất nhiều tiện ích, thuận tiện cho việc đi lại các quận nội thành.Miễn trung gian, quảng cáo.Liên hệ trực tiếp 0962 393 *** ",60 m²,13.8 tỷ,3.6 m,4 m,4 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34281017,batdongsan_com_vn_34281017,6 phòng,6 phòng,Tây - Bắc,Tây - Bắc,"Nội thất đẹp, đầy đủ chỉ xách vali về ở"
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Gia đình cần bán gấp căn hộ chung cư cao cấp Hyundai Hillstate, Tô Hiệu, Hà Đông.Diện tích 136m² gồm 3PN, 2WC, ban công Đông Nam thoáng mát, đầy đủ đồ đạc, các phòng đều có cửa sổ ánh sáng tự nhiên vào phòng không cần bật đèn, với tiện ích đa dạng, môi trường sống tiện nghi và đẳng cấp, giao thông thuận tiện. An ninh rất tốt.Cách Metro Hà Đông khoảng 200m.Giá bán 4.6 tỷ.Liên hệ: 0968 595 *** ",136 m²,4.6 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35016596,batdongsan_com_vn_35016596,3 phòng,2 phòng,,Đông - Nam,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Dự án Thanh Hà Mường Thanh']","
Cần chuyển nhượng lô biệt thự vip Thanh Hà:- Vị trí: B1.1 BT1 - 15 lô góc xịn mặt đường 25m sau shophouse sát ngay Đại Lộ đường trục Tây Nam gần đầy đủ các tiện ích: Trường học, chung cư, công viên, hồ điều hoà, chợ thương mại...- Diện tích: 266.98m², 2 mặt tiền rộng 34m.- Hướng: Đông Nam thoáng mát.- Hotline + Zalo: 0344 646 *** ",266.98 m²,60 triệu/m²,34 m,25 m,,Hợp đồng mua bán,05/12/2022,15/12/2022,Tin thường,35944518,batdongsan_com_vn_35944518,,,Đông - Nam,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Tam Trinh', 'Dự án Helios Tower 75 Tam Trinh']","
Bán căn góc 2PN 74m² đẹp nhất chung cư Helios Tam Trinh.Bán căn hộ chung cư Helios Tower 75 Tam Trinh, Hoàng Mai.Thông tin căn hộ:- Diện tích 74m² thông thủy sổ đỏ.- Phòng ngủ: 02.- Phòng tắm: 02.- Phòng khách, bếp riêng biệt nhiều ánh sáng.Căn hộ là căn góc nên thiết kế đẹp, mỗi phòng ngủ đều có ánh sáng tự nhiên.Chung cư Helios Tam Trinh có vị trị cực đẹp, giáp ranh giữa 2 quận Hai Bà Trưng Hoàng Mai, nằm trong khu vực Minh Khai Tam Trinh, đường to, đẹp, giao thông thuận tiện, cách hồ Gươm chỉ 4km.Tiện ích: Nhà trẻ, spa, gym, hệ thống bể bơi 4 mùa sẵn sàng phục vụ cư dân.Giá bán: Thỏa thuận.LH: 0936 262 *** ",74 m²,3.15 tỷ,,,,Đã có sổ đỏ.,01/12/2022,08/12/2022,Tin thường,36001081,batdongsan_com_vn_36001081,2 phòng,2 phòng,,,Full đồ.
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', '536A', 'Chung cư 536A Minh Khai']","
Bán căn góc 2PN 75m² chung cư 536A Minh Khai cạnh Times City full đồ.Bán căn hộ chung cư 536A Minh Khai Vinahud Cửu Long cạnh Times City, cách mặt đường 50m nên không bị ô nhiễm tiếng ồn, thoáng mát rất phù hợp cho các hộ gia đình sinh sống.Thông tin căn hộ: Số 536A Minh Khai cách bờ hồ Hoàn Kiếm 3,5km, cách Times City, BV Vinmec 0,2 km.- Diện tích: 75m² thông thủy.- Phòng ngủ: 02 phòng.- Phòng tắm: 02 phòng.- Phòng khách: 01 phòng.- Phòng bếp: 01 phòng.- Căn góc tất cả các phòng ngủ đều có ánh sáng tự nhiên, view đẹp.- Nhà đã làm đầy đủ nội thất hiện đại, đẹp, khách mua chỉ việc vào ở.Căn hộ được thiết kế hiện đại, đầy đủ ánh sáng trực tiếp tại mỗi phòng, rất thoáng mát. Vị trí cực kỳ thuận tiện cách trung tâm khoảng 10 phút nên dễ dàng di chuyển đến các khu vui chơi giải trí, mua sắm, ẩm thực của Hà Nội.Chung cư đầy đủ tiện ích: Siêu thị Vinmart, yoga, gym, liền kề nội khu.Giá bán thỏa thuận.Sổ đỏ đầy đủ.Liên hệ: 0936 262 *** ",75 m²,Thỏa thuận,,,,Đã có sổ đỏ.,01/12/2022,08/12/2022,Tin thường,35870024,batdongsan_com_vn_35870024,2 phòng,2 phòng,,,Full đồ đẹp.
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Bùi Xương Trạch', '362', 'Chung cư C14 Bộ Quốc Phòng']","
Chính chủ bán chung cư tầng 5 C14 BQP - 362 Bùi Xương Trạch, giá 2,4 tỷ.+ Chung cư C14 là dự án chung cư do Quân chủng phòng không không quân - Bộ quốc phòng làm chủ đầu tư. Dự án xây dựng nhằm cung cấp nhà ở cho cán bộ sỹ quan cấp tá trở lên của Quân đội ở.+ Vị trí mặt phố, sân để ô tô rộng, có trạm an ninh bảo vệ 24/7, thuận tiện đi lại.+ Nhà bán thuộc tầng 5/18 tầng của tòa nhà. Các tầng được bố trí 3 thang máy thuận tiện đi lại, hành lang rộng, thoáng.+ Bán công chính: Tây Bắc.+ Cửa chính: Đông Nam.+ Diện tích thông thủy: 68.5m² bao gồm: 2 Phòng ngủ + 2 Vệ sinh + 1 Phòng khách & Bếp rộng, lô gia thoáng.LH chủ nhà: 0975 581 *** ",68.5 m²,2.4 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35980782,batdongsan_com_vn_35980782,2 phòng,2 phòng,Đông - Nam,Tây - Bắc,Đồ cơ bản
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
Chính chủ cần bán căn hộ chung cư CT1 Văn Khê.T24 toà chất lượng và dịch vụ rát tốt nhất khu chung cư.Dt 165m² hướng Bc Tây Nam, cửa vào ĐB, nhà hoàn thiện để lại nội thất.Căn hộ 3 ngủ, 3 VS.Giá bán 3,2 tỷ để lại toàn bộ nội thất.Lh 0981 959 *** ",165 m²,3.2 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,32846386,batdongsan_com_vn_32846386,3 phòng,3 phòng,Đông - Bắc,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Gia đình cần bán gấp căn hộ chung cư cao cấp Hyundai Hillstate, Tô Hiệu, Hà Đông.Diện tích 136m² gồm 3PN, 2WC, ban công thoáng mát, giá rẻ nhất thị trường, có lốt xe ô tô, các phòng đều có cửa sổ thoáng mát, ánh sáng tự nhiên vào phòng không cần bật đèn, với tiện ích đa dạng, môi trường sống tiện nghi và đẳng cấp, giao thông thuận tiện. An ninh rất tốt.Cách Metro Hà Đông khoảng 200m.Giá bán 4.15 tỷ.Liên hệ: 0968 595 *** ",136 m²,4.15 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34318483,batdongsan_com_vn_34318483,3 phòng,2 phòng,,Đông - Nam,
