address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Đường vào
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phương Canh', 'Dự án Xuân Phương Residence']","
0912 700 *** - Chính chủ cần bán.Gấp căn hộ 156m² chung cư Xuân Phương Quốc Hội, nằm trên đường Trần Hữu Dực, Nam Từ Liêm, HN.- Nhà thiết kế 4PN - 3VS.- Có 2 ban công rộng.- Nhà đã có sổ.Phù hợp ở hộ gia đình và làm văn phòng.Liên hệ chính chủ: 0912 700 ***.            ",156 m²,27 triệu/m²,Đông - Bắc,Tây - Nam,4 phòng,3 phòng,Nguyên bản chủ đầu tư,05/12/2022,12/12/2022,Tin thường,36032702,batdongsan_com_vn_36032702,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Đường Thanh Lân']","
Ngõ rộng, ô tô đỗ cửa.Xung quanh nhiều tiện ích, đầy đủ.Nhà mới thiết kế 5 tầng mỗi tầng 1 phòng rộng.Tầng 5 làm phòng thờ và sân phơi.Sổ đỏ đẹp, nở hậu.Liên hệ 0365 088 *** Đô.            ",32 m²,3.7 tỷ,,,3 phòng,4 phòng,,05/12/2022,12/12/2022,Tin thường,36030752,batdongsan_com_vn_36030752,3.5 m,5 tầng,Sổ đỏ,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Côn', 'Đường Đại lộ Thăng Long']","
Nhỉnh 1 tỷ có ngay lô góc đất thổ cư tại Xã Vân Côn, Hoài Đức.Diện tích 48m², lô góc 2 mặt thoáng, đường rộng 4m ô tô vào tận đất.Vị trí đẹp cạnh nhà văn hoá, sát đường xe bus dh 04, cách Đại Lộ Thăng Long 600m.13km ra trung tâm TP. Hà Nội, lô đất đẹp và tiềm năng tăng giá cao khi Hoài Đức lên Quận và sang năm Vành Đai 4 thi công.Giá rẻ bất ngờ chỉ hơn 1 tỷ chút.Sổ sẵn sang tên.Chính chủ 0366 234 *** ",48 m²,Thỏa thuận,,,,,,05/12/2022,12/12/2022,Tin thường,36030861,batdongsan_com_vn_36030861,5 m,,Sổ đỏ/ Sổ hồng,4 m
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Đường Lý Sơn']","
Cần bán đất thổ cư Lý Sơn, Ngọc Thụy, Long Biên:- Vị trí vip cách 1 nhà ra phố chính sầm uất.- DT: 70m², đất vuông vắn, ngõ trước đất thông, ô tô qua lại thoải mái.- Tiện ích: Xung quanh đầy đủ dịch vụ tiện ích, khu dân trí cao nhiều cán bộ quân đội, cạnh đường lớn thuận tiện đi lên sân bay và đi các ngả.- Pháp lý: SĐCC.- Giá bán: 5 tỷ. Ai có nhu cầu mua vui lòng:- Liên hệ: 0977 198 *** gặp Mr Huấn (37 tuổi), cảm ơn đã dành thời gian xem tin!            ",70 m²,5 tỷ,,,,,,05/12/2022,12/12/2022,Tin thường,33808740,batdongsan_com_vn_33808740,,,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Qũy 5 căn hộ bên The Pride ở cả 3 tòa bao gồm căn 2 ngủ và 3 ngủ.- CT1: Căn 10 dt 83m 2 ngủ, giá 28.3tr/m², bc ĐN, City view. Tổng giá 2,3489 tỷ.- CT2: Căn 16 dt 83m 2 ngủ, giá 25.500tr/m², bc TN. Tổng giá 2,116 tỷ.- CT3: Căn 12 dt 119,7m 3 ngủ, giá 25,8tr/m². Tổng 3,088260 tỷ.- CT4: Căn 18 dt 95,9m 3 ngủ, bc TN, dt 25,390tr/m². Tổng giá 2.434 tỷ.- CT4: Căn 24, bn TB, Căn 3 ngủ 138,5m, đơn giá 24tr/m². Gía 3,324 tỷ.- Phương án thanh toán:+ Đặt cọc 300 triệu đồng.+ Ngày đóng 100%gtch sang tên sổ và nhận nhà ở ngay.- Tiện ích và dịch vụ đã hoàn thiện và đi vào sử dụng ổn định: Trung tâm thương mại và hệ thống chăm sóc sức khỏe, nhà trẻ, trường học, thể dục như gym, bể bơi,- Liên hệ ngay em Thu: 0927 467 *** xem nhà thực tế và đặt mua căn hộ ngay.            ",83 m²,25.5 triệu/m²,Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Bàn giao đồ nội thất cơ bản,05/12/2022,12/12/2022,Tin thường,35876810,batdongsan_com_vn_35876810,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Dự án Eco Dream']","
Cần bán Eco Dream 67m² 2PN 2WC giá 2.6 tỷ.+ Nhà đẹp đang cho thuê, nội thất cơ bản Tủ bếp, Điều hòa hai chiều.+ Pháp lý Sổ hồng lâu dài.LH xem nhà 0943 018 *** ",67 m²,2.6 tỷ,,,2 phòng,2 phòng,Cơ bản,05/12/2022,15/12/2022,Tin thường,36032184,batdongsan_com_vn_36032184,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', '5', 'Đường Vành Đai 2', 'Dự án KĐTM Đại Kim - Định Công']","
Cơ hội sở hữu liền kề, shophouse, biệt thự dự án khu đô thị mới Đại Kim Định Công mở rộng 135ha, vị trí đắc địa nội thành Hà Nội, cách hồ Hoàn Kiếm chưa đến 5km - cơ hội sinh lời cực tốt - pháp lý rõ ràng - sổ đỏ vĩnh viễn giá đất chỉ 4xtr/m², tiến độ đóng 50% chỉ với 2 tỷ là đã sở hữu.Cơ hội đầu tư an toàn, đã có quy hoạch 1: 500 của TP. Hà Nội; Đã cắm mốc giới xong và ký biên bản bàn giao mốc giới; Ngày 29/3/2021 Đã chính thức có văn bản thành ủy chỉ đạo tháo gỡ khó khăn, thúc đẩy nhanh các dự án BT trọng điểm trong đó có dự án khu đô thị mới Đại Kim Định Công 135ha. Ngày 15/6 TP. Hà Nội đã có văn bản chỉ đạo Quận thực hiện công tác GPMB DA KĐT. Ngày 5/7/2021 Quận đã có văn bản giao phường rà soát thống kê các hộ dân chuẩn bị cho công tác GPMB. Dự Kiến 2 tháng tới ngân hàng sẽ giải ngân để CĐT GPMB.Vị trí vàng trung tâm của trung tâm - kết nối giao thông thuận tiện nằm giữa vành Đai 2 và vành đai 3 - Gần nhiều trường đại học lớn như Đại học Kinh tế Quốc dân, Đại học Bách Khoa,...- Gần nhiều bệnh viện lớn như bệnh viện Bạch Mai, Huyết Học, Tai Mũi Họng, bệnh viện Bưu Điện,...- Gần bến xe Giáp Bát, bến xe Nước Ngầm; tương lai có thêm đại siêu thị Aeon Mall Giáp Bát... Vô vàn tiện ích.Khu vực dân cư đông nhất, nhu cầu ở thực nhiều, đầu tư cực tốt, thanh khoản cực nhanh.Quy mô KĐT: 135ha đặc biệt giữa KĐT là Hồ Định Công, hồ tự nhiên 23ha.Các loại hình nhà ở:1. Shophouse mặt tiền đường Vành Đai 2.5 rộng 40m giá chỉ từ 12x tr/m².2. Shophouse trục xuyên tâm đường 30m giá chỉ từ 7x tr/m².Khu giao thương buôn bán sầm uất bậc nhất Thủ Đô Đầu tư chắc thắng, sinh lời cao.Diện tích từ 77m² - 90m² 100m² 115m² - 230m² - 283m.- Tổ hợp nhà ở liền kề biệt thự, shophouse thương mại, toà nhà văn phòng và nhiều toà chung cư cao cấp đầu tư với mức sinh lời cao & an toàn. Liên hệ. 0936 461 *** zalo.            ",77 m²,Thỏa thuận,,,,,,05/12/2022,15/12/2022,Tin thường,32467735,batdongsan_com_vn_32467735,,,,
"['Hà Nội', 'Quốc Oai', 'Xã Đông Xuân', 'Đường Đồng Chằm']","
Liên hệ em Hiền 0393 580 *** / 0862 866 ***Em chính chủ cần bán nhanh mảnh 75.5m² full thổ.+ Ngay sau Trường sĩ quan chính trị.+ Thế đất đẹp, vượng khí tốt.            ",75.5 m²,1.7 tỷ,,,,,,01/12/2022,11/12/2022,Tin thường,36002627,batdongsan_com_vn_36002627,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công', 'Dự án Udic Westlake']","
Bán căn hộ 3 phòng ngủ nhỏ, có diện tích 126m², thuộc tòa B dự án.+ Căn hộ có ban công Đông Nam, bếp riêng biệt với phòng khách, các phòng đều có ánh sáng tự nhiên, gần khe thoáng, không bị 2 nhà cạnh nhau.+ Giá căn hộ từ 5,8 tỷ (đã bao gồm thuế phí, nội thất hoàn thiện).+ Căn hộ mã 09, cửa chính Tây Nam, ban công Đông Nam - Đông.Liên hệ em Quý 0816 193 *** đi xem căn hộ thực tế!---------------------* Tiện ích.- Dự án đầy đủ các tiện ích về thương mại với 3 tầng TTTM, khu giải trí, ẩm thực, gym, spa, bể bơi bốn mùa, khu vui chơi trẻ em, khuôn viên cây xanh rất rộng hiếm dự án nào có được.- Cùng với đó là các tiện ích ngoại khu Ciputra: Trường học, bệnh viện đẳng cấp quốc tế, sân tập golf, tennis...* Nội thất bàn giao.Bàn giao nội thất full liền tường: Trần thạch cao, sàn gỗ, thiết bị vệ sinh, thiết bị bếp, tủ bếp trên dưới, điều hòa cục bộ, khóa từ 3 chức năng...Liên hệ em Quý 0816 193 *** đi xem căn hộ thực tế và cập nhật thông tin!            ",126 m²,5.8 tỷ,Tây - Nam,Đông - Nam,3 phòng,2 phòng,"Trần thạch cao, sàn gỗ, thiết bị vệ sinh, khu bếp đầy đủ,...",05/12/2022,12/12/2022,Tin thường,33848703,batdongsan_com_vn_33848703,,,Hợp đồng mua bán,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Đường Đội Cấn']","
+ Cần bán gấp nhà riêng phố Đội Cấn - vỉa hè, kinh doanh, ô tô, 90m², giá 20 tỷ.+ Vị trí nhà độc tôn, trung tâm phố Đội Cấn, đường thông hè thoáng, kinh doanh tấp nập, giao thông thuận lợi.+ Nhà đẹp ở ngay, khung cột bê tông chắc chắn, trang thiết bị nội thất cơ bản, công năng sử dụng đầy đủ, nhà làm văn phòng, kinh doanh đều tuyệt vời lắm.+ Khu vực kinh doanh sầm uất, dân trí cao, hạ tầng đô thị hiện đại, đa tiện ích, gần vườn hoa, siêu thị, TTTM, vv...+ Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.+ Liên hệ tôi Trần Dự để được xem nhà 24/7.            ",90 m²,20 tỷ,,,6 phòng,4 phòng,,05/12/2022,15/12/2022,Tin thường,36030645,batdongsan_com_vn_36030645,,4 tầng,Sổ đỏ/ Sổ hồng.,12 m
