address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
+ Chủ cần bán gấp đất Sen Trì, nằm sau UBND, trạm y tế... Cách TL 420 đi Sơn Tây 200m, cách khu công nghệ cao 5 phút chạy xe thôi.+ Khu vực đông dân, gần khu công nghệ cao, Đại học FPT, ĐH Văn Lang, Cụm ĐH Quốc Gia,... Khách mua ở hoặc đầu tư xây nhà trọ sinh viên đều phù hợp.+ Mặt tiền rộng 5m.+ Sổ chính chủ.+ Giá thương lượng.LH: 0853 681 *** ",75 m²,1.1 tỷ,5 m,6 m,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,33196036,batdongsan_com_vn_33196036,,,,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Nguyễn Mậu Tài', 'Dự án Highway 5 Residences Gia Lâm']","
Bán căn liền kề hướng Tây Nam dự án TQ5 Gia Lâm.Diện tích 75m²: Mặt tiền 5m, chạy sâu 15m.Đường trước mặt 7m.Thiết kế 5 tầng, bàn giao hoàn thiện mặt ngoại theo phong cách Mỹ hiện đại.Pháp lý: Sổ đỏ lâu dài.Bán kính 1km trở lại là trung tâm hành chính công của Gia Lâm, trường học liên cấp, đại học, bệnh viện, tổ hợp đô thị Vinhome Oceanpark, Eurowindow Twin Park, công viên hồ điều hoà 29ha, hệ thống các đường cao tốc 5A - 5B - 1...Tổng giá bán 9 tỷ (có thoả thuận và lại lộc cho khách hàng thiện chí).LH em Loan 0904 818 *** để đi xem nhà thực tế và được nhận thông tin chi tiết nhất.            ",75 m²,9 tỷ,5 m,7 m,,23/11/2022,30/11/2022,Tin thường,35837084,batdongsan_com_vn_35837084,Tây - Nam,5 tầng,,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Bồ Đề']","
Bán nhà mới dân xây tặng nội thất ô tô đỗ cổng Bồ Đề Long Biên DT 33 m² 5 tầng MT 4.2 m giá bán 3.4 tỷ.Vị trí rất đẹp ô tô đỗ cổng 3 bước ra hồ Bồ Đề, hạ tầng đồng bộ, gần trường học, gần bệnh viện, khu vực trung tâm của Bồ Đề dân trí cao, an ninh tốt.Nhà thiết kế kết cấu BTCT chắc chắn, full nội thất 5 tầng bao gồm: Phòng khách, Bếp + Phòng ăn, 3 phòng ngủ, Phòng thờ, Phòng giặt + Sân Phơi.(Miễn tiếp trung gian và môi giới).            ",33 m²,3.4 tỷ,4.2 m,3.5 m,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,35921491,batdongsan_com_vn_35921491,,5 tầng,3 phòng,4 phòng,Full nội thất.,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Nguyễn Ngọc Nại']","
Bán nhà phố Nguyễn Ngọc Nại - Thanh Xuân, thông ra: Lê Trọng Tấn, Tô Vĩnh Diện, Trường Chinh, Hoàng Văn Thái...Vị trí đẹp - thoáng.Nhà 115m² mặt tiền 5.2m - (9 tầng 1 hầm).Nội thất cao cấp - sổ đỏ lâu dài.Giá bán 36.8 tỷ. (Giá thay đổi theo tiến độ).Liên hệ chi tiết cụ thể: 0919 219 *** ",115 m²,36.8 tỷ,5.2 m,,Sổ đỏ.,23/11/2022,30/11/2022,Tin thường,31143977,batdongsan_com_vn_31143977,,9 tầng,,,Nội thất cao cấp.,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án Kim Văn Kim Lũ']","
Bán gấp CC KVKL mặt đường Nguyễn Xiển - Hoàng Mai.- Nhà đã chỉnh trang lại siêu đẹp, gia chủ mới chỉ việc xách vali tới ở luôn.- View nhìn sang khu đô thị cao cấp The Manor Central Park xịn sò.- Diện tích tim tường 82m, diện tích thông thủy 74m.- Thiết kế 3 phòng ngủ, 2 wc, khu bếp riêng biệt & 1 logia rộng.- Có sẵn sofa, bàn trà, kệ tivi, tủ bếp.- Có sẵn 3 giường ngủ, 3 tủ quần áo.- Có sẵn điều hoà, quạt trần, bếp từ, hút mùi.- Sàn nhà & thiết bị wc làm mới 100%.- Khoá cửa thông minh bằng vân tay & mật khẩu.- Nhà có sổ đỏ sẵn sàng giao dịch.            ",82 m²,2.05 tỷ,,,Sổ đỏ/ Sổ hồng.,24/11/2022,01/12/2022,Tin thường,35854735,batdongsan_com_vn_35854735,,,3 phòng,2 phòng,"Sẵn đồ giường tủ, sofa, điều hoà, bếp từ, hút mùi...",
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Đức Giang']","
Bán gấp nhà Đức Giang Long Biên, cạnh trường tiểu học, 35m² x 4T, ô tô đỗ cổng, chỉ 2.45 tỷ có TL mạnh.- Chị Lan chuyển công tác cần bán nhà phố Đức Giang, Long Biên. Nhà chị xây tâm huyết.- Vị trí nhà rất đẹp, cạnh trường học, vài bước ra đường 17m², đi bộ ra chợ.- Hưởng trọn tiện ích từ các khu đô thị quanh nhà. Ra trung tâm cực gần với các tuyến phố lớn Ngô Gia Tự, Quốc lộ 5.- Hàng xóm thân thiện, an ninh tốt.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá chỉ 2.45 tỷ có TL khách thiện trí.LH: 0335 142 *** em Oanh để biết thêm chi tiết.            ",35 m²,2.45 tỷ,4.5 m,3 m,Sổ đỏ chính chủ.,25/11/2022,02/12/2022,Tin thường,35947035,batdongsan_com_vn_35947035,Tây,4 tầng,3 phòng,3 phòng,Nội thất đầy đủ.,Tây
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', '219', 'Central Field Trung Kính']","
Gia đình tôi đang ở căn hộ 2 phòng ngủ ở chung cư 219 Trung Kính, do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.- Căn hộ là căn góc ở tòa A có ban công Đông Nam, cửa hướng Tây Bắc, có diện tích sử dụng 74m², gồm 2 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng và rất mát về phía đường Trung Kính.- Chúng tôi để toàn bộ nội thất cao cấp bao gồm cả đồ điện tử.- Sổ đỏ chính chủ tên vợ chồng tôi.- Tôi bán giá 3.45 tỷ (tôi bao phí và có gia lộc thêm).Ai thực sự có nhu cầu tìm mua căn hộ ở đây, xin mời liên hệ tôi để xem thực tế 0965 551 *** hoặc 0932 392 *** - Tôi tên Sáng (miễn trung gian).Xin cảm ơn đã đọc tin.            ",74 m²,3.45 tỷ,,,Sổ hồng.,21/11/2022,28/11/2022,Tin thường,30546865,batdongsan_com_vn_30546865,Tây - Bắc,,2 phòng,2 phòng,Nội thất cao cấp.,Đông - Nam
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Tôi cần thu hồi vốn bán gấp căn liền kề Sao Biển 20 đường thông thẳng ra biển mặn Vin Ocean Park Gia Lâm.Diện tích: 88,8m², xây 57m².Giá rẻ nhất thị trường: 14,5 tỷ bao phí.3 tầng rưỡi, sổ đỏ chính chủ. Bàn giao thô CĐT.            ",88.8 m²,14.5 tỷ,6 m,13 m,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin thường,35917552,batdongsan_com_vn_35917552,Tây - Bắc,4 tầng,3 phòng,3 phòng,Thô,Tây - Bắc
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung', 'Dự án FLC Star Tower']","
Chính chủ gửi bán chung cư FLC Quang Trung 65m², 2 ngủ, 2VS, full nội thất, cực đẹp, giá 1.6x tỷ.- Vị trí: Nằm trên trục đường chính, có thể di chuyển khắp nơi bằng phương tiện công cộng.* Cạnh: Ga tàu Cát Linh - Hà Đông, bến xe bus nhanh, bến xe bus chậm.* Gần: Bến xe Yên Nghĩa (2 km).- Sinh hoạt:* Cạnh: Chợ Văn La, chợ Vồ, chợ Bông Đỏ, trường cấp 1, cấp 2, cấp 3.* Gần: Aeon Mall Hà Đông, các trường Đại Học khu vực Hà Đông (5 km).- Sổ đỏ: Tòa nhà đã đủ điều kiện cấp sổ đỏ, chủ đầu tư đang cấp lần lượt. Có thể làm trước (mất ít phí dịch vụ).- Tình trạng nhà: Để lại toàn bộ nội thất treo tường, bàn ghế phòng khách, điều hòa, máy xông hơi... (xem trong ảnh). Vật liệu hầu hết dùng loại gỗ Acrylic cao cấp như tủ bếp, tủ giầy, kệ tivi...Giá bán: 1,6x tỷ.            ",65 m²,1.6 tỷ,,,Hợp đồng mua bán,26/11/2022,03/12/2022,Tin thường,35804928,batdongsan_com_vn_35804928,Tây - Bắc,,2 phòng,2 phòng,Full nội thất,Đông - Nam
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh']","
54m² đất dịch vụ 4.5 ha nằm trên mặt đường vuông góc với đường Vành Đai 3.5. sổ riêng chính chủ giá thỏa thuận.LH 0971 967 *** ",54 m²,75 triệu/m²,4.3 m,10 m,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin thường,35940165,batdongsan_com_vn_35940165,Tây,,,,,
