address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Nội thất,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'số 8', 'The Zei Mỹ Đình']","
Sốc cuối năm.5,67 tỷ căn góc 3pn tại The Zei đẹp nhất Mỹ Đình.CĐT The Zei giảm giá sốc bán nhanh nghỉ tết.Giảm giá 15,5% tất cả các căn còn trên bảng hàng.Em có căn rẻ nhất toà, căn góc Đông Nam view Lê Đức Thọ hoặc căn góc Tây Nam view nội khu cực thoáng, giá chỉ 5,67 tỷ rẻ nhất từ trước đến giờ.Chỉ có 2 căn này là rẻ nhất. Bán rất nhanh.Cơ hội nghìn năm bắt đáy dự án.Alo em xem nhà ngay 0961 316 ***Thông tin:- Mã căn: Trục B09 và B03, tòa B, view phòng khách nhìn xuống đường Lê Đức Thọ (B09) hoặc view biệt thự (trục B03) không bị nhìn sang công viên nghĩa trang.- Vì là căn góc nên mỗi căn có 2 ban công rất rộng, các ban công đều có view thoáng rất mát.- Các phòng đều có cửa sổ lớn, ánh sáng chan hòa, ban ngày không cần bật đèn.- Tòa nhà có đầy đủ tiện ích như bể bơi 4 mùa, thư viện, khu vui chơi trẻ em...Giá tốt nhất thị trường hiện tại chỉ 5,7 tỷ/ căn, bắt đáy dự án!Anh, chị quan tâm, gọi đi xem nhà ngay 0961 316 *** (24/7).            ",107 m²,5.673 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35863805,batdongsan_com_vn_35863805,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính']","
Tôi cần bán gấp căn hộ chung cư tại Trung Hòa - Cầu Giấy phù hợp với gia đình nhỏ, đi làm ở Trung tâm- Căn hộ Chung cư ban công Đông Nam- Diện tích 56m2- Thiết kế 2 ngủ 1 vệ sinh.- Xung quanh đầy đủ tiện ích : Trường học quốc tế, trường học công nổi tiếng, công viên cây xanh, Trung tâm thương mại, hàng ăn, cafe....Rất tiện đi làm ở Thanh Xuân, Cầu giấy , Đống Đa, Ngã Tư Sở, Tây Hồ,.... di chuyển chỉ mất 5-10p- Sổ đỏ chính chủ, sẵn sàng giao dịch            ",56 m²,2.6 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35954814,batdongsan_com_vn_35954814,Đông - Nam,Đông - Nam,,,,
"['Hà Nội', 'Gia Lâm', 'Đường Lý Thánh Tông', 'Dự án The Pavilion - Vinhomes Ocean Park']","
Em Phú PKD dự án The Pavilion Premium - Vinhomes Ocean Park SĐT 0865 936 *** quỹ căn 2PN + 2VS ký trực tiếp CĐT. Quý anh chị tham khảo.* Ưu điểm: Là căn hộ 2 ban công. Phòng ngủ có ""ban công"" luôn là những mẫu thiết kế được ưa chuộng hơn cả bởi nguồn không khí và ánh sáng từ góc ban công sẽ mang lại cho căn phòng thêm thư thái, thoáng đãng, góp phần đem lai giấc ngủ ngon.1. Căn hộ số P3xx02.- Giá thanh toán: 2,638 tỷ (gồm VAT + KPBT).- Diện tích: 68,2 m².- Hướng ban công: Tây Nam.- Thiết kế 2 ban công nối liền rộng rãi thông thoáng.- View nội khu vườn thực vật Botanic Garden, hồ cảnh quan, đảo tập Yoga, chòi nghỉ tổ chim.+ Tặng Voucher Vinfast trị giá 150tr.+ Hỗ trợ vay 80% giá trị căn hộ, miễn gốc và lãi đến 31/07/2024.2. Căn hộ số P3xx26.- Giá thanh toán: 2,790 tỷ (gồm VAT + KPBT).- Diện tích: 73,9 m².- Hướng ban công: Tây Nam.- Thiết kế 2 ban công nối liền rộng rãi thông thoáng.- View nội khu vườn thực vật Botanic Garden, hồ cảnh quan, đảo tập Yoga, chòi nghỉ tổ chim.+ Tặng Voucher Vinfast trị giá 150tr.+ Hỗ trợ vay 80% giá trị căn hộ, miễn gốc và lãi đến 31/07/2024.3. Căn hộ P3xx13.- Giá thanh toán: 2,493 tỷ.- Diện tích: 67m².- Hướng ban công: Đông Bắc.- Thiết kế siêu rộng rãi, vuông vắn với khu bếp riêng và 2 ban công nối liền rộng rãi thông thoáng.- View thành phố thoáng mát, không che chắn.+ Tặng Voucher Vinfast trị giá 150tr.+ Hỗ trợ vay 80% giá trị căn hộ, miễn gốc và lãi đến 31/07/2024.4. Căn hộ P3xx22.- Giá thanh toán: 2,433 tỷ.- Diện tích: 67m².- Hướng ban công: Đông Bắc.- Thiết kế siêu rộng rãi, vuông vắn với khu bếp riêng và 2 ban công nối liền rộng rãi thông thoáng.- View thành phố thoáng mát, không che chắn.+ Tặng Voucher Vinfast trị giá 150tr.+ Hỗ trợ vay 80% giá trị căn hộ, miễn gốc và lãi đến 31/07/2024.5. Căn hộ P3xx09.- Giá thanh toán bán: 2,740 tỷ.- Diện tích: 73,9 m.- Hướng ban công: Tây Nam.- Thiết kế siêu rộng rãi, vuông vắn với khu bếp riêng và 2 ban công nối liền rộng rãi thông thoáng.- View nôi khu sân thể thao và hồ điều hoà.+ Tặng Voucher Vinfast trị giá 150tr.+ Hỗ trợ vay 80% giá trị căn hộ, hỗ trợ lãi suất 0% đến 31/07/2024.Quý anh chị khách hàng quan tâm vui lòng liên hệ Em Phú 0865 936 *** để đến tham quan trực tiếp và nhận sự hỗ trợ nhiệt tình của em.* Ưu đãi độc quyền.- Mua căn hộ với giá trị thực từ CĐT, không chênh.- Hỗ trợ 24/24 từ khi quan tâm dự án, xem nhà mẫu, các thủ tục ký cọc, HĐMB.- Chọn quỹ căn, tầng ưng ý.            ",67 m²,2.493 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35640717,batdongsan_com_vn_35640717,Tây - Nam,Đông - Bắc,Cơ bản liền tường.,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán shophouse thương mại 5 tầng nằm trên mặt phố kinh doanh thương mại đông đúc.Shophouse ở KĐT Starlake nằm trên mặt đường Nguyễn Văn Huyên, Tây Hồ, Hà Nội.Diện tích 200m² mặt tiền 10m hướng Tây Nam.Shophouse nằm ở vị trí trung tâm của thành phố Hà Nội.Khu vực đông dân cư và nhiều người qua lại, vì vậy rất thuận lợi cho ai mua đầu tư kinh doanh về thương mại.Khu an ninh tốt, dân trí cao, giao thông thuận lợi hai chiều.Giá bán thỏa thuận trực tiếp với chủ đầu tư.Xin liên hệ Mr Long: 0981 222 *** hoặc 0972 853 *** ",200 m²,Thỏa thuận,5 phòng,5 phòng,,27/11/2022,04/12/2022,Tin thường,35427102,batdongsan_com_vn_35427102,Tây - Nam,Tây - Nam,,10 m,60 m,5 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'đường Tây Hồ']","
Bán nhà 4 tầng sổ đỏ chính chủ nằm trên mặt phố kinh doanh thương mại đông đúc.Nhà nằm trên mặt đường Tây Hồ, Quảng An, Tây Hồ, Hà Nội.Diện tích 202m² mặt tiền 8m hướng đông nam.Nhà nằm ở vị trí giữa trung tâm của Thành Phố Hà Nội.Khu phố đông dân cư và nhiều người qua lại, vì vậy rất thuận lợi cho ai mua đầu tư kinh doanh về thương mại.Nhà nằm ở vị trí rất gần với hồ Tây.Khu an ninh tốt, dân trí cao, giao thông thuận lợi.Giá bán 110 tỷ.Xin liên hệ Mr Long: 0981 222 *** hoặc 0972 853 *** ",202 m²,110 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35390710,batdongsan_com_vn_35390710,Đông - Nam,Đông - Nam,,8 m,30 m,4 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
Bán đất thổ cư sổ đỏ chính chủ nằm trên mặt phố kinh doanh thương mại đông đúc.Lô đất nằm trên đường Lạc Long Quân, Tây Hồ, Hà Nội.Diện tích 354m² mặt tiền 15m hướng Tây Bắc.Lô đất vuông vắn và mặt tiền rộng cho nên rất đẹp.Từ vị lô đất đi bộ ra hồ Tây và trung tâm thương mại lotte khoảng 5 phút.Lô đất nằm ở vị trí trung tâm của Thành Phố Hà Nội.Vị trí lô đất phải gọi là vị trí đất vàng của Thành Phố Hà Nội.Vì rất hiếm lô đất được mặt tiền rộng như vậy.Đã là đất kinh doanh thương mại thì người đầu tư phải chọn những lô đất mặt tiền rộng thì giá trị thương mại mới cao hoặc kinh doanh cho tất cả mọi lĩnh vực đều thuận.Khu vực đông dân cư và nhiều người qua lại, vì vậy rất thuận lợi cho ai mua đầu tư xây toà nhà cao tầng kinh doanh về thương mại.Khu an ninh tốt, dân trí cao, giao thông thuận lợi hai chiều.Giá bán 135 tỷ.Xin liên hệ Mr Long: 0981 222 *** hoặc 0972 853 *** ",354 m²,135 tỷ,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35078462,batdongsan_com_vn_35078462,Tây - Bắc,,,15 m,30 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
Bán nhà đẹp phố Khương Trung, Thanh Xuân mặt ngõ - ô tô đỗ - lô góc 3 thoáng - nở hậu, DT 50m², 5T, MT 4.5m, giá 5.8 tỷ.Mô tả:+ Tọa lạc tại con ngõ đẹp nhất Khương Trung rộng 6m, hai ô tô bảy chỗ tránh nhau.+ Vài phút đến trung tâm, Hoàn Kiếm, Đống Đa, Hai Bà Trưng, Hoàng Mai, Hoàn Kiếm, rất thuận tiện đi các tỉnh thành trên cả nước.+ Gần nhiều trường C1 2 3 chuẩn Quốc gia và Đại học: Y Hà Nội, Hà Nội, Tổng Hợp, Kiến Trúc, Thủy Lợi, Công Đoàn vv... Ngã Tư Sở, Royal City cách nhà 300m.Thiết kế: Lô góc 3 thoáng nhà nhiều sinh khí, nội thất hiện đại tiện nghi.Sổ đỏ sẵn nhà, công chứng sang tên ngay.+ Giao thông: Nguyễn Trãi, Nguyễn Xiển, Hoàng Văn Thái, Nguyễn Ngọc Nại, Vương Thừa Vũ, Trường Chinh, Tô Vĩnh Diện, Vương Thừa Vũ.Liên hệ: Mr Huy 0878 215 *** để được tư vấn và xem nhà quanh khu vực miễn phí 100%.            ",50 m²,5.8 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,34064119,batdongsan_com_vn_34064119,,,Tiện nghi,4.5 m,50 m,5 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Tô Ngọc Vân']","
Bán toà nhà căn hộ 8 tầng sổ đỏ chính chủ khu phố Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội.Diện tích 132m² mặt tiền 7m hướng Đông Nam.Toà nhà thiết kế hiện đại theo phong cách Châu Âu và rất đẹp.Nội thất đầy đủ và cao cấp, sang trọng, và hiện đại.Toà nhà nằm ở vị trí trung tâm của Thành Phố Hà Nội.Toà nhà hiện đang cho thuê cả toà với hợp đồng dài hạn với giá 145 triệu/tháng và thanh toán 6 tháng cho mỗi kỳ.Từ vị trí toà nhà đi bộ ra Hồ Tây khoảng 5 phút.Tiện ích xung quanh rất gần với trung tâm thương mại, siêu thị, chợ, trường học quốc tế, phòng tập gym và hồ bơi, v v.Khu vực sạch sẽ, thoáng mát, văn minh, an ninh tốt, dân trí cao, giao thông thuận lợi.Giá bán 48 tỷ.Xin liên hệ Mr Long: 0981 222 *** hoặc 0972 853 *** ",132 m²,48 tỷ,20 phòng,20 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35651455,batdongsan_com_vn_35651455,Đông - Nam,Đông - Nam,"Nội thất đầy đủ và cao cấp, sang trọng, và hiện đại.",7 m,3 m,8 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Phố Quảng Khánh']","
Bán nhà 5 tầng sổ đỏ chính chủ nằm ở vị trí mặt hồ tây.Nhà nằm trên mặt phố Quảng Khánh, Quảng An, Tây Hồ, Hà Nội.Diện tích 127m² mặt tiền 8m hướng Tây Bắc.Nhà thiết kế hiện đại theo phong cách châu âu và rất đẹp.Nhà nằm ở ở vị trung tâm Quận Tây Hồ.Tiện ích xung quanh rất gần với trung tâm thương mại mua sắm, siêu thị, chợ, trường học quốc tế, phòng tập gym và hồ bơi, v v.Khu an ninh tốt, dân trí cao, giao thông thuận lợi.Giá bán 102 tỷ.Xin liên hệ Mr Long: 0981 222 *** hoặc 0972 853 *** ",127 m²,102 tỷ,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,34787704,batdongsan_com_vn_34787704,Tây - Bắc,Tây - Bắc,Nội thất đầy đủ.,8 m,30 m,5 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Xuân Diệu']","
Bán toà nhà căn hộ 8 tầng sổ đỏ chính nằm ở vị trí đẹp nhất mặt hồ Tây.Toà nhất nằm trên mặt phố phố Xuân Diệu, Quảng An, Tây Hồ, Hà Nội.Diện tích 221m² mặt tiền 8m hướng Tây Nam.Toà thiết kế hiện đại theo phong cách châu âu và rất đẹp.Nôi thất đầy đủ và cao cấp, sang trọng và hiện đại:Toà nhà nằm ở vị trí trung tâm của Thành Phố Hà Nội.Toà nhà nằm trên phố kinh doanh thương mại đông đúc.Khu phố đông dân cư và nhiều người qua lại, vì vậy rất thuận lợi cho ai mua đầu tư kinh doanh về thương mại.Khu an ninh tốt, dân trí cao, giao thông thuận lợi.Giá bán 192,3 tỷ.Xin liên hệ Mr Long: 0981 222 *** hoặc 0972 853 *** ",221 m²,192.3 tỷ,20 phòng,20 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35552195,batdongsan_com_vn_35552195,Tây - Nam,Tây - Nam,Nội thất đầy đủ và cao cấp ,8 m,30 m,8 tầng
