address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Thường Tín', 'Xã Thắng Lợi']","
Bán đất: Thường Tín trục chính làng nghề kinh doanh các mặt hàng.DT 67,0m².MT: 6,50m đất nở hậu.Đường trước đất 4,5m ô tô chạy vòng quanh, nằm trong khu dân cư đông đúc, giàu có toàn nhà cao tầng.Cách hơn 100m ra trục đường nhựa liên xã, giao thông thuận tiện.Giá thỏa thuận chính chủ.LH: 0941 062 *** Thủy xem đất.            ",67 m²,1.6 tỷ,6.5 m,4.5 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34935258,batdongsan_com_vn_34935258,,,,,,
"['Hà Nội', 'Thường Tín', 'Xã Văn Tự']","
Lô góc 2 mặt tiền kinh doanh siêu đỉnh, làng nghề gỗ Đinh Xá - Văn Tự - Thường Tín.Diện tích: 65m² - mặt tiền rộng 4m. Lô góc 2 mặt tiền. Đường trước đất rộng 8m.Giá: 1 tỷ 750 triệu. Có ra lộc cho khách thiện chí.Lh chính chủ 0941 062 *** Thuỷ xem đất.            ",65 m²,1.75 tỷ,4 m,8 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34935368,batdongsan_com_vn_34935368,,,,,,
"['Hà Nội', 'Phú Xuyên', 'Xã Vân Từ']","
Đất dãn Dân Thôn Thượng - Vân Từ - Phú Xuyên - HN.Diện tích 112 m², đất dãn dân.Mt: 5m hậu 5m, đường trước đất 7m thông các ngả.Khu Vực làng nghề may phát triển giàu có, giao thông thuận tiện.Bán kính 1km đường Ngọc Hồi - Phú Xuyên rộng 40 m, đường cao tốc Tây Bắc rộng 60m nối các tỉnh Tây Bắc đi cầu Phú Xuyên đi Hưng Yên, giao thông thuận lợi hứa hẹn tiềm năng phát triển kinh tế.Giá thỏa thuận chính chủ.0941062066 (Thuỷ) xem đất thỏa thuận giá.            ",112 m²,1.3 tỷ,5 m,7 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34955519,batdongsan_com_vn_34955519,Đông - Nam,,,,,
"['Hà Nội', 'Phú Xuyên', 'Xã Tri Trung']","
Đất Tri Chỉ - Tri Trung - Phú Xuyên - HN. Cạnh đường cienco5.Diện tích: 122m² - MT 6m nở hậu.Đường trục chính ô tô tránh thông các ngả, giao thông thuận tiện, cách đường cienco 5: 700m, cách chợ Bóng Hồng Minh: 200 m.Khu vực đất có giá trị kinh tế cao, đầy đủ tiện ích, dân cư đông đúc.Đầu tư tiềm năng sinh lãi cực tốt.Giá thoả thuận chính chủ.Liên hệ: 0941 062 *** xem đất.            ",122 m²,1.75 tỷ,6 m,6 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34955829,batdongsan_com_vn_34955829,Đông - Nam,,,,,
"['Hà Nội', 'Phú Xuyên', 'Thị trấn Phú Xuyên']","
Bán đất tiểu khu Đại Nam - thị trấn Phú Xuyên (Chính chủ).Diện tích 70m: Lưu không 20m MT = hậu: 6m.Đường trước đất rộng 7m, thông thoáng, đối diện khu đấu giá Đại Nam.Có nước máy sạch vào tận nơi, đất ở Đô Thị, cách QL1A vài trăm mét.Giá nhỉnh tỷ.LH 0941 062 *** Thủy xem đất miễn phí và thỏa thuận giá.            ",72 m²,1.3 tỷ,6 m,7 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35035250,batdongsan_com_vn_35035250,Bắc,,,,,
"['Hà Nội', 'Phú Xuyên', 'Xã Hồng Thái']","
Bán đất Phú Xuyên, Hà Nội chính chủ có nhiều lô chọn lựa phù hợp tài chính.Diện tích: 187m², Duyên Yết, Hồng Thái, đường 6m trục chính kinh doanh được.Diện tích: 112m², Vân Từ, đường 7m thông các ngả.Diện tích: 100m² Duyên Yết, Hồng Thái đường 7m phong thủy đẹp quay hồ mát mẻ.Diện tích: 151m² Sơn Thanh, Sơn Hà lô góc đường 3,5m.Diện tích: 107m² An Mỹ, Đại Thắng, đường 7m 2 ô tô tránh.Diện tích: 99m² Duyên Yết, Hồng Thái đường 4m thông thoáng.LH 0941 062 *** Thuỷ xem đất và thỏa thuận giá.            ",100 m²,1.2 tỷ,,7 m,,05/12/2022,12/12/2022,Tin thường,35429190,batdongsan_com_vn_35429190,Nam,,,,,
"['Hà Nội', 'Phú Xuyên', 'Xã Nam Phong']","
Địa chỉ: Cổ Châu, Nam Phong, Phú Xuyên, HN.Diện tích: 226m² MT 10m nở hậu chia 2 lô đẹp.Đường trước đất gần 3m ô tô vào đất.Chuyển nhượng giá chỉ: 5,5 tr/m² cho các nhà đầu tư.Vị trí đất nhiều tiềm năng phát triển, gần khu công nghiệp và các dự án cơ sở hạ tầng được xây dựng đồng bộ, hiện tại tiện ích đầy đủ, chợ, trường học...LH: 0941 062 *** để xem đất chính chủ.            ",226 m²,5.5 triệu/m²,10 m,3 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35429029,batdongsan_com_vn_35429029,Nam,,,,,
"['Hà Nội', 'Phú Xuyên', 'Xã Hồng Thái']","
Bán đất Trại Diền - Hồng Thái - Phú Xuyên - Hà Nội.Diện tích: 68 m².Lô góc 2 mặt đường thông thoáng.Đường trước đất hơn 5m 2 oto tránh.Cách đường 32m 300, cách cầu Phú Xuyên 1 km, vị trí khu đất nằm trong vùng đắc địa phát triển tốt.Cách khu công nghiệp 2 Văn Nhân 350m.Giá thỏa thuận.Liên hệ: 0941 062 ***Thuỷ) xem đất.            ",68 m²,1.5 tỷ,6 m,5 m,,05/12/2022,12/12/2022,Tin thường,35429264,batdongsan_com_vn_35429264,Đông,,,,,
"['Hà Nội', 'Thường Tín', 'Xã Dũng Tiến']","
Diện tích: 68m².Mt: 6m nằm trên trục chính, đường 5m ô tô tránh xe máy.Kinh doanh các mặt hàng, khu dân cư giàu có phát triển, làng nghề thêu may truyền thống lâu đời.Do không sử dụng đến nên tôi cần bán, ai có nhu cầu gọi tôi: Thủy xem đất và thỏa thuận giá.            ",68 m²,1.5 tỷ,6 m,5 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35429230,batdongsan_com_vn_35429230,,,,,,
"['Hà Nội', 'Thường Tín', 'Xã Vạn Điểm', 'Đỗ Xá']","
Đỗ Xá - Vạn Điểm - Thường Tín - Hà Nội.Nhà 2 tầng, công năng đầy đủ, kiên cố chỉ việc dọn về ở.Diện tích: 150m².Nằm trong khu làng nghề phát triển, Dân giầu có văn minh, tiện ích đầy đủ.Tìm hiểu thêm thông tin gọi: Thủy 0941 062 *** xem nhà và thỏa thuận giá.            ",150 m²,2.2 tỷ,6 m,3 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35429279,batdongsan_com_vn_35429279,Nam,Nam,2 tầng,3 phòng,2 phòng,
