address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Hạ Đình', 'Dự án 54 Hạ Đình']","
- Vị trí đắc địa nằm ngay trung tâm quận thanh xuân nơi giao thông thuận tiện giao với các quận chính tại TP Hà Nội.- Diện tích 92m² có 2 phòng ngủ + 2 wc + phòng khách + bếp + 2 ban công.- Căn hộ có thể thiết kế được 3 phòng ngủ vì rất rộng rãi.- Nội thất trong nhà cơ bản bao gồm 2 điều hòa + 2 nóng lạnh + tủ bếp + giường tủ + bộ bàn ăn 4 ghế...- Hướng cửa chính ĐB và 2 ban công hướng TN và TB.- Có 2 ban công chỉ cần mở cửa sổ ra là sẽ có ánh sáng tự nhiên chan hòa.- Xung quanh quần thể các căn Liền Kề như KĐT đường sá rất tiện để Ô tô, xe máy dừng đỗ ngày đêm rất tiện.- Cách đó 1 dãy khoảng 200m là khu Cao Xà Lá đã được tập đoàn Vingroup lấy hết đất tương lai xây 1 quần thể Vinhome thì giá trị căn hộ tăng rất cao.- Khách hàng mua về ở luôn hoặc cho thuê cũng rất tiện.- Sổ đỏ chính chủ vĩnh viễn sẵn sàng giao dịch.- Giá bán 2.6 tỷ có gia lộc cho khách thiện chí.- Liên hệ ngay Anh Ký 0902 927 *** xem trực tiếp.            ",92 m²,2.6 tỷ,Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,05/12/2022,12/12/2022,Tin thường,35832129,batdongsan_com_vn_35832129,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Linh Lang']","
Bán nhà mặt phố Linh Lang, 60m² x 6 tầng, MT 6m, 23.5 tỷ.- Tầng 1 - 5: Mỗi tầng 2 phòng + WC, cầu thang ở giữa, có thể lắp thang máy.- Tầng 6 là sân thượng, có mái che.+ Hiện đang cho người nước ngoài thuê giá thuê 50tr/tháng.+ Sổ vuông đẹp, phân lô sẵn sàng giao dịch.Lh xem nhà 0985 696 *** ",60 m²,23.5 tỷ,,,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36032480,batdongsan_com_vn_36032480,6 m,6 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Thị Thập', 'Dự án Trung Hòa Nhân Chính']","
- Tôi chính chủ cần bán gấp căn hộ CC Trung Hòa Nhân Chính Tòa N6A nằm trên đường Nguyễn Thị Thập.- Vị trí trung tâm quận giao thông rất thuận tiện.- Cách 1 Dãy là ra đường Hoàng Đạo Thúy.- Giáp bên Cầu Giấy, Nam Từ Liêm, Hà Đông, Đống Đa, Ba Đình...- Diện Tích 104m thiết kế 3 phòng ngủ, 2 phòng wc, phòng khách, bếp rất rộng rãi.- Phù hợp đầu tư sửa sang cho thuê lại hoặc ở cũng rất tiện.- Hướng cửa chính Tây Nam, Ban Công Đông Bắc.- Sổ đỏ chính chủ khách mua là sang tên ngay.- Giá bán 2.7 tỷ có gia lộc cho khách thiện chí.- Liên hệ ngay Anh Ký 0902 927 *** Xem Trực Tiếp.            ",104 m²,2.7 tỷ,Tây - Nam,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35708960,batdongsan_com_vn_35708960,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Đào Tấn']","
Cực hiếm - apartment căn hộ cao cấp chuyên khách nhật - trung tâm Ba Đình - vị trí đắc địa - luôn full kín phòng - dòng tiền khủng khiếp gần 6 tỷ/năm - giá đầu tư có 1 0 2.* Diện tích 230m², 9 tầng, mặt tiền 12m - giá 48 tỷ thương lượng tốt.+ Vị trí vàng tại trục phố kim cương Đào Tấn - Liễu Giai - Văn Cao, víp nhất Ba Đình, giáp ranh Cầu Giấy - Đống Đa - Tây Hồ, ngay gần Lotte và chung cư cao cấp Metropolis Liễu Giai, giao thông thuận lợi thông khắp ngả, ô tô vòng quanh.+ Thiết kế cực kỳ hợp lý, nhà lô góc phòng nào cũng thoáng sáng chan hoà ánh sáng và gió trời tự nhiên, nội thất đẳng cấp thoả mãn những vị khách khó tính nhất, thang máy nhập êm ru. Nhà tổng 31 phòng full đồ. Đặc biệt có phòng tập gym, yoga phòng trà phục vụ quý khách ngay tầng 1, dịch vụ giặt là trọn gói.+ Nhà đầy đủ PCCC, GPKD, GPXD, hồ sơ thiết kế, hợp đồng các loại. Chủ cam kết thuê lại hợp đồng dài hạn.+ Khẳng định đây là toà Apartment đẳng cấp sang xịn dòng tiền cao nhất HN, sản phẩm đáng đầu tư nhất hiện nay.+ Pháp lý chuẩn, sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ xem nhà 24/7: Ms Yến 0978 525 ***. Miễn trung gian, xin cảm ơn!            ",230 m²,48 tỷ,,,31 phòng,32 phòng,Sổ đỏ.,"Cực xịn, full.",05/12/2022,12/12/2022,Tin thường,27856806,batdongsan_com_vn_27856806,12 m,9 tầng,5 m
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Đường Hồ Đắc Di']","
+ Gia đình cần bán để xây nhà mới.+ Vị trí trung tâm Đống Đa, gần Chợ, Trường học, Bệnh Viện, Tiện ích ngập tràn, rất phù hợp để ở hoặc kinh doanh cho thuê dòng tiền.+ Mô tả.Tầng 1: Gara ô tô, khách, bếp và vệ sinh.Tầng 2,3: mỗi tầng 2 phòng ngủ và 1 vệ sinh.Tầng 4: Sân phơi, test nước, trồng cây.Khu vực dân trí cao.Thông số chuẩn. Sổ đỏ nở hậu sẵn sàng giao dịch.Anh chị qua xem nhà liên hệ em nhé 0988 484 *** em Phong ạ.            ",96 m²,11.6 tỷ,,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,34515080,batdongsan_com_vn_34515080,5 m,4 tầng,3 m
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Dự án Khai Sơn City']","
Chung cư Khai Sơn City - Sở hữu ngay căn hộ với tầm nhìn triệu đô Sông Đuống, Sông Hồng, hồ điều hòa 22ha. 3 tầng hầm hỗ trợ sở hữu riêng chỗ đỗ xe ô tô tại tầng hầm.Vị trí dự án: Phường Thượng Thanh, Quận Long Biên, Tp. Hà Nội.Chủ đầu tư: Công Ty Cổ Phần Khai Sơn.Nhà thầu thi công: Công ty CP đầu tư và phát triển xây dựng Thăng Long.Đơn vị thiết kế và giám sát: Trung tâm công nghệ hạ tầng kỹ thuật và môi trường đô thị CIE.Quy mô tòa HH5 đang bán: 4993m với 3 tòa k1, k2, k3 cao 21 tầng, 3 tầng hầm. Căn hộ thường ở từ tầng 4 đến 19, tầng 20 và 21 là penthouse thông tầng.Mât độ cực kỳ thấp, hành lang rộng 2 mét, chỉ 10 căn/sàn, chỉ cao 21 tầng, và có tới 3 tầng hầm thoải mái để ô tô, chủ đầu tư hỗ trợ sở hữu riêng vị trí đỗ ô tô tại tầng hầm.Thiết kế kính tràn đem lại tầm nhìn hồ 22ha, sông đuống, sông hồng cực đẹp.Thời gian bàn giao căn hộ: Quý III/2024.Đơn vị tư vấn phát triển sản phẩm và phân phối độc quyền: Cen Land.Kí hợp đồng mua bán trực tiếp chỉ với 10% GTCH, pháp lý dự án đầy đủ 100%.Tổng quan đầy đủ tiện ích như: Bể bơi, khu vui chơi trẻ nhỏ, Trường pháp, trường học liên cấp, mẫu giáo, cấp 1, cấp 2, cấp 3, khu sky villas, khu hỗn hợp thương mại dịch vụ, trường học quốc tế, bệnh viện quốc tế, khách sạn 4 sao, 5 sao, 6 sao, hồ điều hòa 22ha.Chung cư Khai Sơn City với 3 loại hình căn hộ 2PN, 3PN, và penthouse.- 2PN rộng 77m² và 89m².- 3PN rộng 96m², 101m², 119m².- Căn hộ penthouse từ 166m² đến 271m².Tất cả các mặt đều sở hữu tầm nhìn đắt giá:1 mặt tòa nhà view sông đuống, sông hồng.1 mặt còn lại view hồ điều hòa 22ha.Để biết thông tin giá và chính sách liên hệ.SDT: 0986 707 *** ",97 m²,Thỏa thuận,,,3 phòng,,,,02/12/2022,09/12/2022,Tin thường,36011757,batdongsan_com_vn_36011757,,,
"['Hà Nội', 'Ba Đình', 'Phường Phúc Xá', 'Đường Phúc Xá']","
Bán nhà mặt phố Phúc Xá - Ba Đình - mặt tiền 8m, 2 cửa hàng mặt chợ đang kinh doanh.- Phúc Xá 42m², 3 tầng, mặt tiền 8m, 11.5 tỷ Ba Đình.- Đang kinh doanh 2 Cửa hàng buôn bán sầm uất, vỉa hè rộng, đường ô tô 2 chiều.Nhà 3 tầng được thiết kế.+ Tầng 1: 2 Cửa Hàng + WC + Bếp.+ Tầng 2: Phòng ngủ rộng.+ Tầng 3: Phòng thờ + sân phơi.- Nhà cũ xác định bán đất tặng nhà.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- LH: 0915 896 *** ",42 m²,11.5 tỷ,,,2 phòng,2 phòng,Sổ đỏ,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36032325,batdongsan_com_vn_36032325,8 m,3 tầng,6 m
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Nguyễn Văn Lộc']","
Chủ nhà gửi bán nhà mặt phố Nguyễn Văn Lộc, gần mặt đường Trần Phú, Hà Đông.LH: 0988 043 ***- Diện tích 80m², mặt tiền 4,5m.- Nhà xây 4 tầng kiên cố, đường vỉa hè ô tô tránh.- Mỗi tầng chia 2 phòng, đều khép kín riêng biệt.- Vị trí nằm ngay trên trục đường sầm uất. Kinh doanh được tất cả các mặt hàng.- Vỉa hè rộng, kinh doanh sầm uất ngày đêm, cạnh gần chân chung cư Petro Sông Đà, mua cho thuê lại cũng được ít nhất 30 triệu 1 tháng.- Mặt phố Nguyễn Văn Lộc nổi tiếng cho thuê, kinh doanh sầm uất, hàng xóm làng Việt Kiều Châu Âu. Khu vực hiếm nhà bán, cho siêu thị, spa, nha khoa, văn phòng thuê hiệu suất cao.- Sổ đỏ vuông vắn chuẩn đẹp, cất két sẵn sàng giao dịch nhanh trong ngày.- Giá chào: 15 tỷ (có thương lượng giá tốt nhất cho quý khách).Chi tiết vui lòng liên hệ: 0988 043 ***Cảm ơn đã đọc tin!            ",80 m²,15 tỷ,,,,,Sổ đỏ,Cơ bản,05/12/2022,12/12/2022,Tin thường,36032805,batdongsan_com_vn_36032805,4.5 m,4 tầng,20 m
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Duy nhất sót lại thửa đất 155m², sau nhà mặt phố Xã Đàn. Mặt tiền 9m, chiều dài 17m. Cơ hội cho cá mập săn toà building mặt tiền 17m duy nhất tại phố Xã Đàn.+ Xác định bán đất, không có gì mô tả. 2 thửa đất vuông vắn. Hiện trạng là nhà C4 và 3 tầng cũ.+ Vị trí đắc địa, sau dãy 3 căn mặt phố Xã Đàn. 10m ra phố, mặt tiền siêu khủng.+ Giá chào đánh giá là cao, nhưng bài toán cho các cá mập giải. Là cơ hội ôm trọn 3 căn mặt phố Xã Đàn. Xây dựng toà building mặt tiền 17m. Siêu đỉnh ở Phố xã đàn.+ Đầu ra toà Building Xã Đàn diện tích 300m², mặt tiền 17m. Giá không dưới 1tỷ/m². Đầu vào là gom 3 căn mặt phố giá 600 - 700tr/m² + mảnh đất của mình 200tr/m².+ Pháp lý sạch, 2 thửa đất - 2 sổ. Đứng tên 1 chủ duy nhất.Anh chị qua xem liên hệ 0988 484 *** - em Phong ạ.            ",155 m²,34 tỷ,,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,34548591,batdongsan_com_vn_34548591,9 m,,3 m
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Nguyễn Xiển']","
Cần bàn tòa nhà văn phòng phố Nguyễn Xiển, quận Thanh Xuân, diện tích 171m², 10 tầng, MT 10m, ô tô tránh, vỉa hè, view hồ thoáng mát, sổ đỏ chính chủ.Vị trí:- Cách ngã tư Nguyễn Xiển - Nguyễn Trãi 300m, cách 150m ra mặt phố Nguyễn Xiển, đường trước nhà ô to tránh, có vỉa hè, dừng đỗ thoải mái. Khu vực dân trí cao, an ninh tốt. Nhà có hai mặt thoáng, mặt sau view hồ, thoáng gió.- Phía sau là mặt hồ đã được quy hoạch Rẻ Quạt sắp mở đường rộng 10m, không có toà nào ở Hà Nội có wiew đẹp như vậy tiềm năng tăng giá sẽ gấp đôi.Thiết kế:- 10 tầng, mỗi sàn 200m², mỗi tầng 2 sàn.- Thang máy Nhật, full điều hòa, nội thất.- Hồ sơ thiết kế, giấy phép đẩy đủ.Nhà hiện đang cho thuê full khách, dòng tiền ổn định 320tr/tháng, chủ mới tiếp tục hợp đồng hoặc lấy lại để tự khai thác.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá bán: 46.5 tỷ (có thương lượng cho khách thiện chí).Hãy gọi ngay cho tôi 24/24: Hoàng Long 0366 285 ***zalo, viber) để được thông tin chi tiết nhất.Hoàng Long chuyên bất động sản thổ cư, nhà mặt phố các quận Thanh Xuân, Đống Đa, Ba Đình, Hoàn Kiếm, Cầu Giấy, Hai Bà Trưng, Hoàng Mai, Từ Liêm, Hà Đông.            ",171 m²,46.5 tỷ,,,10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,35637720,batdongsan_com_vn_35637720,10 m,10 tầng,10 m
