address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng nhà
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Kim Ngưu']","
BÁN TOÀ CĂN HỘ CHUNG CƯ MINI, FULL NỘI THẤT 10 PHÒNG, THANG MÁY, DOANH THU 600tr/NĂMVỊ TRÍ NGÕ THÔNG NÔNG GẦN PHỐ, TRƯỚC NHÀ THOÁNG SÁNG, PHÒNG NÀO CŨNG CÓ CỬA SỔ THOÁNG _Diện tích 72m cao 6 tầng mặt ngõ thông, nở hậu đẹp_Thiết kế hiện đại, tâm huyết , phòng ngủ khách riêng biệt tạo nên không gian rộng rãi -T1 : thông sàn để xe -T2,3,4,5,6: tổng 10 phòng khép kín full nội thất _Vị trí cực đẹp, giao thông thuận tiện, khu vực nhu cầu thuê cao nên phòng luôn kín, doanh thu đều hàng tháng_Sổ đỏ nở hậu đẹp Giá bán 11.5 tỷ ( có thương lượng )            ",72 m²,11.5 tỷ,5.2 m,2.5 m,6 tầng,10 phòng,10 phòng,SỔ ĐỎ NỞ HẬU,27/11/2022,05/12/2022,Tin thường,35964051,batdongsan_com_vn_35964051,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
Phân lô Dương Khuê, Cầu Giấy. Kinh doanh hơn mặt phố.8 tầng thang máy - có hầm - mặt tiền khủng - phân lô, vỉa hè, ô tô tránh - kinh doanh sầm uất.Vị trí đắc địa, toà nhà nằm trong khu phân lô Dương Khuê cực đẹp, vỉa hè rộng, ngõ thẳng ô bàn cờ. Nhà cách phố vài chục mét, thông tứ tung các phố Nguyễn Hoàng, Lê Đức Thọ... Kinh doanh sầm uất, thích hợp làm công ty hoặc cho thuê lấy dòng tiền.Lợi thế mặt tiền cực rộng, tòa nhà bề thế vô cùng,Nhà mới thiết kế:Tầng hầm: Gara, phòng kỹ thuật.Tầng 2 (Lửng): Sảnh lễ tân, VP.Tầng 3 + 4: Thông sàn.Tầng 5: 2 ngủ khép kín.Tầng 6: 2 ngủ khép kín.Tầng 7: Sân vườn, bếp, 1 phòng.Tầng 8: Tum.- Sổ đỏ cực đẹp. LH 0353 682 *** gặp Mr Ngự.            ",95 m²,37.5 tỷ,10 m,12 m,8 tầng,6 phòng,,Sổ phân lô,27/11/2022,04/12/2022,Tin thường,35665695,batdongsan_com_vn_35665695,Cao cấp,
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Tôi cần bán căn shophouse Hải Âu, khu HA09.Diện tích 82.5m², xây 266m² sàn, 5 tầng.Hướng của Tây BắcCụm khu phố Nhật, gần vườn nhật, công viên, sẽ làm phố đi bộ chợ đêm sầm uấtGía bán 7.6 tỷ đồng. Bao phí sang tên chính chủ người mua.Liên hệ trực tiếp: Anh Trường 0948 836 *** ",82.5 m²,7.6 tỷ,,,,,,,27/11/2022,04/12/2022,Tin thường,35964050,batdongsan_com_vn_35964050,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Dương Đình Nghệ']","
Dương Đình Nghệ Cầu Giấy mặt phố lớn - hiếm nhà bán - vỉa hè 8m ô tô dừng đỗ ngày đêm - kinh doanh mọi loại hình.Vị trí đắc địa gần trung tâm hành chính 2 quận Nam Từ Liêm và Cầu Giấy ngay toà Đại Sứ Quán Hoa Kì. Văn phòng xung quanh nhiều vô kể, vỉa hè siêu rộng 8m, trước nhà ô tô dừng đỗ ngày đêm, phù hợp kinh doanh mọi loại hình: Nhà hàng, karaoke, spa, thẩm mỹ,..Tòa nhà đa năng 8 tầng thiết kế kiểu văn phòng gồm 1 hầm và 7 tầng nổi thông sàn, thang máy thang bộ cuối nhà.Độc và hiếm. Giá tốt.Sổ đỏ chính chủ giao dịch.LH xem nhà 0353 682 *** ",110 m²,61 tỷ,6 m,25 m,8 tầng,4 phòng,,Sổ đỏ chính chủ,27/11/2022,04/12/2022,Tin thường,35821849,batdongsan_com_vn_35821849,Đầy đủ cao cấp,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '82', 'Thống Nhất Complex']","
Bán căn hộ chung cư Thống Nhất Complex, đường Nguyễn Tuân, Quận Thanh Xuân, Hà Nội.- Nhà tôi mua từ khi chủ đầu tư bàn giao nhà và có ý định ở lâu dài nên nội thất rất chỉn chu và sử dụng giữ gìn, được thiết kế phù hợp với căn hộ và để lại toàn bộ cho chủ sau.- Diện tích thông thuỷ 94m² với thiết kế 3 phòng ngủ, 1 phòng khách rộng rãi thoáng mát đón ánh sáng, 2 nhà vệ sinh, 1 phòng bếp, 2 logia.- Full nội thất cao cấp.- Sổ đỏ tên tôi và bà xã giao dịch nhanh.Giá mong muốn 4,28tỷ có bớt cho khách thiện chí.Liên hệ xem nhà: 0972 509 *** ",94 m²,4.28 tỷ,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35552852,batdongsan_com_vn_35552852,Full nội thất như hình.,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Trần Thái Tông']","
Bán nhanh bulding 9 tầng 1 hầm - lô góc 2 mặt đường lớn vỉa hè 5m - phân lô văn phòng Trần Thái Tông.- 58 tỷ thương lượng chủ nhiệt bán - đáng mua nhất cầu giấy.- Diện tích 121m².- Mặt tiền 12m.- Nhà thiết kế thông sàn không gian thoáng sáng, sẵn móng 12 tầng đầy đủ thiết kế và thép chờ.- Ô tô bãi đỗ xe thoải mái nhiều ô tô xe máy.- Sổ đỏ pháp lý chuẩn.- View thoáng đẹp dòng tiền cho thuê tốt.Liên hệ: 0353 682 *** gặp Mr Ngự.            ",121 m²,58 tỷ,12 m,15 m,9 tầng,9 phòng,,Sổ đỏ chính chủ,27/11/2022,04/12/2022,Tin thường,35685596,batdongsan_com_vn_35685596,Đầy đủ,
"['Hà Nội', 'Hà Đông', 'Dự án Kiến Hưng Luxury']","
Tôi cần bán 03 suất ngoại giao Luxury Kiến Hưng.Diện tích: 130m.Xây dựng 6 tầng.Mặt tiền: 6m.Xây 01 hầm phía sau - 2 nối đi riêng.Giá bán: liên hệ trực tiếpLiên hệ trực tiếp để biết chi tiết.096 9927 380            ",130 m²,Thỏa thuận,,,,,,,27/11/2022,04/12/2022,Tin thường,35961747,batdongsan_com_vn_35961747,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Trần Vỹ']","
Mô tả:- Vị trí nhà thuộc khu phân lô phố Trần Vỹ. Gần rất nhiều trường Đại học như: Trường đại học Thương Mại, Học viện Tư pháp, đại học Ngoại Ngữ, Đại Học Sư Phạm Hà Nội, Và đầy đủ các dịch vụ tiện ích xung quanh: Bến xe Mỹ Đình, bệnh viện 19 - 8, Y Học Cổ Truyền, sân vận động Mỹ Đình...- Ngay gần hồ điều hòa và công viên cây xanh.- Tuyến phố kinh doanh sầm uất ngày đêm.- Ô tô chạy quanh nhà. Khu dân trí cao, an ninh tốt. Nhà cách mặt phố Trần Vỹ 20m, giao thông thuận tiện, tiếp giáp với nhiều đường lớn: Doãn Kế Thiện, Nguyễn Khả Trạc, Lê Đức Thọ, Phạm Hùng, Phạm Văn Đồng... Rất thuận tiện cho việc ở cũng như kinh doanh.- Nhà mới xây, đẹp lung linh, 8 tầng thang máy, có hầm để xe, lô góc 3 mặt thoáng.Thiết kế thông sàn chuẩn văn phòng.Tầng hầm để xe.Tầng 1: Lễ tân, phòng tiếp khách.Tầng 2: Kho thông sàn.Tầng 3: Văn phòng, phòng tổng giám đốc.Tầng 4: Kho thông sàn.Tầng 5: Văn Phòng.Tầng 6: Văn phòng.Tầng 7: Phòng bảo vệ, kho, phòng thờ.- Sổ đỏ vuông vắn, pháp lý sạch sẽ, sẵn sàng giao dịch ngay.Khách quan tâm vui lòng liên hệ em để có thông tin chính xác nhất về bất động sản.Tư vấn chuẩn xác. Thông tin tin cậy. Xem nhà miễn phí 24/7!            ",80 m²,21 tỷ,5.2 m,30 m,8 tầng,1 phòng,6 phòng,Sổ đỏ.,27/11/2022,04/12/2022,Tin thường,34651204,batdongsan_com_vn_34651204,,
"['Hà Nội', 'Sóc Sơn', 'Xã Quang Tiến', 'Đường 131']","
Chính chủ bán nhanh lô đất 2 mặt đường đẹp.- Địa chỉ: Xuân Bách Quang Tiến Sóc Sơn Hà Nội.- S: 92m². Chia làm 2 đẹp.- MT: 5m MH: 5,08m. Full thổ cư.- Đường trước đất 4m thông thoáng. (Đường sau đất 3m ô tô đỗ).- Hướng Đông Nam thoáng mát.- Cách chợ Xuân Bách 200m. Đối diện KCN Nội Bài, đường 131 700m.- Chỉ 800m ra: UBND xã, Trạm Y Tế Quang Tiến 700m.- Đất chính chủ sẵn sổ sang tiên lh em.            ",92 m²,1.886 tỷ,5 m,4 m,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35735710,batdongsan_com_vn_35735710,,Đông - Nam
"['Hà Nội', 'Hoàn Kiếm', 'Phường Chương Dương Độ', 'Đường Bạch Đằng']","
- Nhà dân xây với khung cột bê Tông chắc chắn.- Vị trí đẹp: ngõ Ba Gác chạy vèo vèo, gần phố, gần Trường học các cấp.-Pháp Lý: Sổ đỏ riêng chính chủ sẵn sàng sang tên chủ mới.- Chú Nam chủ Nhà Cần Bán để chuyển qua Long Biên ở cho tiện công việc nên rất thiện chí.            ",40 m²,3 tỷ,,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35961860,batdongsan_com_vn_35961860,,
