address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Số tầng
"['Hà Nội', 'Đông Anh', 'Xã Xuân Nộn', 'Đường 3']","
Chính chủ anh em bán lô đất rẻ tại Chợ Kim.- S: 57m².- MT: 5m = MH: 5m.- Dài: 11,50m. Hướng Nam thoáng mát.- Đường trước đất 4,5m thông thoáng.- Chỉ 150m ra: Chợ Kim (chợ lớn nhất xã Xuân Nộn), Trường tiểu học thị trấn A.- Chỉ 80m ra Trạm y tế xã, cách 200m ra Sân Bóng chợ kim của cầu thủ Quang Hải U19.- Chỉ 500m lên: Trường Tiểu Học, THCS, UBND xã Xuân Nộn.- Sẵn sổ làm việc chính chủ 24/24.- Bán kính 500m đầy đủ tiện nghi.- Anh chị quan tâm liên hệ em Tú.            ",57 m²,2.565 tỷ,5 m,4.5 m,Nam,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35329091,batdongsan_com_vn_35329091,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án 6th Element']","
Chính chủ gửi bán Căn chung cư cao cấp Toà 6th Element, giá 5,2 tỷ( có thương lượng)Toà chung cư ở 6th Element( Đường Nguyễn Văn Huyên kéo dài) đối diện Stalex Hàn Quốc. Dt 83m², tất cả phòng ngủ, phòng khách, phòng bếp, ban công hướng Nam, full đồ, tầng 17 đẹp, giá 5,2 tỷ( thoả thuận cho khách nhiệt tình)Liên hệ trực tiếp: mr Hải 0934 455 ***- 0985 030 *** ",83 m²,5.2 tỷ,,,Nam,,27/11/2022,04/12/2022,Tin thường,35964026,batdongsan_com_vn_35964026,3 phòng,3 phòng,
"['Hà Nội', 'Sóc Sơn', 'Xã Mai Đình', 'Đường 3']","
Thanh khoản lô 64m² hoa hậu Hương Đình!- Địa chỉ: Hương Đình Mai Đình Sóc Sơn Hà Nội.- Diện tích: 64m².- Mặt tiền: 4m. Hậu 4,3m.- Trục chính đường 2 ô tô tránh giải apphan.- Đất thông ra đường Võ Nguyên Giáp, QL3, DT 131.- Kẹp giữa 3 kcn: CN2, CN3, Nội Bài.- Di chuyển 3,5km lên trung tâm huyện Sóc Sơn.- Di chuyển 5km ra Sân Bay Nội Bài.- Giao thông thuận lợi pháp lý sạch sẽ sẵn sàng giao dịch trong ngày.- Anh chị quan tâm liên hệ: Em Tú.            ",64 m²,2.208 tỷ,4 m,5 m,Bắc,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,33207674,batdongsan_com_vn_33207674,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
+ Vị trí: Cạnh cầu Vĩnh Tuy đối diện Aeon cách ô tô tránh chỉ vài bước chân, giao thông thuận tiện kết nối: Đàm Quang Trung, Thạch Bàn, Phố Trạm,...+ Nhà dân xây 5 tầng thông sàn, thiết kế cực đẹp, hiện đại, kiểu dáng bắt mắt ưa nhìn.+ Chủ nhà tặng lại cho khách hết nội thất như hình ko mang gì đi.            ",40 m²,4.3 tỷ,,,,,24/11/2022,04/12/2022,Tin thường,35943035,batdongsan_com_vn_35943035,3 phòng,4 phòng,5 tầng
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Đức Giang']","
Bán nhà Đức Giang - Long Biên Hà Nội.Diện tích: 22m².Mặt tiền: 4m.- Nhà vuông vắn, xây cấp 4 xép bê tông gọn gàng, vào ở ngay hoặc mua đầu tư giữ tiền sẵn nhà cho thuê.- Ngõ trước thoáng, vài bước ra ngõ ô tô thông Đức Giang với Nam Đuống.- Khu vực Đức Giang đang phát triển nhanh, đường 40m đang làm nối thông khu vực với Thượng Thanh, Ngọc Thuỵ các trục xương cá cũng đang hoàn thiện, hạ tầng đồng bộ, tiềm năng khu vực còn rất lớn.Sổ đỏ chính chủ, pháp lý chuẩn, ngân hàng BIDV sẵn sàng hỗ trợ ít nhất 50%).Gía: 940 triệu (Cực hiếm và chủ thiện chí bán).- Cam kết ảnh thật và nhà đất đúng mô tả, quý khách quan tâm xin liên hệ để xem thực tế và cảm nhận về giá trị của bất động sản.            ",22 m²,940 triệu,4 m,3 m,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35493134,batdongsan_com_vn_35493134,1 phòng,1 phòng,1 tầng
"['Hà Nội', 'Đông Anh', 'Xã Nguyên Khê', 'Đường Sơn Du']","
Chính chủ em bán lô đấu giá.- Địa chỉ: X2 Sơn Du - Nguyên Khê - Đông Anh - Hà Nội.- Diện tích: 80m².- Mặt tiền: 5m = hậu: 5m.- Dài 16m. Hướng Nam.- Đường trước đất 7m thông thoáng.- Chỉ 10m ra đường liên xã và bìa làng.- Chỉ 200m ra đường Võ Nguyên Giáp, 500m ra chợ lớn Bắc Hồng.- Cách Kcn Nguyên khê 1km.- Chỉ 1,5km ra: Mầm Non, Tiểu Học, THCS, UBND xã Nguyên Khê.- Sổ sẵn sang tên, liên hệ 24/24.- Anh chị quan tâm liên hệ em làm việc chính chủ.            ",80 m²,4.24 tỷ,5 m,7 m,Nam,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,34889140,batdongsan_com_vn_34889140,,,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị']","
Ba Đình 2BƯỚC RA PHỐ - NGÕ THÔNG - DÂN XÂY - Ô TÔ VÀO NHÀ - SỔ VUÔNG ĐẸP.42m² , 6 tầng, MT 4m x giá 10.9tỷ.👉🏻👉🏻Nhà xây 6 tầng ngõ thông ô tô vào nhà,, nhà cách phố bãi gửi xe chỉ vài bước chân, khu vực trung tâm quận Ba Đình, an ninh tốt dân trí cao, gần công viên, trường học các cấp, các trường ĐH lớn, khu vực hành chính quận đi lại thuận tiện👉🏻👉🏻Nhà diện tích 42 xây 6 tầng, 6 phòng ngủ vệ sinh khép kín, nhà đã hoàn công đầy đủ, nội thất đầy đủ xịn xò, tôi xây nhà tâm huyết, lại toàn bộ bội thất hiện có+ Tầng 1: gara và bếp+ Tầng 2: khách và phòng tắm Master ( chủ làm phòng tắm xông hơi trị giá 300 triệu )+ Tầng 3,4,5: mỗi tầng chia làm 2 phòng ngủ vệ sinh khép kín.+ Tầng 6: phòng thờ sân phơi.Sổ đỏ chính chủ sẵn sàng giao dịch.Lhe em Hưng để được xem nhà trực tiếp: 0879 939 *** ",42 m²,10.9 tỷ,,,,,27/11/2022,04/12/2022,Tin thường,35962109,batdongsan_com_vn_35962109,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa']","
Ô TÔ TRÁNH - KINH DOANH - 3 bước RA MẶT PHỐ - NHÀ ĐẸP THANG MÁY 👉 Dt 60m x 5 tầng, Mt 4.5m  - Giá 10.95 tỷ( Còn TL)😍 Sổ đỏ CC, không lỗi phong thủy.- Nhà nằm vị trí đẹp nhất quận, trước nhà 2 ô tô tránh, ngõ thông kinh doanh.- Hưởng mọi tiện ích xung quanh- Giao thông thuận lợi giao thoa các tuyến phố gần nhiều trường đại họcThiết kế: Tầng 1 : PK, bếp, 1 vệ sinhTầng 2,3,4: Mỗi tầng 2 ngủ, vsTầng 5 : Phòng thờ, sân phơi. Lhe em Hưng để xem nhà trực tiếp: 0879 939 *** ",60 m²,10.95 tỷ,,,,,27/11/2022,04/12/2022,Tin thường,35962167,batdongsan_com_vn_35962167,,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Đường Ngọc Thụy']","
Siêu phẩm tái định cư Ngọc Thuỵ, lô góc, view vườn hoa, trường học.Diện tích: 42m².Mặt tiền: 10m.- Thửa đất vuông vắn, lô góc, đường ô tô tránh, vỉa hè.- View trực tiếp vườn hoa lớn nhất Ngọc Thuỵ đang thi công.- Từ tầng 2 xây dựng đến 50m.- Thửa đất đẹp, hiếm, chủ thiện chí bán.Sổ đỏ chính chủ, pháp lý chuẩn, ngân hàng BIDV sẵn sàng hỗ trợ ít nhất 50%).Gía: 6,3 tỷ (Cực hiếm và chủ thiện chí bán).- Cam kết ảnh thật và nhà đất đúng mô tả, quý khách quan tâm xin liên hệ để xem thực tế và cảm nhận về giá trị của bất động sản.            ",42 m²,6.3 tỷ,10 m,12 m,,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin thường,35633397,batdongsan_com_vn_35633397,,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Đường Ngọc Thụy']","
Bán đất Bắc Biên Ngọc Thuỵ - Long Biên Hà Nội.Diện tích: 45m².Mặt tiền: 4,5m.- Mảnh đất vuông vắn, không lỗi phong thuỷ, đường trước nhà ô tô tránh nhau.- Gần hồ điều hoà, chợ, trường học.- Các phố cổ bờ hồ Hoàn Kiếm chỉ một cây cầu Long Biên.- Dân cư đông đúc hiền hoà, khách mua xây ở thì tuyệt mà đầu tư cũng cực tiềm năng bởi khu vực Ngọc Thuỵ đang được đầu tư phát triển, đường huyết mạch của Quận là đường Hồng Tiến 40m kéo dài đang làm sắp thông tới cổng chợ Ngọc Thuỵ, các trục xương cá cũng đang hoàn thiện, hạ tầng đồng bộ, tiềm năng khu vực còn rất lớn.Sổ đỏ chính chủ, pháp lý chuẩn, ngân hàng BIDV sẵn sàng hỗ trợ ít nhất 50%).Gía: 3,1 tỷ (Cực hiếm và chủ thiện chí bán).- Liên hệ: A Sơn 0868 172 ***- Cam kết ảnh thật và nhà đất đúng mô tả, quý khách quan tâm xin liên hệ để xem thực tế và cảm nhận về giá trị của bất động sản.            ",45 m²,3.1 tỷ,4.5 m,5 m,,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin thường,35749043,batdongsan_com_vn_35749043,,,
