address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Dự án Đô Nghĩa']","
Chính chủ cần bán gấp lô góc nhà liền kề phân khu D - KĐT Dương Nội (KĐT Đô Nghĩa), Hà Đông Hà Nội như sau:1. Số lô: U16.07.2. Diện tích: 93.5 m².3. Hướng nhà: Đông Bắc, Đông Nam.4. Nhà lô góc xây 4 tầng 1 tum, đã hoàn thiện mặt ngoài.5. Vị trí: Nằm trong khu liền kề đông đúc, hiện đại, không gian yên tĩnh, tiếp giáp ngay Phố Chợ trung tâm sầm uất sau này.6. Giao thông thuận lợi: Tiếp giáp giữa giao lộ đường vành đai 4 và đường Lê Văn Lương kéo dài khi hoàn thành đưa vào sử dụng sẽ kết nối đồng bộ với toàn bộ khu vực nội đô và các vùng lân cận.7. Giá bán: 100tr/m².Mọi thông tin chi tiết vui lòng liên hệ Mr Anh Tâm 0348 302 *** hoặc Mr Trung 0965 189 *** để được tư vấn cụ thể.Trân trọng!            ",93.5 m²,100 triệu/m²,10.5 m,11.5 m,Đông - Bắc,Đông - Nam,5 tầng,Đang chờ sổ,24/11/2022,01/12/2022,Tin Vip 1,35940276,batdongsan_com_vn_35940276,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Ngõ 8 Đường Lê Quang Đạo']","
Chính chủ cần bán gấp nhà ngõ 8 Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, sát đường đua F1. Giá bán cam kết rẻ nhất thị trường.- Diện tích: 36m².- Mặt tiền: 3,4m.- Hướng: Tây Nam.- Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịch.- Đường trước nhà rộng: 2,5m cách đường đua F1 đúng 30m.- Thiết kế hợp lý phù hợp với mọi gia đình, xây dựng 5 tầng tầng 1 phòng trong đó:+ Tầng 1: Là không gian phòng khách phòng bếp, vs phụ.+ Tầng 2, tầng 3, tầng 4 mỗi tầng 1 phòng ngủ, vệ sinh rộng.+ Tầng 5 là phòng thờ sân phơi (đã làm chuồng cọp đầy đủ).- Giá bán cam kết rẻ nhất thị trường chỉ 3,4 tỷ bao sang.Vị trí nhà vô cùng đắc địa gần chợ trường cấp 1,2,3 phú đô, gần sân vận động mỹ đình, bể bơi 4 mùa, bệnh viện hồng ngọc... Bước chân ra là chợ, ngân hàng, cafe, quán xa nói chung tiện ích ngập tràn.Chủ nhà có hỗ trợ trả góp nếu khách có nhu cầu.Liên hệ ngay với tôi để mua được giá rẻ nhất: Sđt: 0901 671 *** ",36 m²,3.4 tỷ,3.4 m,2.5 m,Tây - Nam,,5 tầng,,23/11/2022,03/12/2022,Tin Vip 1,35928496,batdongsan_com_vn_35928496,4 phòng,4 phòng,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Thụy Phương', 'Đường Tân Phong']","
Bán đất đấu giá Tân Phong, Phường Thụy Phương, vị trí đẹp hạ tầng hoàn thiện. Gần Hồ Tân Phong và đường Hoàng Quốc Việt kéo dài, đường cầu đại học Mỏ thuận tiện giao thông. Giá bán 5 tỷ.Pháp lý rõ ràng.Liên hệ: 0986 529 *** ",65 m²,5 tỷ,,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35940191,batdongsan_com_vn_35940191,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', '136', 'Goldmark City']","
Tôi cần bán căn hộ chung cư Godmark City số 136 Hồ Tùng Mậu.Căn hộ nhà tôi diện tích 138m² chia 1 phòng khách, 3 phòng ngủ, 2 phòng vệ sinh, 1 phòng bếp, 2 lô gia, view ban công và các phòng rất thoáng không phòng nào bị chắn view.Nội thất trong nhà đã có sẵn các đồ gắn tường.Sổ hồ chính chủ, sẵn sàng giao dịch.Giá bán rẻ nhất thị trường 4,3 tỷ.Liên hệ xem nhà 0987 063 *** ",138 m²,4.3 tỷ,,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35940038,batdongsan_com_vn_35940038,3 phòng,2 phòng,Đầy đủ.
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
Do có quan hệ hợp tác chiến lược với CĐT nên phía cty tôi được ưu tiên lựa chọn một số căn hộ tầng trung đẹp 12 - 18 - 19 tại dự án Rose Town - tòa DV01 theo diện ngoại giao.Nay cần xoay vòng vốn nên bán lại các suất ngoại giao với giá cực kỳ ưu đãi, hỗ trợ người mua ký HĐMB trực tiếp với CĐT và hưởng mọi chính sách bán hàng tốt nhất hiện tại.Hotline: 0855 870 ***- Căn 2PN 70.7m²: 2 tỷ 5.- Căn 2PN 78.8m²: 2 tỷ 7.- Căn 3PN 89.4m²: 3 tỷ 1.- Căn 3PN 104.7m²: 4 tỷ 05.* Thanh toán 20% ký HĐMB.* Chiết khấu khủng lên tới 12%.* Hỗ trợ vay 70% lãi ưu đãi 0% đến 15 tháng (ân hạn nợ gốc - nhận nhà ở 10 tháng sau mới phải trả lãi).* Tiến độ thanh toán rất dãn: 7 đợt.* Quà tặng tri ân khách hàng VIP.: 80tr đồng trừ thẳng vào HĐMB.* Bàn giao full nội thất cao cấp: Trần thạch cao - Sàn - Thiết bị điện và vệ sinh - tủ bếp - bếp - hút mùi - khoá từ...* Hỗ trợ xem trực tiếp chính xác căn hộ mua để xem chất lượng xây dựng và tầm view thực tế.Vị trí: Mặt Đường 79 Ngọc Hồi, Hoàng Mai, Hà Nội.- Cách bến xe Nước Ngầm 500m.- Gần các trường ĐH Bách Khoa, ĐH Xây Dựng, ĐH Kinh tế Quốc dân...- Gần các bệnh viện lớn: Bạch Mai, Đại học Y, Việt Pháp...- Ngay cạnh 2 công viên hồ điều hoà: Yên Sở, Hồ Linh Đàm.Cam kết quỹ căn - tầng - giá chuẩn, hỗ trợ thủ tục nhanh gọn - chuẩn chỉnh.Hotline: 0855 870 *** (24/7, call, sms, zalo).            ",71 m²,2.5 tỷ,,,,Đông - Nam,,,24/11/2022,04/12/2022,Tin Vip 1,35940022,batdongsan_com_vn_35940022,2 phòng,2 phòng,Bàn giao full nội thất cao cấp: Trần thạch cao - Sàn - Thiết bị điện và vệ sinh - tủ bếp - bếp - hút mùi - khoá từ...
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Lê Xuân Điệp']","
Cần bán căn hộ chung cư 70m², sổ đỏ, 2 phòng ngủ, 2WC, điều hòa, tủ bếp, sàn gỗ, nóng lạnh, sofa tại phường Kiến Hưng, Quận Hà Đông (gần chung cư Mipec city) gần Bệnh viện Quân Y 103, bệnh viện K, nhà trẻ, trường học, chợ, bến xe buýt ngay chân tòa nhà.Liên hệ chính chủ 0389 024 ***Giá 1,5 tỷ có thương lượng.            ",70 m²,1.5 tỷ,,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35939928,batdongsan_com_vn_35939928,2 phòng,2 phòng,Nội thất đầy đủ
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc']","
Tôi cần bán nhà riêng 03 tầng, 40m², mặt tiền 05m, 03 ngủ, đường ngõ 03m, tại TDP 7, Vạn Phúc, Hà Đông, Hà Nội.- Hướng nhà: Đông Bắc.- Thiết kế: Khung bê tông. Nhà thoáng mát, rộng rãi.- Tầng 1: Khách và Bếp.- Tầng 2: 02 ngủ.- Tầng 3: 01 ngủ + P. Thờ và sân phơi.- Nội thất: Nóng lạnh, điều hòa, rèm cửa.- Pháp lý: Sổ đỏ.- Vị trí: Ô tô đỗ cách nhà 30m. Nằm trong khu dân cư dân trí cao, đầy đủ tiện ích. Đối diện là làng Lụa Vạn Phúc, bên cạnh tòa Goldmark City, KĐT Dương Nội, công viên Thiên văn. Cách siêu thị Aeon Nhật Bản 2 km. Xung quanh có đầy đủ trường mầm non, cấp 1, cấp 2 và cấp 3 (Vạn Bảo, An Hưng, Lê Quý Đôn, Quốc tế Nhật Bản, Nguyễn Huệ), Bệnh viện Hà Đông: 1.5 km, Bệnh viện 103: 02km. Cách Trung tâm Hội nghị Quốc gia: 04 km.Giá bán: 4.8 tỷ (Quý vị có thể xem qua ảnh).Vui lòng gọi: A. Minh: 0912 633 ***Xin trân trọng cảm ơn!            ",40 m²,4.8 tỷ,5 m,3 m,Đông - Bắc,Đông - Bắc,3 tầng,Sổ đỏ,24/11/2022,04/12/2022,Tin Vip 1,35820499,batdongsan_com_vn_35820499,3 phòng,3 phòng,"Điều hòa, Nóng lạnh..."
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Liên Cơ']","
Chính chủ cần bán gấp căn nhà số 01 phân lô B (lô góc), khu nhà Liên Cơ, Phường Cầu Diễn, Quận Nam Từ Liêm, Tp. Hà Nội (ngay sau UBND Quận Từ Liêm).1. Diện tích:- Sổ đỏ chính chủ: 104.5 m².- Diện tích xây dựng: 84.8 m².- Diện tích sàn: 287.3 m².2. Hướng nhà: Cửa chính hướng Đông Bắc, nhà lô góc hai mặt thoáng hướng Đông Bắc và Đông Nam.3. Thiết kế: Nhà được thiết kế 4 tầng + tum, mỗi tầng đều có 3 ban công view rất thoáng và thoái mái.- Tầng 1: Phòng khách + Phòng bếp ăn + 2WC, 1 gara ô tô (phía trước nhà có vỉa hè rộng để ô tô ngày đêm thoair mái).- Tầng 2: 3 phòng ngủ + WC khép kín.- Tầng 3: 3 phòng ngủ + WC khép kín.- Tầng 4: 2 phòng ngủ + WC khép kín + tum.4. Nhà thuộc khu liên cơ dân trí cao và gần nhiều cơ quan công vụ: UBND Quận, Kho bạc, Chi cục thuế... Không gian sinh hoạt yên tĩnh, giao thông thuận tiện, gần nhiều trục đường lớn rất thích hợp để định cư lâu dài.6. Giá bán: 26 tỷ (có TL).Mọi thông tin chi tiết xin vui lòng liên hệ Mr Anh Tâm 0348 302 *** hoặc Mr Trung 0965 189 ***Trân trọng!            ",104.5 m²,26 tỷ,6 m,15 m,Đông - Bắc,Đông - Nam,5 tầng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin Vip 1,35939521,batdongsan_com_vn_35939521,8 phòng,10 phòng,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
- Nhà nằm trong khu vực phân lô bàn cờ, vỉa hè rộng 5m, đường trước nhà rộng gần 15m cách phố Trần Thái Tông 30m và thông sang Dịch Vọng Hậu, xung quanh là các toà văn phòng lớn. Khu hiếm có nhà bán.Phố Trần Thái Tông là con phố huyết mạch của quận Cầu Giấy nối liền các tuyến đường lớn như Xuân Thuỷ, Tôn Thất Thuyết, Duy Tân...- Nhà thiết 5 tầng nổi 1 tầng hầm có thang máy.- Khu được phép xây dựng 9 - 12 tầng.- Pháp lý sạch, sổ đỏ vuông vắn hoàn toàn, giao dịch ngay.            ",130 m²,55 tỷ,7.5 m,8 m,,,5 tầng,Sổ đỏ,24/11/2022,04/12/2022,Tin Vip 1,35937805,batdongsan_com_vn_35937805,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Phan Chu Trinh', 'Đường Phạm Ngũ Lão']","
Vị trí cực hiếm trung tâm quận Hoàn Kiếm, lô góc một mặt phố Phạm Ngũ Lão và một mặt ngõ ô tô dừng đỗ ngày đêm. Nhà cách Nhà Hát Lớn, Hồ Gươm, Tràng Tiền vài phút đi bộ.Xung quanh là nơi tập trung nhiều cơ quan đầu não của chính phủ, khách sạn tỷ đô đẳng cấp. Tiện ích hàng đầu phố cổ.Biệt thự được xây 1 hầm và 06 tầng nổi, thang máy xịn, thiết kế theo phong cách tân cổ điển, nội thất nhập khẩu Châu Âu đẳng cấp.Gia chủ gia thế lớn, thiện chí bán.Sổ đỏ chính chủ đẹp, sở hữu tư nhân, giao dịch ngay.Liên hệ: Bảo Hằng để sở hữu nhiều thông tin căn nhà mặt phố siêu hiếm.            ",209 m²,158 tỷ,7 m,,,,7 tầng,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35937788,batdongsan_com_vn_35937788,,,Nhập khẩu Châu Âu.
