address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Dự án The Zen Residence']","
Gia đình cần bán căn chung cư, nội thất ful, đủ đồ, view bể bơi 3 toà và biệt thự.Căn 2+1 ngủ The Zen 3,250 tỷ.có thương lươngTại KĐT Gamuda Gardens - nơi dành cho tất cả mọi người:Liên hệ 0914 255 *** ",75 m²,3.25 tỷ,Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full.,25/11/2022,05/12/2022,Tin thường,35336004,batdongsan_com_vn_35336004,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu']","
+ Vị trí nhà hàng xóm Quận Ủy Đống Đa, 20m ra mặt phố Trần Quang Diệu, 100m ra mặt hồ Hoàng Cầu và vườn hoa cây xanh.+ Nhà mặt ngõ ô tô phố Trần Quang Diệu nổi tiếng nên kinh doanh hay để ở đều ổn, đặc biệt phù hợp để ở do tiện ích ngập tràn, dân trí cao.+ Nhà 5 tầng, 2 mặt ngõ siêu thoáng, thiết kế 6 ngủ khép kín, 1 khách, 1 bếp, phòng thờ sân phơi đầy đủ công năng.+ Sổ cực vuông, pháp lý sạch, giao dịch ngay.+ Diện tích: 47,5m². Mặt tiền 4,5m.+ Giá rao bán: 10,7 tỷ (Khách hàng thiện chí mua sẽ thương lượng trực tiếp với chủ nhà).* Liên hệ: Mr Minh (Minh nhà xinh) 0338 080 ***Miễn trung gian) để xem nhà miễn phí.* Tôi nhận ký gửi mua và bán nhà đất thổ cứ toàn Hà Nội.            ",47.5 m²,10.7 tỷ,,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,04/12/2022,Tin thường,35663627,batdongsan_com_vn_35663627,4.5 m,5 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh']","
TÔI CHÍNH CHỦ BÁN NHÀ THÁI THỊNH ĐỐNG ĐADIỆN TÍCH 48M 4 TẦNG .+ Nhà nằm mặt ngõ gần phố trung tâm đống đa Gần chợ gàn trường gần phố tiện ích đầy đủ an sinh tốt -+ Nhà chủ thiết kế 4 tầng mới tinh đẹp long lamhTầng 1: phòng khách bếp wc.+ Tầng 2:3: mỗi tầng 2: phòng ngủ wc.+ Tầng 4 phòng thờ sân phơi + sổ đỏ nợr hậu đẹp.            ",48 m²,7.1 tỷ,,4 phòng,4 phòng,,,27/11/2022,07/12/2022,Tin thường,35954350,batdongsan_com_vn_35954350,4.5 m,4 tầng,3 m
"['Hà Nội', 'Đống Đa', 'Phường Văn Chương', 'Đường Hồ Văn Chương']","
+ Vị trí rất đẹp, nhà mặt ngõ, thuộc khu Phân lô Quân đội, ngõ to ô tô thông, mặt chợ Văn Chương. Trung tâm lõi Đống Đa, chỉ 3p lên Lăng Bác, Hoàn Kiếm, gần Công viên Thống Nhất, xung quanh ngập tràn tiện ích, an ninh tốt, giao thông thuận tiện.+ Kinh doanh sầm uất ngày đêm, dân cư đông đúc, buôn bán gì cũng rất đắt hàng.+ Nhà có 2 mặt tiền, mặt trước ngõ ô tô kinh doanh, mặt sau ô tô vào tận cửa. Sân của khu rộng bát ngát để xe thoải mái.+ Thiết kế: Nhà 3 tầng xây khung chắc chắn, móng tốt, có thể lên tầng, hoặc khách mua đập đi xây lại tòa 6 tầng thang máy.+ Sổ đỏ nở hậu, pháp lý sạch, không lỗi phong thủy, sang tên nhanh.+ Diện tích: 53,2m². Mặt tiền 3,95m.+ Giá rao bán: 9 tỷ (Khách hàng thiện chí mua sẽ thương lượng trực tiếp với chủ nhà).* Liên hệ: Mr Minh (Minh nhà xinh) 0338 080 ***Miễn trung gian) để xem nhà miễn phí.* Tôi nhận ký gửi mua và bán nhà đất thổ cư toàn Hà Nội.            ",53.2 m²,9 tỷ,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,25/11/2022,05/12/2022,Tin thường,35668411,batdongsan_com_vn_35668411,4 m,3 tầng,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Ngọc Trai', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Quỹ hàng chuyển nhượng chung cư giá tốt nhất tại dự án Vinhomes Ocean Park.1. Quỹ căn Studio.* Căn DT 28 m² tầng trung giá 850 triệu (Bán bằng giá gốc).* Căn DT 33,5 m² hướng Tây Bắc giá 950 triệu.* Căn DT 35.7 m² Hướng Đông nam giá 1 tỷ.* Căn DT 36 m² Hướng đông bắc giá 980 triệu.2. Quỹ căn 1 + 1.* Căn 02 tòa S216 Diện tích: 43 m² Giá bán 1.250 tỷ bao phí.* S2.19 tầng thấp view Nội Khu nhạc nước 1,250 tỷ bao phí.* Căn 02 tòa S2.19 Hướng Đông Bắc View thoáng giá 1.4 tỷ Full đồ nội thất đẹp.* Căn 09 tòa S2.11, ban công Tây Bắc Giá bán 1.230 tỷ.3. Quỹ Căn 2 phòng ngủ.* S2.09 2PN 1WC 55m² tầng thấp 1.550tỷ bao phí.* 2PN 1WC 55m² tầng trung 1,6 tỷ bao phí có điều hòa.* Căn góc 2 ngủ 2wc lô góc tầng thấp giá 2.030 tỷ bao phí.* S2.11 căn góc 2PN 2WC 64m² view Vinuni 2050 bao phí.* Căn góc 2PN 2WC 64m² tòa S1.03, ban công Đông Nam, giá bán 1.970 tỷ bao phí.4. Quỹ Căn 3 phòng ngủ.* Tòa s2.18 tầng thấp giá bán 2.3 tỷ bao phí.* Tòa S2.06 tầng trung giá bán 2,370 tỷ bao phí.* Căn số 16 tòa S205, view Công viên thể thao view sông giá bán 2.4 tỷ bao phí.* CĂn 5A tòa R1.05 View Trực diện hồ diệ tích 100 m giá Bán 4.8 tỷ.Quý khách hàng quan tâm dự án vui lòng liên hệ: 0989 837 ***, được hỗ trợ chọn căn ưng ý, mọi thủ tục từ chuyển nhượng, nhận nhà, làm thẻ cư dân, làm nội thất...Cam kết tư vấn chuẩn chỉ, không thu bất kì 1 chi phí nào của khách hàng.            ",55 m²,1.5 tỷ,Đông - Nam,2 phòng,1 phòng,Sổ đỏ,Nội Thất chủ đầu tư và nội thất full đồ ,27/11/2022,04/12/2022,Tin thường,30724579,batdongsan_com_vn_30724579,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai']","
Vị trí:Cách ô tô tránh 10 m. Cạnh trường cấp 1, 2 Hoàng văn thụ, Cạnh chợ hoàng mai, cạnh Vinmart, cạnh trạm y tế phường...Chủ nhà làm bên thiết kế xây dựng nên rất tâm huyết, ngôi nhà được bố trí rất tinh tế và sang chảnh, tủ bếp được làm bằng gỗ tự nhiên. Chủ nhà để lại toàn bộ nội thất cho khách. Thiết kế 4 tầng.Tầng 1: Thiết kế khu để xe, bếp, phòng khách.Tầng 2: 1 phòng ngủ, 1 ban công rộng, 1 vệ sinh.Tầng 3: 2 ngủ, 1 vệ sinh.Tầng 4: Thiết kế 1 ngủ, 1 thờ, 1 vệ sinh.Thiết kế cực kỳ hợp lý, khoa học, phòng nào cũng nhiều ánh sáng, có ban công cực rộng, cực chill. Hãy đến 1 lần để cảm nhận.Sổ đỏ sẵn sàng giao dịch.Liên hệ ngay em Quý: 0985 920 ***Zalo). (Ảnh đăng bài ảnh thật. Không đăng câu view, like). Môi giới có tâm nhất Hà Nội. Khách hàng đi xem nhà thoải mái, không mất phí, đàm phán giá trực tiếp chủ nhà. Hỗ trợ thủ tục từ A đến z. Xin cảm ơn Quý khách hàng đã đọc tin. Trân trọng!            ",47 m²,4.25 tỷ,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,24/11/2022,01/12/2022,Tin thường,35936225,batdongsan_com_vn_35936225,,4 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Tôn Thất Tùng']","
SIÊU PHẨM  TÔN THẤT TÙNG TRUNG TÂM ĐỐNG ĐA MẶT NGÕ KINH DOANH SIÊU ĐỈNH LÔ GÓC .Tôi chính chủ bán nhà ngõ tôn thất tùng đống đa.Diện tích 45M 4 tầng mặt tiền 4.5m Nhà nằm mặt ngõ tôn thất tùng thông  trường chinh tam khương nhà mới đẹp mặt ngõ kinh doanh gì cubgx được lkhu vưc nhiều trường địa học .Nhà thiết kế 4 tầng mới hiện đại đầy đủ nội thất Tầng 1 thồng sàn kinh doanh bếp.Tầng 2:3: mỗi tầng 2: phòng ngủ wc khép kínTầng 4: phòng thờ sân phơi .            ",45 m²,7.1 tỷ,,4 phòng,4 phòng,,,27/11/2022,07/12/2022,Tin thường,35958010,batdongsan_com_vn_35958010,4.5 m,4 tầng,4 m
"['Hà Nội', 'Thanh Trì', 'Xã Tam Hiệp']","
Diện tích  33 m²,  4 tầng , mặt tiền  5 m. Giá  3.3 tỷ  - Ngõ to 2 ô tô đỗ tránh nhau thoải mái - Lô góc  -  kinh doanh các thể loại - mặt tiền lớn .- Nhà xây khung cột bê tông chắc chắn,  lên thêm 2 tầng  thoải mái.- Tầng 1 thông sàn kinh doanh - Tầng lửng phòng khách - Tầng 2,3 mỗi tầng 2 ngủ rộng , phụ - Tầng 4 tum , phòng thờ - Sổ đỏ chính chủ vuông đét, giao dịch ngay. LH NGAY : 0985 920 *** . Mr. Quý            ",33 m²,3.3 tỷ,,2 phòng,,,,26/11/2022,03/12/2022,Tin thường,35954706,batdongsan_com_vn_35954706,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Lạc Long Quân']","
BÁN NHÀ CÓ 1-0-2 Lạc Long Quân 40M X 5 TẦNG MT 4.5 MÉT 7.6 tỷ KINH DOANH Cầu Giấy Hà Nội 💥MẶT ĐƯỜNG THÔNG Ô TÔ TRÁNH NHAU - GARA - LÔ GÓC 2 MẶT TIỀN - KINH DOANH SẦM UẤT💥 Phố Lạc Long Quân  🎯 Vị trí nhà lô góc 2 mặt ngõ, mặt ngõ thông, đường rộng 2 ô tô tránh nhau, kinh doanh buôn bán sầm uất + Gần chợ Bưởi, Hồ Tây kết nối với các tuyến đường Võ Chí Công, Hoàng Quốc Việt, Hoàng Hoa Thám. 💒Thiết kế: - Tầng 1: KINH DOANH Gara ô tô, WC - Tầng lửng: Bếp và phòng khách - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, WC + Tầng 5: Phòng thờ và sân phơi. ⭐Sổ đỏ chính chủ, nở Hậu sẵn sàng giao dịch. Liên hệ Đình Thắng            ",45 m²,7.6 tỷ,,4 phòng,5 phòng,Sổ Đỏ Riêng biệt,Đầy đủ,27/11/2022,05/12/2022,Tin thường,35959600,batdongsan_com_vn_35959600,4.5 m,5 tầng,8 m
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Cù Chính Lan']","
Bán nhà 50m² MT 4m phân lô Cù Chính Lan phân lô ô tô tránh 2 mặt ngõ kinh doanh.+ Nhà diện tích 50m² xây dựng 4 tầng mặt tiền 4m.+ Nhà Nằm vị trí đẹp, 2 mặt ngõ khu phân lô quân đội, mặt nào cũng ôtô tránh đỗ cửa vào nhà, cách phố 20m ngõ nông thẳng tắp.+ Ngõ ô tô tránh, ô tô đỗ tận cửa. Nhà được thiết kế 2 thoáng trước sau, cầu thang giữa. Nội thất cửa toàn gỗ Lim xịn, đồ cao cấp. Chủ nhà bố trí vật dụng tỉ mỉ, tinh tế từng góc.+ Giao thông thuận tiện kết nối với các con đường buôn bán tấp nập Hoàng Văn Thái, Trường Chinh, Ngã Tư Sở, Lê Trọng Tấn,...Khu vực an ninh tốt, phân lô cho cán bộ cấp cao, vị trí thuận lợi, thông tứ tung các ngõ, ace khảo sát dẫn khách đi ngõ nào cũng được.+ Hiện trạng nhà 4 tầng, cầu thang giữa, thiết kế 4 phòng ngủ.Giá chào 8,9 tỷ có thương lượng.Sổ đỏ sẵn sàng giao dịch.Liên hệ tôi Đức 0868 611 *** đi xem nhà và được hỗ trợ.(Miễn trung gian và môi giới).            ",50 m²,8.9 tỷ,,4 phòng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,25/11/2022,02/12/2022,Tin thường,34384836,batdongsan_com_vn_34384836,4 m,,
