address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Nội thất
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Bán nhanh căn Louis 16 đường thông 13,5m gần trường học, gần hồ hướng Nam mát mẻ.DT 107.5m².Giá bán nhanh chỉ 138tr/m². LH 0903 250 *** để nhận thông tin chi tiết (MTG).Ngoài ra chuyển nhượng nhanh một số căn liền kề vị trí đẹp tại dự án Louis City Hoàng Mai:- Louis 1 căn góc đẹp. DT 172m² giá 19x.- Louis 6 nhìn biệt thự và vườn hoa vị trí đẹp sổ đỏ. DT 93,8m² giá 15x - Louis 8 hướng Đông. diện tích 93.8m² giá 13x- Louis 11. Louis 12 sổ đỏ giá 13x - Louis 18 hai mặt thoáng. DT 90m² giá 15x.Khách hàng quan tâm vị trí nào vui lòng gọi điện trực tiếp để nhận thông tin và xem nhà.0903.250.228 (Em Tuyết).            ",107.5 m²,138 triệu/m²,5 m,13.5 m,Nam,Nam,5 tầng,8 phòng,Hợp đồng mua bán.,27/11/2022,04/12/2022,Tin thường,35111193,batdongsan_com_vn_35111193,,
"['Hà Nội', 'Ba Đình', 'Phường Nguyễn Trung Trực', 'Đường Hàng Than']","
Tòa nhà 11 tầng mặt phố Hàng Than.+ Mặt tiền 19m.+ Diện tích 150m² x 11 tầng.+ Vỉa hè rộng.+ Vị trí đẹp, mặt tiền khủng, 11 tầng hiện tại trên phố gần như không thể xây được.+ Sổ đẹp.+ Giá 138 tỷ.LH: 0965 190 *** ",150 m²,138 tỷ,19 m,20 m,Đông - Nam,Tây - Nam,11 tầng,45 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,33376719,batdongsan_com_vn_33376719,45 phòng,Đầy đủ.
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
0976 557 ***! Quỹ căn ngoại giao La Casta giá rẻ nhất trên thị trường.Chúng tôi hiện còn 05 suất ngoại giao căn hộ tại dự án chung cư cao cấp La Casta gồm đầy đủ các diện tích từ: 47m² (1,65 tỷ); 68m (2,55 tỷ); 84m² (2,75 tỷ); 88m² (2,85 tỷ).Căn hộ bàn giao mới tinh gồm sàn gỗ, trần thạch cao, điều hòa âm trần, hệ thống bếp, tủ,...Nhận nhà ở ngay.Xem nhà liên hệ em Mai: 0976 557 *** /0901 755 ***giao dịch gấp).            ",47 m²,1.65 tỷ,,,,,,,,20/11/2022,28/11/2022,Tin thường,35403109,batdongsan_com_vn_35403109,,
"['Hà Nội', 'Ba Đình', 'Phường Nguyễn Trung Trực', 'Đường Hàng Than', '45']","
Cần bán nhà mặt phố 45 Hàng Than, phường Nguyễn Trung Trực, quận Ba Đình, Hà Nội. Diện tích 420m², mặt tiền 16m, tiện xây tòa nhà theo ý muốn của chủ nhân mới, tặng giấy phép xây dựng 8 tầng nổi, 2 tầng hầm, gồm 100 phòng khách sạn đẳng cấp 4 sao. Vị trí trung tâm phố cổ, giá bán 700tr/m² = 294 tỷ, một sổ đỏ chính chủ.Liên hệ: 0965 190 ***, 0913 851 *** ",420 m²,700 triệu/m²,16 m,,,,,,,21/11/2022,28/11/2022,Tin thường,14460345,batdongsan_com_vn_14460345,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án C14 - Bộ Công An']","
0976 557 ***! Tôi cần tiền đầu tư kinh doanh nên cần bán gấp 02 căn hộ chung cư C14 Bộ Công An.- Tầng 1613, diện tích: 98,5 m², 3 phòng ngủ, 2 vệ sinh. Ban công thoáng mát. Nhà full nội thất đẹp.- Tầng 1607 (căn góc). Dt: 115 m², thiết kế 3 PN + 2 VS, full NT, ban công thoáng mát view đẹp.Tôi cần bán gấp trong tháng. Giá: 28 tr/m² (có gia lộc cho khách).Lh cho tôi chính chủ để xem nhà và xem sổ: A Nam.0976 557 *** / 0901 755 ***MTG).            ",98.5 m²,28 triệu/m²,,,,,,3 phòng,,24/11/2022,02/12/2022,Tin thường,35851870,batdongsan_com_vn_35851870,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', 'Dự án Mipec Rubik 360']","
0901 755 ***, tôi cần bán gấp 03 Mipec Rubik 360, Dịch Vọng Hậu, Cầu Giấy, Hà Nội.+ Tầng 1609, diện tích: 85 m², thiết kế 2pn, 1vs, ban công thoáng mát, view đẹp.+ Tầng 1501, diện tích: 70m², thiết kế 2pn, 2vs, ban công thoáng đẹp.+ Tầng 1606, diện tích: 95 m², thiết kế 3pn, 2vs, ban công Đông 2 mặt thoáng mát.VÌ cần bán gấp trong tháng nên tôi bán giá rẻ cho khách thiện chí mua. Giá: 44 tr/m² (mọi thủ tục tôi lo hết và có gia lộc thêm cho khách).Liên hệ với tôi chính chủ để xem giấy tờ: A Nam.0901 755 *** / 0976 557 ***MTG).            ",95 m²,44 triệu/m²,,,,Đông,,3 phòng,,22/11/2022,29/11/2022,Tin thường,34633917,batdongsan_com_vn_34633917,2 phòng,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', '32', 'Eco Lake View']","
0976 557 *** Tôi cần bán gấp hai căn hộ chung cư Eco Lake View 32 Đại Từ - Hoàng Mai tòa HH2, do chuyển công tác nên tôi bán để tiện cho công việc.- Tầng 19 căn 05, diện tích 76m², 2 phòng ngủ, 2 vệ sinh, ban công Đông Bắc.- Tầng 18 căn 06, diện tích 103m², 3 phòng ngủ, 2 vệ sinh, căn góc ban công Đông Nam, Đông Bắc. (Căn góc đẹp nhất tòa nhà).- Tầng 16 căn 01, diện tích 67m², 2 phòng ngủ, 2 vệ sinh, ban công Đông Nam.Tôi cần bán gấp lại với giá 27 tr/m². Nhà đã có sổ đỏ.Liên hệ chính chủ anh Hùng 0976 557 *** / 0901 755 ***MTG).            ",67 m²,27 triệu/m²,,,,Đông - Nam,,2 phòng,Sổ đỏ.,21/11/2022,29/11/2022,Tin thường,31096959,batdongsan_com_vn_31096959,2 phòng,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án HPC Landmark 105']","
TÔI Cần tiền để kinh doanh NÊN cần bán gấp 02 căn hộ tòa HPC Landmark 105, La Khê, Hà Đông.- Tầng 1605, diện tích: 85m², thiết kế 2 phòng ngủ, 2 vệ sinh, 1 phòng khách, bếp,. Ban công thoáng mát.- Tầng 2015, Diện tích: 106m² - , thiết kế 3 phòng ngủ, 2 vệ sinh, 1 phòng khách, bếp, ban công thoán.- Nội thất để lại full đồ tủ bếp, bếp từ hút mùi, giường tủ, điều hòa, bàn ăn, sofa, tivi, tủ lạnh, máy giặt, kệ ti vi...Cần bán gấp nên tôi bán giá rẻ chô khách thiện chí mua. Gía: 28 tr /m² (moi thủ tục tôi lo hết).Lh cho tôi chính chủ để xem nhà và hợp đồng mb: A Tuấn.0976 557 893 / 0901 755 ***giao dịch gấp).            ",85 m²,28 triệu/m²,,,,,,2 phòng,,25/11/2022,03/12/2022,Tin thường,35850892,batdongsan_com_vn_35850892,2 phòng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án C37 Bộ Công An - Bắc Hà Tower']","
Do dịch bệnh làm ăn khó khăn, gia đình tôi cần tiền xoay vòng vốn duy trì hoạt động công ty nên tôi cần bán nhanh trong tháng 02 căn hộ chung cư C37 Bộ Công An - Bắc Hà.+ Tầng 1503, DT: 56m², thiết kế 2 phòng ngủ, 1 vệ sinh, ban công thoáng mát.+ Tầng 1613 (căn góc), DT: 100m², thiết kế 3 phòng ngủ, 2 vệ sinh, ban công Đông Nam thoáng mát, view đẹp.Vì cần bán gấp trong tháng nên tôi bán giá rẻ cho khách thiện chí mua. Giá: 29 triệu/m² (mọi thủ tục tôi lo hết).LH cho tôi chính chủ để xem nhà: 0901 755 *** / 0976 557 *** - A Long.(tiếp trung gian môi giới).            ",56 m²,29 triệu/m²,,,,,,2 phòng,Sổ đỏ.,22/11/2022,30/11/2022,Tin thường,30612233,batdongsan_com_vn_30612233,1 phòng,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Terra An Hưng']","
Do cần tiền đầu tư kinh doanh nên gia đình tôi cần bán gấp trong tháng 03 căn hộ chung cư The Terra An Hưng, Hà Đông, Hà Nội.+ Tầng 1602 (căn góc) - V1, DT: 88,31m², thiết kế 3 PN, 2 VS, ban công 2 mặt thoáng Đông Bắc, Đông Nam.+ Tầng 1804 - V2, DT: 73,73m², thiết kế 2 PN, 2 VS, view đẹp, ban công Đông Nam thoáng mát.+ Tầng 1612 (căn góc), DT: 97,13 m², thiết kế 3 PN, 2 VS, ban công Đông Nam.Vì cần tiền bán gấp trong tháng, tôi sẽ bán giá rẻ cho khách thiện chí mua. Giá: 29tr/m² (mọi thủ tục tôi lo hết).LH cho tôi theo SĐT: A Nam 0976 557 *** / 0901 755 ***MTG).            ",97.13 m²,29 triệu/m²,,,,Đông - Nam,,3 phòng,,22/11/2022,30/11/2022,Tin thường,32777479,batdongsan_com_vn_32777479,2 phòng,
