address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Hướng nhà,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Doãn Kế Thiện']","
DOÃN KẾ THIỆN  CẦU GIẤY - NHÀ ĐẸP - 30M Ô TÔ TRÁNH.+ Nhà đẹp long lanh, khách mua chỉ việc xách Vali về ở ngay. Thiết kế tầng 2 phòng cầu thang giữa, nội thất xịn, có thoáng sau.+ Nhà cách ngõ 105 Doãn Kế Thiện ô tô tránh kinh doanh sầm uất tầm 30m, khu vực tập trung nhiều trường Đại học lớn: Ngoại Ngữ, Quốc Gia, Thương Mại, Sân Khấu Điện Ảnh, trường múa....+ 500m tới bến xe Mỹ Đình, chợ Đồng Xa cạnh nhà, 200m ra đường trên cao Phạm Văn Đồng, Phạm Hùng di chuyển giao thông thuận tiện.+ Sổ đẹp, cất két tiện giao dịch.LH 0353 682 *** để xem nhà            ",40 m²,5 tỷ,3.5 m,3 m,5 tầng,8 phòng,Sổ đẹp giao dịch ngay,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35963865,batdongsan_com_vn_35963865,,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Phố Kim Mã']","
Chủ nhà lên nhà MP cổ nên bán.Phố Kim Mã là con phố trục xuyên tâm thành phố chạy qua mấy quận, nơi mật độ phương tiện và dân cư đông đúc, nơi nhiều VP cty, muốn làm trụ sở VP kd, nhà nằm trên ngõ ô tô tránh, vỉa hè đứng nhà nhìn phố, ô tô đỗ thoải mải.Nhà căn góc lên tiện để xe, thoáng, nhà xây Tân Cổ Điển,Tầng 1 kd, tầng 2 - 4 mỗi tầng 2 phòng công năng sd khác nhau.Nội thất chất lượng.Sổ vuông vắn.Liên hệ xem nhà ngay: Em Thiện Ba ĐÌnh xem nhà.- Mua bán nhà đất Ba ĐÌnh thì đến gặp em Thiện.            ",43 m²,10.79 tỷ,5 m,5 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Chất Lượng,22/11/2022,30/11/2022,Tin thường,35919646,batdongsan_com_vn_35919646,5 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Phùng Chí Kiên']","
- DT 55m², 7 tầng.- Căn nhà thiết kế vô cùng hiện đại khung cột chắc chắn với 7 tầng và thang máy công năng sử dụng miễn chê, gia chủ thoải mái chuyển đổi công năng theo nhu cầu gia đình.- Vị trí đẹp khu phân lô, ngõ rộng rãi sạch đẹp, đời sống dân trí an sinh tốt.- Tiếp giáp Tây Hồ, Ba Bình, chỉ vài phút đi bộ ra tây hồ lộng gió mát mẻ tận hưởng không khí trong lành.- Hưởng trọn tiện ích và giao thông khu vực, kết nối vô số những cung đường lớn, Hoàng Quốc Việt, Võ Chí Công, Láng.- Sổ chính chủ sẵn sàng đón chủ mới.- Giá chỉ nhỉnh 10 tỷ.- Liên hệ: 0935 777 ***để được xem nhiều nhà đẹp Cầu Giấy).            ",55 m²,10.8 tỷ,,,7 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,35915373,batdongsan_com_vn_35915373,5 phòng,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Tố Hữu']","
1) Bán lô đất đấu giá Vạn Phúc, Hà Đông, ngay ngã tư Tố Hữu Vạn Phúc.- Diện tích 155m².- Mặt tiền 10m.- Hướng Đông Bắc.- Đường trước mặt rộng 17m.- Giấy phép xây dựng 8 tầng, xây 100% đất.- Phù hợp xây toà nhà thương mại, nhà hàng khách sạn, phòng khám, trung tâm ngoại ngữ...2) Bán lô đất đấu giá mặt đường đôi phố Vạn Phúc kinh doanh cực đẹp.- Diện tích 155m².- Mặt tiền 10m.- Hướng Tây Nam.- Đường rộng 40m.- Giấy phép xây dựng 8 tầng.- Giá thoả thuận.3) Bán lô đất đấu giá Vạn Phúc 75m² cạnh nhà hàng Mai Hương.- Diện tích sổ đỏ 75m².- Mặt tiền 5m.- Hướng Đông Bắc.- Đường rộng 17m.- Giá thoả thuận, sổ đỏ lâu dài vĩnh viễn.4) Bán lô đất dịch vụ Vạn Phúc dãy NO6C.- Diện tích 42m².- Mặt tiền 4.2m.- Hướng Đông Nam.- Đường 13m.- Giá thoả thuận.Mọi người có nhu cầu phù hợp xin liên hệ anh Tùng 0988 369 ***Xin chân thành cảm ơn!            ",155 m²,Thỏa thuận,10 m,17 m,,,Sổ đỏ lâu dài,,23/11/2022,30/11/2022,Tin thường,34500780,batdongsan_com_vn_34500780,,Đông - Bắc,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Thận Duật']","
- Mô tả: DT 48m², 6 tầng, thang máy.- Vị trí đẹp ngõ thông thoáng ô tô tránh, làm văn phòng, kinh doanh rất đẹp.- Khu vực có nhiều văn phòng, kinh doanh đặt trụ sở làm việc.- Vài bước ra mặt phố kinh doanh cafe, nhà hàng vô cùng tấp nập.- Đời sống dân trí cao an sinh tốt, bãi gửi xe cách nhà chưa đầy 50m vô cùng thuận tiện.- Sổ đỏ chính chủ pháp lý chuẩn.- Liên hệ: 0935 777 ***để được xem nhà).            ",48 m²,10.8 tỷ,,,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,35915301,batdongsan_com_vn_35915301,5 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
- Mô tả: DT 50m², MT 4m.- Vị trí đẹp, ngõ thông thoáng rộng rãi an sinh tuyệt vời.- Khu vực dân trí cao, hàng xóm nhiều cán bộ, giảng viên của các trường đại học khu vực sinh sống, an ninh tốt.- Tiện ích khu vực vô cùng với trường học các cấp, chợ, siêu thị, bệnh viện bến xe.- Nhà còn mới khách mua về chỉ việc xách valy về ở được ngay.- Sổ đỏ chính chủ vuông vắn.- Liên hệ: 0935 777 ***để được xem nhiều nhà đẹp).            ",50 m²,11.5 tỷ,4 m,,,,Sổ đỏ,,24/11/2022,01/12/2022,Tin thường,35936599,batdongsan_com_vn_35936599,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Vũ Tông Phan', 'Ngõ 554']","
Phố Vũ Tông Phan là con phố đẹp 2 vỉa hè, hàng cây thoáng mát,Dự án làm sạch nước sông Tô Lịch xong thì càng đẹp.Đầu phố Vũ Tông Phan là trung tâm giải trí Royal City và chợ Ngã tư Sở... Cái gì có.Nhà gần chơ Cầu Lủ bệnh viện quân đội tiện ích tràn ngập, trường học Khương Đình, Kim Giang.Nhà nằm ngõ rộng 554 Vũ Tông Phan.Nhà nguồn gốc đất làng không vào trong quy hoạch lên yên tâm về ở.Chính quyền có kế hoạch 2023 làm sổ cho khu vực. Nhà xây cực chắc chắn, gạch đặc, điện Trần Phú, ống nước Tiền Phong.Liên hệ xem nhà ngay: Em Thiện - Thanh Xuân xem nhà.- Mua bán nhà đất Thanh Xuân thì đến gặp em Thiện.            ",45 m²,2.45 tỷ,4 m,2.8 m,4 tầng,4 phòng,Đang chờ sổ,,23/11/2022,01/12/2022,Tin thường,35934513,batdongsan_com_vn_35934513,3 phòng,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Đường Nguyên Hồng']","
CỰC HIẾM. Siêu Phẩm Nhà Phố Nguyên Hồng. Kinh Doanh ĐỈNH. Phân Lô Ô Tô Tránh, Chào Bán 25Tỷ.VIP BA ĐÌNH - VIP ĐỐNG ĐANGUYÊN HỒNG SIÊU HIẾM NHÀ BÁN PHÂN LÔ Ô TÔ TRÁNH VỈA HÈ 7 TẦNG THANG MÁY, NỘI THẤT TIỀN TỈ KINH DOANH PHỐ NÀY THÌ KHÔNG PHẢI BÀN CÃI.Diện tích rộng 60M2 - mặt tiền 5.5M.Phân lô bàn cờ, thông các ngõ, ngõ nào cũng là ngõ to ô tô tránh , kinh doanh ngày ngày đêm đêm .+ Thiết kế thông sàn tất cả các tầng từ tầng 1 đến tầng 7, thang máy nhập khẩu, thiết bị nội thất hiện đại chủ mua hơn 2 tỷ.Khu vực Phố Vip Nguyên Hồng Đắt Đỏ không cần bàn cãi về sự sầm uất và hiếm có.Chủ cần tiền kinh doanh nên muốn bán sớm. Chỉ chờ khách tới ĐÀM PHÁN !+ Sổ đỏ vuông vắn.Giá chào bán : 25 Tỷ (thương lượng)LH xem nhà 24/7 : 0338 588 *** - 086 546 0225 Em Ngọc.            ",60 m²,25 tỷ,5.5 m,8 m,7 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Gỗ cao cấp và thiết bị nhập khẩu,26/11/2022,06/12/2022,Tin thường,35954217,batdongsan_com_vn_35954217,5 phòng,,
"['Hà Nội', 'Đông Anh', 'Dự án Happy Land Đông Anh']","
- Chính chủ cần bán lại lô liền kề góc 3 mặt thoáng dự án Happy Land giá rẻ.- Vị trí thuộc dãy LK5.- Mặt đường QL3, ngay trung tâm thị trấn Đông Anh.- Diện tích 80m², lô đất vuông. Khe thoáng 3 mặt.- Mặt tiền 5m.- Đường 10m, vỉa hè mỗi bên 3m cây xanh rộng, thông thoáng.- Gía bán chỉ hơn 6 tỷ.- Đặc biệt đã có sổ đỏ công chứng sang tên ngay.- Tiện ích nội khu: Trung tâm thương mại, trường mầm non quốc tế, rạp chiếu phim, bể bơi 4 mùa,... Khuôn viên cây xanh.- Xem thêm: Https://happylanddonganh.com.vn/- Liên hệ Anh Sáng: 0987 827 *** ",80 m²,Thỏa thuận,,,,,,,27/11/2022,04/12/2022,Tin thường,35809048,batdongsan_com_vn_35809048,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Chung cư mini dòng tiền, 6 tầng, 17 căn hộ dịch vụ cao cấp cho thuê, dòng tiền ổn định trên 50 triệu/ tháng.Cần tiền bán gấp CCMN đường Cầu Giấy 173m², 6 tầng mặt tiền 15m chỉ 13.8 tỷ trung tâm Cầu Giấy.- Nhà được thiết kế 6 tầng, xây dựng kiểu chung cư mini kiên cố, chắc chắn, thiết kế hiện đại, doanh thu bình quân 50triệu/tháng; gồm 17 phòng rộng khép kín, sạch sẽ, đầy đủ nội thất gồm: Giường, tủ, bàn ghế, chăn, ga gối, nệm, điều hòa, tủ lạnh, bếp, hút mùi, máy giặt sấy, hệ thống camera internet, cho thuê luôn kín phòng.- Vị trí đắc địa, khu vực trung tâm Cầu Giấy, ngõ quận ủy đẹp nhất Cầu Giấy, tiện ích không thiếu thứ gì, gần chợ, siêu thị, trung tâm thương mại, công viên Thủ Lệ, các trường học cấp 1, 2, 3, đại học Giao Thông Vận Tải, đại học Sư Phạm, đại học Thương Mại, Học Viện Báo Chí Tuyên Truyền.- Dễ dàng di chuyển ra Cầu Giấy, Nguyễn Khánh Toàn, đường vành đai 2, Xuân Thủy, Nguyễn Văn Huyên, Chùa Hà, Khúc Thừa Dụ, Trần Thái Tông, Thành Thái, Trương Công Giai, Dịch Vọng, Nguyễn Khang.- Sổ đỏ chính chủ, nở hậu, sẵn sàng đón chủ mới.- Liên hệ Mr Trọng chuyên gia bất động sản thổ cư 0355 288 ***tôi có các mặt hàng từ 1 - 90 tỷ các quận huyện nội, ngoại thành Hà Nội).            ",173 m²,13.8 tỷ,15 m,3 m,6 tầng,17 phòng,Sổ đỏ,Đầy đủ,24/11/2022,04/12/2022,Tin thường,35936416,batdongsan_com_vn_35936416,17 phòng,,
