address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Số tầng,Số phòng ngủ,Số toilet,Hướng ban công
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Dự án Thanh Hà Mường Thanh']","
Cần chuyển nhượng lô biệt thự vip Thanh Hà:- Vị trí: B1.1 BT1 - 15 lô góc xịn mặt đường 25m sau shophouse sát ngay Đại Lộ đường trục Tây Nam gần đầy đủ các tiện ích: Trường học, chung cư, công viên, hồ điều hoà, chợ thương mại...- Diện tích: 266.98m², mặt tiền rộng m.- Hướng: Đông Nam thoáng mát.LH: 0868 318 *** ",266.98 m²,90 triệu/m²,34 m,25 m,Đông - Nam,Hợp đồng mua bán,21/11/2022,28/11/2022,Tin thường,35893918,batdongsan_com_vn_35893918,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Xa La']","
Bán nhà mặt phố Xa La, Hà Đông, kinh doanh siêu đỉnh, vỉa hè đua xe, ngay lô góc.Vị trí trung tâm, giao thông cực kỳ thuận tiện, kinh doanh bất chấp mọi mặt hàng, đường trước nhà rộng thoải mái đỗ xe ngày đêm, nối với các con phố thông tứ tung KĐT Xa La, Cầu Bươu, Văn Phú, Phùng Hưng, Yên Xá, Phú La, Văn Quán, Trần Phú, Nguyễn Khuyến, Mỗ Lao, Nguyễn Trãi, Tô Hiệu.. Vv.Tiện ích xung quanh đầy đủ không thiếu thứ gì, gần chợ, trường học các cấp, Viện 103, Viện K, Viện Bỏng Quốc Gia.Thiết kế nhà cấp 4 kinh doanh.Sổ đẹp, sẵn sàng giao dịch.Liên hệ: Thế Dâng 0966 607 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",50 m²,7.3 tỷ,4.5 m,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35854293,batdongsan_com_vn_35854293,Đầy đủ,,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Dự án Thanh Hà Mường Thanh']","
Cơ hội mua hoặc chuyển lên trục chính đón đầu đường 25m khu B Thanh Hà khi giá còn siêu hợp lí:- Vị trí: B1.4 LK12 phía trước là chung cư và chợ thương mại.Nằm trên trục đường rộng và dài nhất khu B kết nối tất cả các tiện ích, liên kết đường vành đai 4. Lưu lượng phương tiện đi lại sầm uất phù hợp với mọi nhu cầu...LH E: 0868 318 *** ",100 m²,Thỏa thuận,5 m,25 m,Đông - Bắc,Hợp đồng mua bán,26/11/2022,03/12/2022,Tin thường,35726386,batdongsan_com_vn_35726386,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Chủ nhà lớn tuổi bán để dưỡng già và chia cho con căn Trần Quốc Vượng 50/62m-4 tầng-mt 3.6 GIÁ CHỈ 4T85NHÀ DÂN XÂY-TRUNG TÂM CẦU GIẤY - DIỆN TÍCH RỘNG -CÁCH NGÕ 10M - GIÁ ĐẦU TƯ F1 -Nhà diện tích trên sổ là 50m² , thực tế là khoảng 62m² có thể làm sổ. - Nhà chủ tự xây chắc chắn ,sơn sửa lại đẹp long lanh, chủ bán để dưỡng già và chia cho con. Thiết kế Tầng 1 : sân để xe rộng , bếp,phòng ăn ,kho. Tầng 2 :Bếp rộng, phòng Khách , 1 phòng ngủ khép kín, wcTầng 3 :2 phòng ngủ, wc Tầng 4: 1 phòng ngủ khép kín , phòng thờ ,sân phơi. Tổng 4 phòng ngủ,5 wc có thể cải tạo thêm phòng. Pháp lý chuẩn,sổ cất két ,chủ thiện chí sẵn sàng giao dịchSỔ ĐỎ CHÍNH CHỦ, PHÁP LÝ CHUẨN. SẴN GIAO DỊCHLiên hệ: Em Nam.Miễn phí xem nhà Nhiệt tình tận tâm - Hỗ trợ 24/24.            ",62 m²,4.85 tỷ,3.6 m,2 m,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35963777,batdongsan_com_vn_35963777,Nội thất đầy đủ,4 tầng,4 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hoàng Ngân']","
Gia đình chúng tôi cần bán lại nhà, để lại toàn bộ nội thất.Vị trí: Ngõ to rộng ô tô 4 chỗ qua nhà. - Gần các trục đường lớn Lê Văn Lương, Vũ Trọng Phụng, Quan Nhân, Nhân Hòa, Hoàng Ngân.- Xung quanh nhiều chung cư, tòa văn phòng, tiện ích đầy đủ- Gần Đại học Tự Nhiên, Nhân Văn, Ngoại Thương, Luật, LĐXH.Nhà dân xây thiết kế tâm huyết, cực kì chắc chắn.Lô góc thoáng sáng, tất cả các phòng có cửa sổ. Nhà đầy đủ phòng khách, bếp, 3 phòng ngủ, phòng thờ, sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Giá bán 4.7 tỷ thương lượng cho khách thiện chí.Liên hệ xem nhà Mr Hoàng SĐT 0964 005 *** ",38 m²,4.7 tỷ,4 m,3 m,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962209,batdongsan_com_vn_35962209,Cơ bản,4 tầng,3 phòng,3 phòng,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường Trường Sa', 'Dự án Eurowindow River Park']","
- Tặng bộ thiết bị bếp cao cấp trị giá 30tr cho căn hộ 2 phòng ngủ và 40tr cho căn hộ 3 phòng ngủ, trừ trực tiếp vào giá trị căn hộ (GTCH).- Tặng gói smarthome cao cấp trị giá 25triệu/ căn 2PN, 35triệu/ căn 3PN.- Thanh toán sớm chiết khấu 4%/ GTCH.- Thanh toán theo tiến độ chiết khấu 1%/GTCH.- Hỗ trợ vay ngân hàng lên tới 65% GTCH, n hạn trả gốc tới 12 tháng, HTLS 0% với 60% GTCH trong 12 tháng.Bàn giao tháng 6/2022, sổ hồng lâu dài.Nhận ngay giá tốt + Chính sách ưu đãi: 0968 005 ***--------------------------------------------------------------------------------Căn hộ thông minh diện tích linh hoạt.Các căn hộ có DT, từ 62,6 - 105,8m², Từ 2 - 3 phòng ngủ, phù hợp với các gia đình trẻ từ 2 - 3 thế hệ.+ Căn 2pn diện tích: 62.6m² - 63.7m² - 64.1m² - 69.5m² - 69.6m² - 69.7m² - 70.4m² - 71m² - 72.9m².+ Căn 3PN diện tích: 80.9m² - 95.9m² - 105.8m².- Căn nào cũng 2 logia thông thoáng rộng rãi, ánh sáng tự nhiên.------------------------------------------------------------------------------------Tổng quan dự án:- Vị trí Dự án: Nằm trong đấu giá Tứ Hiệp, Thanh Trì - Hà Nội, trung tâm hành chính quận Thanh Trì.Bán kính 100m: Mầm non C Tứ Hiệp, trường Tiểu Học Ngô Sĩ Kiện, trường THCS Chu Văn An (Trường điểm).- Trong tầm mắt bao trọn Công viên Hồ điều hòa Yên Sở xanh mát lá phổi xanh của Hà Nội.- Chủ Đầu Tư: Tổng công ty Tecco Hà Nội - Tập Đoàn Tecco Group.- Tổng diện tích đất: 75,258 m² (665 căn hộ).- Quy mô: 2 toà tháp A (25 tầng), tháp B (25 tầng), và 2 tầng hầm,- Tầng 1 và Tầng 2 trung tâm thương mại đầy đủ tiện ích cao cấp.- Tầng 3: Phòng sinh hoạt cộng động đồng và phòng tiện ích khác.- Pháp lý minh bạch, sổ hồng lâu dài.------------------------------------------------------------------------------------ 2 tầng hầm để xe với công nghệ thông minh.- 2 tầng thương mại dịch vụ với đầy đủ các tiện ích trong nhà: Khu giải trí, dịch vụ chăm sóc sức khoẻ, Gym, Yoga..- Tiện ích ngoài trời rộng lớn, bao gồm: Công viên cây xanh trung tâm, lối đi bộ, khu vui chơi trẻ em ngoài trời.- An ninh 3 lớp, bảo vệ tuyệt đối 24/7.- Hệ thống thang máy tốc độ cao.- Bể bơi vô cực view trọn khu biệt thự và công viên quy hoạch.Anh chị quan tâm LH để nhận giá và chính sách ưu đãi từ Phòng Kinh Doanh: 0968 005 *** ",64.1 m²,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35784153,batdongsan_com_vn_35784153,,,2 phòng,2 phòng,
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần tiền nên tôi cần bán gấp căn hộ 2 phòng ngủ, 1 vệ sinh tại khu đô thị Vinhomes Ocean Park Gia Lâm.- Diện tích căn hộ: 60m².- Sổ hồng chính chủ cầm tay.- Nội thất hoàn thiện cơ bản chủ đầu tư: Trần, sàn, thiết bị vệ sinh, hệ thống đèn điện,...- Giá bán gấp: 1,55 tỷ.            ",60 m²,1.55 tỷ,,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35868908,batdongsan_com_vn_35868908,Nguyên bản chủ đầu tư.,,2 phòng,1 phòng,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Hải Âu 02', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần bán nhanh căn shop Hải Âu 2.Trục đường to 30m, đường to, vỉa hè rộng đẹp nhất dự án.Diện tích: 100m².DT xây: 77m²/ sàn.Hướng: Đông Nam.Xây: 3,5 tầng có sân trước và sân sau thoáng.Cho thuê kinh doanh hay ở đều rất đẹp vì diện tích xây dựng lớn có thể thoải mái chia phòng, lắp thang máy. Khu phố sầm uất tập trung nhiều các văn phòng, cafe, nhà hàng.Cho thuê 40 - 50tr/ tháng.Nay gia đình có việc nên cần bán giá cắt lỗ so với khi mua.Giá chỉ 16 tỷ cho khách mua nhanh, trả tiền gọn. Sổ đỏ cầm tay.LH: 0987 162 *** ",100 m²,16 tỷ,5 m,30 m,Đông - Nam,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35709451,batdongsan_com_vn_35709451,,3 tầng,4 phòng,5 phòng,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Văn Phú']","
Nằm tại vị trí trung tâm Hà Đông, giao thông thuận tiện, đường thông thoáng, kết nối với các con đường Tô Hiệu, Quang Trung, Ngô Thì Nhậm, KĐT Văn Phú, Trần Đăng Ninh, Ngô Thì Nhậm, Ngô Quyền.Xung quanh đầy đủ tiện ích, gần TTTM Metro Hà Đông, bệnh viện Công An, nhà thi đấu Hà Đông, chợ lớn Hà Đông, chợ đầu mối 365, trường học các cấp, nhà gần Công Viên, trường Quang Trung, trường Lê Lợi, trường Lê Hồng Phong, trường Lê Lợi, Bệnh viện Công An, UB Quận Hà Đông, Văn Phú, Văn La, Ngô Thì Nhậm.Thiết kế: Kiên cố chắc chắn, đầy đủ công năng.+ Tầng 1: Phòng khách, bếp, wc, sân để xe.+ Tầng 2: Phòng ngủ, wc.+ Tầng 3: Phòng ngủ, phòng đọc sách.+ Tầng 4: Phòng tập gym, phòng ngủ.+ Tầng 5: Phòng thờ, sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: Thế Dâng 0966 607 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",43 m²,4.25 tỷ,4.5 m,,,Sổ đỏ,27/11/2022,04/12/2022,Tin thường,35854310,batdongsan_com_vn_35854310,Đầy đủ,5 tầng,4 phòng,4 phòng,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', 'Ngõ 93']","
Bán nhà Trung Kính, Cầu Giấy 50m2x4T lô góc, 3 thoáng 6.8 tỷ.- Nhà thuộc ngõ 93 Trung Kính, ngay đoạn giao Trung Kính - Vũ Phạm Hàm - Trần Kim Xuyến.- Ngõ rộng, gần phố, trước nhà xe ba gác đỗ tận cửa.- Ô tô gửi ngay đầu ngõ, xung quanh tiện ích đầy đủ.Thiết kế:- Tầng 1: Để xe, phòng khách, bếp, wc.- Tầng 2,3: Mỗi tầng 2 phòng ngủ rộng, wc. Tổng 4 phòng ngủ.- Tầng 4: Phòng thờ, sân phơi rộng.- Nội thất đầy đủ, chỉ việc về ở ngay.Sổ đỏ chính chủ, vuông vắn, giao dịch ngay.Mr Mạnh Chuyên thổ cư Hà Nội, tư vấn dẫn khách xem nhà miễn phí, nhiệt tình tận tâm.Gặp trực tiếp chủ nhà đàm phán giá. Hỗ trợ các thủ tục ngân hàng, công chứng, pháp lý. Miễn phí 100%.            ",50 m²,6.8 tỷ,,,,Sổ đỏ/ Sổ hồng,05/11/2022,05/12/2022,Tin thường,35728670,batdongsan_com_vn_35728670,,4 tầng,4 phòng,4 phòng,
