address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Nội thất,Đường vào
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Nhà hot mùa World Cup!Phố vip Thái Hà - Đống Đa, 46m² x 4 tầng, 4 ngủ, ngõ thoáng đẹp, gần phố, hơn 5 tỷ.- Nhà dân xây còn đẹp ở ngay, sổ vuông đẹp hoa hậu, mặt tiền trên 5m cực kỳ hiếm.- Anh chị nhanh tay gọi ngay để không bỏ lỡ siêu phẩm Đống Đa: 0912 865 ***Mr Hải).            ",46 m²,5.7 tỷ,5.2 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35914359,batdongsan_com_vn_35914359,,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
- Nhà 5 tầng, vỉa hè rộng thoáng.+ Tầng 1 và 2 kinh doanh thông sàn, WC.+ Tầng 3 và 4: Thiết kế mỗi tầng 2 PN, WC.+ Tầng 5: Phòng thờ, sân phơi.- Vị trí kinh doanh đắc địa, gần đường Lê trọng Tấn, Văn Phú, tuyến đường sắt trên cao Cát Linh - Hà Đông.            ",56 m²,13.9 tỷ,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35350605,batdongsan_com_vn_35350605,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Masteri West Heights']","
Masteri West Heights - Vinhomes Smart City Tây Mỗ - nam từ liêm hn, căn hộ cao cấp giá cả hợp lý.Cơ hội hoàn hảo để sở hữu căn hộ 2 phòng ngủ (55m²) tại Masteri West Heights, giá chỉ từ 2,7 tỷ/ căn.Chính sách bán hàng.- Chiết khấu lên đến 12.4% trên giá bán của phân lô.- Có thêm gói quà tặng Thu vàng lên đến 100tr mỗi căn hộ.- Nhận miễn phí quản lý 36 tháng.Căn hộ đa dạng với khu vực đơn vị khác nhau GFA (NFA).- Studio: 30.44 (26.68) m² 38,73 (35.34) m².- 1BR + : 45.86 (41) mét vuông 51.49 (47.36) mét vuông.- 2BR: 59.77 (53.37) m² - 67.66 (61.95) m².- 2BR + : 69,84 (60.24) m² 71.42 (62,91) m².- 3BR: 82.31 (71.62) m² 89.11 (79.19) m².- Duplex (8 căn): 92.38 (84.64) m² 142.82 (127.4) m².Masteri West Heights?Trang bị nội thất sang trọng với các thương hiệu hàng đầu thế giới:- Khóa cửa thông minh và thiết bị bếp Hafele (Đức).- Điều hòa âm trần Daikin (Nhật Bản).- Thiết bị vệ sinh Kohler (Mỹ).- Sở hữu bể bơi trên tầng thượng, vườn thượng uyển, phòng gym cao cấp trong nhà, Thư Viện, dạp chiếu phim, khu vui chơi trẻ em... Cùng ngàn tiện ích đẳng cấp 5 sao.- Sở hữu vị trí kim cương tại trung tâm đại đô thị #SmartCity tại thủ đô, khác biệt bởi gần sát hồ trung tâm 4,8 hecta nằm giữa 3 công viên cảnh quan, gần 2 nhà để xe nổi 10 tầng,- Dự án duy nhất tại Vinhomes Smart City có 2 tầng hầm đậu xe dưới đất.---------------------Hotline: 0966 552 ***điện thoại/ zalo/ whatsapp/ viber/ skype/wechat/line).Địa điểm Masteri West Heights: Giữa lòng Vinhomes Smart City, Nam Từ Liêm, Hà Nội.LH PKD: 0966 552 ***.3.            ",82 m²,5.09 tỷ,,,3 phòng,2 phòng,Hợp đồng mua bán.,16/10/2022,14/01/2023,Tin thường,35503300,batdongsan_com_vn_35503300,Đông - Bắc,Đông,Full nội thất cao cấp.,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
Vị trí nhà:- Nhà thuộc tổ dân phố số 5 Yên Nghĩa - Hà Đông, Cách bến xe Yên Nghĩa - tàu điện Cát Linh 500m, gần KĐT Đô Nghĩa công viên Âm Nhạc, chỉ 1 km đến trường ĐH Phenikaa - KĐT Dương Nội - Vòng xuyến Lê Trọng Tấn, KĐT Văn Phú.- Xung quanh gần chợ, trường học, các cấp, Dân cư đông đúc sầm uất, văn minh cao.- Đường trước mặt ba gác đỗ cửa có sân để xe máy riêng, 5m ra đường ô tô đỗ, vị trí sát bãi gửi xe ô tô cực kỳ thuận tiện cho hộ gia đình có ô tô.Chi tiết nhà:- Diện tích: 35m², sổ vuông.- Nhà xây 5 tầng thiết kế hiện đại: 3 phòng ngủ + 1 phòng thờ.- Nội thất: Đầy đủ nội thất cơ bản, tủ bếp gỗ xoan, cầu thang gỗ, sàn gỗ, thiết bị vệ sinh nhập khẩu, thiết bị đèn led, đèn điện đầy đủ.- Ảnh thật 100%.Pháp lý nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: Nhỉnh 2,5 tỷ (Bao phí sang tên).SĐT & zalo: 0981 261 ***Miễn trung gian môi giới).            ",35 m²,Thỏa thuận,,4 tầng,3 phòng,3 phòng,Sổ đỏ,27/11/2022,07/12/2022,Tin thường,35857430,batdongsan_com_vn_35857430,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Ngô Quyền']","
BÁN GẤP NHÀ ĐẸP NGÔ QUYỀN QUẬN HÀ ĐÔNG DIỆN TÍCH 30Mx5TẦNG MẶT TIỀN 5M GIÁ 3.45💥💥💥*MÔ TẢ:🏘️✨✨✨-NHÀ MỚI ĐẸP -GẦN PHỐ -GẦN KHU ĐÔ THỊ VĂN KHÊ.-THIẾT KẾ:🏘️✨✨✨NHÀ5TẦNG MỚI ĐẸP.-TẦNG1:PHÒNG KHÁCH 🛋️, BẾP, WC-TẦNG2,3,4: CÓ 3PHÒNG NGỦ KHÉP KÍN 🛌🛌🛌-TẦNG5:SÂN PHƠI.-SỔ ĐỎ CHÍNH CHỦ SẴN SÀNG SANG TÊN ĐỔI CHỦ.-AC: CÓ NHU CẦU XIN LIEN HỆ VỚI EM QUANG ĐỂ ĐƯỢC TƯ VẤN NHIỆT TÌNH VÀ MIỄN PHÍ.-SĐT:0334 895 ***💥🌷🌻😗            ",30 m²,3.45 tỷ,5 m,5 tầng,3 phòng,3 phòng,,27/11/2022,04/12/2022,Tin thường,35963632,batdongsan_com_vn_35963632,,,,4 m
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Vương Thừa Vũ']","
-  Vị trí: Nhà mặt ngõ phố Vương Thừa Vũ, quận Thanh Xuân. Ngõ rộng ô tô tránh, ô tô 7 chỗ vào nhà, thông mọi ngả đường. Cách mặt phố vài bước chân, kinh doanh sầm uất, đa dạng các loại hình: Văn phòng, spa -  Diện tích 55m², 6 tầng thang máy, mặt tiền 4m. Nhà đẹp, khung cột chắc chắn, nội thất cao cấp, 2 mặt thoáng trước sau, khách mua về ở ngay đón Tết. -  Thiết kế:      + Tầng 1: Gara ô tô hoặc mặt bằng kinh doanh, bếp, wc.      + Tầng 2,3,4: Mỗi tầng 2 phòng rông, wc.      + Tầng 5: Phòng thờ, sân phơi.      + Tầng 6: Tum, sân phơi. -  Đường xá rộng rãi, giao thông đi lại thuận tiện 2 phút đến Ngã Tư Sở và Royal City, kết nối các tuyến phố lớn: Hoàng Văn Thái, Trường Chinh, Quanh nhà tiện ích đầy đủ: Trường cấp 1,2 Nguyễn Trãi, chợ, bệnh viện, siêu thị, TTTM -  Sổ đỏ chính chủ, vuông vắn, sẵn sàng giao dịch. Giá 12 tỷ có thương lượng. -  Liên hệ em Thọ 096.66.6265 xem nhà miễn phí.            ",55 m²,12 tỷ,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35963491,batdongsan_com_vn_35963491,,,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Tư Đình']","
Bán Nhà Tư Đình.Q. Long Biên Hà Nội 58m²*5T giá 4.7Tỷ Ô TÔ Đỗ Cửa, 3 Bước Ra Chợ Tư Đình- Nhà đẹp, ngõ nông, 30m ô tô tránh, gần chợ Tư Đình, Đi bộ ra đường Cổ Linh, Trường Học Cấp 2 Long Biên,- Hồ Đắp Nếp, Dự án Eco Smart City đang triển khai, gần dự án Himlam, cầu Trần Hưng Đạo, tiện ích đẳng cấp đại đô thị.-  Cầu thang giữa cách điệu, tổng 6 Phòng ngủ rất rộng rãi thông thoáng.- Sổ đỏ chính chủ LH Hằng Ta: 0964 813 *** ",58 m²,4.7 triệu,5 m,5 tầng,6 phòng,6 phòng,,27/11/2022,07/12/2022,Tin thường,35963631,batdongsan_com_vn_35963631,,,,5 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Phạm Hùng', 'Dự án Vinhomes West Point']","
Thông tin các căn hộ như sau:- Căn hộ 1 studio 35.7m² thông thủy.- Căn hộ 2 ngủ 2 vệ sinh 62.3m², 67.4m², 73.4m² thông thủy.- Căn hộ 3 ngủ 2 vệ sinh 83.8m², 93.9m²... Thông thủy.Bàn giao đồ cơ bản, full đồ.Dự án cao cấp của Vinhomes, ngay mặt đường Phạm Hùng, bàn giao sử dụng chưa được 2 năm, tiện ích dịch vụ hiện đại, đầy đủ.- Quý anh chị sẽ được miễn phí đi xem trực tiếp căn hộ, được tư vấn đầy đủ, chính xác, trung thực. Hỗ trợ toàn bộ thủ tục pháp lý sang tên Sổ Đỏ, quý khách gặp trực tiếp đàm phán với chủ nhà về giá cả.Bên em sẽ làm giá cho quý khách.- Bên em luôn thực hiện các giao dịch của mình với tất cả uy tín, trách nhiệm, quan trọng nhất là thủ tục nhanh gọn, hiệu quả và minh bạch, đảm bảo quyền lợi của bên mua và bên bán.- Ngân hàng hỗ trợ vay vốn lên đến 70% giá trị căn hộ, với lãi suất thấp, giải ngân trong ngày.- (Lưu ý là bên em sẽ không tính, không thu bất kỳ chi phí nào từ khách hàng, người mua).Anh chị quan tâm vui lòng liên hệ em Hà qua zalo/sdt: 0392 418 *** ",72 m²,3.6 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,35839176,batdongsan_com_vn_35839176,Tây - Bắc,Đông - Nam,Nội thất full,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', 'Dự án Eco Green City']","
Cần tiền đầu tư gấp nên em để lại căn hộ 2 ngủ 68m² tại khu chung cư Eco Green Citycho ai có nhu cầu. Thông tin căn hộ như sau:- Diện tích 68m², thiết kế 2 ngủ, 2 vệ sinh.- Hướng cửa Đông Bắc, ban công Tây nam.- Nhà đã có sổ đỏ chính chủ.- Giá bán 2,3 tỉ, phí thương lượng.- Nội thất full kèm đồ điện tử.- Khách hàng mua căn hộ được làm việc trực tiếp với chủ nhà.- Hỗ trợ mọi thủ tục pháp lý sang tên sổ đỏ nhanh nhất, tốt nhất.- Hỗ trợ vay vốn từ nhiều ngân hàng như Vietcombank, BIDV, VPBank, VietinBank...- Cam kết hỗ trợ khách hàng cho đến khi ra sổ.Mọi người quan tâm vui lòng liên hệ sđt/zalo: 0392 418 *** ",68 m²,2.3 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35715182,batdongsan_com_vn_35715182,Đông - Bắc,Tây - Nam,Nội thất full kèm đồ điện tử,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
-  Cần bán căn nhà tại ngõ 3 Thái Hà, quận Đống Đa. Ngõ rộng, ô tô đỗ cửa, thông đi khắp mọi ngả đường. Phù hợp mở văn phòng công ty hoặc kinh doanh online. -  Diện tích 45m², 4 tầng, mặt tiền 3,6m. Nhà dân xây, khung cột chắc chắn, khách mua về sơn qua lại 1-2 lượt là đẹp lung linh đón Tết. -  Thiết kế:      + Tầng 1: Phòng khách, bếp, wc.      + Tầng 2,3: Tổng 4 phòng ngủ, wc.      + Tầng 4: Phòng thờ, sân phơi. -  Đường xá rộng rãi, giao thông đi lại thuận tiện, kết nhiều tuyến phố lớn: Chùa Bộc, Tây Sơn, Yên Lãng. Tiện ích quanh nhà đầy đủ: Trường học các cấp, ĐH Thủy Lợi, Công Đoàn, chợ, siêu thị, TTTM, nhà hàng, quán ăn -  Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo. -  Sổ đỏ phân lô, vuông vắn, pháp lý rõ ràng. Giá 8,2 tỷ có thương lượng. -  Liên hệ em Thọ 0966 656 *** xem nhà miễn phí.            ",45 m²,8.2 tỷ,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35963593,batdongsan_com_vn_35963593,,,,
