address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Mặt tiền,Số phòng ngủ,Số toilet,Số tầng,Pháp lý,Hướng ban công,Đường vào
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Hoa Sữa', 'Dự án Vinhomes Riverside']","
Gia đình cần bán 2 lô Hoa Sữa hoa hậu Vinhomes Riverside:- Hoa Sữa 5 - 11, Hoa Sữa 3 - 19 và Hoa Sữa 9 - 20.- Hướng Tây Nam, hướng Nam và Đông Bắc.- View ngã 3 sông siêu đẹp.- Đều xây thô.- Diện tích: Đều 380m².- Sàn xây dựng: 140m²/sàn.- Giá từ 69 tỷ.- Khách thiện chí liên hệ: 0932 533 ***Cảm ơn!            ",380 m²,49 tỷ,Tây - Nam,27/11/2022,07/12/2022,Tin thường,19707103,batdongsan_com_vn_19707103,,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Hoa Phượng', 'Dự án Vinhomes Riverside']","
(Chuẩn) Do nhu cầu chuyển đổi Bt lớn hơn muốn bán nhanh BT hoa phượng Vinhomes Riveride.- Diện tích gần 300m².- Xây dựng 120m²/sàn.- View sông thoáng, sân vườn rộng.- Đã hoàn thiện hiện đại.- Giá tốt nhất thị trường, 61 tỷ.- Khách nhanh nhẹn liên hệ; 0932 533 ***Cảm ơn!            ",300 m²,61 tỷ,,27/11/2022,07/12/2022,Tin thường,34715484,batdongsan_com_vn_34715484,,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Dự án Vinhomes Riverside']","
- Thông tin các căn bán lại siêu đẹp dự án KĐT sinh thái Vinhomes Riverside.* Diện tích nhỏ hơn 200m².AD05 - 03 TN 161m², hoàn thiện view vườn hoa.AD06 - 08 B 161m², xây thô view vườn hoa.AD03 - 04 ĐB 161m², xây thô.AD07 - 22 TN 161m², hoàn thiện.* Diện tích 200 - 250m².AD10 - 01 ĐN - TN 224m², lô góc, hoàn thiện đẹp.HS01 - 24 ĐN 201m², hoàn thiện cơ bản.HS02 - 03 TB 212m², view vườn hoa.AD05 - 16 ĐB 250m², view vườn hoa.HS07 - 25 ĐN 225m², xây thô.HP04 - 22 ĐB 210m², hoàn thiện cơ bản.HP06 - 26 TB 218m², hoàn thiện.HL05 - 34 ĐN 225m², hoàn thiện.HL06 - 29 ĐN 219m², hoàn thiện đẹp.HP08 - 42 TN 225m², hoàn thiện đẹp.* Diện tích 250 - 300m².HS05 - 48A ĐB 250m², xây thô.HS06 - 02 ĐN 270m², hoàn thiện.HS06 - 37 ĐN 250m², hoàn thiện.HL03 - 14 TN 250m², hoàn thiện đẹp.HP06 - 15 lô góc TB - TN 260m², xây thô.HP08 - 07 shophouse ĐN 275m², xây thô.HS03 - 24 đơn lập TB 250m², xây thô.HS06 - 14 TB 275m², xây thô.HP07 - 16 TN 288m², xây thô view 2 ngã 3 sông.HS08 - 04 TB 270m², xây thô.HS10 - 51 ĐN 275m², hoàn thiện cơ bản.* Diện tích 300 - 500m².HS05 - 24 lô góc TB - TN 315m², xây thô.HS03 - 34 TN 356m², hoàn thiện cơ bản.HS08 - 34 ĐN 315m², xây thô.HL08 - 14 TB 383m², xây thô.HL08 - 17 ĐB 308m², xây thô.AD09 - 20 ĐB 363m², hoàn thiện đẹp.HS01 - 07 ĐB 397m², hoàn thiện cơ bản.HS03 - 54 ĐN 276m², hoàn thiện cơ bản.HS05 - 44 TB 315m², hoàn thiện đẹp.HS05 - 45 TB 318m², xây thô.HS07 - 07 TB 405m², xây thô.HP01 - 05 ĐN 383m², xây thô.HP03 - 19 TN 400m², xây thô.HP03 - 44 TB 380m², hoàn thiện đẹp.HP06 - 01 ĐN 362m², hoàn thiện.HS06 - 01 ĐN 395m², xây thô.HS06 - 38 ĐN 368m², xây thô.* Diện tích 500 - 1000m².HS08 - 16 TB 507m², xây thô.HS08 - 18 ĐB 500m², hoàn thiện đẹp.HP01 - 53 ĐB 620m², hoàn thiện cơ bản.HP02 - 22 TB 567m², hoàn thiện đẹp.HP04 - Lô 39, lô 40, lô 41, ĐN tổng 1279m², siêu biệt thự sông siêu đẹp.HS10 - 14 TB 520m², hoàn thiện cơ bản, sông siêu đẹp.BL01 - 05 Nam 600m², xây thô, ngã 3 sông.BL09 - 0x Đông Nam, 500m, xây thô.BL02 - 06 ĐN 505m², hoàn thiện đẹp.BL06 - 03 ĐN 600m², hoàn thiện đẹp.Khách có duyên liên hệ: 0932 533 *** ",200 m²,35 tỷ,,27/11/2022,07/12/2022,Tin thường,26712195,batdongsan_com_vn_26712195,,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Bằng Lăng 8', 'Dự án Vinhomes Riverside']","
SĐCC, bán nhanh căn Bằng Lăng 8, sông đẹp nhất Khu Vinhomes Riverside.- Diện tích: 511m².- Xây dựng: 180m²/sàn.- Nhà hàng xóm doanh nghiệp thân thiện đã ở kín.- Nhà đã hoàn thiện rất đẹp, đồ nhập khẩu, thiết kế thoáng.- Mặt sông 50m, siêu rộng nhìn đảo dừa hoaphuong lãng mạn.- Sông view 2 ngã 3 sông.- Giá thỏa thuận.- Khách thiện chí có duyên liên hệ: 0932 533 ***Cảm ơn!            ",511 m²,Thỏa thuận,,27/11/2022,07/12/2022,Tin thường,29163308,batdongsan_com_vn_29163308,Đồ nhập khẩu.,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Nguyệt Quế', 'Dự án Vinhomes The Harmony']","
Do nhu cầu chuyển đổi BT lớn hơn bán nhanh liền kề Nguyệt Quế Vinhomes Harmony.- Diện tích 90m².- XD 65m²/sàn.- Mặt tiền 6m.- Đường to thoáng, để oto thoải mái.- Giá bán tốt bán nhanh 19.5 tỷ.- Khách thiện chí nhanh nhẹn, LH 0971 861 ***Cảm ơn!            ",90 m²,19.5 tỷ,,27/11/2022,07/12/2022,Tin thường,34715299,batdongsan_com_vn_34715299,,6 m,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Dự án Vinhomes The Harmony']","
(Chuẩn) Do nhu cầu chuyển đổi sang BT lớn hơn nên chủ nhà bán BT khu Vinhomes Riveride Harmony.- Diện tích 350m.- Mặt tiền 15m.- View sông rộng, thoáng.- Thô nguyên bản.- Đường thoáng, vỉa hè to.- Giá tốt chuyển đổi nhanh là; 61.5 tỷ.- Khách nhanh nhẹn lhe; 0932 533 ***Cảm ơn!            ",350 m²,61.5 tỷ,,27/11/2022,07/12/2022,Tin thường,34715232,batdongsan_com_vn_34715232,,15 m,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lương Thế Vinh', 'Dự án VOV Mễ Trì']","
Căn hộ 81m² VOV Mễ Trì đường Trung Văn giá 2.5 tỷ 0365 775 ***- Diện tích: 81m².- Thiết kế: 2pn 2vs.- Để lại nội thất cơ bản.- Vị trí: Nằm trên đường Trung Văn ngay sau dự án Vin Green Garden, cách đại lộ Thăng Long chỉ 300m, thuận tiện di chuyển đi lại vào khu trung tâm.- Phí dv: 3k/m².- Gửi xe máy: 80k/tháng.- Ô tô: 1200k tháng.Lh xem nhà: 0365 775 *** ",81 m²,2.5 tỷ,,23/11/2022,30/11/2022,Tin thường,35847988,batdongsan_com_vn_35847988,,,2 phòng,2 phòng,,,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Sơn']","
Nhà đẹp phố Nguyễn Sơn, ngõ rộng ô tô dừng đỗ ngày đêm, an ninh tốt, an sinh đỉnh, khu vực hàng không toàn các gia đình phi công và tiếp viên sinh sống.- Diện tích: 33m², mặt tiền 4m, 3 ngủ, giá chào 4,3 tỷ (Có thương lượng).- Nhà thiết kế hiện đại 5 tầng đầy đủ công năng: Khách, bếp, phòng thờ riêng biệt, sân trồng cây.- Nhà gần trường cấp 1,2 Gia Thụy, gần Trung tâm văn hóa hàng không, đoàn bay phù hợp với các gia đình Tiếp viên, phi công trẻ và các gia đình có con học trường Gia Thụy. Giao thông thuận tiện, an toàn.- Sổ đỏ pháp lý rõ ràng, giao dịch ngay.- Liên hệ: Em Hương 0853 602 *** ",33 m²,130 triệu/m²,,27/11/2022,04/12/2022,Tin thường,35423059,batdongsan_com_vn_35423059,Nội thất đầy đủ.,4 m,3 phòng,3 phòng,5 tầng,Sổ đỏ.,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Anh Đào', 'Dự án Vinhomes Riverside']","
Chủ nhà gửi bán 6 lô Anh Đào 170m², full đồ gỗ Óc Chó giá hợp lý - Vinhomes Riverside.Khu Anh Đào 2 - 3 - 4 - 5 - 6 - 8 - 9 - 10.- Diện tích: 170m².- Xây dựng: 90m²/3 tầng.- Cư dân đã ở kín đông vui.- Có căn vườn hoa.- Đông Nam.- Tây Bắc đều có.Giá từ - 25tỷ - 29 tỷ - 34 tỷ.Khách thiện chí liên hệ: 0971 861 ***Cảm ơn!            ",170 m²,25 tỷ,Đông - Nam,26/11/2022,07/12/2022,Tin thường,19443902,batdongsan_com_vn_19443902,Full đồ gỗ óc chó,,,,3 tầng,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Anh Đào', 'Dự án Vinhomes Riverside']","
Chủ nhà gửi bán lại quỹ Anh Đào, diện tích 162m².- Mặt tiền rộng hơn Harmony, 9.5m.- Hoàn thiện full đồ rồi chỉ việc về ở.- Xây thô cũng có.- Các căn đều có sổ đỏ.- 90m²/sàn xây dựng.- Có các hướng: Đông Nam, Tây Nam, chính Nam, Tây Bắc.- Giá từ 22 - 26.5 tỷ - 27 - 30 tỷ.- Khách thiện chí, có duyên liên hệ: 0971 861 ***Cảm ơn.            ",162 m²,22 tỷ,Đông - Nam,19/11/2022,30/11/2022,Tin thường,21990255,batdongsan_com_vn_21990255,Full đồ rồi chỉ việc về ở.,,,,,,,
