address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Hoa Lan 3', 'Dự án Vinhomes Riverside']","
Gia đình chuyển sang nước ngoài định cư. Nên cần bán lại gấp căn biệt thự Hoa Lan 3 - Vinhomes Riverside.- Diện tích đất: 261m².- Xây 115m²/sàn 4 tầng nổi + 1 tầng hầm.- Sân vườn rộng rãi, view ngã 3 sông cực thoáng.- Vị trí trung tâm, trước nhà là vườn ươm, gần khu Almaz.- Đường thông không phải quay xe.- Giấy tờ, sổ đỏ đầy đủ.- Giá bán: 45 tỷ (để lại nội thất và chịu phí sang tên cho khách mua).- Khách quan tâm nhà liên hệ: Chú Thành 0984 926 ***Hoặc để lại tin nhắn tôi sẽ gọi lại).Xin cảm ơn!            ",261 m²,45 tỷ,4 tầng,Sổ đỏ.,25/11/2022,02/12/2022,Tin thường,34422552,batdongsan_com_vn_34422552,,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường Hậu Ái']","
Bán nhà cấp 4 Vân Canh DT 38m² 2 mặt thoáng, 2PN, ô tô cách 50m, hướng Đông Nam 2 tỷ.- Diện tích 38 m².- Mặt tiền = hậu 3.25m.- Hướng Đông Nam.- Đằng sau nhà có đường nội bộ, mở cửa thoáng.- Đường trước nhà hơn 2m, cách 50m ra trục chính, đường ô tô tránh.- Nhà xây mới thiết kế hiện đại, công năng tối ưu (như ảnh).- Dưới sang phòng khách, khu bếp ăn + 1PN.- Trên gác 1 phòng ngủ rộng.- Vị trí nằm trong khu dân cư văn minh, gần chỗ đỗ xe, gửi xe ô tô.- Vị trí nằm gần KĐT An Lạc, KĐT Vân Canh hub, KĐT Vườn Cam tận hưởng mọi tiện ích xung quanh.- Vị trí nằm gần các tuyến đường lớn như quốc lộ 70, vành đai 3.5, Trịnh Văn Bô, đi các hướng Hà Đông, Cầu Giấy, Mỹ Đình thuận tiện.- Bán kính 1km có đầy đủ các trường mầm non, cấp 123, xa hơn chút có trường ĐH Công Nghiệp, ĐH Thủ Đô, ĐH Đông Á, CĐ FPT, trường song ngữ Hàn Quốc.- Chủ nhà chào bán 2 tỷ có TL và bao phí sang tên.- Gọi ngay em Toàn (24/24) để xem nhà và thương lượng trực tiếp với chủ nhà.- SĐT/Zalo 0886 959 ***- Cam kết thông tin thật 100%.            ",38 m²,2 tỷ,1 tầng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,34498970,batdongsan_com_vn_34498970,3.25 m,2.5 m,Đông - Nam,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Hoa Lan 3', 'Dự án Vinhomes Riverside']","
Do nhu cầu chuyển đổi nơi ở. Tôi cần bán lại gấp căn biệt thự Hoa Lan 3 KĐT Vinhomes Riverside.Diện tích: 228m².Xây 3 tầng nổi + 1 tầng hầm.Hoàn thiện nội thất sang trọng.Sân vườn rộng cân đối, view ngã 3 sông liền nhà.Hướng nhà Tây Bắc.Giấy tờ, sổ đỏ đầy đủ.Giá bán: 38 tỷ.Khách quan tâm xem nhà liên hệ: 0984 926 ***Xin cảm ơn!            ",228 m²,38 tỷ,3 tầng,Sổ đỏ.,26/11/2022,03/12/2022,Tin thường,34414633,batdongsan_com_vn_34414633,,,Tây - Bắc,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Hoa Phượng 7', 'Dự án Vinhomes Riverside']","
Chính chủ cần bán lại gấp căn biệt thự đơn lập Hoa Phượng Vinhomes Riverside.- Diện tích: 289m².- Xây 3 tầng nổi + 1 tầng hầm khô.- Sân vườn rộng rãi, sau ngã 3 sông liên nhà, Vị trí nội khu yên tĩnh.- Đường thông không phải quay xe.- Sổ đỏ đầy đủ.- Giá bán lại: 6X tỷ.- Khách quan tâm xem nhà liên hệ: 0984 926 ***Xin cảm ơn!            ",289 m²,Thỏa thuận,3 tầng,Sổ đỏ.,23/11/2022,30/11/2022,Tin thường,33384482,batdongsan_com_vn_33384482,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Lê Thanh Nghị']","
Cần bán nhà phố hiếm Lê Thanh nghị, quận Hai Bà Trưng, Hà nội.Diện tích 30,5m², nhà xây 4 tầng, mặt tiền 3,1m, giá bán 2,95 tỷ. Khu vực an Ninh tốt, an sinh thuận tiện, các dịch vụ xung quanh không thiếu gì. Gần nhiều Trường học phổ thông các cấp, các trường Đại học lớn cả nước: Bách Khoa. Xây Dựng, Kinh Tế Quốc Dân..., gần các bệnh viện lớn Trung ương. Giao thông đi lại hết sức thuận tiện. 10 phút đạp xe lên Hồ Hoàn Kiếm.Liên hệ trực tiếp: Cô Thành 0962 987 *** ",30.5 m²,2.95 tỷ,4 tầng,,25/11/2022,02/12/2022,Tin thường,35953944,batdongsan_com_vn_35953944,,,,,,,
"['Hà Nội', 'Long Biên', 'Dự án Vinhomes Riverside']","
Bán siêu biệt thự vị trí đắc địa view sông đẹp nhất Vinhomes Riverside.- Diện tích 995m².- Xây dựng được cơi nới 45%.- Trước mặt là khuôn viên vườn hoa, trục đường chính.- View sông cực mát, lãng mạn nhất dự án.- View hàng xóm lân cận đồng bộ cực đẹp.- Giá bán thô: 195 tr/m².- Tương lai rất khó có thể gom được vị trí to đẹp như này.* Khách hàng nhu cầu sở hữu có duyên call: 0984 926 ***Cảm ơn!            ",995 m²,Thỏa thuận,,,24/11/2022,01/12/2022,Tin thường,33880128,batdongsan_com_vn_33880128,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án The Manor Central Park']","
Chuyển đổi kinh doanh nên cần nhượng lại căn liền kề khu đô thị The Manor Nguyễn Xiển.Diện tích 99m², xây dựng 5 tầng, 2 mặt tiền.Tầng 1: Mặt tiền hơn 6m, đang làm văn phòng.Tầng 2 đến tầng 5: Để ở tầng 2 - 3 - 4, tầng 5 phòng thờ và có thiết kế sân vườn trên mái.Vỉa hè rộng, đường vào 2 ô tô, để ô tô trước sau đều được.Giá bán 26 tỷ có thỏa thuận.Liên hệ xem nhà 0945 096 *** ",99 m²,26 tỷ,5 tầng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35963328,batdongsan_com_vn_35963328,6 m,13 m,Đông - Bắc,4 phòng,4 phòng,Đầy đủ.,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Bán nhà phố Minh Khai, khu vực trung tâm quận Hai Bà Trưng.Ngõ thông, nông, thuận tiện đi lại, gần chợ, siêu thị, bệnh viện, trường học các cấp. Tiện ích không thiếu gì. Hàng Xóm thân thiện gần gũi. Cách bãi đỗ ô tô 50m, 100m ra mặt phố lớn.Diện tích 32m², 4 tầng, 3 ngủ, đủ công năng sử dụng. Nhà xây khung cột bê tông chắc chắn.- Miễn trung gian, môi giới.- Liên hệ: Cô Thành 0962 987 *** ",35 m²,2.75 tỷ,4 tầng,,25/11/2022,02/12/2022,Tin thường,34686371,batdongsan_com_vn_34686371,,,,3 phòng,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Trường Chinh']","
Cần bán chung cư E3 Nguyễn Trãi - Trường Chinh - Ngã Tư SởLiên hệ Trường chủ đầu tư 0971 846 ***Tòa nhà nằm trung tâm quận, đi lại thuận tiện giữa các quận, gần công viên, gần chợ, siêu thị, trường học cấp 1 cấp 2 cấp 3.Giá bán: 599tr - 850tr - 946tr - hơn 1 tỷ.Diện tích: 45m - 48m - 49m - 52m - 56m.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ chủ đầu tư.            ",48 m²,850 triệu,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35929240,batdongsan_com_vn_35929240,,,Đông,2 phòng,1 phòng,Nội thất đầy đủ về ở ngay,Đông - Nam
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Kiều', 'Số nhà 17 ngõ 17']","
Chính chủ cần bán cho con đi du học!Ô tô 7 chỗ đỗ cửa - nhà kiên cố, chắc chắn - phân khúc ô tô hiếm: (Ngõ 17 Phú Kiều) chính chủ bán.* Số nhà 17, ngõ 17 Phú Kiều, Bắc Từ Liêm.* 35m² - 4 tầng - MT 5m - 4.2 tỷ.+ Nhà mình: Trước nhà rộng, 2 ô tô con tránh nhau được, sửa lại cửa ô tô 7 chỗ vào nhà.+ Trước nhà là trường mầm non, thoáng vĩnh viễn.+ Nhà mình tự xây kiên cố chắc chắn, có thể thêm tầng thoải mái.+ Thiết kế cơ bản:Tầng 1: Phòng khách, bếp, vs.Tầng 2,3: Mỗi tầng 1 ngủ, vs.Tầng 4: Phòng thờ, sân phơi.* Sổ đỏ vuông đẹp, cất két, sẵn sàng giao dịch.0336552233 Xem nhà 24/7.            ",35 m²,4.2 tỷ,4 tầng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,34127149,batdongsan_com_vn_34127149,5 m,6 m,,2 phòng,3 phòng,,
