address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số phòng ngủ,Nội thất,Hướng ban công,Số toilet,Đường vào
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Chủ nhà gửi bán shophouse, biệt thự, liền kề Vinhomes Green Bay Mễ Trì giá tốt nhất thị trường:1. Giá tốt nhất thị trường: Liền kề thô, căn góc, DT 127,5m², hướng Đông tứ mệnh, giá 4X tỷ.2. Biệt thự song lập, khu Thạch Thảo, hướng Tây Tứ Mệnh, DT 150m², mặt tiền 7,5m, xây 4 tầng: Gồm 3 nổi, 1 hầm, mỗi sàn 85 - 87m², giá 5X tỷ.3. Biệt thự song lập 193,6m², hướng Tây tứ mệnh, nhà đã hoàn thiện, khu Mộc Lan, xây 4 tầng: Gồm 3 nổi, 1 hầm, mặt tiền 8m, mỗi sàn 91 - 93m², giá 71tỷ.4. Biệt thự song lập hướng Đông Nam, mặt tiền 10m, dt 150m², nhà hoàn thiện, khu Mộc Lan, xây 4 tầng gồm 3 nổi 1 hầm, tổng dt xây dựng 319m², giá 55 tỷ.5. Liền kề 93,5m² hướng Đông Nam, nhà đã hoàn thiện, mặt tiền 5.5m, xây 70m²/ sàn, gồm 3 tầng nổi, 1 hầm, đường Thạch Thảo 2 - giá 34 tỷ.6. Liền kề thô, căn góc, DT 127,5m², hướng Đông tứ mệnh, giá 4X tỷ.7. Shophouse 96m², đã hoàn thiện nằm ở Mộc Lan 6, xây 3 nổi, 1 hầm, chủ nhà bán 45tỷ.8. Shophouse góc 144 m², căn góc siêu đẹp, kinh doanh và ở đều rất đẹp, xây 3 tầng nổi, 1 tầng hầm, là một trong những căn hoa hậu của dự án, giá 6X tỷ.Cam kết sổ đỏ chính chủ, pháp lí rõ ràng minh bạch, giá tốt nhất thị trường.Liên hệ Việt Anh xem nhà 0915 698 *** ",157 m²,Thỏa thuận,Đông - Nam,4 tầng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,33522513,batdongsan_com_vn_33522513,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Láng']","
Tọa lạc giữa Đống Đa, trên đường Láng huyết mạch đẫn đến quá nhiều các trường đại học.Cách mặt phố rất gần, ngõ đẹp, nhà đẹp m, đầy đủ đồ chỉ việc vào ở. Vị trí không lúc nào trống phòng.- Toà nhà 5 tầng 10 phòng hiện đang cho thuê kín phòng. Thu nhập ổn định 55triệu / tháng.Thiết kế:- Tầng1: Để xe và 1 phòng nhỏ.- Tầng 2,3,4: Mỗi tầng 2 phòng khép kín.- Tầng 5: 3 phòng ngủ nhỏ.Nhà thiết kế mô hình cho thuê phòng, các vách ngăn chia phòng có thể tháo dỡ mà không ảnh hưởng kết cấu khi thấy đổi công năng của toà nhà.60m². 5 tầng. MT 4.5m.Giá 8.5 tỷ.Sổ đỏ chính chủ nở hậu nhẹ đẹp.Ms Dương 0935 361 ***. 0377 020 ***.            ",60 m²,8.5 tỷ,,5 tầng,Sổ đỏ chính chủ.,27/11/2022,06/12/2022,Tin thường,35087950,batdongsan_com_vn_35087950,4.5 m,10 phòng,Full đồ.,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Kim Ngưu']","
Kim Ngưu duy nhất một căn nhà 2 tầng nằm trên mặt ngõ thông, ô tô tải vào nhà, ngõ thẳng tắp 50m ra đến phố lớn.Nhà có thể ở ngay hiện đang kinh doanh rất lộc thu đều trên 40tr/tháng.Vị trí đẹp, tiện ích không thiếu gì, lại có giá trị mặt ngõ kinh doanh quả thật rất hiếm tìm khu vực Hai Bà Trưng.52m². 2 tầng. MT 4.2m.Giá 9.5 tỷ.Sổ đỏ chính chủ.Ms Dương 0935 361 ***. 0377 020 ***.            ",52 m²,9.5 tỷ,,2 tầng,,27/11/2022,06/12/2022,Tin thường,34907981,batdongsan_com_vn_34907981,4.2 m,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', '32', 'Eco Lake View']","
0947 105 ***! Tôi cần bán gấp hai căn hộ chung cư Eco Lake View 32 Đại Từ - Hoàng Mai tòa HH2, do chuyển công tác nên tôi bán để tiện cho công việc.- Tầng 18 căn 04: Diện tích 76m², 2 phòng ngủ, 1 khách, bếp, 2 vệ sinh.- Tầng 22 căn 02: Diện tích 94m², 3 phòng ngủ, 2 vệ sinh, 1 phòng khách, 1 ban công.- Tầng 21 căn 06; Diện tích 103m², 3 phòng ngủ, 2 vs, 1 phòng ngủ, 2 ban công, toà HH2A, nhà full nội thất đẹp xịn.Tôi cần bán gấp, sổ đỏ chính chủ.Ai có nhu cầu liên hệ trực tiếp với tôi qua số 0947,105,567 tôi tên Linh.            ",103 m²,Thỏa thuận,Tây - Bắc,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,34910376,batdongsan_com_vn_34910376,,3 phòng,Nội thất đầy đủ đẹp xịn.,Đông - Nam,2 phòng,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Hoàng Hoa Thám']","
Quá hiếm và rẻ đẹp nhất Hoàng Hoa Thám.Chỉ cách ô tô 10m, ngõ rộng thoáng, khu dân cư văn minh, sầm uất.Giữa thủ đô duy nhất chỉ có biệt thự mini trắng siêu hiếm. Chỉ em có nên cần xem ngay không hết nhanh lắm.85m². 3 tầng. MT 5m. Chỉ 7.95 tỷ.Sổ đỏ chính chủ.Ms Dương 0935 361 ***  ",85 m²,7.95 tỷ,,3 tầng,Sổ đỏ chính chủ,27/11/2022,06/12/2022,Tin thường,32519789,batdongsan_com_vn_32519789,5 m,4 phòng,,,4 phòng,3 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
- Cần bán gấp nhà Gốc Đề 5 tầng 3 ngủ 2 tỷ 25 - 1 nhà ra mặt Gốc Đề - kinh doanh.Sổ đỏ đẹp.Quan tâm gọi em Bính: 0973 807 *** ",25 m²,2.25 tỷ,,5 tầng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,35925043,batdongsan_com_vn_35925043,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Dự án The Eden Rose']","
Do không có nhu cầu ở nên tôi cần bán nhanh căn liền kề hướng đông bắc, diện tích 82.5m², cạnh căn góc gần vườn hoa. Giá 10.2 tỷ, liên hệ: 0845 330 *** ",82.5 m²,10.2 tỷ,Đông - Bắc,,,26/11/2022,06/12/2022,Tin thường,35272837,batdongsan_com_vn_35272837,5 m,,,Đông - Bắc,,17 m
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', '136', 'Goldmark City']","
Bán nhanh trong tháng căn 2N 2VS R3 Goldmark City 136 Hồ Tùng Mậu. Giá cực ưu đãi cho anh chị chốt sớm trong tháng: Nhỉnh 3 tỷ.View - hướng siêu đẹp, siêu thoáng.Chủ nhà chuyển lên 3N nên cần nhượng lại ngôi nhà cực phong thuỷ này lại cho anh chị có nhu cầu Nhà ở rất lộc ạ.Pháp lý: Sổ đỏ vĩnh viễn.Diện tích: 83m².Hướng: Đông Nam.Đông ấm - Hạ mát.Full đồ nội thất.Giá nhỉnh hơn 3 tỷ (có thương lượng).Liên hệ chi tiết và xem nhà: 0961 878 *** - Em Thuỷ.            ",83.3 m²,Thỏa thuận,Tây - Bắc,,Đang chờ sổ,25/11/2022,02/12/2022,Tin thường,35949750,batdongsan_com_vn_35949750,,2 phòng,Nội thất đầy đủ,Đông - Nam,2 phòng,
"['Hà Nội', 'Tây Hồ', 'Phường Nhật Tân', 'Đường Lạc Long Quân']","
- Chính chủ cần bán tòa nhà văn phòng mặt phố Lạc Long Quân, quận Tây Hồ, cạnh TT thương mại Lotte Lạc Long Quân, view Hồ Tây.- Nhà 7 tầng (1 hầm + 6 nổi) diện tích 260m² mặt tiền 10m thiết kế thông sàn làm.- Vị trí trung tâm gần các ban ngành UBND quận Tây Hồ, phù hợp với mọi loại hình Kinh doanh.- Sổ đỏ chính chủ liên hệ trực tiếp: 0918 995 ***không tiếp trung gian, môi giới).            ",260 m²,95 tỷ,,7 tầng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35630907,batdongsan_com_vn_35630907,10 m,12 phòng,,,12 phòng,40 m
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Minh Khai', 'Đường Văn Trì']","
Ngay chùa Văn Trì - Minh Khai - Bắc Từ Liêm.Em cần bán nhanh nhà tại Văn Trì.Pháp lý: Sổ đỏ trao tay.Vị trí đẹp - kết nối thuận lợi ngay gần chợ, bv và các trường ĐH lớn như: ĐH Công nghiệp, ĐH Tài Nguyên & Môi trường, Trường TH Minh Khai xây mới siêu đẹp.Diện tích đất: 34m².Nhà xây 3 tầng + 1 tum (note thêm cho anh chị KH là trên tum có view siêu lòng luôn đó ạ).Thiết kế cực hợp lý - tận dụng tối đa công năng.Tầng 1: Khách + Bếp.Tầng 2: 2PN + Vs.Tầng 3: 2PN + Vs.Tầng tum: Sân phơi hoặc nếu thích anh chị có thể thiết kế thêm phòng ngủ/phòng làm việc.Bàn giao full đầy đủ nội thất, thiết bị anh chị chỉ cần xách vali tới ở thui ạ.Liên hệ tư vấn và xem nhà AC gọi em Thuỷ: 0961 878 *** ",34 m²,3 tỷ,Đông - Nam,4 tầng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35949633,batdongsan_com_vn_35949633,,4 phòng,Nội thất đầy đủ,Đông - Nam,3 phòng,
