address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Nội thất
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Em cần tiền cho con đi du học e, muốn bán nhanh căn 2PN + 2VS view thoáng mát, tầng trung tại Vinhomes Ocean Park Gia Lâm.+ Diện tích: 68m².+ Thiết kế: 2 phòng ngủ, 2 nhà vệ sinh, phòng khách, bếp, ban công, lô gia.+ Căn hộ được hưởng tất cả các tiện ích của đại đô thị Vinhomes từ bể bơi, nướng BBQ, trung tâm thương mại Vincom phục vụ cư dân mua sắm.+ Sổ hồng lâu dài.+ Giá bán: 1.850 tỷ (giá cắt lỗ).+ Xem nhà miễn phí 24/7: 0976 366 *** ",68 m²,1.85 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35712948,batdongsan_com_vn_35712948,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Bán nhà 5 tầng tại đường Xuân Đỉnh, diện tích 40 m², nhà lô góc, có hai hướng, 1 hướng chính Bắc, 1 hướng Tây Nam. Cách ô tô tránh 50m. Thiết kế tầng 1 để bếp và phòng khách, tầng 2, tầng 3, tầng 4 thiết kế mỗi tầng có 01 phòng ngủ và lối cầu thang thoáng mát, tầng 5 để phòng thờ và sân phơi.Vị trí cách đường Xuân Đỉnh 100m, phường Xuân Đỉnh, cách công viên Hòa Bình, chợ đầu mối Xuân Đỉnh 200m.Nhà đẹp chắc chắn.Nhà gần tòa nhà Xuân Đỉnh, khu Ngoại Giao Đoàn, đại sứ quán Hàn Quốc.Gia đình cần bán gấp, giá 4.45 tỷ (Có gia lộc may mắn).LH SĐT: 0972 264 *** ",40 m²,4.45 tỷ,3 phòng,3 phòng,Sổ đỏ chính chủ,27/11/2022,04/12/2022,Tin thường,20909090,batdongsan_com_vn_20909090,3.85 m,3 m,Tây - Nam,Tây - Nam,5 tầng,Đầy đủ.
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Minh Khai', 'Đường Văn Trì']","
Chính chủ cần bán nhà DT 35m² 4,5 tầng vị trí cách đường oto 20m nhà xây mỗi tầng 2 phòng, gần bãi xe. Đi lại thuận tiện, nhà mới xây kiên cố hiện dại giá 3,35 tỷ sổ đỏ chính chủ thương lượng trực tiếp. Liên hệ 0934 224 *** ",35 m²,3.35 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35547825,batdongsan_com_vn_35547825,,,,,5 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Thị Định']","
Bán nhà riêng phố Nguyễn Thị Định, Cầu Giấy.Vị trí:- Vị trí nằm cách phố Nguyễn Thị Định 30m, ngõ thông, ô tô 7 chỗ vào nhà, ô tô tránh, kinh doanh mọi loại hình.- Khu vực trung tâm quận, tiện ích vô vàn. Giao thông thuận tiện kết nối với Trần Duy Hưng, Vành Đai 3, Láng,... Đi đâu cũng tiện.- Khu phân lô, dân trí cao, an sinh đỉnh.Thiết kế:- Chủ nhà tự tay xây dựng tâm huyết, thiết kế để có thể vừa ở vừa kinh doanh được rất tiện.- Nhà còn mới, đẹp do chủ ở ít, giữ gìn, thang máy xịn xò, phòng nào cũng mở cửa sổ ánh sáng ngập tràn, cực thoáng mát.- Nội thất cơ bản chủ nhà tặng lại cho khách hữu duyên.Thiết kế:- Tầng 1: Thông sàn VP, thang máy, WC.- Tầng 2,3,4: Mỗi tầng 1 phòng rộng Khép kín, cầu thang bộ.- Tầng 5: Phòng ăn.- Tầng 6: Phòng thờ + sân phơi.Khu vực rất hiếm nhà bán, dân trí cao, đang sống bậc nhất quận.Chủ nhà thiện chí bán, sổ đỏ sẵn sàng giao dịch.            ",40 m²,16.4 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35328321,batdongsan_com_vn_35328321,3.6 m,4 m,,,6 tầng,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ e cần tiền nên muốn bán nhanh căn studio (tặng nội thất 250tr) hướng Đông Nam, tầng trung tại Vinhomes Ocean Park.- Diện tích: 31m².- Full nội thất đẹp.- Hướng Đông Nam siêu thoáng mát.- Căn hộ được thiết kế hiện đại, xinh xắn với đầy đủ các tiên ích đi kèm của cư dân, phù với với vợ chồng trẻ, với gd ít thành viên thích xum vầy.- Gía bán: 980tr(tặng lại toàn bộ nội thất).- Đã có sổ đỏ cầm tay.- Xem nhà miễn phí 24/7: 0976 366 *** ",31 m²,980 triệu,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35724559,batdongsan_com_vn_35724559,,,Đông - Nam,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
Bán gấp căn góc LK Văn Khê - La Khê 42/50m² x 5 tầng MT 15m kinh doanh, văn phòng 7.15 tỷ.CC cần bán gấp căn liền kề lô góc khu La Khê Hà Đông, đường Tố Hữu đối diện KĐT An Hưng.Vị trí đẹp cách mặt phố Tố Hữu 50m, siêu thị Aeon 2km, BX Mỹ Đình, Sân vận động Quốc Gia chỉ 5km.Nhà mua đất tự xây thiết kế hiện đại, căn góc mặt tiền lớn phù hợp kinh doanh, làm văn phòng, spa, tt ngoại ngữ vv. Ăn.Nhà hiện đang cho thuê cả nhà 20tr/tháng chủ mới có thể kết thúc hợp đồng hoặc cho thuê tiếp dòng tiền ổn định.Sổ đỏ cất két sẵn sàng giao dịch.            ",50 m²,7.15 tỷ,,,Sổ đỏ/ Sổ hồng,27/11/2022,05/12/2022,Tin thường,35593253,batdongsan_com_vn_35593253,,12 m,,,5 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Đường Tây Sơn']","
Nhà đối diện chếch trường đại học Thuỷ Lợi, cạnh trường trung cấp Nghiệp Vụ Công Đoàn, giao thông tiện lợi, gần chợ, bệnh viện. Có chỗ gửi xe ô tô cạnh nhà giá rẻ.Sổ đỏ chính chủ, sẵn sàng giao dịch.Khu vực an ninh tốt, dân trí cao, điện nước ổn định, văn minh, yên tĩnh.Giá bán: 5 tỷ 7 (có thương lượng cho khách thiện chí lấy).Liên hệ chính chủ: Giang: 0906 226 *** ",40 m²,5.7 tỷ,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,19/11/2022,29/11/2022,Tin thường,35638043,batdongsan_com_vn_35638043,,,,,3 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
Trung tâm quận Đống Đa, nhà mới 7 tầng thang máy, vỉa hè rộng, ô tô tránh, kinh doanh, 30 tỷ, vị trí nằm gần các trường Đại Học Công Đoàn, Đại Học Thủy Lợi, Học Viện Ngân Hàng, Bệnh viện Đống Đa, Quận Ủy Đống Đa, Văn Phòng Công Chứng Hoàng Cầu, Vườn Hoa 1 - 6, Vườn Hoa Trần Quang Diệu, giao thông thuận tiện với nhiều trực phố chính Chùa Bộc, Hoàng Cầu, Trần Quang Diệu, Võ Văn Dũng, Thái Thịnh, Tây Sơn, Nguyễn Lương Bằng, Huỳnh Thúc Kháng, Ngã Tư Sở, Nguyễn Trãi, Trường Chinh,... Mấy trăm mét ra Hồ Đống Đa. Sổ đỏ đẹp chính chủ, liên hệ Quang Huy (Không tiếp MG, trung gian).            ",80 m²,30 tỷ,4 phòng,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin thường,35616704,batdongsan_com_vn_35616704,,,,,7 tầng,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Chủ nhà chuyển chỗ ở. Cần bán căn 3PN 2WC dự án Le Grand Jardin, Sài Đồng:- Ban công view hồ đắt giá.- Thiết kế 2PN siêu rộng.- Rộng thông thủy 75.8m².- Nội thất nguyên bản chủ đầu tư.- Giá ưu đãi vì quỹ căn chủ đầu tư hiện tại đã hết.Giá 2 tỷ 720 triệu, bao phí sang tên đang, đã có sổ.Qũy chuyển nhượng của dự án cực hot:* Tòa G1:- Tầng thấp, căn 2PN, diện tích 75m², 2.8 tỷ, bao phí, có trừ 5% nhà nguyên bản.- Tầng thấp, căn 2PN, diện tích 75m², 3.1 tỷ, thu về, full nt, đã có sổ.- Tầng thấp, căn 2PN, diện tích 75m², 2.72 tỷ Bao phí, đã có sổ, nt nguyên bản.- Tầng thấp, căn 2PN, diện tích 83.4m², 3,35 tỷ bao phí, nt cơ bản (nong lạnh. Điều hòa, bếp, tủ bếp).* Tòa G2:- Tầng cao, căn 2PN, diện tích 75m², 2.9 tỷ bao phí, có đồ liền tường + đh, có sổ, đang cho thuê hết tháng 12/22. *.- Tầng cao, căn 2PN, diện tích 75m², 3. X tỷ full nt.- Tầng trung, căn 2PN + 1, 83.4m², 3.2 tỷ bao phí.- Tầng cao, căn 2PN, diện tích 75m², 3.05 tỷ bao phí, có ra lộc, full nội thất.- Tầng cao, căn 2PN + 1, diện tích 83.4m², đã thi công thô, 3 tỷ bao phí, có sổ.* Tòa G3:- Tòa L3, tầng cao, căn 2PN, diện tích 66m², 2,5 tỷ thu về, đồ liền tường, có sổ.- Tòa L3, tầng cao, căn 2PN, diện tích 2,8 tỷ thu về, 2pn, có đồ liền tường và 1 số đồ điện tử, có sổ.- Tòa L3, tầng cao, căn 2PN, diện tích 66m², 2,5 tỷ thu về, đồ liền tường, có sổ.- Tòa L3 tầng cao, căn 2PN, diện tích 65m², 2pn2wc, 3ty thu về, có đồ, có sổ.* Tòa L4:- Tầng cao, căn 2PN, diện tích 64m², 2 tỷ 620 triệu bao phí, trừ lại 5% làm sổ.- Tầng cao. Căn 2PN, diện tích 54m², 2 tỷ 300 triệu bao phí.Tòa G5:- Tầng trung, căn 01, 3.2 thu về, nguyên bản. Ngoài ra quỹ căn còn nhiều căn đẹp, quý khách hàng liên hệ xem nhà vui lòng gọi điện tới: 0987 819 *** ",75.8 m²,2.72 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,20/11/2022,04/12/2022,Tin thường,35884398,batdongsan_com_vn_35884398,,,,,,Cơ bản
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ']","
Chính chủ cần bán gấp mảnh đất phố Láng Hạ, trung tâm Đống Đa.Diện tích rộng, mặt tiền khủng 12m, thửa đất vuông vắn, phù hợp xây văn phòng, khách sạn, nhà hàng,...Mảnh đất hiếm có còn sót lại tại quận Đống Đa nhiều khách săn lùng.Liên hệ Mr Hà: 0915 136 *** ",400 m²,57 tỷ,,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35939346,batdongsan_com_vn_35939346,,,,,,
