address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', 'Dự án GoldSeason']","
Tôi chính chủ bán căn hộ chung cư GoldSeason, Đường Nguyễn Tuân, Thanh Xuân Hà nội.Nhà tôi mua từ khi chủ đầu tư bàn giao nhà và có ý định ở lâu dài nên nội thất rất chỉn chu và sử dụng giữ gìn, được thiết kế phù hợp với căn hộ và để lại toàn bộ cho chủ sau.- Căn hộ full kính.- Diện tích thông thủy 102m² với thiết kế 3 ngủ đều full kính, 1 phòng khách full king rộng rãi đón ánh sáng, 2 nhà vệ sinh, 1 phòng bếp thiết kế siêu đẹp.Hướng ban công Đông Nam mát mẻ.- Nội thất xin như hình chỉ cần sách vali về ở.Giá mong muốn 5 tỷ có bớt cho ai thiện chí.- Sổ đỏ tên tôi.Liên hệ xem nhà: 0972 509 *** ",102 m²,5 tỷ,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất như hình,26/11/2022,03/12/2022,Tin thường,35478345,batdongsan_com_vn_35478345,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Võ Chí Công']","
Chính chủ bán tòa CHDV - CCMN Hà Nội 50m² x 5 tầng ở Võ Chí Công - Lạc Long Quân - Tây Hồ - cách 1 nhà ra đường ô tô.Giá: 6.4 tỷ (chìa khoá trao tay - bao sang tên sổ đỏ.LH: 0936 937 ***Ms Hiền).---------------------------------Mô tả chi tiết:Tòa nhà cho thuê 5 tầng, mặt tiền 5,05m², nở hậu, gồm 9 phòng full nội thất 3 sao.Nội thất gồm: Điều hòa, nóng lạnh, hút mùi, máy giặt, máy sấy, cửa từ, giường, tủ quần áo, chăn ga, gối đệm, Tủ lạnh...Doanh thu cho thuê 600tr/năm an toàn - hiệu quả.Đầy đủ thiết bị wifi + camera.---------------------------------Vị trí phù hợp để cho thuê ổn định.5' đi bộ ra Hồ Tây lộng gió.O tô đỗ cách 1 nhà, ngõ thông thuận tiện đi lại.Tại đây nhu cầu thuê luôn hot, tòa nào cũng cháy phòng.Siêu thị, chợ, trường học, bệnh viện, bể bơi, phòng tập gym cách 100m.-----------------------------Sổ đỏ cất két giữ tiền có thêm thu nhập cố định 600 triệu mỗi năm.--------------------------------Cam kết hỗ trợ vay vốn ngân hàng ít nhất 50% giá trị mua nhà.--------------------------------LH: 0936 937 ***Ms Hiền).Xin cảm ơn!            ",50 m²,6.4 tỷ,,,9 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ ,27/11/2022,07/12/2022,Tin thường,35846867,batdongsan_com_vn_35846867,5 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
Chính chủ bán tòa ccmn Hà Nội 70m² x 5 tầng gồm 9 phòng khép kín đủ đồ đẹp ở Trần Duy Hưng - Trung Kính Q. Cầu Giấy.Giá: 7.9 tỷ (chìa khoá trao tay - bao sang tên sổ đỏ.LH: 0936 937 ***Ms Hiền).---------------------------------Mô tả chi tiết:Nhà dân xây, chắc chắn, kiên cố, thang bộ, Tổng 09 phòng, trong đó: 4 phòng 1 khách 1 ngủ và 5 phòng studio đủ đồ.Nội thất gồm: Điều hòa, nóng lạnh, bàn ghế sofa, hút mùi, máy giặt, máy sấy, cửa từ, giường, tủ quần áo, chăn ga, gối đệm...Cho thuê đạt 60tr/th (720 triệu /năm) (chưa kể tiền điện, nước, internet, dịch vụ... ).Đầy đủ thiết bị wifi + camera.---------------------------------Vị trí phù hợp để cho thuê ổn định.Khu vực buôn bán - kinh doanh sầm uất của Phường Trung Hòa, Q. Cầu Giấy.Ngõ thông khắp ngả: Trần Duy Hưng, Trung Kính, Tú Mỡ, Nguyễn Chánh...Tại đây nhu cầu thuê luôn hot, tòa nào cũng cháy phòng.Siêu thị, chợ, trường học, bệnh viện, bể bơi, phòng tập gym cách 100m.-----------------------------Sổ đỏ cất két giữ tiền có thêm thu nhập cố định 720 triệu mỗi năm.--------------------------------Cam kết hỗ trợ vay vốn ngân hàng ít nhất 50% giá trị mua nhà.--------------------------------Lh trực tiếp: 0936 937 ***Ms Hiền).Xin cảm ơn!            ",70 m²,7.9 tỷ,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ ,27/11/2022,07/12/2022,Tin thường,35846849,batdongsan_com_vn_35846849,5 tầng,,
"['Hà Nội', 'Thạch Thất', 'Xã Yên Trung', 'Đường 446']","
Tôi cần bán lô đất mặt đường 446 Đầm Bối, Yên Trung, Thạch Thất.Đất ngay mặt đường 446, cạnh UBND xã, trường tiểu học Yên Trung, gần chợ Yên Trung. Cách cao tốc Hòa Bình - Hòa Lạc và khu CN Yên Quang chỉ 500m.Lô đất diện tích full 101m² thổ cư, vuông vắn, mặt tiền 5m.Mặt đường trước đất rộng 12m.Lô đất thích hợp cho việc kinh doanh buôn bán (mặt đường, trung tâm xã, gần khu CN), hoặc đầu tư (tiềm năng tăng giá cao khi khu CN Yên Quang đi vào hoạt động).Giá rao bán 15,8 triệu/m² (có thương lượng).Liên hệ (Nguyên): 0866 858 *** ",101 m²,15.8 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,,24/11/2022,01/12/2022,Tin thường,34930922,batdongsan_com_vn_34930922,,5 m,12 m
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Bán tòa nhà 135m² MT 8.2m xây 11 tầng 1 hầm tại Thái Hà, oto tránh, vị trí đắc địa.Tòa nhà thuộc dòng kinh doanh đa dạng, khách sạn, VP, Vui chơi giải trí.Hiện chủ đang cho thuê, dòng tiền 170tr/ tháng.Chủ cần bán gạ chào còn 33 tỷ có thương lượng.Lh em Xuân để biết thông tin cụ thể.0983298465, 0916 156 *** ",135 m²,33 tỷ,,,,,,,27/11/2022,04/12/2022,Tin thường,35962966,batdongsan_com_vn_35962966,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương']","
Chính chủ tôi cần bán căn hộ 120m² tòa 18T2. Thiết kế 3PN và 2WC.Nhà tôi rất đẹp, đủ nội thất, chủ mới có thể dọn vào ở luôn.Tòa nhà nằm ở vị trí trung tâm, di chuyển thuận tiện, không gian sống thoáng mát.Giá bán 4.55 tỷ có bớt cho anh chị thật sự nhiệt tình.Xem nhà lh: 0988 637 *** ",120 m²,4.55 tỷ,,,3 phòng,2 phòng,,,24/11/2022,01/12/2022,Tin thường,35943157,batdongsan_com_vn_35943157,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Tả Thanh Oai', 'Ngõ 15']","
Chính chủ bán nhà ngõ cấp 4 ngõ 15 Tả Thanh Oai 40m². Giá 1.85 tỷ. MTG.- Cuối năm gia đình cần tiền kinh doanh cần bán mảnh đất 40 m² có nhà cấp 4 tại ngõ 15 Tả Thanh Oai.- Mảnh đất vuông vắn không lỗi phong thủy, pháp lý chuẩn.- Ngõ trước nhà rộng, vài bước chân ra đến đường chính Tả Thanh Oai.- Giá chỉ hơn 40tr/m² tương lai tăng giá còn rất nhiều. Đặc biệt khi Thanh Trì lên quận giá đất sẽ tăng rất mạnh.Chi tiết vui lòng liên hệ E Hoàng 0986715383.(miên trung gian môi giới dưới mọi hình thức).            ",40 m²,1.85 tỷ,,,,,Sổ đỏ/ Sổ hồng.,Cơ bản.,25/11/2022,02/12/2022,Tin thường,35776833,batdongsan_com_vn_35776833,,,3 m
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú']","
+ Vị trí đẹp đắc địa, thích hợp xây ccmn cho thuê.+ Đất Trần Phú, kinh doanh tấp nập đủ loại hình, thông ra khu dân cư Văn Quán, đầy đủ tiện ích. Giao thông thuận tiện gần đường Quang Trung, Nguyễn Trãi, Vũ Trọng Khánh, Làng Việt Kiều Châu Âu.+ Diện tích 70m², MT 8m, hiện trạng là bãi đất trống.+ Sổ đỏ vuông đẹp.+ Giá bán 3.6 tỷ chỉ ra lộc.+ Liên hệ e Xung ngay để được tư vấn pháp lý ngân hàng quy hoạch và xem nhà miễn phí.+ Miễn ace môi giới.+ Zalo 0981 715 *** ",70 m²,3.6 tỷ,,,,,Sổ đỏ/ Sổ hồng,,21/11/2022,28/11/2022,Tin thường,35776996,batdongsan_com_vn_35776996,,8 m,5 m
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Thông tin căn hộ.Diện tích: 70 m².Căn hộ gần các tiện ích trường học, hồ lớn, dãy nướng BBQ.Căn hộ đã có đầy đủ nội thất liền tường.Sổ đỏ chính chủ cầm tay.Giá bán nhanh: 2.1 tỷ bao phí.Liên hệ: 0812 602 *** ",70 m²,2.1 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,21/11/2022,28/11/2022,Tin thường,35724117,batdongsan_com_vn_35724117,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Mễ Trì']","
Bán nhà Mễ Trì 34m², 4 tầng nhỉnh 4 tỷ ngõ to thông kinh doanh.Cần bán căn nhà đất Mễ Trì quận Nam Từ Liêm trước tết. Nhà đẹp ngõ rộng thông thoáng đầy đủ công năng cho 1 gia đình trẻ hay gia đình 3 thế hệ. Nhà gần sân Mỹ Đình, gần nhiều trường ĐH như Sư Phạm, Quốc Gia, Thương Mại gần các trung tâm thương mại, dân cư đông ở hay cho thuê đều rất tiện lợi.Sổ đỏ đẹp, nở hậu xíu.Liên hệ: Em Vấn để đi xem nhà trực tiếp.            ",34 m²,4.35 tỷ,,,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp,24/11/2022,02/12/2022,Tin thường,35940776,batdongsan_com_vn_35940776,4 tầng,,3 m
