address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng ban công,Hướng nhà
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung']","
Bán nhà Lạc Trung mặt phố kinh doanh VP lô góc 4 ô tô tránh vỉ hèDT 60 m², xây 4 tầng, MT 4,5 m, giá 17.5 tỷVị trí cực đẹp mặt phố lớn kinh doanh văn phòng hay mở phòng khám đỉnhGiao thông thuận tiệnKhu dân trí cao,Gia thế gia đình chuyên về ngành thuế và bên ngân hàng, pháp lý chuẩn📌 Sổ đỏ vuông vắn, thiện chí bánLiên hệ xem nhà 📱📩 0915 902 ***Call/Zalo).Miễn trung gian, MG.            ",60 m²,17.5 tỷ,4.5 m,4 tầng,4 phòng,4 phòng,Đã có sổ,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35958622,batdongsan_com_vn_35958622,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Bán nhà Minh Khai trung tâm HBT 58 m², giá 4 tỷDT 58 m², xây 3 tầng, MT 4 m, giá 4 tỷVị trí cực đẹp phù hợp xây toà chung cư mini đỉnhGiao thông thuận tiệnKhu dân trí cao, an ninh tốt, k bị ngập, Nội thất xịn đầy đủ nhà đẹp ở ngay📌 Sổ đỏ vuông vắn, thiện chí bánLiên hệ xem nhà 📱📩 0915 902 ***Call/Zalo).Miễn trung gian, MG.            ",58 m²,4 tỷ,4 m,3 tầng,4 phòng,4 phòng,Đã có sổ,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35958804,batdongsan_com_vn_35958804,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
- Bán nhà phố Trung Kính, Cầu Giấy, diện tích 55m, chỉ nhỉnh 6 tỷ, khu vực dân cư đông đúc buôn bán sầm uất, hàng xóm thân thiện, nhà rất gần phố đi lại thuận tiện các phố lớn như Trần Duy Hưng, Trung Hoà, nhà có vị trí thoáng đãng mát mẻ, thuận tiện vừa ở vừa cho thuê hoặc có thể khai thác làm chung cư mini cũng rất tốt.- Thiết kế 4 tầng.+ Tầng 1: Sân để xe, phòng khách, bếp, vs.+ Tầng 2,3: Mỗi tầng 2 ngủ, vs giữa.+ Tầng 4: 1 ngủ, phòng thờ, sân phơi.- Sổ phâm lô vuông vắn, pháp lý chuẩn, giao dịch nhanh.            ",55 m²,6.68 tỷ,4.2 m,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35962383,batdongsan_com_vn_35962383,3 m,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu']","
Nhà nằm trong khu phân Lô Phố Trần Quang Diệu, một trong những khu phố sầm uất nhất quận Đống Đa.Gần quận ủy, sát vườn hoa, ngõ thông phân lô, ô tô tránh, gara ô tô 7 chỗ vào nhà, ở sướng, kinh doanh đỉnh.Mua để ở, đầu tư kinh doanh, mở văn phòng đều đẹp.Nhà thiết kế kỳ cực đẹp, nhà 2 thoáng. Phòng nào cũng có ánh sáng. Cầu thang giữa.- Tầng 1: Gara ô tô - bếp - phòng ăn.- Tầng 2: Phòng khách - phòng ngủ nhỏ.- Tầng 3,4,5: Mỗi tầng 2 ngủ - 1 to - 1 nhỏ.- Tầng 6: Tum (Kho) - Sân phơi.* Giá 13.2 tỷ có thương lượng.Liên hệ em để được tư vấn và xem nhà.SĐT & zalo: 0963 460 *** ",50 m²,13.2 tỷ,,6 tầng,6 phòng,3 phòng,,,23/11/2022,30/11/2022,Tin thường,35542160,batdongsan_com_vn_35542160,6 m,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Do từ khi ở căn hộ này, gia đình có lộc làm ăn thuận lợi nên có nhu cầu chuyển sang căn hộ lớn hơn.Nên cần bán căn hộ 1N + 1 Vinhomes Smart City.Diện tích: 45m².Giá chỉ 1,5 tỷ.Gần công viên, view đẹp, full nội thất cao cấp, sàn gỗ An Cường, gần nhà để xe nổi.Liên hệ: 0936 359 *** ",45 m²,1.5 tỷ,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Full đồ.,26/11/2022,03/12/2022,Tin thường,35865394,batdongsan_com_vn_35865394,,Đông - Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung', 'Ngõ 211']","
Siêu phẩm - phân lô phố Khương Trung 5 tầng - ô tô tránh - kinh doanh đỉnh - khu vip quân đội.+ Địa chỉ: Ngõ 211 phố Khương Trung, Thanh Xuân, Hà Nội.+ Vị trí: Ô tô đỗ trong nhà, Mặt ngõ đường ô tô tránh có thể vừa ở vừa kinh doanh, làm văn phòng.+ Diện tích: 45m² x 5 tầng, mặt tiền 4m.+ Căn nhà ngay mặt phố, ngôi nhà xây được khoảng 4 năm, khung cột chắc chắn.+ Gia chủ làm ăn rất có lộc, nay muốn mua căn mặt phố lớn.+ Thiết kế: 5 tầng cực kì tâm huyết.- Tầng 1 thông sàn gara để ô tô, vệ sinh.- Tầng 2: Khách, bếp, phòng ăn, vệ sinh.- Tầng 3, 4: Mỗi tầng 2 phòng.- Tầng 5: Phòng thờ, sân phơi.+ Sổ đỏ cất két, sẵn sàng giao dịch.+ Giá 7.7 tỷ.Anh chị liên hệ ngay 0876 464 *** để được tư vấn và xem miễn phí.            ",45 m²,7.7 tỷ,4 m,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,27/11/2022,04/12/2022,Tin thường,35888263,batdongsan_com_vn_35888263,4 m,Đông - Bắc,Đông - Bắc
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung']","
DT 96 m² x 3 tầng, MT 4 m, giá 13,5 tỷ Mô tả:+ Nằm mặt phố quận Hai Bà, khu VIP ở sướng, ô tô vào nhà.+ Sở hữu vị trí lô góc 3 mặt thoáng, các tầng đều có ban cộng siêu rộng, nên các phòng đều ngập tràn ánh sáng. + Nhà 3 tầng đẹp long lanh, chủ rất tâm huyết đầu tư cho tổ ấm của mình. Khách chỉ việc xách vali là về ở ngay.+ Nhà thiết kế tầng 2 phòng, khách có nhu cầu lên thêm tầng vô tư. 📌 Sổ đỏ vuông vắn, thiện chí bánLiên hệ xem nhà 📱📩 0915 902 ***Call/Zalo).Miễn trung gian, MG.            ",96 m²,13.5 tỷ,4 m,3 tầng,4 phòng,4 phòng,Đã có sổ,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35959528,batdongsan_com_vn_35959528,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Thông tin căn hộ 1PN + 1:- Tầng trung phân khu S4.- Full nội thất cao cấp, nhà mới tinh cần bán gấp lên em bán giá 1,5 tỷ.- Diện tích sử dụng 43m² thông thủy.- Vị trí Trung tâm thuận tiện di chuyển sang các tiện ích lân cận như:Bể bơi, Trung tâm thương mại, Vườn Nhật, Hồ cá coi, Hồ bơi biển nhân tạo...Do việc gia đình cần bán trong tuần mọi chi tiết xin liên hệ: 0936 359 *** để xem nhà trực tiếp.(em không dùng zalo).            ",43 m²,1.5 tỷ,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Full đồ,21/11/2022,28/11/2022,Tin thường,35902669,batdongsan_com_vn_35902669,,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
Tôi và gia đình chuyển công tác nên cần bán căn nhà phố Quang Trung, quận Hà Đông rất gần chợ Hà Đông, siêu thị, quận ủy hà đông, bệnh viện đa khoa Hà Đông.- Diện tích được 40m² x 5 tầng thiết kế hợp lý:+ Tầng 1: Thông sàn + bếp.+ Tầng 2 khách + wc.+ Tầng 4 + 3: 3 ngủ + wc.+ Tầng 5: Phòng thờ + sân phơi.- Nhà đẹp lắp cầu thang gỗ kính, thiết bị điện nước sen vòi sang xịn toàn đồ nhập khẩu rá bền và tiết kiệm thân thiện với cuộc sống.- Giao thông thuận tiện các ngả: Quang Trung - Trần Phú - Vạn Phúc - Lê Văn Lương - Phùng Hưng - Xa La.- Pháp lý sổ đỏ cất két.- Gía: Nhỉnh 4 tỷ có thương lượng.Liên hệ Nguyễn Tuân Call/zalo: 0986 951 *** xem nhà.* Tư vấn tận tâm và kho hàng cùng phân khúc nghìn căn.            ",40 m²,Thỏa thuận,5 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,21/11/2022,01/12/2022,Tin thường,33459033,batdongsan_com_vn_33459033,6 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân']","
- Vị trí nhà quá đẹp, tuyến phố Duy Tân kinh doanh ngày đêm, ngõ to hơn phố, vỉa hè, ô tô tránh.- Nhà 2 mặt ngõ, phía trước tầng 1 chủ nhà ngăn cho thuê cửa hàng.- Mặt sau rộng, ô tô cũng đỗ sát cửa, thông ra mặt phố Duy Tân, Phố Dịch Vọng Hậu, phố Trần Thái Tông, đường Cầu Giấy, Xuân Thủy, Phố Thành Thái, phố Khúc Thừa Dụ...- Gần Công viên Cầu Giấy, các trường đại học lớn như Đại Học Sư Phạm, Đại học quốc gia Hà Nội, đại học Ngoại ngữ, học viện báo trí tuyên truyền... Gần các trường điểm như trường Nguyễn Bỉnh Khiêm, Trường Nguyễn Tất Thành...- Móng nhà xây 7 tầng, vuông vắn.- Sổ đỏ đẹp, pháp lý chuẩn.- Liên hệ xem nhà gấp 0965 785 *** Thanh Tâm.            ",49 m²,16.9 tỷ,4.7 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,21/11/2022,28/11/2022,Tin thường,35892608,batdongsan_com_vn_35892608,5 m,,
