address,gen_descrip,Diện tích,Mức giá,Số tầng,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Mặt tiền,Đường vào
"['Hà Nội', 'Long Biên', 'Dự án Vinhomes The Harmony']","
Cần bán nhanh.Căn biệt thự song lập Riverside.- Diện tích đất: 220m².- Xây: 100m²/sàn 3 tầng nổi + 1 tầng hầm.- Hoàn thiện nội thất đầy đủ, sân vườn rộng cân đối trước sau, sau nhà view sông mở liền nhà.- Hướng nhà tây tứ mệnh.- Giá bán: 43 tỷ.Khách quan tâm xem nhà liên hệ: 0904 695 *** ",220 m²,43 tỷ,3 tầng,Hoàn thiện nội thất đầy đủ.,26/11/2022,03/12/2022,Tin Vip 2,35785467,batdongsan_com_vn_35785467,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Dự án Iris Garden']","
Full Quỹ căn Chuyển nhượng hót nhất khu Iris Garden. cam kết không có giá rẻ hơn. Liên hệ xem nhà các ngày trong tuần.* Quỹ căn 2PN (60 - 61m thông thuỷ), 2WC 2 logia.+ Căn 2PN nguyên bản: 2,5 tỷ.+ Căn 2PN full nội thất: Giá 2.7 tỷ.* Quỹ căn góc 3PN (103m thông thuỷ), 2WC 3 logia 3mặt thoáng.+ Căn 3PN, 2WC, nguyên bản: Giá từ 3,830 tỷ.+ Căn 3PN full đồ: Giá từ 4.1 tỷ.* Quỹ căn góc 3PN (135m thông thuỷ), 2WC 3 logia 3 mặt thoáng.+ Căn 3PN nguyên bản: 4,4 tỷ.+ Căn 3PN full đồ: 4,8 tỷ.LH: 0981 495 *** ",80 m²,2.4 tỷ,,,26/11/2022,03/12/2022,Tin Vip 2,35960572,batdongsan_com_vn_35960572,Đông - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Bằng Lăng 9', 'Bằng Lăng 09 - 01', 'Vinhomes Riverside']","
Do nhu cầu công việc, gia đình cần bán lại gấp căn góc Bằng Lăng 09 - 01 dự án Vinhomes Riverside.- Diện tích đất: 503m².- Xây thô 3 tầng nổi và 1 tầng hầm.- Thửa đất vuông vắn, sân vườn rộng.- View sông rộng.- Đường lớn để xe thoải mái.- Giá bán: 102 tỷ (tôi bao thuế phí).- Khách quan tâm liên hệ: 0932 245 ***Xin cảm ơn!Thông tin pháp lý: Giấy tờ, sổ đỏ đầy đủ.            ",503 m²,102 tỷ,3 tầng,,26/11/2022,06/12/2022,Tin Vip 2,25744445,batdongsan_com_vn_25744445,,,,,Sổ đỏ đầy đủ.,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'số 203', 'Imperia Garden']","
Chính chủ cần bán biệt thự vip Imperia Garden số 203 phố Nguyễn Huy Tưởng. Căn góc đầu hồi ngã tư, diện tích 170m² xây dựng và thiết kế 05 tầng có hầm và sân vườn, biệt thự được thiết kế cao cấp hiện đại theo tiêu chuẩn Châu Âu, toàn bộ nội thất được làm từ gỗ Óc Chó nhập khẩu nguyên khối, thang máy nhập khẩu. Vị trí ở kết hợp với việc kinh doanh như cafe, văn phòng công ty, siêu thị. Nhà hướng Đông Bắc - Đông Nam.Sổ đỏ chính chủ. A chị có nhu cầu xin liên hệ Mr Duy 0986 819 *** ",170 m²,Thỏa thuận,,,26/11/2022,06/12/2022,Tin Vip 2,32543740,batdongsan_com_vn_32543740,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động']","
Gia đình em cần tiền bán gấp nhà đầu phố Tam Trinh THÔNG sang Lĩnh Nam gần chợ Mai Động- Diện tích 47m² xây mới 4.5 tầng, mặt tiền 5m, 2 MẶT THOÁNG trước sau vĩnh viễn. Thiết kế: Tầng 1: Thông sàn, phòng khách                Tầng 2: Phòng bếp, phòng ăn rộng                Tầng 3,4: 2 phòng ngủ thoáng, vệ sinh                 Tầng 5: phòng thờ, sân phơi - Vị trí đẹp: Gần mặt phố Tam Trinh ngõ thông phố Lĩnh Nam. Giáp ranh 2 quận Hoàng Mai và Hai Bà Trưng. Vài phút đến Minh Khai, Kim Ngưu, Đền Lừ, Tân Mai. - Xung quanh có đủ tiện ích: gần chợ Mai Động, Time City, trường Mai Động, chung cư hozion, Lilama. 1.5 km đến Bạch Mai và nhiều trường Đại học Bách Khoa, Kinh Tế, Xây Dựng, Kinh Công* Cam kết mua chính chủ, giá tốt, nhà xây chất lượng toàn bộ quá trình xây dựng đều được ghi lại, bảo hành lâu dài*- Sổ đỏ đứng tên tôi. Giá chỉ hơn 4 tỷQuý khách có nhu cầu hãy liên hệ chủ nhà chị Huyền 0969 583 *** để xem bên trong nhà. Xin cảm ơn.            ",47 m²,4.7 tỷ,5 tầng,,26/11/2022,03/12/2022,Tin Vip 2,35960003,batdongsan_com_vn_35960003,,,6 phòng,4 phòng,Đã có sổ,5 m,2.6 m
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Dự án Vinhomes Thăng Long']","
Chính chủ cần tiền, thay đổi nơi ở cần bàn gấp các căn BT sau... Giá để mua bán gặp nhau...Vinhomes Thăng Long, khu đô thị xanh bậc nhất phía Tây thủ đô, sở hữu Vinhomes TL, sở hữu nơi là tổ ấm và hạnh phúc...Một không gian thư thái, thoáng mát, đem lại nhiu năng lượng và thư giãn mỗi khi về nhà và tốt cho sức khoẻ.Không khí trong lành, sạch sẽ, hồ điều hoà 10ha, nói không với khói bụi...-------------------------------------------------------------------------------------------------------------------Tổng hợp, chắt lọc các căn giá rẻ nhất của mỗi loại diện tích như sau:1. Liền kề:Dt 93m², full đồ giá 12 tỷ.Nhà xây 3,5 tầng thoáng mát, dc 4 phòng ngủ khép kín, 1 phòng khách + bếp, 2 phòng sh chung.2. Biệt thự 155m², hoàn thiện full đồ.Nhà rất thoáng, đường to,Giá bán chỉ 17.5 tỷ bao thuế phí sang tên sổ.2. Biệt thự 130m² và 123m² mỗi loại có 1 căn giá tốt.Hoàn thiện nội thất thiết kế 4 tầng, toàn đồ điện tử của Đức.Giá 16,5 tỷ thu về.3. Biệt thự 154m², có sẵn thang máy, thiếu mỗi đồ diện tử thôi ạ.Giá 21. X tỷ.4. Bt hồ căn thiết kế đẹp không lỗi phong thủy.Giá 15xtr/m².Ngoài ra còn full quỹ căn đẹp để quý KH tham khảo ạ.Liên hệ em Hương sàn Aeland, LK7.09 Vinhomes Thăng Long.0942246619.            ",155 m²,17.5 tỷ,4 tầng,"Hoàn thiện nội thất thiết kế 4 tầng, toàn đồ điện tử của Đức.",26/11/2022,06/12/2022,Tin Vip 2,35845601,batdongsan_com_vn_35845601,,,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
* Chung cư nào đáng sống bậc nhất quận Hà Đông? Chỉ có thể là CHCC Hyundai Hillstate. Chủ đầu tư Hàn Quốc xây dựng cực kì chắc chắn với tường bê tông 100%, hệ thống chống cháy bậc nhất, khuôn viên cây xanh khép kín đẹp như ở resort với tiện ích ngập tràn! Bác nào muốn về làm hàng xóm nhà em thì liên hệ e ngay để đi xem nhà nhé ạ!I. Các căn 2 ngủ:- 1 căn 2n CT4, 102.7m² tầng cao, ban công Đông Bắc, đồ cơ bản nhà mới đẹp có lot oto - 1 căn 2pn CT1, 102.7m² tầng cao, ban công Tây Nam, phòng Master Đông nam thoáng mát view đẹp, full đồ đẹp sẵn về ở được luôn có lot oto- 1 căn 2pn CT5, 102.7m², tầng cao, ban công Đông Bắc full đồ đẹp II. Các căn 3 ngủ:- 2 căn CT1 tầng trung 139m² ban công Đông Nam cửa Đông Bắc đồ cơ bản nhà đẹp có slot ô tô.- 1 căn CT1 tầng trung 123m² ban công Tây Nam cửa đông nam đồ cơ bản nhà mới đẹp ko tì vết có slot oto.- 2 căn CT3 tầng trung 136m²: Ban công Đông Nam, đồ cơ bản CĐT có slot ô tô nhà rất đẹp - 1 căn CT3 tầng thấp 136m²: Ban công Đông Nam, đồ cơ bản CĐT giá rất rẻ- 1 căn CT5 tầng trung 139m² ban công Đông Nam  nhà Hàn Quốc cực đẹp giá rất tốt.- 1 căn CT5 tầng cao 139m² ban công Đông Nam đồ cơ bản nhà Hàn rất mới đẹp có slot ô tô.- 1 căn CT5 tầng cao, 134m² ban công đông nam full đồ có slot oto- 1 căn CT2 tầng trung 139m² ban công tây bắc đồ cơ bản nhà đẹp ko tì vết chủ Hàn.- 1 căn CT2 tầng trung 134m², ban công tây bắc full đồ đẹp - 1 căn CT4 tầng trung 134m², ban công Tây Bắc full đồ có slot ô tô nhà cực đẹp mới làm nội thất được 8 tháng.- 1 căn CT4 tầng trung 139m², ban công Tây Bắc đcb có slot ô tô nhà mới nguyên bản.- 1 căn CT4 tầng trung 134m², ban công Đông Bắc đồ cơ bản nhà mới.II. Các căn 4 ngủ:- 1 căn CT1 tầng thấp 168m², ban công Đông Nam đcb có 2 slot ô tô nhà siêu đẹp Liên hệ: 0966 802 *** E Phượng CT2 Huyndai.            ",102.7 m²,Thỏa thuận,,,26/11/2022,04/12/2022,Tin Vip 2,35959158,batdongsan_com_vn_35959158,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,,,
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Do thay đổi nhu cầu gia đình cần bán lại căn hộ 2PN 2WC (diện tích 64m).Căn hộ 2PN 2WC tòa S1.12.- View thoáng mát không bị chắn.- Ban công Tây Bắc.- Nội thất đầy đủ, đồ điện, giường tủ, bàn ghế.- Giá bán 2,1 tỷ.            ",65 m²,2.1 tỷ,,,26/11/2022,06/12/2022,Tin Vip 2,35958788,batdongsan_com_vn_35958788,,,2 phòng,2 phòng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Phòng kinh doanh dự án Louis City Hoàng Mai cập nhật quỹ căn mới nhất chuyển nhượng tháng 11. Giá 118tr/m² tốt nhất thị trường Louis City. Lh: 0988 332 *** Mr Thế Anh (zalo, face, viber).Danh sách căn shophouse, biệt thự Louis City Hoàng Mai với vị trí vừa ở và đầu tư như sau:* Biệt thự có 2 lô.- BT hướng Đông 266.8m² giá 14x triệu/m đất, mặt tiền 11,6m.- BT hướng Bắc 301m² giá 14x triệu/m đất.- Đường trước 12m.- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 1.- Diện tích: 100m².- Đường 13.5m.- Hướng Bắc nhìn sang TTTM.- Vị trí đầu dự án nhìn ra đường Tân Mai chuẩn bị nhận nhà có thể kinh doanh được luôn.- Giá bán: 118tr/m².- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 2, căn số 2x.- Diện tích 95m², mặt tiền 5m.- Đường trước 12m.- Hướng: Bắc.- Vị trí ngay sát đường 40m, gần đường Tân Mai.- Giá bán: 13x tr/m².- Pháp lý: Sổ hồng lâu dài.* Căn Liền kề Louis 8, ô số 9x (đã có sổ).- Đường trước 22m, view vườn hoa.- Diện tích 95m², mặt tiền 5m.- Hướng: Bắc.- Vị trí trung tâm dự án.- Giá bán: 14x triệu/m².- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 5, ô số 6x (đã có sổ) LH: 0988 332 ***- Diện tích: 93,8m², mặt tiền 5m.- Đường trước 12m, nhìn trường học.- Hướng Tây.- Vị trí rất gần ra đường 40m, cạnh trường học, tiện kinh doanh.- Giá bán: 15x tr/m².- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 1, ô 22X đường 17,5m (đã có sổ).- Diện tích 95m², mặt tiền 5m.- Hướng: Đông.- Vị trí trung tâm đường trước 17,5m, gần sát đường 22m.- Vị trí đẹp nên khách mua để ở hoặc đầu tư đều rất hợp lý.- Giá bán: 15x triệu/m².- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 11, ô số 8x - LH: 0988 332 ***- Đường trước 12m.- Diện tích 107,5m², mặt tiền 5m.- Hướng Bắc.- Mặt sau đường 22m.- Giá bán: 13x tr/m².- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 7, ô số 2x. LH: 0988 332 ***- Đường trước 12m.- Diện tích 93,8m², mặt tiền 5m.- Hướng: Tây.- View biệt thự rất đẹp.- Nằm trên trục đường thông Louis 7, trục đường thông dài nhất dự án, sát đường 13,5m.- Giá bán: 15x triệu/m.- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 17, ô số 3x.- Đường trước 12m.- Ngay mặt sau đường 30m.- Diện tích 113m², mặt tiền 5m.- Hướng Bắc.- Giá bán: 13x tr/m².- Pháp lý: Sổ hồng lâu dài.* Căn shophouse Louis 18 view hồ Yên Sở.- Diện tích 90m².- Hướng Đông mát mẻ, view hồ Yên Sở.- Vị trí sát cạnh đường 30 đang có mặt bằng giá 240tr/m.- Giá bán: 14Xtr/m².- Pháp lý: Sổ hồng lâu dài.Ngoài ra chúng tôi còn một số vị trí khác nữa khách hàng muốn xem vị trí cụ thể và giá bán vui lòng liên hệ để trao đổi thêm.Giá trên đã bao gồm tất cả chi phí (chưa bao gồm xây thô).Mọi thông tin xin Liên hệ: 0988 332 *** Mr Thế Anh (zalo, face, viber).+ Tư vấn miễn phí 24/7.+ Hỗ trợ xe đưa đón tham quan dự án tại Hà Nội.+ Tư vấn thiết kế nội thất với đội ngũ thi công dày dặn kinh nghiệm.            ",100 m²,115 triệu/m²,5 tầng,,26/11/2022,03/12/2022,Tin Vip 2,35815072,batdongsan_com_vn_35815072,Bắc,Bắc,6 phòng,4 phòng,Sổ hồng.,6 m,13.5 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai']","
Gia đình em cần tiền bán gấp ngôi nhà 2 mặt thoáng đầu phố Tam Trinh thông Lĩnh Nam gần chợ Mai Động, chung cư Helios- Vị trí đẹp gần mặt phố Tam Trinh; vài phút đến Minh Khai, Mai Động, Kim Ngưu, Đền Lừ, Tân Mai. Giáp ranh 2 quận Hoàng Mai và Hai Bà Trưng.- Diện tích 46m² xây mới 5 tầng, mặt tiền 5m, 2 mặt thoáng trước sau vĩnh viễn. Thiết kế hiện đại mỗi tầng 2 phòng rộng thoáng- Xung quanh có đủ tiện ích: gần chợ Mai Động, nhiều chung cư lớn, Time City, trường mầm non C1 C2 Mai Động. 1.5 km đến Bạch Mai và nhiều trường Đại học Bách Khoa, Kinh Tế, Xây Dựng, Kinh Doanh Công Nghệ, Kinh Tế Kỹ Thuât...* Cam kết mua chính chủ, giá tốt, xây dựng chắc chắn toàn bộ qúa trình đều được ghi lại, bảo hành lâu dài * - Sổ đỏ đứng tên em. Giá chỉ hơn 4 tỷ Quý khách có nhu cầu hãy liên hệ chủ nhà em Huyền để xem bên trong nhà. Xin cảm ơn!            ",45 m²,Thỏa thuận,5 tầng,,26/11/2022,03/12/2022,Tin Vip 2,35957664,batdongsan_com_vn_35957664,,,5 phòng,4 phòng,Đã có sổ đỏ,5 m,2.7 m
