address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa']","
Nhà đẹp long lanh - ô tô đỗ cửa - nhà mới thiết kế hiện đại - thang máy chạy vù vù.+ Vị trí đẹp, trước nhà ô tô vào cửa, từ nhà ra đường ô tô tránh 10m, ngõ thông.+ Thiết kế mỗi tầng 1 phòng rộng rãi, WC. Thích hợp để ở kết hợp làm văn phòng.+ Xây dựng bởi chủ đầu tư uy tín, tâm huyết. Trang thiết bị nội thất xịn sò.+ Sổ đỏ chính chủ vuông đẹp.Giá 6tỷ (có thương lượng).Call/Zalo: Quỳnh Anh - nhà đẹp Cầu Giấy 0867 395 *** ",45 m²,6 tỷ,4 m,4 m,5 tầng,4 phòng,4 phòng,23/11/2022,30/11/2022,Tin thường,35933225,batdongsan_com_vn_35933225,,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
Cơ hội có 102. Chủ nhà cần tiền bán gấp mặt phố Quang Trung 40m² chỉ 6,5 tỷ.- Vị trí rất đẹp. Mặt phố Quang Trung vỉa hè rộng 5m Kinh doanh bất chấp mọi ngành nghề, Giá thấp hơn mặt bằng khu vực.- Nhà xây 5 tầng kiên cố. Có thể cho thuê kinh doanh hoặc văn phòng là ra tiền ngay lập tức.- Vị trí nhà rất đẹp gần ngã tư KĐT Văn Phú - Quang Trung.- Sổ đỏ nét căng. Giao dịch ngay.- Quý khách quan tâm xin liên hệ Mr Thắng ĐT 0916 569 *** - xem nhà miễn phí.            ",40 m²,6.5 tỷ,,36 m,5 tầng,3 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,34630539,batdongsan_com_vn_34630539,Sổ đỏ,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Sparks']","
- Bán căn hộ chung cư CT8 Dương Nội, diện tích 86m², nhà thiết kế 2PN, 2VS, 1 logia.- Nhà mới đẹp đã làm thêm sàn gỗ, tủ bếp, mành rèm, giường, 2 tủ quần áo, 3 nóng lạnh, 3 điều hòa, Timi, tủ lạnh, máy giặt, tủ giầy, sofa, bàn ăn, thiết bị WC ToTo...- Giá bán 1,870tỷ, sổ đỏ chính chủ.Liên hệ xem nhà Mr Phi: 0988 187 *** ",86 m²,1.87 tỷ,,,,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,17978860,batdongsan_com_vn_17978860,Có sổ.,Đông - Bắc,Tây - Nam,"Sàn gỗ, tủ bếp, mành rèm, giường, 2 tủ quần áo, 3 nóng lạnh, 3 điều hòa, Timi, tủ lạnh, máy giặt, tủ giầy, sofa, bàn ăn, thiết bị WC ToTo..."
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Phố Trần Quý Kiên']","
Bán căn hộ phố Trần Quý Kiên, trung tâm quận Cầu Giấy, gần các trường học nhà thi đấu Cầu Giấy.* Vị trí: Cửa hướng Đông Nam, ban công Tây Bắc.* Thiết kế: 2 phòng ngủ(có thể làm 3 ngủ), 1 phòng khách, 1 bếp, 2 WC. Ban công thoáng mát.Nhà thiết kế hợp lý.* Giá bán 2.83 tỷ, có gia lộc.* LH A. Minh (MTG): 0989 740 *** ",85 m²,2.83 tỷ,,,,2 phòng,2 phòng,27/11/2022,04/12/2022,Tin thường,35877171,batdongsan_com_vn_35877171,,Đông - Nam,Tây - Bắc,Cơ bản
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Sparks']","
Chính chủ cần bán căn hộ Ct7 Dương Nội DT 54m², 2 ngủ, 1 WC, cửa vào Tây Bắc, ban công hướng Đông Nam rất thoáng và đẹp.- Nhà nội thất hoàn thiện: Sàn gỗ, tủ bếp, bếp từ, hút mùi, điều hoà, tủ lạnh, máy giặt, giường, tủ quần áo, sofa, nóng lạnh, mành rèm...- Giá bán thu về 1tỷ520tr. Sổ đỏ chính chủ.Liên hệ xem nhà Ms Linh: 0974 143 *** ",54 m²,1.52 tỷ,,,,2 phòng,1 phòng,22/11/2022,29/11/2022,Tin thường,31843192,batdongsan_com_vn_31843192,Sổ đỏ,Tây - Bắc,Đông - Nam,"Sàn gỗ, tủ bếp, bếp từ, hút mùi, 3 điều hoà, giường, tủ quần áo, sofa, nóng lạnh, mành rèm... "
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Văn Khê', 'Dự án Văn Khê']","
Gia đình cần bán gấp căn hộ chung cư Văn Khê, La Khê, Hà Đông: Diện tích 105m² gồm 3 phòng ngủ, 2 vệ sinh, nhà mới đẹp đồ gỗ tự nhiên xịn, cạnh trạm xe buýt BRT, tiện ích đầy đủ, ban công mát mẻ, giá bán 2.45 tỷ. Liên hệ: 0968 595 *** ",105 m²,2.45 tỷ,,,,3 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,35672634,batdongsan_com_vn_35672634,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Ngô Quyền']","
Lô đất cực đẹp còn sót lại.Ngõ ô tô thông - lô góc 2 mặt thoáng.Ô tô vào đất, giá rẻ so với mặt bằng chung.50m² mặt tiền 7m, giá chỉ 4,8 tỷ.Lô đất 2 mặt ngõ ô tô nằm ở trung tâm quận Hà Đông.Gần bệnh viện Đa Khoa Hà Đông.Bệnh viện Y Học Cổ Truyền Hà Đông.Khu phân lô bàn cờ đường rộng thoáng đẹp.Bán kính 200 đầy đủ tiện ích sống.Quý khách quan tâm xin liên hệ Mr Thắng.Đt 0916 569 *** - xem nhà miễn phí.            ",50 m²,4.8 tỷ,7 m,5 m,,,,27/11/2022,04/12/2022,Tin thường,34769508,batdongsan_com_vn_34769508,Sổ đỏ,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Nguyễn Văn Trác', 'Dự án The Sparks']","
Cần bán căn hộ CT8 Dương Nội rộng 117m² thiết kế 3 phòng ngủ, 2WC, thiết kế các phòng đều có ánh sáng tự nhiên, view đẹp.Nhà nội thất đã hoàn thiện: Sàn gỗ, tủ bếp, bếp từ, hút mùi, 4 điều hòa, tin, tủ lạnh, máy giặt, giường, tủ quần áo, Sofa, bàn ăn, nóng lạnh, tủ giày, kệ tivi mành rèm thiết bị wc cao cấp ToTo...Giá bán thu về 2,65 tỷ. Sổ đỏ chính chủ.Liên hệ xem nhà Mr Phi: 0988 187 *** ",117 m²,2.65 tỷ,,,,3 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,33217806,batdongsan_com_vn_33217806,Sổ đỏ,Đông - Nam,Tây - Bắc,"Sàn gỗ, tủ bếp, bếp từ, hút mùi, 4 điều hòa, Tivi, tủ lạnh, máy giặt, nóng lạnh, sofa, bàn ăn, tủ giầy, kệ tivi mành rèm thiết bị wc cao cấp ToTo..."
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy']","
Gia đinh cần tiền bán gấp nhà 52m2x5 tầng 6 ngủ đẹp - ở luôn phố Kim Ngưu - Hai Bà Trưng- Đầu tư để ở - Kinh doanh - Cho thuê rất hót.- Nằm vị trí đẹp trung tâm quận Hai Bà Trưng khu toàn CB ở, an ninh cực tốt, nơi hiếm nhà bán. Gần Time City Giao các phố Minh Khai - Kim Ngưu - Lạc Trung - Thanh Nhàn.... gần các trường ĐH Inh tế, Bách Khoa, Xây Dựng, các bệnh Viện lớn như Bạch Mai, Tai mũi Họng TW, Việt Nhật, Việt Pháp, Thanh Nhàn.... - Nằm khu văn minh văn hóa đẹp hiện đại đẳng cấp nhất Hà Thành - nơi linh khí hội tụ - ở vượng lộc.- Nhà ở vị trí cực đẹp lô góc gần chợ, trường học các cấp, giao thông Thuận lợi vô cùng, an sinh cực đỉnh, nơi đáng sống nhất.Sổ đỏ đẹp chính chủ giao dịch nhanh.            ",52 m²,4.35 tỷ,,,5 tầng,6 phòng,4 phòng,27/11/2022,04/12/2022,Tin thường,35962488,batdongsan_com_vn_35962488,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Gia đình cần bán căn hộ chung cư Usilk City, La Khê, Hà Đông: Diện tích 94m² gồm 3 phòng ngủ, 2 vệ sinh, cửa hướng Tây Bắc, ban công Đông Nam. Nhà full nội thất mới đẹp, tiện ích đầy đủ như bể bơi, sân chơi, siêu thị, trường học... Giá bán 2.6 tỷ. Liên hệ 0968 595 *** ",94 m²,2.6 tỷ,,,,3 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,35308930,batdongsan_com_vn_35308930,Sổ đỏ/ Sổ hồng,,,Đầy đủ
