address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Vượng Villa']","
Tôi đang có căn biệt thự tại khu đô thị mới Dương Nội của tập đoàn Nam Cường tại Hà Đông, nằm trên mặt đường 30m kết nối từ cổng chính khu đô thị vào, trục chính trung tâm đi qua công viên hồ điều hòa, mặt đường rộng vỉa hè 10m kinh doanh cực tốt.Vị trí căn biệt thự nằm cách hồ 100m đi ra câu cá, thể dục cho bé vui chơi vô cùng tiện lợi. Công viên đã được đưa vào khai thác sử dụng và không bị thu phí.- Diện tích: 162m², mặt tiền đất 9m, lô vuông vắn không bị phạm phong thủy.- Hướng nhà: Tây Nam- Nhà xây mẫu hiện đại 3 tầng 1 tum, có thiết kế thang máy, xung quanh hàng xóm đang về hoàn thiện đông.Giá bán 21 tỷ bao phí sang tên. Liên hệ: 0917 959 *** ",162 m²,21 tỷ,9 m,30 m,Tây - Nam,Đông - Nam,4 tầng,4 phòng,5 phòng,25/11/2022,02/12/2022,Tin thường,35756305,batdongsan_com_vn_35756305,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng', 'Dự án The Nine']","
- Căn 3 phòng ngủ rộng 100m² view thành phố cực đẹp.- Sân golf tầng thượng.- TTTM Aeon Mall tầng 1, 2.- 100% view thoáng, đón ánh sáng tự nhiên, đối lưu khí.- Vào tiền 30% nhận nhà về ở, 1 năm sau mới phải đóng nốt.            ",100 m²,5.7 tỷ,,,Đông - Nam,Đông - Nam,,3 phòng,2 phòng,21/11/2022,28/11/2022,Tin thường,35897851,batdongsan_com_vn_35897851,Sổ đỏ/ Sổ hồng,Full nội thất.
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc']","
Cần bán CCMN Triều Khúc 45m², 6 tầng, MT 6.3m - doanh thu 40tr/th - giá 6 tỷ.+ Xung quanh nhiều trường đại học, học viện, khu công nghiệp Triều khúc... Dân cư đông đúc, nhu cầu thuê trọ rất cao.+ Vị trí đẹp đẹp, gần phố, ccmn với số phòng cho thuê quá ổn đang cho nhà thầu lại Tháng 33,392 triệu thu nhập quá ổn định, nếu tự vận hành 40 tr/th.+ Nhà 6 tầng mới thang máy xịn:- Tầng 1: Để xe.- Tầng 2,3,4,5,6: Mỗi tầng 02 phòng ngủ + gác xép + WC.+ Sổ đỏ đẹp, giao dịch ngay.+ Liên hệ Mr Tuấn. 0982 898 *** ",45 m²,6 tỷ,6.3 m,3 m,,,6 tầng,10 phòng,11 phòng,21/11/2022,28/11/2022,Tin thường,31641957,batdongsan_com_vn_31641957,Sổ đỏ đẹp.,Đầy đủ nội thất khép kín.
"['Hà Nội', 'Chương Mỹ', 'Thị trấn Chúc Sơn']","
Bán hộ chủ nhà mảnh full thổ cư 246m² tại Ninh Sơn - cách thị trấn Chúc Sơn 1km.- Cách mặt QL6 300m.- Mặt 9,4m nở hậu.Phù hợp cho CĐT phân lô, xây nhà bán, kinh doanh.LH: Thành 0378 044 *** ",246 m²,28 triệu/m²,9.4 m,7 m,Đông,,,,,27/11/2022,04/12/2022,Tin thường,30873958,batdongsan_com_vn_30873958,Sổ đỏ chính chủ,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Trương Định', 'Đường Trương Định']","
Cần bán siêu phẩm Trương Định 70m² 7 tầng thang máy chỉ 12,5 tỷ.+ Nhà có dự án chuẩn 1/500, sau quy hoạch cách phố chưa đến 30m, cách công viên 20m.+ Khu vực trung tâm, gần nhiều đại học luôn cháy phòng cho thuê được định giá. Show đang cho thuê đơn vị 55tr / tháng. Tự khai thác sẽ được bảo vệ bên ngoài cho thuê 7 triệu, phòng trong 6 triệu / tháng, chưa kể đến dịch vụ tiền tệ. Phòng nào cũng có trời sáng.- T1: Để xe.- T2,3,4,5,6: Bảo mật 10 phòng đóng kín, toàn bộ nội thất. (Bao gồm tủ lạnh, điều hòa, bếp, nóng lạnh, tủ mát) khách thuê mang quần áo đến luôn.- T7: Sân phơi.+ Sổ đỏ, giấy tờ xây dựng đảm bảo.            ",70 m²,12.5 tỷ,5 m,5 m,,,7 tầng,10 phòng,10 phòng,27/11/2022,06/12/2022,Tin thường,35769822,batdongsan_com_vn_35769822,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Ngõ 68']","
Bán gấp nhà đẹp ngõ 68 Triều Khúc - nhà ở ngay nội thất đẹp 5 tầng, thông sàn 33m² - giá 3.5 tỷ.- Vị trí đẹp trung tâm Triều Khúc, gần hồ, ngõ to rộng, trước nhà ngõ rộng 5m, rất thoáng sáng. Thông ra Văn Quán rất gần, Nguyễn Xiển, Nguyễn Trãi... Bán kính 1km tiện ích không thiếu thứ gì.- Thiết kế hiện đại, thông sàn, tầng 1 phòng rộng, nội thất đẹp. chủ mới chỉ viêc sách vali về ở luôn.- Nhà 4 tầng 1 tum làm sân phơi. Tổng nhà có 3 PN đầy đủ công năng.- Sổ đỏ đẹp, sẵn sàng giao dịch.            ",33 m²,3.5 tỷ,3.8 m,5 m,,,5 tầng,3 phòng,4 phòng,22/11/2022,29/11/2022,Tin thường,35479831,batdongsan_com_vn_35479831,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.
"['Hà Nội', 'Hà Đông', 'Phường Đồng Mai', 'Đường Cổ Bản']","
Xếp hạng hot nhất Đồng Mai hiện tại với diện tích 80m² ô tô tránh nhau trước mặt.Mt: 4m.Vị trí: Cách trục Quốc Lộ 6 - 300m gần trường, chợ, uỷ ban phường khoảng 100m.Vị trí cực đỉnh phù hợp đầu tư và ở.. Duy nhất 1 lô ace nhanh chân xem đất.Giá: 2 tỷ 4x.Lh: 0378 044 *** ",80 m²,Thỏa thuận,5 m,,Tây - Bắc,,,,,27/11/2022,04/12/2022,Tin thường,34893586,batdongsan_com_vn_34893586,,
"['Hà Nội', 'Chương Mỹ', 'Xã Phụng Châu']","
Chỉ từ 2 tỷ sở hữu liền kề 40m² thiết kế siêu đẹp, 2 mặt thoáng xây 3 tầng 4 ngủ siêu đẹp.Xã Phụng Châu, Chương Mỹ, Hà Nội.Diện tích 40m².4 tầng.Phòng ngủ: 4PN.Thông tin mô tả.Khu vực gần trường chợ, ủy ban, đường rộng thoáng, giao thông thuận tiện.Xây dựng 3 tầng, 1 tum, 4 ngủ, 3 VS.Cam kết chất lượng. Như nhà dân tự xây nhé.Giá nhỉnh 2 tỷ.Liên hệ ngay em Thành 0378 044 *** ",40 m²,Thỏa thuận,,,,,4 tầng,4 phòng,,27/11/2022,04/12/2022,Tin thường,33906203,batdongsan_com_vn_33906203,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Ngõ 68']","
Bán CCMN ngõ 68 Triều Khúc, Thanh Xuân lô góc - đang cho thầu doanh thu 38tr/ tháng. Ngõ thẳng tắp gần ô tô 40/46m² 7T giá giảm còn 5.65 tỷ.Thời cô vít lãi suất ngân hàng giảm đầu tư nhà thổ cư kinh doanh dòng tiền vô cùng hợp lý.Lô góc - căn hộ dòng tiền - 7 tầng khép kín - cách ô tô 20m.- Nhà xây mới được 1 năm. Thiết kế kiểu căn hộ dịch vụ khép kín cho thuê phòng hiệu suất cao.- Nhà đã cho thuê full phòng, đã lắp đặt đầy đủ Camera an ninh, điều hòa, nóng lạnh, giường, tủ bếp, khóa dấu vân tay tự động.. Không thiếu thứ gì.- Cách 20m ra đến đường ô tô tránh.- Khu vực dân trí cao, nhu cầu thuê Phòng rất cao do gần nhiều trường đại học: ĐH Công Nghệ Giao Thông Vận Tải cách 200 trăm mét. Xung quanh là các trường ĐH Nhân Văn, Đh Khoa Học Tự Nhiên, ĐH Ngoại Ngữ Hà Nội, ĐH Kiến Trúc, ĐH Sư Phạm Nghệ Thuật Trung Ương, ĐH An Ninh...Thiết kế:Tầng 1: 1 phòng khép kín + wc + Để xe.Tầng 2,3,4,5, 6 mỗi tầng 2 phòng khép kín. Tổng 11 phòng khép kín.- Sổ đỏ chính chủ cất két sẵn sàng giao dịch.- Liên hệ ngay Mr Tuấn để xem nhà 0982 898 *** ",46 m²,5.65 tỷ,4 m,2.5 m,,,7 tầng,11 phòng,12 phòng,22/11/2022,29/11/2022,Tin thường,33047780,batdongsan_com_vn_33047780,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.
"['Hà Nội', 'Hà Đông', 'Phường Đồng Mai']","
Ra lò 2 lô đất tại tổ 6 Đồng Mai, sát chợ, mà giá chỉ 3x/m².S = 51,6m² và 44,8m².Địa chỉ: Tổ 6, Đồng Mai.150m ra đến chợ Sáng chợ buôn bán lớn nhất Đồng Mai, đầy đủ mọi thứ.200m là ra đến trường cấp 2, UBND phường.400m là ra đến QL6.Đất rất gần với quy hoạch đường vành đai 4 sắp sửa triển khai. Đầu tư là thắng.Giá chỉ 3x tiêủ học/m².            ",51.6 m²,Thỏa thuận,4 m,,,,,,,27/11/2022,04/12/2022,Tin thường,34156149,batdongsan_com_vn_34156149,,
