address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân']","
Bán nhà phố Duy Tân, Cầu Giấy, Hà Nội. SĐCC vuông vắn 4x12m.- Diện tích sổ 48m² sàn tầng 1 - tầng 2 - 4: Diện tích 57m², nhà lô góc 2 mặt tiền xây 4 tầng. Hướng ĐB - TB.- Đường trước nhà rộng ô tô vào nhà. Xung quanh vô vàn dịch vụ tiện ích. Đường ô tô thông các ngả.- Giá 13.6 tỷ có thương lượng.- Liên hệ Mr Dũng 0985 125 *** để xem nhà.            ",48 m²,13.6 tỷ,4 m,6 m,Đông - Bắc,Tây - Bắc,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,24/11/2022,04/12/2022,Tin thường,35160840,batdongsan_com_vn_35160840
"['Hà Nội.', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trung Yên 8']","
Bán nhà Trung Yên 8, Vũ Phạm Hàm. Cầu Giấy.- DT 90m². MT 5m. Xây 6 tầng. Thang máy.- Khu vực vip tập trung quá nhiều văn phòng và trung tâm thương mại.- Thiết kế 6 tầng thang máy, nhà mới đẹp với các công năng sử dụng:+ Tầng 1: Thông sàn, lễ tân và kho hàng.+ Tầng 2,3: thông sàn.+ Tầng 4: 3 phòng ngủ.+ Tầng 5: Thông sàn.+ Tầng 6: Sân phơi. Tum.- Đường trước nhà ô tô tránh vỉa hè. Hướng TN,- Giá chào 38.5 tỷ.- Liên hệ e Dũng 0985 125 ***. để xem nhà.            ",90 m²,38.5 tỷ,5 m,15 m,Tây - Nam,,6 tầng,3 phòng,7 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,24/11/2022,04/12/2022,Tin thường,35191298,batdongsan_com_vn_35191298
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Đường Đội Nhân']","
- Diện tích: 40 m² nhà 3 tầng 1 tum, mặt tiền 3,4m, hướng: Bắc. Sổ đỏ chính chủ.- Nhà xây thiết móng 7 tầng đổ cột, mỗi tầng ngủ có cửa sổ sau thoáng vĩnh viễn.- Tầng 1: Kinh doanh, bếp + WC.- Tầng 2: Phòng khách + 1 ngủ + WC Giữa.- Tầng 3: 2 ngủ + WC giữa * sân phơi.- Vị trí đẹp ngõ thông gần.* Bệnh viện Quân Y 354.* Bệnh viên phổi trung ương.* Trường mầm non, cấp 1, cấp 2: Khu phân lô, nhà mặt ngõ rộng 5m, 2 ô tô tránh nhau thoải mái. Ô tô đỗ cửa.- Giá: 10 tỷ có TL.- Liên hệ: 0985 125 *** Cảm ơn đã đọc bài!            ",40 m²,10 tỷ,3.4 m,5 m,Bắc,Bắc,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,22/11/2022,02/12/2022,Tin thường,34773548,batdongsan_com_vn_34773548
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Phạm Tuấn Tài', 'Ngõ 2']","
- Diện tích: 45m² (sổ đỏ: 38.4m²) xây 5 tầng. Mặt tiền 4,2m. Gồm 5PN, 4 WC. SĐCC.- Đường trước nhà rộng 6m, vỉa hè 2m như phố. 2 ô tô tránh nhau.- Đường song song với Trần Quốc Hoàn. Vị trí vàng cho kinh doanh văn phòng, nhà hàng, buôn bán...- Nhà phân lô vuông vắn. Kiến trúc tân cổ điển, nội thất sang trọng, không gian thoáng mát đi lại thuận tiện.- Giá chào 12,5 tỷ có thương lượng.- Liên hệ em Dũng 0985 125 *** cảm ơn đã đọc tin!            ",45 m²,12.5 tỷ,4.2 m,6 m,,,5 tầng,5 phòng,4 phòng,Sổ đỏ.,Nội thất đầy đủ.,22/11/2022,02/12/2022,Tin thường,34713167,batdongsan_com_vn_34713167
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang']","
Bán nhà ngõ 99 Nguyễn Khang, Yên Hòa, Cầu Giấy:- DT 73m², xây 4 tầng, MT 4.5m. SĐCC. Vuông vắn đẹp.- Nhà xây chắc chắn tầng 1 thông sàn, tầng 2 + 3 mỗi tầng 2 phòng WC khép kín. Tầng 4 phòng thờ sân phơi view đẹp.- Vị trí rất đẹp, ngõ rộng 4m, ô tô vào thoải mái, cách 2 nhà là ra Trung Yên 9. Rất thuận tiện đi lại.- Hướng Đông Nam.- Giá 15,7 tỷ có thương lượng.- Liên hệ Mr Dũng 0985 125 *** để xem nhà và làm việc trực tiếp chủ nhà.Cam kết thông tin chính xác 100%.            ",73 m²,15.7 tỷ,4.5 m,4 m,Đông - Nam,,4 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,22/11/2022,02/12/2022,Tin thường,35443644,batdongsan_com_vn_35443644
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Chính chủ cần bán nhanh nhà mặt phố Trần Quốc Hoàn, Cầu Giấy, Hà Nội.- Diện tích 90m².- Mặt tiền 7.5m.- Nhà xây 5 tầng.- Nhà nằm trên mặt phố lớn, kinh doanh buôn bán vô cùng sầm uất, hè rất rộng.- Thửa đất đẹp, vuông vức không lỗi phong thủy, thuận tiện xây dựng tòa nhà văn phòng, khách sạn...- Phố thông sang nhiều tuyến phố lớn như Hoàng Quốc Việt, Nguyễn Phong Sắc, Phạm Văn Đồng... Nên giao thông đi lại rất thuận tiện.- Gần nhiều trường đại học lớn như trường đại học Sư Phạm Hà Nội, Trường Quốc tế, Đại học Quốc gia Hà Nội, Học viện Báo chí và Tuyên truyền, Học viện Chính trị Quốc gia Hồ Chí Minh...- Giá 43,8 tỷ có thương lượng.- Liên hệ 0985 125 *** Mr Dũng.            ",90 m²,43.8 tỷ,7.5 m,35 m,,,5 tầng,4 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,22/11/2022,02/12/2022,Tin thường,35675158,batdongsan_com_vn_35675158
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
Bán nhà MP phố Trần Duy Hưng, quận Cầu Giấy:- DT 70m² x 5 tầng, MT 5m. Hai mặt thoáng, phía sau là mặt ngõ.- Tầng 1 thông sàn, tầng 2 - 5 là 2 phòng.- Là mặt phố đẹp nhất quận Cầu Giấy. Kinh doanh buôn bán sầm uất tất cả các mặt hàng.- Nhà nằm sát ngay KĐT Trung Hòa Nhân Chính - Có nhiều người nước ngoài sinh sống.- Hiện đang cho thuê năm đầu 60tr/th, 2 năm sau 65tr/th, 2 năm sau nữa 72tr/th. Ưu tiên khách hàng mua nối tiếp HĐ thuê. - Hướng tây bắc.- Giá 42 tỷ có thương lượng.- Liên hệ Mr Dũng 0985 125 *** làm việc chính chủ.            ",70 m²,42 tỷ,5 m,50 m,,,5 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,,22/11/2022,02/12/2022,Tin thường,35557734,batdongsan_com_vn_35557734
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Yên Lãng']","
Tòa nhà hiện đại thiết kế dạng văn phòng, nội thất xịn, thang máy, thang bộ cuối nhà.Tầng 1 gara xe.Tầng 2 phòng khách.Tầng 3,4,5,6 thiết kế thông sàn, tiện làm văn phòng.Tầng 7 tum, sân vườn.Vị trí mặt ngõ ô tô tránh, có vỉa hè, cách phố Yên Lãng chỉ 50 m, ngõ thông kinh doanh nhộn nhịp.Phù hợp nhất làm văn phòng, kinh doanh hoặc cho thuê.Phân khúc hiếm tòa nhà sẵn khu vực Đống Đa.Giá chào bán 25.8 tỷ có thương lượng.Anh Chị quan tâm liên hệ 0914 821 *** để xem nhà.            ",75 m²,25.8 tỷ,,,,,7 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35796606,batdongsan_com_vn_35796606
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Nguyễn Xiển']","
2 mặt ngõ đều ô tô tránh - kinh doanh đỉnh - vỉa hè 2 bên - 7 chỗ vào nhà - ô tô chạy vòng quanh - cách mp Nguyễn Xiển 20m.- Diện tích 51m² mặt tiền 3,6m dài 14m, sổ vuông đẹp không lỗi phong thủy.- Ngõ 132 Nguyễn Xiển ô tô tránh nhau, vỉa hè rộng.- Ngõ 140 Nguyễn Xiển rộng 3m, sau quy hoạch làm sân chơi.+ Tầng 1: Gara ô tô, phòng khách, bếp, vệ sinh.+ Tầng 2,3: Mỗi tầng 2 phòng ngủ, vệ sinh.+ Tầng 4: Phòng thờ, sân phơi.- Giá chào 9,85 tỷ có thương lượng.- Liên hệ 0985 125 *** Trần Dũng.            ",51 m²,9.85 tỷ,3.6 m,8 m,Bắc,Bắc,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,18/11/2022,28/11/2022,Tin thường,35876426,batdongsan_com_vn_35876426
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà', 'Ngõ 98']","
Bán nhà ngõ 98 Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội.- Diện tích 68.8m², mặt tiền 5,4m.- Nhà xây 5 tầng gồm: Gara, bếp, khách, 5 phòng ngủ, 5WC, phòng thờ, sân phơi.- Ngõ trước nhà rộng ô tô vào nhà thoải mái, nhà cách phố Thái Hà 30m.- Sổ đỏ chính chủ vuông không lỗi.- Nhà nằm khu vực VIP nhất quận Đống Đa.- Giá 17.9 tỷ có thương lượng.- Liên hệ 0985 125 *** Trần Dũng.            ",68.8 m²,17.9 tỷ,5.4 m,8 m,Đông - Nam,Đông - Nam,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,18/11/2022,28/11/2022,Tin thường,35876733,batdongsan_com_vn_35876733
