address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Phố Khương Thượng']","
Nhà 5 tầng mặt tiền 3.4m, diện tích 40m², rất gần trục chính Trường Chinh.- Vị trí tuyệt vời để kinh doanh, hoặc dễ cho thuê.- Cách mặt hồ 60 m, phố thông Tam Khương và Trường Chinh, khu đông dân cư, buôn bán sầm uất.- Nhà xây 4 tầng 1 lửng, cầu thang vệ sinh cuối nhà.- Tầng 1 là nơi kinh doanh quá tốt, tầng lửng làm phòng khách.- Tầng 2, 3 thông sàn, tầng 4 phòng thờ và sân phơi, sau có khe thoáng 0.5m.Sổ đỏ cất két, thuận tiện giao dịch.Giá giảm còn 9.5 tỷ.Anh Chị quan tâm liên hệ 0914 821 ***Cam kết xem nhà miễn phí.            ",40 m²,9.5 tỷ,3.4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35233198,batdongsan_com_vn_35233198,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Chuyển đổi kinh doanh nên gia đình cần bán gấp căn nhà vị trí cực đẹp tại phố Hoàng Quốc Việt, phù hợp với toà văn phòng 8 tầng thang máy.Diện tích 100m², mặt tiền rộng, ô tô ra vào thoải mái.Nhà cách phố 20m, xung quanh nhiều toà văn phòng nên phù hợp khách mua để ở và cho thuê.Khu vực dân trí cao, an ninh trật tự.Các tuyến đường xung quanh: Nghĩa Đô, Nghĩa Tân, Võ Chí Công, Nguyễn Phong Sắc, Nguyễn Văn Huyên, Phạm Văn Đồng, Trần Quốc Hoàn.+ Pháp lý: Sổ đỏ chính chủ, giao dịch nhanh chóng.+ Giá bán: Thoả thuận.Khách hàng thiện chí liên hệ ngay: Mr Vương 0336 236 *** để xem nhà và gặp trực tiếp chủ nhà làm việc.- Đạo đức - tận tâm - hiệu quả.            ",100 m²,21 tỷ,9 m,,6 phòng,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35654223,batdongsan_com_vn_35654223,6 m,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', '79', 'Rose Town']","
Do gia đình chuyển địa điểm công tác, nên chủ nhà gửi bán lại căn hộ nằm trong tòa DV01, tòa cao cấp nhất dự án Rose Town 79 Ngọc Hồi cho ai có nhu cầu!Tiện ích đẳng cấp khác biệt của tòa DV01:- Là toà duy nhất của toàn dự án có bể bơi thông minh 4 mùa.- Là toà có nhiều tầng dịch vụ tiện ích nhất dự án, với 5 tầng thương mại, shophouse, nhà hàng, siêu thị, gym, spa...- 3 tầng hầm rộng cam kết đáp ứng đủ nhu cầu để ô tô của quý cư dân.- Là toà duy nhất có căn hộ khách sạn - phân khúc căn hộ cao cấp nâng tầm cả toà nhà - trong tương lai giá trị căn hộ sẽ tăng cao.Ngoài ra, bên em vẫn còn rất nhiều căn hộ trực tiếp CĐT với chính sách tốt mà mức giá cực kỳ hợp lý.* Chính sách bán hàng chưa từng có (chỉ dành cho 10KH đầu tiên).- Quà tân gia lên tới 50.000.000 VNĐ.- Hỗ trợ lãi suất 0% cho 65% GTCH lên tới 15 tháng (ân hạn gốc).- Chiết khấu tới 12% GTCH cho khách thanh toán sớm.- Khách hàng hoặc người thân mua từ căn thứ 2 được tặng thêm 10.000.000 VNĐ.- Chương trình tri ân khách hàng với tổng giải thưởng lên tới 700.000.000 VNĐ: Xe ô tô Hyundai, xe máy Honda SH 125i, iPhone 14 Pro max, điều hòa...* Đặc quyền khi mua căn hộ qua em Trung Thực.- Ký HĐMB trực tiếp chủ đầu tư, được hỗ trợ mọi giấy tờ, thủ tục.- Cam kết giá tốt nhất.- Bảng hàng độc quyền, hỗ trợ 24/7.- Hỗ trợ nếu khách hàng có nhu cầu chuyển nhượng.Em Trung Thực 0968 452 ***Chân thành cảm ơn quý khách hàng đã lựa chọn.            ",77 m²,Thỏa thuận,,,,,,22/11/2022,29/11/2022,Tin thường,35837583,batdongsan_com_vn_35837583,,,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Đường Đoàn Thị Điểm']","
- Mặt phố Đoàn Thị Điểm, Đống Đa to như phố, ô tô qua lại, tiếp giáp Ba Đình, 2 phút lên thẳng phố cổ.- Vị trí đẳng cấp, vừa ở vừa kinh doanh là nhất, gần nhiều trường học liên cấp, chợ dân sinh, ga Cát Linh, bao bọc bởi nhiều khu đô thị và TTTM lớn.- Thiết kế: đầy đủ công năng sử dụng cho 1 gia đình lớn 3 thế hệ gồm: tầng 1 để xe (thông sàn kinh doanh), tầng 2: khách, bếp, wc, tầng 3,4 gồm 4 phòng ngủ, tầng 5 phòng thờ sân phơi.- Sổ đỏ pháp lý sạch sẽ, giao dịch ngay, chủ nhà làm ăn rất có lộc, nay đã mua nhà mặt phố nên không sử dụng cần bán gấp để chuyển nhà mới.            ",43 m²,6.2 tỷ,,5 tầng,4 phòng,,,27/11/2022,07/12/2022,Tin thường,35962395,batdongsan_com_vn_35962395,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Bán chung cư Vinhomes Gardenia diện tích 107 m² - 3 ngủ 2WC, full nội thất sang trọng, tầng cao, view vô cực, rất thư giãn, không khí tầng cao trong lành, ít bui, yên tĩnh. Cộng đồng dân cư văn minh, dịch vụ tiện ích đầy đủ, là nơi đáng sống, giao thông kết nối đi các nơi thuận tiện.Giá bán 40 triệu/m².LH: 0911 361 *** ",107 m²,40 triệu/m²,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,14/11/2022,14/12/2022,Tin thường,35825274,batdongsan_com_vn_35825274,,Tây - Bắc,Đông - Nam,Full nội thất sang trọng
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm', 'Ngõ 298']","
Tôi cần bán căn nhà mới xây 5 tầng, ở Ngọc Lâm, long biên ô tô đỗ cửa chỉ 4.89 tỷ.Nhà tại ngõ phố Ngọc, Long Biên, Hà Nội. Chỉ 500m ra cầu Long Biên, Chương, sang phố cổ chỉ 5 phút.Đường trước nhà rộng 2.8m, xe 7 chỗ đỗ cửa.Diện tích 32m²; mặt tiền 3.5m.Hướng nhà: Đông Bắc (gần chính Bắc).Nhà móng cọc ép BTCT, thiết kế đẹp, tiện lợi khi sử dụng. Nhà xây 5 tầng; Chủ nhà tâm huyết đến từng chi tiết nhỏ.Tầng 1: Phòng khách, Bếp, vệ sinh.Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, vệ sinh khép kín.Tầng 5: Phòng thờ, khu máy giặt, sân phơi.Pháp lý: SĐCC, GPXD.Giá bán: 4.89 tỷ (Có thương lượng); Hỗ trợ vay vốn NH từ 1 - 20 năm.Liên hệ em Hoàn 0978 993 *** ",32 m²,4.89 tỷ,3.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,34094504,batdongsan_com_vn_34094504,3 m,Đông - Bắc,Đông - Bắc,Đầu đủ nội thất.
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
Sở hữu 1 ngôi nhà rộng rãi để tận hưởng cuộc sống sau những ngày làm việc căng thẳng thật là thú vị. Nhưng dành quá nhiều tiền cho 1 căn hộ mà không tận dụng hết công năng thì thật là phí phạm.* Tecco Garden: Căn hộ rộng rãi, thiết kế tối ưu, lại ngay gần trung tâm với 1 mức giá vô cùng hợp lý.Tecco Garden sở hữu vị trí đắc địa trung tâm Huyện Thanh Trì, 4 mặt giáp đường lớn trong khu vực dân cư sầm uất cùng Quy Hoạch sớm lên quận trong năm 2023.* Tiện Ích nội, ngoại khu hiện đại.Tecco Garden sở hữu không gian xanh cùng chuỗi tiện ích hiện đại và cao cấp.- Tầng hầm để xe với công nghệ thông minh.- Trung tâm thương mại với các tiện ích: Khu giải trí, dịch vụ chăm sóc sức khỏe, gym, yoga...- Tiện ích ngoài trời rộng lớn, bao gồm: Công viên cây xanh trung tâm, lối đi bộ, khu vui chơi trẻ em ngoài trời, hồ bơi sky view, vườn treo, vườn nướng BBQ.- Không khí trong lành, cùng tầm view hướng ra hồ điều hoà, công viên Yên Sở.* Chính sách bán hàng phá đảo thị trường.- Hỗ trợ vay 65% GTCH, lãi suất 0% trong 18 tháng.- Thanh toán 100% GTCH, chiết khấu ngay 8%.- Lần đầu tiên trên thị trường có Chính sách giải ngân song song, chỉ 10% là ký HĐMB, cơ hội quá TỐT cho những Khách hàng tài chính chưa dồi dào mà vẫn muốn sở hữu ngay căn hộ rộng rãi, đẳng cấp.* Đặc quyền khi mua căn hộ qua Em Trung Thực.- Ký HĐMB trực tiếp chủ đầu tư, được hỗ trợ mọi giấy tờ, thủ tục.- Cam kết giá tốt nhất.- Bảng hàng độc quyền, hỗ trợ 24/7.- Hỗ trợ nếu khách hàng có nhu cầu chuyển nhượng.Em Trung Thực 0968 452 ***Chân thành cảm ơn quý khách hàng đã lựa chọn.            ",82 m²,Thỏa thuận,,,,,,21/11/2022,28/11/2022,Tin thường,35831849,batdongsan_com_vn_35831849,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ']","
Bán nhà Mỹ Đình 2, oto tránh kinh doanh 80m², 13.5 tỷ- Nhà dân xây dựng vững chắc từ móng. Đang cho thuê ổn định dòng tiền trên 60tr/tháng 12 phòng khép kín.- Với lợi thế vị trí đường oto lại sát đường chính Lê Đức Thọ, Nguyễn Hoàng.- Nhà thiết kế 7 tầng, với T1 kinh doanh đa mặt hàng. - Các tầng trên mỗi tầng 2 phòng khép kín có lối đi riêng ở bên hông.            ",80 m²,13.8 tỷ,,7 tầng,12 phòng,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962731,batdongsan_com_vn_35962731,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Nghĩa Tân']","
Bán nhà Nghĩa Tân 78m², 4 tầng, mặt tiền 4.8m, ô chờ thang máy, phân lô vip trung tâm Cầu Giấy, ô tô tránh, ở sướng, KD đa dạng, nhỉnh 14 tỷ.+ Vị trí cực đẹp, sau mặt phố lớn, ô tô tránh, thông bàn cờ.+ Khu phân lô dân trí cao, tiện ích ngập tràn, kinh doanh đa dạng.+ Nhà 4 tầng xây ở cực chắc chắn, lên tầng vô tư, ô chờ thang máy, thiết kế hợp lý với 4 phòng ngủ sáng thoáng.+ Sổ đỏ nét căng A4, sẵn sàng giao dịch.Thông tin chi tiết vui lòng liên hệ: 0976 968 *** ",78 m²,Thỏa thuận,4.8 m,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35469825,batdongsan_com_vn_35469825,8 m,,,Vip
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Dự án N01-T2 Ngoại Giao Đoàn']","
Bán căn hộ chung cư tòa N01T2. Khu Ngoại Giao Đoàn.- Diện tích 109m², 3 ngủ, 1 khách, 1 bếp, 2 vệ sinh, sân phơi quần áo rộng rãi, dễ dàng lắp đặt máy giặt, bảo dưỡng điều hòa.- Ban công hướng Đông bắc, rộng rãi, thoáng mát, đủ diện tích trồng cây, làm tiểu cảnh.- 3 Phòng ngủ có cửa sổ rộng, cả căn hộ ngập tràn ánh sáng, không gian sống thoáng dễ chịu.- Nội thất cơ bản.- Pháp lý đầy đủ.- Tòa nhà gồm: 2 tầng hầm và 27 tầng nổi.- Giá 4,69 tỷ có thương lượng.- Liên hệ 0985 125 *** Trần Dũng để xem nhà và làm việc chính chủ.            ",109 m²,4.69 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35953054,batdongsan_com_vn_35953054,,Nam,Đông - Bắc,Đầy đủ nội thất
