address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Pháp lý,Hướng ban công,Nội thất
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
Chỉ 3.6 tỷ có ngay nhà 36m² x 5 tầng, nhà còn như mới. Lh 0936 456 ***Nhà khung bê tông, xây dựng với : Tầng 1 : khách, bếp.Tầng 2, 3, 4 : mỗi tầng 1p ngủ rộng + vsTầng tum : thờ + phơi đồ.Nhà gần hồ phú diễn, ngõ vào rộng thoáng, gần.Vị trí đi lại thuận tiện.Hàng xóm vui vẻ, hòa đồng.Sổ chính chủ. Giá bán chỉ 3.6 tỷ.Liên hệ : 0936 456 *** ",36 m²,3.6 tỷ,2.5 m,Đông - Nam,5 tầng,3 phòng,4 phòng,27/11/2022,04/12/2022,Tin thường,35962686,batdongsan_com_vn_35962686,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
+ Vị trí siêu đỉnh ở Hoàng Quốc Việt, Quận Cầu Giấy, nối liền các tuyến phố như: Phạm Tuấn Tài, Trần Cung, Phạm Văn Đồng, Mỹ Đình, Cầu Giấy đi lại vô cùng thuận tiện.+ Nhà thuộc khu phân lô cán bộ, ô tô chạy vòng quanh nhà, khách về ở hoặc làm văn phòng rất hợp.+ Trước nhà thoáng sáng sạch sẽ, 2 ô tô tránh nhau thoải mái.+ Nhà thiết kế hợp lý, mỗi tầng 2 phòng, đầy đủ công năng.+ Sổ đỏ vuông đẹp, giao dịch luôn.+ Giá: 9.2 tỷ, có thương lượng.+ Liên hệ: Em Hương chuyen nhà đẹp Cầu Giấy.            ",50 m²,9.2 tỷ,6 m,,,5 phòng,5 phòng,27/11/2022,04/12/2022,Tin thường,35065666,batdongsan_com_vn_35065666,4 m,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Khang']","
- Bán gấp nhà 3 tầng đầy đủ công năng, Phố Nguyễn Khang, Cầu Giấy, diện tích 5, mặt tiền 6,5m, giá 4,5 tỷ.- Nhà nằm vị trí đắc địa, vài bước chân ra phố ô tô tránh. Phố Nguyễn Khang, Đường Láng, Cầu Giấy, Hoa Bàng, Thành Thái, xung quanh đầy đủ tiện ích, giao thông thuận tiện.- Hiện trạng nhà 3 tầng, gồm 1 khách bếp + 3 phòng ngủ cực thoáng.- Sổ đỏ chính chủ.- Liên hệ: 0966 230 *** - Mr Hoà.            ",55 m²,4.5 tỷ,9 m,Đông,5 tầng,3 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,35465644,batdongsan_com_vn_35465644,6.5 m,Sổ đỏ chính chủ.,Nam,Ko
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn', '193']","
Bán nhà phú diễn 42m² 3 tầng giá 3,5 tỷ ngõ xe ba gác 20m ra ôtô đỗ.3,5 tỷ - 42 m².Bắc Từ Liêm, Hà Nội.Ngõ rộng ba gác - gần ô tô - mặt tiền đẹp - tiện ích xung quanh - an sinh đỉnh.+ Nhà ở ngõ 193 Phú Diễn rất gần oto, ngõ nông rộng, thoáng - an sinh đỉnh, gần hồ trường học cấp 1,2 gần chợ phú diễn, ủy ban phường...+ Khu vực dân trí cao, an ninh đảm bảo, gần chợ và rất nhiều trường học các cấp.+ Nhà mới, chủ tự xây được vài năm còn rất đẹp khung cột bê tông chắc chắn lên tầng thoải mái.- Thiết kế 3 tầng.Tầng 1: Phòng khách, bếp, wc.Tầng 2: 2 phòng ngủ, wc.Tầng 3: Phòng thờ, sân phơi rộng.- Sổ đỏ đẹp, sẵn sàng giao dịch.Liên hệ Phạm Dũng 0942 252 *** để được tư vấn và hỗ trợ xem nhà miễn phí.            ",42 m²,3.5 tỷ,2.2 m,,3 tầng,3 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35951333,batdongsan_com_vn_35951333,5 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Doãn Kế Thiện']","
Khu Vip phân lô - ô tô đỗ cửa - trung tâm Cầu Giấy.* Vị trí:- Cách phố ô tô tránh 10m, đường trước nhà ô tô đỗ cửa phân lô ô bàn cờ.- Thông các ngõ, thông ra phố Nguyễn Khả Trạc, nhà thuộc khu phân lô ô tô đỗ cửa, gần Làng Quốc tế Cấp nước, gần phố Doãn Kế Thiện, 3 bước ra ĐH Quốc Gia, ĐH Ngoại Ngữ, Phố Trần Vỹ...- Gần chợ, tiện ích xung quanh ngập tràn.- Hiện trạng nhà cấp 4. Sổ đỏ 48m², mặt tiền 3,8m.- Pháp lý: Sổ đỏ chính chủ.Liên hệ Phạm Dũng 0942 252 *** để được tư vấn và hỗ trợ xem nhà miễn phí.Nhận ký gửi nhà đất và chung cư khu vực Hà Nội.            ",48 m²,7.8 tỷ,5 m,,1 tầng,1 phòng,1 phòng,25/11/2022,02/12/2022,Tin thường,35597472,batdongsan_com_vn_35597472,3.8 m,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Gia Lâm', 'Xã Đông Dư', 'Đường 379']","
Chính chủ cần bán gấp lô 115m².- Mặt tiền: 7m.- Đường trước đất khoảng 7m, 2 oto tránh nhau.- Địa chỉ: Xóm 6 - Đông Dư - Gia lâm - HN.- Giá bán: 7.8 tỷ có thương lượng.- Vị trí: Lô đất vuông vắn, đẹp, không lỗi phong thủy.- Đường trước đất oto chạy ngày đêm, kinh doanh đẹp.- Giao thông thuận tiện lô đất nằm gần ngã ba QL1 và đường 279, kết nối giao thông từ Bát Tràng, Ecopak, Vinhomes Gia Lâm, đi trung tâm HN.- Liên hệ: Mr. Sơn để biết thêm thông tin chi tiết.            ",115 m²,7.8 tỷ,,,,,,27/11/2022,04/12/2022,Tin thường,35642673,batdongsan_com_vn_35642673,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
+ Nhà đẹp chắc chắn, thang máy nhập khẩu chạy êm, nhà hiếm trong khu vực. Cả dãy toàn là đại tá, thiếu tá.+ Vị trí hiếm nhà bán ở TT Quận Cầu Giấy, giáp 3 quận như: Ba Đình, Đống Đa, Tây Hồ đi lại vô cùng thuận tiện.+ Ngõ to rộng oto vào nhà thoải mái.+ Khu phân lô quân đội dân trí cao.+ Thiết kế hiện đại, đầy đủ công năng.+ Sổ đỏ đẹp, sẵn giao dịch.+ Giá: 9 tỷ, có thương lượng với khách thiện chí.+ Liên hệ Ms Hương 0862 566 *** chuyên nhà đẹp Cầu Giấy.            ",50 m²,9 tỷ,8 m,,,,,27/11/2022,04/12/2022,Tin thường,35108395,batdongsan_com_vn_35108395,5 m,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Dự án ĐTM Dịch Vọng']","
- Gia chủ gửi bán biệt thự đơn lập tại KĐT mới Dịch Vọng, tổng diện tích 200m², với tỷ lệ xây dựng ấn tượng chỉ 80%, 3 tầng, mặt tiền cực rộng 14m. Phong cách thiết kế Châu Âu, nội thất Tân Cổ Điển chăm chút từng chi tiết.* Biệt thự nằm trung tâm quận Cầu Giấy, giao thương vô cùng thuận tiện, khu tiếp giáp Ba Đình, Đống Đa, vô cùng đẳng cấp, vip. Khu vực dân trí cao, an ninh tốt và có nhiều biệt thự.- Biệt thự có 5 phòng ngủ, có phòng tập Gym. Gara rộng 2 SUV đỗ thoải mái. Gia chủ là doanh nhân thành đạt, nổi tiếng. Hiện tại Biệt thư đã để trống 3 tháng do gia chủ đã chuyển sang Vinhomes Green Bay, do đó gia chủ rất thiện chí bán. Và mong gặp được khách hữu duyên.- Sổ đỏ đẹp, nét, pháp lý rõ ràng sẵn sàng giao dịch.- Giá 57 tỷ - Thương lượng.- Tôi, Lê Tài: 0987 167 ***Làm việc trực tiếp chủ nhà).- Tôi sẵn sàng tư vấn tận tâm và giúp khách hàng mua được giá tốt nhất.            ",200 m²,57 tỷ,8 m,,3 tầng,5 phòng,7 phòng,25/11/2022,02/12/2022,Tin thường,35948655,batdongsan_com_vn_35948655,14 m,Sổ đỏ/ Sổ hồng,,Cơ bản
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Lê Trọng Tấn', 'Dự án The K Park']","
Chính chủ gửi bán căn hộ 2 ngủ 2 vệ sinh tòa K2 dự án The K Park Văn Phú, Hà Đông.- Thiết kế 2 ngủ 2 vệ sinh riêng biệt, sạch sẽ.- Ban công Đông Nam (cực hiếm) thoáng mát view bể bơi mát mẻ.- Nhà thiết kế full đồ từ A - Z để lại cho chủ mới (chỉ mang đi đồ điện tử).- Giấy tờ pháp lý đầy đủ, rõ ràng. Sổ đỏ chính chủ cầm tay sẵn sàng giao dịch.- Giá mong muốn 1.93 tỷ, có thương lượng và ra lộc, chủ nhà thiện trí có hỗ trợ vay ngân hàng.Ngoài ra em còn quỹ căn giá tốt tất cả các dự án toàn hà đông như: + TNK, Goldsilf, Samsora khu cầu Am Vạn Phúc.+ Victoria, Kpark, Lacasta Văn phú.+ The Pride, Usilf, HPC, đặc biệt là Anland 1,2,3 và đặc biệt là dự án mới bàn giao đáng sống nhất khu vực Hà Đông: The Terra An Hưng.Cô, chú, anh, chị có nhu cầu quan tâm để lại tương tác hoặc liên hệ em Giang qua sđt đã ghim trên bài đăng hỗ trợ xem nhà 24/7 và tư vấn nhiệt tình, chu đáo.            ",60 m²,1.93 tỷ,,Đông - Bắc,,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35950117,batdongsan_com_vn_35950117,,Sổ đỏ/ Sổ hồng,Đông - Nam,Đầy đủ
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Phố Khương Thượng']","
+ Diện tích tổng 85m². Trong đó sổ 70m², 10m² có giấy viết tay. 5m còn lại là đất lưu không. Tổng thực là 85m²/sàn.+ Ngôi nhà nằm tại vị trí trung tâm khu vực Đống Đa, đường Trường Trinh, xung quanh là Các trường học cấp 1,2,3.. Các trường đại học lớn của thành Phố, khu vực dân trí cao, dân cư tấp nập cực đông sinh viên và dân văn phòng phù hợp mọi hình kinh doanh, ô tô chạy vòng quanh - kinh doanh hưởng thụ đều tuyệt.+ Sổ đẹp nở hậu giao dịch ngay.            ",70 m²,12 tỷ,5 m,Đông - Nam,5 tầng,5 phòng,5 phòng,23/11/2022,30/11/2022,Tin thường,35845059,batdongsan_com_vn_35845059,6 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
