address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Đường vào,Nội thất,Hướng nhà
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Chuyển đổi sang khu vực khác, chính chủ cần bán gấp căn hộ 2PN tại khu đô thị Xa La, Hà Đông, Hà Nội. Căn hộ đã được làm nội thất vô cùng cẩn thận, lại sạch sẽ, không thấm ẩm. Vị trí đẹp, căn góc nên view rất thoáng, các phòng đều được đón ánh sáng và gió tươi ngập tràn.- Diện tích: 55,5m vuông.- Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh.- Nội thất: Chủ nhà để lại toàn bộ nội thất trong nhà, gồm sofa, tủ bếp, tủ quần áo, nóng lạnh, nhà đã làm sàn gỗ, trần thạch cao còn rất mới, khách mua chỉ việc vào ở luôn.- Pháp lý minh bạch, rõ ràng, sổ hồng chính chủ, sẵn sàng giao dịch ngay.Các bác có nhu cầu vui lòng liên hệ để xem nhà trực tiếp hoặc zalo 0962 017 *** - Em Thủy.Xin cảm ơn.            ",55.5 m²,1.35 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35854516,batdongsan_com_vn_35854516,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
- Mặt ngõ Thuỵ Khuê to, sáng, đẹp, ô tô 16 chỗ đỗ cửa, ngõ thông, thẳng tắp, rất gần bãi gửi ô tô ngày đêm.- Đất đại phát đại lộc, khu vực thượng lưu, nhiều cơ sở kinh doanh cấp cao, kinh doanh bất chấp mọi loại hình.- Trung tâm của trung tâm, ngay ngã tư Thuỵ Khuê Văn Cao, đi bộ ra Hồ Tây, Lăng Bác, TTTM Lotte.- Chủ nhà là kiến trúc sư nên nhà được xây cực lâu bền, tâm huyết, theo hướng hiện đại, sang trọng, bản thiết kế cả quyển:+ Tầng 1: Khách, bếp, wc.+ Tầng 2,3,4: 3 phòng ngủ to đẹp, wc.+ Tầng 5: Phòng thờ, tiểu cảnh, sân phơi.- Tiện ích mọi mặt, chợ dân sinh, siêu thị Winmart, trường Chu Văn An cấp 1,2,3, xe buýt, bệnh viện Thu Cúc, 354.- Giao thông: Văn Cao, Liễu Giai, Trích Sài, Nguyễn Đình Thi, Quán Thánh, Thanh Niên, Đội Cấn, Hoàng Hoa Thám.- Gia đình chủ có địa vị trong xã hội, ở đây từ thuở cơ hàn, nhờ vía nhà phất lên như diều gặp gió, đã dọn lên phố cổ.- Sổ nở hậu nhẹ nhàng, pháp lý sạch sẽ, chuẩn, sẵn sàng giao dịch.- Giá 7.99 tỷ.- Liên hệ: E Oanh (không làm việc với môi giới).            ",42 m²,7.99 tỷ,3 phòng,,,23/11/2022,03/12/2022,Tin thường,35280441,batdongsan_com_vn_35280441,4.2 m,5 tầng,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Do chuyển nhà về gần cơ quan làm việc cho tiện nên cần bán gấp nhà đã đầy đủ đồ chỉ việc về ở tại tòa CT6, khu đô thị Xa La, Hà Đông, Hà Nội. Do gia đình chuyển đi rồi nhà để không nên mong muốn nhanh tìm được gia chủ mới cho căn hộ lộc lá. Có gia lộc thêm cho khách thiện chí.* Diện tích: 73m² - Căn góc cực thoáng.* Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh, phòng bếp, 1 khách.* Nội thất để lại: Tủ bếp, giường, tủ, sofa, kệ tivi, tủ giày, điều hòa, nóng lạnh, gần như full đồ khách có thể về ở luôn.* Pháp lý minh bạch rõ ràng, sổ hồng chính chủ (Hỗ trợ vay bank).* Giá: 1,54 tỷ (có gia lộc thêm cho khách thiện chí).Liên hệ xem nhà: Em Thủy 0962 017 ***Miễn TG & QC mạng.            ",73 m²,1.54 tỷ,2 phòng,2 phòng,Sổ hồng,23/11/2022,30/11/2022,Tin thường,35928403,batdongsan_com_vn_35928403,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Đường Nam Đồng']","
- Cần bán gấp nhà mặt phố Nam Đồng, Đống Đa vị trí siêu kinh doanh giá đầu tư, nhà cấn bán nằm vị trí đắc địa mặt phố lớn trung tâm Quận Đống Đa, 3 bước chân ra mặt Phố Xã Đàn, khu vực dân cư tập trung, giao thông thuận tiện, an ninh, an sinh cực tốt, nhà hiện 3 tầng chủ xác định bán đất tặng nhà, với ví trí mặt Phố Lớn, gần ngày Hồ Xã Đàn, cách mặt Phố Xã Đàn 3 bước chân, gần ngày Ngã 6 Ô Chợ Dừa, rất phù hợp đầu tư xây mới toà văn phòng, hiệu xuất kinh doanh cực kỳ cao.- Diện tích 73m² mặt tiền 3.8m hiện trạng 3 tầng, thiết kế hợp lý không gian thoáng, với đầy đủ công năng và tiện ích, phù hợp vừa ở vừa kinh doanh, nhà hàng, quán ăn, salon tóc, shop thời trang, hoặc đầu tư xây mới tòa văn phòng...- Giá 23 tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp ký sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",73 m²,23 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35282749,batdongsan_com_vn_35282749,3.8 m,3 tầng,20 m,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phúc Diễn', 'Đường Phúc Diễn']","
Bán nhà Phúc Diễn, Hồ Tùng Mậu: LH Nguyễn Thế 0902 280 ***- Đường Phúc Diễn là đường ngay đầu Cầu Diễn, cuối đường Hồ Tùng Mậu rẽ trái. Nhà mình cách Cầu Diễn 100m. Gần Goldmark City, Vinhome Gardenia, Chợ Cầu Diễn...- Ngõ trước nhà rộng gần 4m, oto qua nhà. Cách mặt đường Phúc Diễn 10m. Nhà không vào quy hoạch hay tranh chấp.- Diện tích xây dựng 44m², 2 tầng. Nhà thoáng trước sau. Tổng có 2 ngủ + 2 wc. Khách về có thể lên tầng nếu muốn.Sổ đỏ vuông đẹp.Giá bán: 4.95 tỷ.Liên hệ: Nguyễn Thế 0902 280 ***Call, Zalo) để biết thêm thông tin, đi xem và sở hữu căn nhà này.            ",48 m²,4.95 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35764580,batdongsan_com_vn_35764580,,2 tầng,4 m,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Bắc', 'Đường Khuất Duy Tiến']","
+ Cực hiếm trong tầm dưới 8 tỷ ở trung tâm Thanh Xuân, ô tô vào nhà. Nhà vuông đẹp, thông số vàng, cực gần ngã tư Khuất Duy Tiến, nằm ở vị trí trung tâm Thanh Xuân, đi đâu cũng tiện. Phân lô xung quanh toàn quan chức, khu vực văn minh, bãi để xe bạt ngàn.+ Ngõ cực nông, cách mặt phố Khuất Duy Tiến 30m, trước nhà bãi rộng rãi, tha hồ để xe.+ Nhà 3 tầng, 3 phòng ngủ.+ Pháp lý sạch, chính chủ, cất két sẵn sàng giao dịch ngay.+ Liên hệ: Mr Hậu Bư 0987 481 ***Tôi mang đến giá trị cho bạn.Ngôi nhà mới chắc chắn sẽ tốt hơn.            ",56 m²,7 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35927777,batdongsan_com_vn_35927777,3.6 m,3 tầng,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng', 'Ngõ 84']","
+ Bán chung cư N02, 84 Chùa Láng căn góc 75m², 2 ngủ, nhà đẹp ở ngay chỉ 2.68 tỷ(có thương lượng).+ Nhà căn góc nên các phòng đều có cửa sổ rộng, sáng thoáng, tầng trung, tầm view cực đẹp.+ Khu vực vip tập trung nhiều các trung tâm thương mại và hành chính, cách ĐH Ngoại Thương, Học viện Ngoại Giao, Giao Thông Vận Tải 300m.+ Vị trí trung tâm Đống Đa, trung tâm TM, rạp chiếu phim CGV, phòng tập gym, bể bơi 4 mùa ngay dưới chân tòa nhà.+ Tiện ích xung quanh không thiếu thứ gì, chợ, trường học các cấp bán kính 1km.+ Sổ đỏ cất két sẵn sàng giao dịch.+ Liên hệ xem nhà: Mr Hiếu: 0984 262 ***miễn trung gian).            ",75 m²,2.68 tỷ,2 phòng,2 phòng,,27/11/2022,04/12/2022,Tin thường,35878720,batdongsan_com_vn_35878720,,,,Đầy đủ,
"['Hà Nội', 'Hoàng Mai', 'Dự án Gamuda City']","
Bán căn hộ 3PN The Two Gamuda 97m² đầy đủ nội thất view đẹp nội khu sổ đỏ chính chủ giá 3.6 tỷ bao sang tên cho người mua LH 0982 486 *** ",97 m²,3.6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962547,batdongsan_com_vn_35962547,,,,,
"['Hà Nội', 'Thanh Oai', 'Xã Thanh Mai', 'Đường 21B']","
Cần bán 99m² trục chính xã Thanh Mai đường ô tô tránh, xe bus đỗ cửa.Đường trước đất rộng 9m xe bus tránh xe tải, trục chính đông dân cư, công nhân qua lại tấp nập ngày như tối.Cách đường 21B chỉ 800m, cách bala Hà Đông, bến xe Yên Nghĩa 20p di chuyển.Đất thuộc khu đông dân cư, dân trí cao nhiều nhà cao tầng. Sổ đỏ chính chủ, giá bán 2xtr/m² rẻ nhất khu Kim Bài, Thanh Mai.Quan tâm AC LH 0988 391 ***E Dũng BĐS Tấn Dũng mua bán ký gửi BDS Thanh Oai chuyên nghiệp).            ",99 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35221786,batdongsan_com_vn_35221786,,,,,Nam
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Phạm Văn Đồng']","
- Mảnh đất cách mặt đường Cổ Nhuế 50m, bước ra ngõ là Chợ Cổ Nhuế, gần ngay Phạm Văn Đồng.- Vị trí trung tâm, lại nhỏ tiền, chủ mua để xây ở, đã xin giấy phép xây dựng xong rồi, nhưng ngại xây nên bán để mua nhà sẵn ở.- Sổ cất két, sẵn sàng giao dịch, tặng thêm GPXD.Giá 2,3 tỷ (thương lượng với KH thiện chí).            ",35 m²,2.3 tỷ,,,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35832737,batdongsan_com_vn_35832737,3.4 m,,2 m,,
