address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Trần Kim Xuyến']","
- Cần bán gấp toà văn phòng mặt phố Trần Kim Xuyến Cầu Giấy, vị trí siêu kinh doanh giá đầu tư, Toà Nhà nằm vị trí đắc địa Lô Góc, mặt Phố trung tâm Quận Cầu Giấy kinh doanh buôn bán sầm uất ngày đêm, khu vực đang cực kỳ phát triển với làn đường rộng vỉa hè 2 bên cực thoáng, Toà nhà được xây dựng 6 tầng thang máy, với 5 tầng nồi và 1 hầm, thông sàn cho thuê kinh doanh dòng tiền 130tr/Tháng, với vị trí siêu đắc địa mặt Phố lớn, Lô Góc phù hợp với nhiều loại hình kinh doanh, cơ hội đầu tư kinh doanh giữ tiền sinh lời cao.- Diện tích 142m² mặt tiền 16m hiện trạng 6 tầng, thiết kế toà văn phòng thông sàn thang máy, phù hợp kinh doanh cho thuê ngân hàng, spa, thẩm mỹ, phòng khám, nhà hàng...- Giá 76 tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",142 m²,76 tỷ,16 m,17 m,6 tầng,4 phòng,7 phòng,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin thường,35870491,batdongsan_com_vn_35870491,,,
"['Hà Nội', 'Thanh Oai', 'Xã Bình Minh', 'Đường 21B']","
110m² đường hơn 3m Bình Minh, Thanh Oai giá chỉ 2xtr/m² (x tiểu học bé) cách đường Cenco5 chỉ 900m, cách vành đai 4 chỉ 600m. Cách trục chính làng oto tránh chỉ 25m. Giá tốt nhất kv Bình Minh, Tam Hưng.Quan tâm LH 0988 391 *** ",110 m²,22.5 triệu/m²,5 m,4 m,,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35830840,batdongsan_com_vn_35830840,Nam,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh']","
- Cần bán gấp toà apartment Nguyễn Chí Thanh Đống Đa vị trí kinh doanh giá đầu tư, Nhà cần bán nằm vị trí đắc địa, cách mặt phố 20m, đường trước nhà rộng 2 ô tô tránh, dừng đỗ thoải mái, nhà chính chủ xây mới 6 tầng thang máy, nhập khẩu 450kg, thiết kế 10 phòng studio khép kín, doanh thu 90tr/Tháng, chủ mới có thể chuyển đổi mục đích vừa ở vừa kinh doanh văn phòng được, sổ đẹp phân lô, cơ hội đầu tư kinh doanh giữ tiền sinh lời cao.- Diện tích 65m² mặt tiền 5m hiện trạng 6 tầng thang máy, thiết kế hiện đại không gian thoáng, với đầy đủ công năng và tiện ích, phù hợp vừa ở vừa kinh doanh văn phòng, căn hộ dịch vụ...- Giá 20.5tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",65 m²,20.5 tỷ,5 m,8 m,6 tầng,10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin thường,35874455,batdongsan_com_vn_35874455,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Phố Hồng Tiến']","
Nhà mặt phố Hồng Tiến quá đẹp 99m - 22.7 tỷ.Nhà 3 tầng cũ nhưng vị trí quá đẹp, ngay gần Vườn hoa bệnh viện Tâm Anh, không gian thoáng đãng, khu vực dân trí văn minh. Diện tích 99m, mặt tiền rộng, phố VIP, sổ đỏ chính chủ, vuông vắn.Giá bán : 22.7 tỉ, chỉ ra lộc.Liên hệ Anh Đắc 0589 282 ***Cảm ơn đã quan tâm!            ",99 m²,22.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35956293,batdongsan_com_vn_35956293,,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
Bán nhà gần chợ Quang Kim Giang, Thanh Liệt - 53m², 5 tầng, vị trí cực đẹp,  mặt đường to kd tốt nằm trong kv dân cư,tiện ích đầy đủ Diện tích sổ: 53m², xây dựng 5 tầng Mặt tiền: 4 đất vuông Nhà thiết kế 5 tầng có sân riêng để xe, ngõ thông thoáng, phong thuỷ đẹp:+ Tầng 1: Phòng khách, bếp, wc.+ Tầng 2 + 3: 4 phòng ngủ rộng có ban công, wc.+ Tầng 4: 1 phòng thờ, sân phơi Nội thất: Cơ bản đầy đủ có thể về ở ngay; điện nước sạch đã lắp đặt chỉ việc sử dụng.+ Giá bán: 5.4 tỷ.+ Sổ đỏ chính chủ, Pháp lý rõ ràng.+ E Long 0989 109 ***  chủ nhà.            ",35 m²,5.4 tỷ,3.5 m,2 m,5 tầng,4 phòng,3 phòng,Sổ đỏ đầy đủ.,27/11/2022,04/12/2022,Tin thường,33676298,batdongsan_com_vn_33676298,Tây - Bắc,Tây - Bắc,Đầy đủ.
"['Hà Nội', 'Thanh Oai', 'Xã Tam Hưng', 'Đường 21B']","
Tổng kho 1 số mảnh Tam Hưng giá đầu tư đẹp:57m² lô góc Bối Khê xe i10 vào đất nhỉnh tỷ 3.70m² Bối Khê đường xe i10, cách cổng chợ 30m giá nhỉnh 2 tỷ.48m² Bối Khê đường xe 7 chỗ thông.50m² Hưng Giáo đường 2.5m giá nhỉnh 1.2 tỷ.60m² Bối Khê ngõ xe 4 chỗ giá nhỉnh 1.5 tỷ.58m² Đai định lô góc đường 2.5m giá nhỉnh 1.4 tỷ.109.5m² Tê Qủa đường 3m giá chỉ 2xtr/m² (x tiểu học bé).79m² Tê Qủa đường 5m giá nhỉnh 2 tỷ.100m² trục chính liên thôn xe tải kinh doanh, giá nhỉnh 3 tỷ.Tầm này mua gom để dành đón vành đai 4 & đường cenco5 khời công năm sau thì đúng nhịp!Ngoài ra còn 1 số mảnh nhỉnh tỷ tiềm năng khác, ace có nhu cầu lh xem trực tiếp nhé 0988 391 *** ",50 m²,Thỏa thuận,,3 m,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35775721,batdongsan_com_vn_35775721,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Thị Định']","
- Cần bán gấp nhà Nguyễn Thị Định, Cầu Giấy, vị trú kinh doanh, giá đầu tư, nhà cần bán nằm vị trí đắc địa khu phân lô, vỉa hẻ ô tô tránh, sổ cực đẹp nở hậu, Phố Nguyễn Thị Định kinh doanh buôn bán sầm uất, giao thông thuận tiện, dân trí cao, an ninh, an sinh tốt, Phố rất hiếm có nhà bán, nhà xây mới 6 tầng thang máy, gara ô tô cùng với 5 phòng ngủ rộng thoáng, cơ hội đầu tư kinh doanh, giữ tiền sinh lời cực tốt.- Diện tích 96m², mặt tiền 6.5m hiện trạng 6 tầng thang máy, thiết kế hiện đại, không gian thoáng với đầy đủ công năng và tiện ích, phù hợp vừa ở vừa kinh doanh văn phòng công ty...- Giá 30.5 tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",96 m²,30.5 tỷ,6.5 m,4 m,6 tầng,5 phòng,5 phòng,Sổ đỏ.,21/11/2022,01/12/2022,Tin thường,34898539,batdongsan_com_vn_34898539,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Vũ Tông Phan', 'Ngõ 619']","
Chính chủ cần bán gấp 1 căn nhà giá rẻ còn sót lại tại ngõ 619 Vũ Tông Phan - Thanh Xuân - Hà Nội.------------ DT: 34m² x 5 tầng, 4 phòng ngủ, 1 phòng thờ (như ảnh).- Tầng 1: Phòng khách, bếp và nhà vệ sinh.- Tầng 2: 1 phòng ngủ và vệ sinh.- Tầng 3: 1 phòng ngủ và vệ sinh.- Tầng 4: 1 phòng ngủ và vệ sinh.- Tầng 5: Phòng thờ - sân phơi.- Mặt tiền rộng 4,5m vô cùng thoáng, sáng..- Ô tô đỗ cách 1 nhà, rất gần đường bờ sông Vũ Tông Phan - Khương Đình, gần Ngã Tư Sở - Royal City, Vành đai 3. Đặc biệt nằm ngay giữa cầu đường Tôn Thất Tùng và Vương Thừa Vũ kéo dài sang Hà Đông... Nên giao thông đi lại vô cùng thuận tiện.- Giấy tờ: Sổ đỏ chính chủ.- Giá: 2.85 tỷ.- Chính chủ 0989 109 *** ",34 m²,4.5 tỷ,4.5 m,3 m,5 tầng,3 phòng,4 phòng,Pháp lý sổ đỏ rõ ràng.,27/11/2022,04/12/2022,Tin thường,30936647,batdongsan_com_vn_30936647,Đông - Nam,Đông - Nam,Đầy đủ.
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Khương Đình']","
- Sát phố - nhà đẹp ở ngay - thoáng sáng - ngõ thông kinh doanh nhỏ - tầm tiền hiếm.- Mô tả:- Ngõ thông các ngả. 80m ra đường ô tô tránh. Kinh doanh nhỏ. Gần các trường học từ cấp 1 đến đại học, các trung tâm mua sắm giải trí.- Nhà xây 5 tầng:- T1: Phòng khách, để xe, bếp.- T2 + T3 + T4: Mỗi tầng 2 PN + WC giữa.- T5: Phòng thờ và sân phơi phía sau.- Nhà hiện trang còn đẹp, nhà thoáng trước sau đều có mở cửa sổ nên luôn thoáng sáng.            ",52 m²,4.2 tỷ,4.6 m,3.5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ sẵn sàng giao dịch,17/11/2022,03/12/2022,Tin thường,35863007,batdongsan_com_vn_35863007,,,Đầy đủ
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Vũ Trọng Phụng']","
Bán tòa nhà Vũ Trọng Phụng, gara ô tô - thang máy, DT 60m² x 7 tầng, chỉ 10,2 tỷ. LH 0368 881 ***Nhà mới 7 tầng - thang máy - ô tô đỗ cửa - ô tô vào nhà - quận trung tâm.* Vị trí đẹp, khu vực đang phát triển từng ngày, nhà chủ xây tháng máy lên tầng 7, thông sàn, nôi thất nhập khẩu chủ tặng toàn bộ.Tầng 1: Gara ô tô, vs.Tầng 2: Phòng khách.Tầng 3: Khu ăn, bếp.Tầng 4: 1 ngủ, vs.Tầng 5: 1 ngủ vs.Tầng 6: 1 ngủ, vs.Tầng 7: Phòng thờ, sân phơi.- Sổ đỏ cất két sãn sàng giao dịch.* Liên hệ Nguyễn Thế Minh - SĐT: 0368 881 *** ",60 m²,10.2 tỷ,,,7 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35945720,batdongsan_com_vn_35945720,,,Đầy đủ
