address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Giảng Võ', 'Ngõ 189']","
Gia đình chuyển đi nơi khác nên cần bán lại căn nhà trong ngõ 189 Giảng Võ, diện tích 35m², đã xây 3 tầng kiên cố, sạch đẹp, khách mua có thể về ở ngay.Nhà nằm trong khu vực trung tâm quận Đống Đa, giáp với quận Ba Đình, gần nhiều trung tâm thương mại, chợ, trường học, bệnh viện,... Vô cùng thuận tiện cho sinh hoạt, học tập, đi lại làm việc.Giá: 3.9 tỷ (có thương lượng và ra lộc với khách thiện chí và nhiệt tình).Liên hệ: 0914 838 *** Anh Hưng.            ",35 m²,3.9 tỷ,3 tầng,3 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35879873,batdongsan_com_vn_35879873,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Chủ nhà cần bán nhanh trong tháng, căn góc tầng 12 tòa CT6B, khu đô thị Xa La, Hà Đông, Hà Nội. Thông tin chi tiết căn hộ gia đình:- Diện tích: 74 m².- Hướng cửa: Tây Nam, ban công Đông Bắc.- Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh, 1 ban công thoáng, 1 bếp + 1 phòng khách.- Nội thất gồm: Điều hòa, nóng lạnh, hệ thống tủ bếp, tủ quần áo, sàn gỗ, trần thạch cao còn rất mới, khách mua chỉ việc vào ở ngay.- Giá bán nhanh: 1,28 tỷ (Có gia lộc mạnh cho khách thiện chí mua bán nhanh).Căn hộ thuộc vị trí đẹp, căn góc rất thoáng, ánh sáng ngập tràn, lại thuộc tầng trung đi lại vô cùng thuận tiện.- Anh chị xem nhà gọi trước theo số: 0962 017 ***Em Thủy).            ",74 m²,1.28 tỷ,,2 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,35928247,batdongsan_com_vn_35928247,Tây - Nam,Đông - Bắc,,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Phụng', 'Đường Trung Phụng']","
- Bán gấp Nhà Phố Trung Phụng Đống Đa vị trí kinh doanh giá đầu tư, Nhà cần bán nằm vị trí mặt Phố Trung Phụng quy hoạch ổn định, Phố Trung Phụng là con Phố mới của Quận Đống Đa khu vực tập trung nhiều Công Ty, Văn Phòng, Ngân Hàng, Spa, Thẩm Mỹ Viện, Nhà tọa lạc ở vị trí đắc địa nhất Phố với mặt tiền khủng 10m, vỉa hè rộng 5m Xây dựng 9 tầng thông sàn, 2 thang máy, 2 cầu thang bộ, kiến trúc sang trọng, 1 siêu phẩm không 1 lỗi phong thủy, phù hợp với mọi loại hình kinh doanh, cơ hội đầu tư giữ tiền, sinh lời cực cao.- Diện tích 265m mặt tiền 10m hiện trạng 9 tầng thiết kế hiện đại, sang trọng, với đầy đủ công năng và tiện ích, phù hợp mở văn phòng trụ sở Công ty, Tập Đoàn, Thẩm Mỹ Viện, Bệnh Viện, Quán Bar, Trung Tâm Anh Ngữ, Trung Tâm Tổ Chức Sự Kiện.- Giá 170 Tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miến.            ",265 m²,170 tỷ,9 tầng,4 phòng,9 phòng,27/11/2022,04/12/2022,Tin thường,33341665,batdongsan_com_vn_33341665,,,10 m,18 m,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Bán chung cư Vinhomes Smart City Tây Mỗ Hà Nội quỹ ngoại giao CĐT, chuyển nhượng cắt lỗ giá rẻ 0988 278 ***- Bên em phân phối các dự án Imperia Smart City, TonKin, Masteri West Hights, Sakura, Miami,Giá và chính sách trực tiếp của chủ đầu tư, chiết khấu siêu ưu đãi, có suất ngoại giao.- Quỹ căn chuyển nhượng cắt lỗ giá rẻ từ 1,2 tỷ.- Để biết thông tin chi tiết anh/chị liên hệ E SĐT hoặc add Zalo em gửi thông tin cụ thể và xem căn hộ thực tế: 0988 278 ***- Em hỗ trợ thủ tục ngân hàng và các thủ tục liên quan từ A đễn Z...Vinhomes Smart City gần Thiên Đường Bảo Sơn, chỉ cách khu đô thị Dương Nội 700m, giao cắt đường Đại Lộ Thăng Long và Lê Trọng Tấn Hà Đông.Vị Trí rất thuận tiện giao thông di chuyển: Mỹ Đình, Lê Quang Đạo, Hồ Tùng Mậu, Trần Duy Hưng, Trung Hòa, Cầu Giấy, Nam Từ Liêm, vành đai 3, Khu công nghiệp Láng Hòa Lạc, Hà Đông, Lê Văn Lương, Tố Hữu,Tiện ích đầy đủ nằm trong khu đô thị: Hồ công viên trung tâm rộng 10,2 ha, vườn nhật 6,8ha, Siêu thị Mega Mall rộng 6,2 ha, các tuyến xe buýt điện kết nối các khu vực trung tâm thành phố, gần siêu thị Aeon Mall Hà Đông, công viên Thiên Văn Học, bệnh viện Vinmec và trường học Vinschool nằm trong nội khu, rất nhiều sân tập thể thao và máy tập thể dục thể thao đa năng...Cư dân dân trí cao, tiện ích đầy đủ, môi trường lí tưởng đáng sống.            ",90 m²,Thỏa thuận,,3 phòng,2 phòng,22/11/2022,29/11/2022,Tin thường,35918851,batdongsan_com_vn_35918851,Đông - Bắc,Tây - Nam,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hoàng Ngân']","
Bán nhà phố Hoàng Ngân, DT 31m2x5T, 20m ra mặt phố, giá 3.5 tỷ. LH: 0326 691 **** Vị Trí:- Vị trí rất đẹp, khu dân trí rất văn minh, an ninh an sinh tuyệt vời, nhiều tiện ích, gần trường học các cấp, gần chợ dân sinh.- Giao thông đi các ngả đều thuận lợi, thông sang Phố Quan Nhân, Nhân Hòa, Lê Văn Lương ...* Thiết Kế 5 tầng đầy đủ công năng.- Tầng 1 : Phòng Khách + bếp.- Tầng 2,3,4: Phòng ngủ + wc.- Tầng 5: Phòng thờ  + sân phơi.* Sổ đỏ cất két sẵn sàng giao dịch.Liên hệ Trung Hiếu: SĐT: 0326 691 *** ",31 m²,3.5 tỷ,5 tầng,3 phòng,4 phòng,27/11/2022,04/12/2022,Tin thường,35960863,batdongsan_com_vn_35960863,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Trần Phú']","
-  Nhà nằm trong khu phân lô của cán bộ trường học viện An Ninh thuộc đường Trần Phú - Hà Đông, cách trung tâm Thương mại Coopmart, Mac plaza 3 bước chân, hưởng trọn tiện ích làng việt kiều Châu Âu..- Giao thông thuận tiện xe bus, ô tô,  tầu điện cao tốc...,  Hàng xóm toàn là cán bộ trong ngành An Ninh, dân trí cao, an sinh đỉnh.- DT:  45m x 4 , Giá : 6.7 tỷ( có thương lượng)- Sổ đỏ vuông vắn sẵn sàng chờ giao dich            ",45 m²,6.7 tỷ,4 tầng,4 phòng,5 phòng,25/11/2022,02/12/2022,Tin thường,35955161,batdongsan_com_vn_35955161,Đông - Nam,,3.8 m,8 m,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Ngọc Khánh']","
- Chủ nhà là kiến trúc sư xây nhà siêu đẹp, phong cách Châu Âu, nội thất cực xịn, móng lên 8 tầng, bản thiết kế cả quyển với thông số vàng:- Diện tích 40m² x 5 tầng, mặt tiền 4m bao gồm.+ Tầng 1: Sân để xe, phòng khách sang trọng thông bếp, wc.+ Tầng 2: 1 phòng ngủ master đủ tiện ích, wc.+ Tầng 3,4: 4 phòng ngủ, wc.+ Tầng 5: Phòng ngủ, sân phơi, tiểu cảnh.- Mặt ngõ Ngọc Khánh, Ba Đình to, thoáng, thẳng tắp, thông khắp ngả, rất gần bãi gửi ô tô ngày đêm.- Khu vực trung tâm của trung tâm, vài bước ra TTTM Lotte, Công Viên, ks Daewoo, Hồ Ngọc Khánh, ĐSQ Mỹ, Vinhomes Metropolis.- Tiện ích mọi mặt, gần siêu thị, chợ dân sinh, trường Ngọc Khánh, tuyến xe bus, ga Cát Linh, bệnh viện 354.- Giao thông: Kim Mã, Đê La Thành, Giảng Võ, Liễu Giai, Cát Linh, Hào Nam, Đoàn Thị Điểm, Đào Tấn, Kim Mã Thượng, Văn Cao.- Chủ nhà có địa vị trong xã hội, vô vàn đất đai, tay trắng đi lên từ căn nhà này, bán đi rất tiếc nhưng thừa nhiều không chăm sóc được.- Giá 4.8 tỷ.- Liên hệ: Em Oanh (không làm việc với môi giới, đầu tư).            ",40 m²,4.8 tỷ,5 tầng,4 phòng,,22/11/2022,02/12/2022,Tin thường,35919199,batdongsan_com_vn_35919199,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Đường Nam Đồng']","
Cần bán gấp nhà mặt phố Nam Đồng, Đống Đa, vị trí mặt Phố siêu kinh doanh giá đầu tư, nhà cần bán nằm vị trí đắc địa lô góc, 1 mặt ngõ, 1 mặt Phố Nam Đồng, quy hoạch ổn định, đường 2 chiều thông thoáng vỉa hè rộng, 20m ra mặt phố Xã Đàn, gần ngày Hồ Xã Đàn, nhà mới hoàn thiện 2018 nên còn gần như mới, thiết kề 5 tầng khung cột bê tông chắc chắn, tầng 1 kinh doanh, tầng 2,3,4 mỗi tầng 1 phòng ngủ rộng siêu thoáng, tầng 5 phòng thờ sân phơi, với vị trí đắc địa lô góc, nhà phù hợp với mọi loại hình kinh doanh, cơ hồi đầu tư vừa ở vừa kinh doanh siêu lợi nhuận.- Diện tích 72m², mặt tiền 4.4m hiện trạng 5 tầng thiết kế hợp lý, không gian thoáng với đầy đủ công năng và tiện ích, phù hợp vừa ở vừa kinh doanh, văn phòng, Spa, phòng khám, thẩm mỹ viện, nhà hàng, shop thời trang, salon tóc...- Giá 30 tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm 0963 492 *** để xem nhà và tư vấn miễn phí.            ",72 m²,30 tỷ,5 tầng,3 phòng,5 phòng,27/11/2022,04/12/2022,Tin thường,35520482,batdongsan_com_vn_35520482,,,4.4 m,20 m,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Lê Hồng Phong']","
Chính chủ bán nhà phố Lê Hồng Phong - Gần chợ Hà Đông, chợ Tản Đà - Có sân riêng - 3 mặt thoáng.Diện tích 81m² x 5 tầng - mặt tiền 4m nở hậu.- Nhà thiết kế 5 tầng, mỗi tầng 2 phòng lớn, mặt tiền phía trước 4m, phía sau 7.5m, tổng diện tích 81m², trước nhà có sân riêng. Nhà 3 mặt thoáng nên phòng nào cũng có cửa sổ rất thoáng mát.- T1: Phòng khách + bếp + WC + ô thoáng.- T2 + 3 + 4: Mỗi tầng 2 phòng + WC.- T5: Phòng thờ + sân phơi.- Nhà nằm ở phố Cầu Đơ 1, vị trí cực đẹp, trung tâm hà đông, ô tô cách nhà 10m, 30m ra tới mặt phố Lê Hồng Phong, cách chợ Hà Đông, chợ tản đà 2p đi bộ, xung quanh dân cư đông đúc, tiện ích, dịch vụ không thiếu thứ gì.- Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá: 7 tỷ 200 (thương lượng mạnh).Liên hệ: 0968 874 ***Quang Huy).            ",81 m²,7.2 tỷ,5 tầng,,,27/11/2022,07/12/2022,Tin thường,34770240,batdongsan_com_vn_34770240,,,4 m,,Sổ đỏ,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường 19/5']","
HỒ VĂN QUÁN - VIEW HỒ TRIỆU ĐÔ 70M  2 MẶT THOÁNG - 10 TẦNG GÍA 23 TỶ+Vị trí đăc địa nhà chỉ cách hồ Văn Quán vài bước chân, +Nhà ngay cạnh học viện An Ninh, học viện Mật Mã, tiện ích xung quanh được tran hoà với Hồ Văn Quán thơ mộng trả thiếu gì...+Gia chủ đầu tư dàn năng lượng mặt trời nhà sử dụng còn bán lại cho nhà nước, điện hai chiều.+Đang cho thuê 90t /tháng+ Thiết kế 10 tầng:  + Tầng 1,2: Thông sàn kinh doanh cafe các tầng còn lại cho cty thuê.+ Tầng 3, 4: Mỗi tầng 3 phòng ngủ khép kín.+ Tầng 5,6,7,8: 1 phòng làm việc rộng, wc, phía sau phòng tiếp khách.+ Tầng 9: Hiện đang để đồ có thể thiết kế thành cafe view hồ Văn Quán.+ Tầng 10: Sân, toàn bộ mái là tấm pin năng lượng mặt trời.+ Sổ đỏ chính chủ vuông đẹp rắt mông chờ giao dịch.+ Lh Đinh Phan 0901 256 *** ",70 m²,23 tỷ,10 tầng,10 phòng,10 phòng,27/11/2022,04/12/2022,Tin thường,35962670,batdongsan_com_vn_35962670,,,,,,
