address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Hướng nhà,Hướng ban công,Mặt tiền,Số tầng,Nội thất,Đường vào
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Hàm Nghi', 'Dự án Mỹ Đình I']","
Chính chủ cần bán căn hộ chung cư nhà A1 - khu ĐTM Mỹ Đình 1 - Q. Nam Từ Liêm - Hà Nội.* Tầng đẹp DT: 96m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, ban công hướng Nam.Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá bán: Cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",96 m²,Thỏa thuận,3 phòng,Đã có sổ.,27/11/2022,04/12/2022,Tin thường,29828178,batdongsan_com_vn_29828178,,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Lạc Long Quân']","
- Vị trí: Cách hồ Tây 100m², đường trước nhà Ô tô tránh nhau, dừng đỗ ngày đêm.- Cách nhà 50m là bãi gửi xe ô tô ngày đêm. Hàng xóm toàn 8 tầng, xây toà nhà căn hộ cho thuê.- Giao thông thuận lợi, ô tô chạy vòng 2 đầu.- Mảnh đất mặt tiền 10m, hậu 10.5m, 2 mặt tiền Một mặt ô tô, một mặt ngõ xe máy tránh.- Pháp lý: Hiện trạng 2 sổ đỏ, full thổ cư, sẵn sàng giao dịch.- Giá: 50 tỷ (TL).- Liên hệ: 0902 508 ***- Cảm ơn quý khách đã đọc tin!            ",220 m²,50 tỷ,,,27/11/2022,07/12/2022,Tin thường,35842555,batdongsan_com_vn_35842555,,,,,,,
"['Hà Nội', 'Quận Tây Hồ', 'Dự án Sun Grand City']","
Chính chủ bán Căn hộ Sun Grand City 69B Thụy Khuê, Tây Hồ, ban công view trực diện Hồ Tây.Căn S2A, tầng trung căn số 12, diện tích 145m2Căn hộ bàn giao thô, đã có sẵn điều hoà âm trần, trần thạch cao, nhà vệ sinh đã ốp đá, tặng bản thiết kế 300 triệu, đã sửa thành 2 ngủ.Tầng trung bao trọn view Hồ Tây không bị che chắn gì cả. - Miễn phí 5 năm phí quản lý dịch vụ.- Bể bơi 4 mùa tiêu chuẩn Olympic đẹp nhất Hà Nội.- Phòng tập gym hiện đại.- Siêu thị Vinmart, khu vui chơi trẻ em, trường mẫu giáo, cafe Starbucks... GIá bán nhanh trong tuần: 12.5 tỷ, chỉ với 86tr/m² quá rẻ so với thị trường.Liên hệ: 0932 219 *** ( Hà Phương)            ",145 m²,86 triệu/m²,3 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962074,batdongsan_com_vn_35962074,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Thúy Lĩnh']","
Chính chủ chuyển đổi công việc không sử dụng đến gửi bán lô đất tặng kho xưởng ở Thuý Lĩnh, lô góc, đường trước nhà rộng thênh thang ô tô tải tránh nhau. Vị trí quá đẹp để làm kho xưởng, ngõ thông tứ phía nên giao thông rất là thuận tiện. Khu vực đang phát triển, tương lai rạng ngời, giá quá tốt để mua làm kho xưởng hoặc đầu tư sinh lời cao. Vị trí cực hiếm người bán khu vực Thuý Lĩnh  Hoàng Mai, Nguyễn Khoái, Lĩnh Nam, Khuyến Lương, Hưng Phúc  với các thông số sau: Diện tích: 200m². Pháp lý rõ ràng, sẵn sàng giao dịch. Giá chào: 3.5 tỷ (có thương lượng) Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g)Miễn phí xem nhà  Nguồn hàng phong phú  Nhiệt tình tận tâm  Hỗ trợ 24/24g            ",200 m²,3.5 tỷ,,Hợp đồng mua bán,27/11/2022,04/12/2022,Tin thường,35961890,batdongsan_com_vn_35961890,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Terra An Hưng']","
Vợ chồng chúng tôi cần bán gấp căn hộ chung cư The Terra An Hưng- Hà Đông- Hà Nội: Diện tích 97m sử dụng, tòa V2, căn góc đầu hồi, thiết kế 4 phòng ngủ, 2 vệ sinh, ban công Đông Nam thoáng mát, mùa hè ít phải sử dụng điều hòa vì gió mát lồng lộng. nhà đã sẵm các thiết bị nội thất, khách mua chỉ việc về ở: sàn gỗ, trần thạch cao, 4 điều hòa, 2 nóng lạnh, tủ bếp, bếp từ, hút mùi, giường, tủ quần áo, rèm, bàn trang điểm, sofa, kệ tivi,...Giá bán nhanh 3.75 tỷ bao mọi chi phí sang tên, sổ đỏ chính chủ có thể sang tên ngayLiên hệ: 0932 219 *** ( Hà Phương)            ",97 m²,3.75 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962086,batdongsan_com_vn_35962086,2 phòng,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án Mỹ Đình II']","
Chính chủ cần bán căn hộ chung cư nhà nhà CT5 - ĐN1 - ĐTM Mỹ Đình 2. Nhà gần sân vận Mỹ Đình - đường đua công thức F1.* Tầng đẹp DT: 83m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, căn giữa ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá bán: Hợp lý (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",83 m²,Thỏa thuận,3 phòng,,23/11/2022,30/11/2022,Tin thường,30434037,batdongsan_com_vn_30434037,2 phòng,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Terra An Hưng']","
Chính chủ cần bán nhanh căn hộ The Terra An Hưng: tòa V2, căn hộ 90m tầng 33, view hồ mát mẻ, thoáng. nhà được đầu tư nội thất công phu, đẹp từng chi tiết, đã sắm nội thất hết 500 triệu cả đồ điện tử. giá bán 3.7 tỷ.sổ hồng chính chủ, sẵn sàng sang tên ngay.Liên hệ: 0932 219 *** ",90 m²,3.7 tỷ,3 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962110,batdongsan_com_vn_35962110,,Đông - Nam,Tây - Bắc,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Cảnh Dị']","
Mặt phố Nguyễn Cảnh Dị - vỉa hè đá bóng - kinh doanh sầm uất.+ DT: 55m², nhà 5 tầng, mặt tiền 4,2m.+ Nhà mặt phố, thuộc phân lô KĐT Đại Kim bạt ngàn tiện ích.+ Vỉa hè rộng, view vườn hoa, ô tô dừng đỗ, kinh doanh sầm uất ngày đêm.+ Vài bước ra hồ Linh Đàm, bệnh viện Thu Cúc, AEON Đại Kim chuẩn bị khởi công.+ Nhà xây 5 tầng chắc chắn lên thêm tầng thoải mái. Thiết kế tầng 2 phòng WC giữa.+ Mặt sau khoảng thoáng chung cả khu rộng 1.5m, phòng nào cũng sáng, thoáng tự nhiên.+ Sổ phân lô, vuông đẹp, giao dịch ngay.+ Giá bán 14,8 tỷ có gia lộc.LH: Gọi ngay để được Mr Hùng Anh hỗ trợ xem nhà ngay hôm nay.            ",55 m²,14.8 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin thường,35914918,batdongsan_com_vn_35914918,4 phòng,,,4.2 m,5 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chính chủ cần bán căn hộ chung cư cao cấp nhà 18T khu ĐTM Trung Hòa Nhân Chính. DT 116m², nhà full nội thất - ban công hướng Nam, nhà sửa chữa cực đẹp nội thất xịn.* LH Miss Hoa 098.99.1339.* Tầng cao DT: 116m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 098.99.1339.ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",116 m²,Thỏa thuận,3 phòng,,23/11/2022,30/11/2022,Tin thường,31037785,batdongsan_com_vn_31037785,2 phòng,,Nam,,,"Nhà đã sửa chữa lại cực đẹp, nội thất xịn.",
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chính chủ cần bán căn hộ chung cư 17T4 khu ĐTM Trung Hòa Nhân Chính.* Tầng 10 DT: 117m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá bán: Cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",117 m²,Thỏa thuận,3 phòng,,23/11/2022,30/11/2022,Tin thường,21549951,batdongsan_com_vn_21549951,2 phòng,,Nam,,,Nội thất xịn.,
