address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Pháp lý,Hướng nhà,Hướng ban công
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Phố Gia Quất']","
Bán nhà Gia Quất, Thượng Thanh, Long Biên, Hà Nội:* Vị trí nhà bán gần trường mầm non, trường tiểu, học Gia Quất, ba bước chân đã ra chợ, nhà sát ngay công viên, gần phố, cách ô tô đỗ tránh 20m, tiện ích quán xá, chợ, trường không chỗ nào bằng.* Nhà xây 4 tầng, cầu thang giữa, 4 ngủ. Chủ xây ở nên rất tâm huyết, cẩn thận, chắc chắn.* Gia: 3,6 tỷ(có thương lượng cho khách thiện chí).* Sổ đỏ chính chủ, giao dịch nhanh gọn.* LH xem nhà: Em Uy: 0878 018 ***miễn trung gian).            ",40 m²,3.6 tỷ,4 m,3 m,4 tầng,4 phòng,4 phòng,24/11/2022,01/12/2022,Tin thường,35644268,batdongsan_com_vn_35644268,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Đường Trần Hưng Đạo']","
Hiếm!!!! Bán Nhà riêng Phố Trần Hưng Đạo Hoàn Kiếm , nhà lô góc diện tích 125m² mặt tiền rộng 12m giá chào 32,3Tỷ+ ngõ lớn rộng 6m oto vào nhà , nhà cách mặt phố Trần Hưng Đạo 10m , hẻm thông sang Phan Bội Châu+ Hiện trạng là toà 3 tầng cũ 8 phòng ngủ 8WC ở luôn hoặc đập đi xây toà 9 tầng + Vị trí đắc địa tương lai rạng ngời , + Xung quanh tập trung rất nhiều toà Khách San Văn Phòng Hành Chính , đầu ngõ là bến tàu điện ngầm. Kinh Doanh đa dạng hiệu quả+ Nhà lô góc 3 mặt thoáng rộng phù hợp xây làm Khách Sạn ,Văn Phòng , Chung cư mini đều rất hiệu quả+ Mong gặp khách thiện chí nghiêm túc + Liên hệ Quang Huy 0865 049 *** để được tư vấn mua xem nhà Trần Hưng Đạo, Phan Bội Châu ,Hoàn Kiếm            ",125 m²,32.3 tỷ,12 m,6 m,2 tầng,8 phòng,8 phòng,27/11/2022,04/12/2022,Tin thường,35962585,batdongsan_com_vn_35962585,Đầy đủ nội thất,,,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Thượng Thanh']","
Bán nhà Thượng Thanh, Long Biên, Hà Nội:* Vị trí tuyệt đẹp, nhà cách ô tô 15m, cách chợ Thượng Cát chưa đến 3 phút đi bộ, tiện ích xung quanh bạt ngàn từ trường mầm non cho đến cấp 1,2 và cấp 3 Lý Thường Kiệt. Khu vực đang thay da đổi thịt từng ngày, mua được ở sướng.* Nhà xây mới 4 tầng, thiết kế hiện đại.* Sổ đỏ chính chủ, giao dịch ngay trong ngày.* Giá: 2,98 tỷ.* LH Mr Uy: 0878 018 *** ",33 m²,2.98 tỷ,4.5 m,3 m,4 tầng,3 phòng,3 phòng,24/11/2022,01/12/2022,Tin thường,34307520,batdongsan_com_vn_34307520,,Sổ đỏ.,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Ngô Gia Tự']","
Bán nhà Ngô Gia Tự, Việt Hưng, Long Biên, Hà Nội:* Vị trí nhà bán nằm gần giao nhau giữa Ngô Gia Tự với Vũ Đức Thận hay con phố Hoa Lâm sầm uất và an sinh đỉnh cao: Cách mặt đường chính Ngô Gia Tự chưa đến 3 phút đi bộ, cách BigC 500m, ô tô đỗ cổng. Vị trí nhà đi từ Hoa Lâm, Vũ Đức Thận hay Ngô gia tự ô tô chạy vù vù, rất thuận tiện cho việc đi lại cho gia chủ.* Nhà xây mới 5 tầng, với 4 phòng ngủ và công năng đầy đủ.* Sổ đỏ chính chủ giao dịch nhanh trong vòng một nốt nhạc.* Giá: 3,8 tỷ (có thương lượng).* LH xem nhà: Em Uy: 0878 018 ***miễn trung gian).            ",43 m²,3.8 tỷ,4 m,5 m,5 tầng,4 phòng,4 phòng,24/11/2022,01/12/2022,Tin thường,35324773,batdongsan_com_vn_35324773,,Sổ đỏ.,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Ỷ La']","
BÁN GẤP NHÀ ĐẸP Ỷ LA QUẬN HÀ ĐÔNG DIỆN TÍCH 30Mx5TẦNG MẶT TIỀN 3.05M GIÁ 3.1TỶ🔥🔥*MÔ TẢ :-NHÀ ĐẸP MỚI ĐẸP LONG LANH ✨✨✨.CHỦ TẶNG HẾT NỘI THẤT XỊN SÒ.NGÕ NÔNG THẲNG TẮP.ÔTÔ ĐỖ CỔNG,CÁCH ÔTÔ TRÁNH 20M🚗🚗🚗.*THIẾT KẾ:🏘️✨🌻🥀🌹🍁-NHÀ 5TẦNG:TỔNG CÓ 3PHÒNG NGỦ🛌🛌🛌,PHÒNG KHÁCH 🛋️, BẾP, WC.,SÂN PHƠI.-SỔ ĐỎ VUÔNG CHÍNH CHỦ SẴN SÀNG SANG TÊN ĐỔI CHỦ.-AC: CÓ NHU CẦU XIN LIEN HỆ VỚI EM QUANG ĐỂ ĐƯỢC TƯ VẤN NHIỆT TÌNH VÀ MIỄN PHÍ.-SĐT:0334 895 ***🔥🔥🔥🌷🌷🌷🍁🍁🍁🌹🌹🌹            ",30 m²,3.1 tỷ,35 m,4 m,5 tầng,3 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35962156,batdongsan_com_vn_35962156,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Cù Chính Lan']","
BÁN GẤP NHÀ ĐẸP CÙ CHÍNH LAN QUẬN TX DIỆN TÍCH 52Mx4TẦNG MẶT TIỀN 3.3M GIÁ 7.1TỶ💥💥💥❤️❤️❤️🌹🌹🌹*MÔ TẢ:🏘️✨✨✨-VỊ TRÍ ĐẸP:DÂN ĐÔNG,NGÕ RỘNG ÔTÔ QUA LẠI.🚗🚗🚗GIAO THÔNG THUẬN TIỆN.*THIẾT KẾ:-NHÀ 4TẦNG:CẦU THANG GIỮA-TẦNG1:PHÒNG KHÁCH 🛋️,BẾP,WC-TẦNG2,3: CÓ 2NGỦ,2WC-TẦNG4:1PHÒNG KHO,SÂN PHƠI-SỔ ĐỎ CHÍNH CHỦ SẴN SÀNG SANG TÊN ĐỔI CHỦ.-AC: CÓ NHU CẦU XIN LIEN HỆ VỚI EM QUANG ĐỂ ĐƯỢC TƯ VẤN NHIỆT TÌNH VÀ MIỄN PHÍ.-SĐT:0334 895 ***💥💥💥            ",52 m²,7.1 tỷ,3.3 m,4 m,4 tầng,2 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35955052,batdongsan_com_vn_35955052,,,,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Thượng Thanh']","
Bán nhà Thượng Thanh, Long Biên, Hà Nội:* Vị trí nhà bán thuộc hạng Vip nhất, tiện ích nhất phường Thượng Thanh cũng như của khu vực lân cận như phường Đức Giang hay Việt Hưng với quy mô đồng bộ dường như khép kín: Nhà cách chợ chưa đến 100m, cách trường học các cấp 1, 2 và 3 chưa đến 1 phút đi bộ.* Nhà dân xây 4 tầng, mặt tiền lên đến 8m, diện tích khủng, lại có sân riêng nên nhà thành một khối lô góc vô cùng đẹp và thoáng.* Sổ đỏ pháp lý rõ ràng, giao dịch nhanh.* Giá: 7,6 tỷ.* LH xem nhà miễn phí: Em Uy: 0878 018 *** ",108 m²,7.6 tỷ,8 m,4 m,4 tầng,5 phòng,5 phòng,24/11/2022,01/12/2022,Tin thường,35758509,batdongsan_com_vn_35758509,,Sổ đỏ.,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Văn Quán']","
Văn Quán 120m² đất, mặt tiền 6m, vị trí đắc địa, đường trước nhà rộng 12m, vẻ hè 3m, rất hợp với việc xây toà nhà văn phòng, chung cư mini.Khu vực đang phát triển từng ngày, tiện ích khu đô thị Văn Quán.Sổ đỏ vuông đẹp.Chủ thiện chí bán.            ",120 m²,14 tỷ,6 m,12 m,,,,25/11/2022,02/12/2022,Tin thường,32547650,batdongsan_com_vn_32547650,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Xuân Phương', 'đường Phương Canh', 'Ngõ 225']","
Chủ nhà bán ngõ 225 Phương Canh, Xuân Phương.DT 42m² *5 tầng mới.Thiết kế: Mỗi tầng 2 p. Gồm 6PN, 1PK, 1p thờ, 1 p ăn. Sân phơi. Vị trí đắc địa. Sát nhà mẫu giáo. Trường C1 C2 C3 chợ. Cây cảnh.            ",42 m²,4.5 tỷ,3.5 m,3 m,5 tầng,6 phòng,3 phòng,23/11/2022,30/11/2022,Tin thường,35928042,batdongsan_com_vn_35928042,,Sổ đỏ/ Sổ hồng,Nam,Nam
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Mỹ Đình']","
Cần bán nhà ở kinh doanh, ngõ rộng gần 5m, ô tô đỗ cửa Mỹ Đình, Nam Từ Liêm, Hà Nội.Diện tích: 56m² x 4 tầng x mặt tiền 4m. Giá: 6,3 tỷ.+ Vị trí: Khu nhà ở dân trí cao, đường ngõ thông thoáng, vừa ở vừa kinh doanh, gần các trường Đại học lớn, trung tâm thương mại, giao thông thuận tiện.+ Thiết kế: Mỗi tầng 2 phòng rộng.+ Nội thất sang trọng, hiện đại.+ Pháp lý: Sổ đỏ, GPXD, hồ sơ bản vẽ thiết kế chi tiết.+ Liên hệ E Bộ.            ",56 m²,6.3 tỷ,4 m,3.5 m,4 tầng,,,27/11/2022,05/12/2022,Tin thường,35410622,batdongsan_com_vn_35410622,,Sổ đỏ/ Sổ hồng.,,
