address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Pháp lý,Nội thất
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Đền Lừ']","
+ Nhà diện tích 42m2x5tầng, hiện đại, chắc chắn.+ Thiết kế rất hợp lý, thoáng đãng trước sau.+ Nội thất đầu tư xịn, hiện đại.+ Vị trí cực đẹp, trước nhà thông rộng, oto đỗ gần, rất gần phố.+ Xung quanh đầy đủ tiện ích: Trường, chợ, trung tâm thương mại.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Liên hệ chính chủ Mr Hùng: 0965268261.(Không trung gian, miễn môi giới).            ",42 m²,Thỏa thuận,5 tầng,4 phòng,4 phòng,23/11/2022,01/12/2022,Tin thường,35928431,batdongsan_com_vn_35928431,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Thái Hà']","
Siêu hiếm, bao nội thất, Thái Hà, gần ôtô, 43m2x5T, nhỉnh 3,05 tỷ liên hệ: 0965 268 ***- Liên hệ: 0965 268 ***- Vị trí trung tâm quận, khu dân trí cao, cực hiếm.- Nhà đẹp, ngõ rộng, gần ôtô, thoáng.- Diện tích 43m² x 5 tầng.- Sổ chính chủ, sẵn sàng giao dịch.+ LH em Hùng 0965 268 *** để xem nhà trực tiếp và đàm phán giá.(không trung gian, miễn môi giới).            ",43 m²,Thỏa thuận,5 tầng,3 phòng,3 phòng,23/11/2022,01/12/2022,Tin thường,35928776,batdongsan_com_vn_35928776,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Hà']","
HIẾM NHÀ BÁN THÁI HÀ, ĐỐNG ĐA, 45M2X5T, MẶT TIỀN 5,3M, GARA Ô TÔ, KD, CHỈ 5,75 TỶ, LH: 0965 268 ***+ Duy nhất 1 căn vô địch tầm giá chỉ 5,75 tỷ có nhà ở Thái Hà, phố siêu vip.+ Vị trí tuyệt đẹp, thông đi khắp ngả, Thái Thịnh, Đặng Tiến Đông, Ngã tư sở+ Nhà chủ tự xây khung cột bê tông chắc chắn.+ Hàng xóm cán bộ công chức về hưu, an ninh cực tốt.+ Sổ chính chủ giao dịch ngay.+ LH em Hùng – 0965 268 *** để xem nhà trực tiếp và đàm phán giá(Không trung gian, miễn môi giới)            ",45 m²,5.75 tỷ,5 tầng,5 phòng,5 phòng,26/11/2022,04/12/2022,Tin thường,35958682,batdongsan_com_vn_35958682,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Chính chủ Bán nhanh shop 93.8m² dẫy Louis 6 view biệt thự giá 14x bao phí sổ, LH: 0988 332 ***Cần bán nhanh căn SH dẫy Louis 6.- Diện tích đất 93.8m², diện tích xây dựng tầng 1 là 74m². Xây dựng 5 tầng.- Dự kiến bàn giao nhà vào Q1/2023.- Đường thông rộng song song với đường 40m.- Giá 14x triệu/m² đất bao phí.LH: 0988 332 *** Mr THế Anh (MTG)            ",93.8 m²,14.999 tỷ,5 tầng,8 phòng,5 phòng,23/11/2022,30/11/2022,Tin thường,35845879,batdongsan_com_vn_35845879,5 m,12 m,Đông,Đông,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Nguyễn Khuyến', 'Dự án KĐT Văn Quán']","
Bán gấp nhà KĐT Văn Quán, Hà Đông, diện tích 95m² - 5 tầng - mặt tiền 4,5m. Liên hệ Em Phong 0983 669 ***- Nằm trong khu đô thị Văn Quán khu vực hot nhất quận Hà Đông, phân lô vỉa hè ô tô tránh, 50m ra mặt đường đôi Nguyễn Khuyến, khu vực an sinh đỉnh cao, nhiều cán bộ về hưu.- Gần chợ, các bệnh viện lớn, đường thông tứ tung bán kính 800m ra hồ văn quán, bệnh viện 16A.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.Liên hệ xem nhà 0983 669 *** ",95 m²,11.7 tỷ,5 tầng,5 phòng,5 phòng,23/11/2022,30/11/2022,Tin thường,32964628,batdongsan_com_vn_32964628,4.5 m,20 m,,,Sổ đỏ,Cao cấp
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung', 'Ngõ 2']","
Nhà đẹp vừa tiền đầy đủ công năng.S: 54m², 4 tầng, mt 5m, chỉ 3.7 tỷ.+ Nhà đẹp ngõ 2 Quang Trung, Hà Đông, cách đường Quang Trung 50m, cách ô tô tránh 35m gần chợ gần trường C3 Quang Trung, gần trung tâm.+ Chủ nhà làm ăn cực phát đạt.+ Nhà xây 5 tầng BTCT chịu lực, phong cách kiến trúc hiện đại.- Tầng 1: Bếp, khách, WC.- Tầng 2, 3: Mỗi tầng 2 phòng ngủ WC.- Tầng 4: Phòng thờ, sân phơi.+ Sổ đỏ chính chủ vuông đẹp A4 giao dịch ngay.Liên hệ: Công mặt phố Hà Đông 0931 706 *** ",54 m²,3.7 tỷ,4 tầng,4 phòng,4 phòng,19/11/2022,29/11/2022,Tin thường,33919304,batdongsan_com_vn_33919304,5 m,4 m,,,Sổ đỏ,Đầy đủ nội thất
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang']","
CC BÁN NHÀ KIM GIANG - LÔ GÓC - NHÀ MỚI DÂN XÂY Ở NGAY - 10M MP Ô TÔ TRÁNH - DT 35M2 - 5 TẦNG - Nhà mới xây được năm , dân xây , do ở có lộc nên muốn chuyển nơi khác đẹp hơn - Sổ đỏ chính chủ , pháp lý sạch , giao dịch ngay- lH : E Tùng 0971 640 *** ",35 m²,5.2 tỷ,5 tầng,4 phòng,4 phòng,27/11/2022,04/12/2022,Tin thường,35962516,batdongsan_com_vn_35962516,3.8 m,3 m,,,Sổ đỉ chính chủ,Chủ để lại nội thất
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5A', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ cần tiền bán gấp gấp căn shophouse hải âu 02 - 35 tại Vinhomes Oceanpark Gia Lâm.- Diện tích đất 100m².- Mặt tiền 5m.- Nhà 3 tầng 1 tum.- Đã hoàn thiện full nội thất luxury chỉ việc mang quần áo về ở.- Giá chỉ 17x tỷ.- Cam kết ko có căn thứ 2.- Ưu tiên khách thiện chí có thương lượng.- LH: 0984 094 *** E Tài xem nhà 24/24 hoàn toàn miễn phí.            ",100 m²,17.5 tỷ,4 tầng,4 phòng,3 phòng,27/11/2022,04/12/2022,Tin thường,35962513,batdongsan_com_vn_35962513,5 m,30 m,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ.
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Bán nhà Cầu Giấy, ngõ 79 thông rộng, kinh doanh, mua đầu tư dòng tiền, hiệu suất cao, khu vực phát triển, diện tích 62m², 7 tầng, giá 8.8 tỷ. Call: 0986 530 ***+ Nhà chủ tự xây vô cùng kiên cố và chắc chắn, có ô chờ thang máy, các phòng đều khép kín, chủ mới về chỉ cần thêm thùng sơn, lắp thang máy, lên thêm tầng thì dòng tiền cực tốt.+ Khu vực trung tâm Cầu Giấy, Xung quanh các Trường ĐH lớn, Giao Thông Vận Tải, Sư Phạm, Báo chí, mật độ cư dân đông, hiệu suất thuê ở cực cao.Thiết kế:- Tầng 1: Để xe + phòng khách - bếp.- Tầng 2,3,4,5: Mỗi tầng 2 phòng + vệ sinh khép kín.- Tầng 6: 1 ngủ + 1 phòng thờ.- Tầng 7: Sân phơi.+ Sổ đỏ nở hậu đẹp sẵn sàng giao dịch.Liên hệ: 0986 530 *** em Sắc để xem nhà.            ",62 m²,8.8 tỷ,7 tầng,8 phòng,6 phòng,23/11/2022,30/11/2022,Tin thường,35832360,batdongsan_com_vn_35832360,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Dự án Hinode City']","
Chính chủ đi nước ngoài gửi bán căn hộ Hinode.+ Diện tích: 100m².+ Thiết kế: 3PN, 2VS.+ Tầng cao thoáng mát.+ Có slot oto, nhà còn mới lên được miễn phí dịch vụ 3 năm.+ Giá: 7,2 tỷ (bao phí) sổ đỏ sãn sàng giao dịch.Liên hệ e hoàng 0962 435 ***Để được hỗ trợ xem nhà 24/7 miễn phí.            ",100 m²,7.2 tỷ,,3 phòng,2 phòng,21/11/2022,28/11/2022,Tin thường,35893938,batdongsan_com_vn_35893938,,,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng.,Đầy đủ
