address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng ban công,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Mậu Lương']","
Chính chủ gửi bán mảnh đất thổ cư có nhà cấp 4 Mậu Lương, Kiến Hưng, Hà Đông, Hà Nội. Đường rộng 8 mét hướng Đông Nam 2 xe tải tránh nhau buôn bán kinh doanh mở vp công ty. Diện tích 60m², mặt tiền 5 mét vuông vắn. Giá bán 5,5 tỷ có thương lượng bao phí sang tên bìa đỏ hỗ trợ vay vốn ngân hàng lên 80% vị trí sát chợ đông dân cư sát sân bóng nhà văn hóa bến xe buýt siêu thị khu vui chơi.Liên hệ Mr công điện thoại: 0977 135 *** ",60 m²,5.5 tỷ,5 m,8 m,Đông - Nam,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin thường,34413365,batdongsan_com_vn_34413365,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
Chính chủ bán nhà 5 tầng lô góc 2 mặt thoáng vĩnh viễn Yên Xá Tân Triều Thanh Trì Hà Nội sát Tổng Cục 5 diện tích 33 m² sổ đỏ chính chủ ngõ trước nhà rộng 2,5 mét hướng đông nam giá 2,9 tỷ có thương lượng bao phí sang tên bìa đỏ hỗ trợ vay vốn ngân hàng lên 80% nhà xây thiết kế hiện đại tầng 1 phòng khách bếp WS tầng 2 + 3 + 4 thiết kế mỗi tầng 1 phòng ngủ WS tầng 5 phòng thờ sân phơi đồ nội thất tủ bếp gỗ cầu thang tay vịn gỗ thiết bị WS cao cấp vị trí sát hồ văn quán đường Nguyễn khuyến đường Nguyễn Trãi sát trường học mầm non cấp 1và 2 sát chợ đường ngõ thông liên hệ Mr công điện thoại: 0977 135 *** ",33 m²,2.9 tỷ,4 m,2.5 m,Đông - Nam,Có sổ.,20/11/2022,30/11/2022,Tin thường,33361574,batdongsan_com_vn_33361574,5 tầng,4 phòng,4 phòng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Tôi là chủ căn L7 dự án Louis City Hoàng Mai. Vị trí cực đẹp. Diện tích 94m², hướng Bắc. Đường trước nhà rộng 2 ô tô tránh nhau thoải mái, vỉa hè mỗi bên 5m. Ngay gần khu trung tâm thương mại & dịch vụ Louis.- Pháp lý: Hiện tại đã có sổ hồng và đang hoàn thiện. Mua bán chuyển nhượng trực tiếp sang tên sổ mới cho khách hàng. - Có hỗ trợ vay ngân hàng.- Giá bán 15,2 tỷ (có thương lượng, bao thuế phí).- Liên Hệ: 0988 332 *** Mr Thế Anh (Miễn trung gian).            ",94 m²,15.2 tỷ,5 m,12 m,Bắc,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35845824,batdongsan_com_vn_35845824,5 tầng,8 phòng,4 phòng,Đông,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
Chính chủ bán nhà 5 tầng lô góc 2 mặt thoáng vĩnh viễn yên xá tân triều thanh trì hà nội sát tổng cục 5 diện tích 35 m² sổ đỏ chính chủ ngõ trước nhà rộng 2,5 mét hướng đông nam giá 3.1 tỷ có thương lượng bao phí sang tên bìa đỏ hỗ trợ vay vốn ngân hàng lên 80% nhà xây thiết kế hiện đại tầng 1 phòng khách bếp WS tầng 2 + 3 + 4 thiết kế mỗi tầng 1 phòng ngủ WS tầng 5 phòng thờ sân phơi đồ nội thất tủ bếp gỗ cầu thang tay vịn gỗ thiết bị WS cao cấp vị trí sát hồ văn quán đường Nguyễn khuyến đường Nguyễn Trãi sát trường học mầm non cấp 1và 2 sát chợ đường ngõ thông liên hệ Mr công điện thoại: 0977 135 *** ",35 m²,3.1 tỷ,4 m,2.5 m,Đông - Nam,Sổ đỏ/ Sổ hồng.,20/11/2022,30/11/2022,Tin thường,33274801,batdongsan_com_vn_33274801,5 tầng,4 phòng,4 phòng,Đông - Nam,
"['Hà Nội', 'Quốc Oai', 'Xã Đông Xuân']","
Chính chủ cần bán 3 lô đất tại Đồng Bèn, Đông Xuân, Quốc Oai. Vị trí đẹp, đã tách sổ, tiềm năng đầu tư lớn.- Tổng diện tích 5000m² chia làm 3 sổ, mỗi số 80m thổ cư.- Đường ô tô vào, bên cạnh xây nghỉ dưỡng rất nhiều.- Sổ đỏ rõ ràng, minh bạch, hệ thống giao thông phát triển từng ngày, đất vẫn đang lên chóng mặt, các NĐT có tầm nhìn, kế hoạch đầu tư lâu dài thì k thể bỏ qua lô đất này.- Có ảnh sổ đỏ đăng kèm theo.- Gía thoả thuận hợp lý, sang tên nhanh chóng, chốt là có lời.- LH: 0977 711 *** - Chuyên nguồn đẹp số 1 phía Tây Hà Nội, hỗ trợ kiểm tra quy hoạch, vay vốn ngân hàng.            ",5000 m²,Thỏa thuận,,6 m,,Sổ đỏ,22/11/2022,29/11/2022,Tin thường,32921859,batdongsan_com_vn_32921859,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Uy Nỗ']","
Bán đất đấu giá X7 Uy Nỗ Đông Anh Khu 3 ha Vườn Đào Đông Anh kinh doanh.Ngày đấu giá 19/11/2022.Diện tích từ 119m².Mặt tiền 7m, 2 mặt thoáng.Đường 10m có vỉa hè.Vị trí siêu đắc địa:Thuộc khu vực 3ha VIP nhất Đông Anh kinh doanh siêu đỉnh mọi mặt hàng.Ngay sát trung tâm hành chính Đông Anh.Khu vực dân trí cực cao, buôn bán kinh doanh cực kì sầm uất.Cách QL3 200m cách bệnh viện Đông Anh 700m,Cách dự án công viên Văn hóa du lịch vui chơi giải trí Kim Quy 890m.Chỉ 5p lái xe ra cầu Nhật Tân, 17p lái xe lên Sân bay Nội Bài.Liên hệ 0913 087 *** E. Hằng để xem đất.            ",119 m²,Thỏa thuận,7 m,15 m,Nam,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35888845,batdongsan_com_vn_35888845,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Khang Villa']","
Bán gấp biệt thự An Khang - Nam Cường: 170m², mt: 8.5m, 26.8 tỷ, Dương Nội, Hà Đông, Hà Nội.Siêu phẩm - biệt thự An Khang - Nam Cường - Dương Nội - vị trí hiếm - khu vực không có nhà bán.Tiện ích:+ Vị trí cực đẹp tại khu A An Khang, Khu đô thị Nam Cường, Dương Nội. Khu vực Vip quận Hà Đông. Đi 30m ra công viên Thiên văn học và siêu biệt thự Nam Cường.+ Nhà mặt tiền lớn, ở hoặc kinh doanh đều hoàn hảo.+ Khu vực siêu tiện ích không có từ ngữ nào có thể nói hết ý. Ai đến xem cũng ưng ngay.Thiết kế:+ Nhà được thiết kế tổng quan là 5 tầng đầy đủ công năng.+ Nhà có ô chờ tháng máy chủ mới về nếu có nhu cầu thì lắp thêm, không phải đục phá sàn.+ Tầng 1: Hầm để 2 xe bán tải + 20 xe máy.+ Tầng 2: Lửng phòng khách rộng + Bếp + wc.+ Tầng 3: 2 phòng ngủ khép kín ánh sáng tự nhiên.+ Tầng 4: 1 phòng khép kín + 1 phòng đọc sách.+ Tầng 5: Mái đổ bê tông - Phòng thờ + sân phơi rộng.+ Sổ đẹp phân lô, giao dịch ngay.+ Chủ vượng phát, thành đạt nhiều nhà nên bán bớt.+ Liên hệ mua biệt thự tại đây: Nguyễn Trí: 0986 768 *** ",170 m²,26.8 tỷ,8.5 m,15 m,,Đã có sổ đỏ,27/11/2022,04/12/2022,Tin thường,34777851,batdongsan_com_vn_34777851,5 tầng,4 phòng,4 phòng,,"Cao cấp, gỗ lim, sang trọng."
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Đê Trần Khát Chân']","
Gia đinh cần tiền bán gấp nhà 50m2x5 tầng 6 ngủ đẹp Đê Trần Khát Chân - Hai Bà Trưng- DT: 50m, 4 tầng - 6 ngủ- Ngõ to ô tô.- Đầu tư để ở - Kinh doanh - Cho thuê rất hót.- Nằm vị trí đẹp trung tâm quận Hai Bà Trưng khu toàn CB ở, an ninh cực tốt, nơi hiếm nhà bán. Gần Time City . - Cách Mặt PHố 15 mét ra dốc Minh Khai 100M thông các phố Kim Ngưu - Lạc Trung - Thanh Nhàn.... gần các trường ĐH kinh tế, Bách Khoa, Xây Dựng, các bệnh Viện lớn như: BV TW quân Đội 108,  Bạch Mai, Tai mũi Họng TW, Việt Nhật, Việt Pháp, Thanh Nhàn.... - Nằm khu văn minh văn hóa đẹp hiện đại đẳng cấp nhất Hà Thành - nơi linh khí hội tụ - ở vượng lộc.- Nhà ở vị trí cực đẹp lô góc gần chợ, trường học các cấp, giao thông Thuận lợi vô cùng, an sinh cực đỉnh, nơi đáng sống nhất.Sổ đỏ đẹp chính chủ giao dịch nhanh.            ",50 m²,4.69 tỷ,4 m,3 m,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962481,batdongsan_com_vn_35962481,5 tầng,6 phòng,5 phòng,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần bán căn hộ 2PN 2WC góc Vinhomes Ocean Park, Gia Lâm, Hà Nội.- Diện tích: 63 m² (thông thủy).- Tầng: Trung.- Ban công: Đông Nam - Tây Nam.- Cửa vào: Tây Bắc.- Nội thất: Full nội thất cả đồ điện tử.- Tiện ích cư dân: Bể bơi 4 mùa, biển hồ nhân tạo, nướng BBQ, tập gym,...- Sổ đỏ: Chính chủ.- Giá bán: 2,2 tỷ bao phí.- Liên hệ: 0888 822 *** ",63 m²,2.2 tỷ,,,Tây - Bắc,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,34773556,batdongsan_com_vn_34773556,,2 phòng,2 phòng,Đông - Nam,Đầy đủ nội thất.
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đống Mác', 'Đường Nguyễn Cao']","
Bán nhà Nguyễn Cao 50m² x 5T x MT 4m, ngõ nông, thoáng, ở sướng, 7.45 tỷ. LH: 0366 051 ***Ngõ phố Nguyễn Cao thông Lò Đúc, Lương Yên, Trần Khát Chân, gần TTTM, bệnh viện 108, Ngân hàng, vài phút vào phố đi bộ Hồ Hoàn Kiếm, bể bơi Tăng Bạt Hổ bạt ngàn tiện ích giao thông thuận tiện đi Sân bay, ngoại thành.Căn nhà thiết kế hiện đại KCBT chắc chắn, gồm PK, Bếp, WC, Phòng thờ, sân phơi, 6PN, phòng nào cũng thoáng, sáng, đầy đủ công năng.Chủ thiện chí muốn bán nhanh.Sổ đỏ vuông vắn sẵn sàng sang tên.Giá chủ mong muốn 7.45 tỷ (có thương lượng trực tiếp).Mời Quý vị quan tâm liên hệ Ms. Quyên chuyên nhà thổ cư và mặt phố Hà Nội, DĐ 0366 051 ***Miễn Trung gian, QC).            ",50 m²,7.45 tỷ,4 m,3 m,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35943381,batdongsan_com_vn_35943381,5 tầng,6 phòng,4 phòng,,Đầy đủ
