address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Phú']","
Chính chủ bán cắt lỗ ngay lô đất Phú Thịnh, Xã Minh Phú, Sóc Sơn, Hà Nội, đường vào rộng 13.5m oto quay đầu, diện tích 2115.3m², 480m² thổ cư còn lại đất trồng cây lâu năm - Đất chia 2 sổ đỏ, view thoáng mát mẻ, thích hợp chia lô, xây nhà vườn, biệt thự,...Địa chỉ: Phú Thịnh, Xã Minh Phú, Sóc Sơn, Hà Nội. Cách đường 35 200m.Mức giá: 10.xx tỷ. Chi tiết liên hệ chính chủ để thương lượng.Giá vô cùng tốt cho nhà đầu tư thông minh tại thời điểm nhanh không mất cơ hội.Đường đến sân bay Nội Bài 9km;LH ngay chính chủ để có thông tin chi tiết.Chấp nhận qua môi giới với hoa hồng khủng.            ",2115.3 m²,6.5 triệu/m²,13.5 m,Sổ đỏ/ Sổ hồng,16/11/2022,16/12/2022,Tin thường,35853500,batdongsan_com_vn_35853500,,,,,,
"['Hà Nội', 'Ứng Hòa', 'Xã Trầm Lộng']","
X3 tài sản nhờ hạ tầng nút giao QL5B và trục đường Cienco5 đang làm cách khu đất 200m.Diện tích 60m² - 80m² full thổ cư.Sát ngay mặt đường tỉnh lộ 426 siêu rộng.Chính chủ đã tách sổ từng lô.Cách chợ, UBND, trạm y tế, trường học các cấp 150m.Tiện ích xung quanh gần trung tâm hành chính, trường học, trung tâm y tế xã, khu buôn bán dân sinh...Hạ tầng đồng bộ mốc giới rõ ràng.Mua đầu tư hoặc ở đều có lợi.Mua bán chính chủ, thủ tục nhanh gọn.Hỗ trợ khách hàng 24/7.Quy trình mua bán.Đặt cọc 100tr ký HĐĐC.Trong vòng 3 ngày ký HĐCC thanh toán 100%.Bán giá niêm yết pháp lý minh bạch không qua trung gian môi giới.            ",80 m²,9.5 triệu/m²,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35944064,batdongsan_com_vn_35944064,5 m,Nam,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Đồng Trúc', 'Đường Đại lộ Thăng Long']","
* Nhà em cần bán lô đất mặt trục chính khoang mái đường 12m kinh doanh đỉnh. Liên hệ em Hằng SĐT 0373 585 *** hoặc add zalo 0373 585 *** để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.* Thông tin mô tả khu Khoang Mái.- Diện tích dao động từ 65 - 92m².- Mặt tiền 5,5m.* Nằm ở vị trí đắc địa, cửa ngõ khu công nghệ cao.- Cách đường vành đai công nghệ 50m.- Cách đại lộ Thăng Long 300m.- Sát ngay nhà máy In Tiền Quốc Gia.- Cách trung tâm tổ hợp y tế 700m.- Gần tổ hợp các nhà máy của Vingroup.* Pháp lý.- Sổ đỏ từng lô công chứng trong ngày.- Vị trí thích hợp đầu tư ngắn hạn từ 4 - 6 tháng lợi nhuận từ 10 - 20% hoặc xây trọ cho thuê, với lượng công nhân cực kỳ đông đúc, giao thông thuận tiện.* Hỗ trợ xe đưa đón khách từ Hà Nội và vay vốn ngân hàng 60% giá trị đất.* Liên hệ em Hằng SĐT 0373 585 *** Hoặc add zalo 0373 585 *** để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.            ",70 m²,1.5 tỷ,12 m,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,34431812,batdongsan_com_vn_34431812,5.5 m,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
Bán gấp nhà Phùng Chí Kiên 75m², Phân Lô, Ô tô vào nhà, Giá: 7.5 tỷ, Lh: 0963 161 ***PHÂN LÔ QUÂN ĐỘI - GẦN PHỐ - ÔTÔ VINFAST FADIL VÀO NHÀ - 2 THOÁNG TRƯỚC SAU.+ Nhà nằm trong khu phân lô quân đội, tiện ích đỉnh, dân trí cao, an ninh đảm bảo+ Thiết kế: với diện tích 75m², 4 Tầng.- Tầng 1: Sân rộng , phòng khách, bếp, Wc.- Tầng 2,3: mỗi tầng 2 phòng ngủ, Wc giữa.- Tầng 4: Phòng thờ, kho để đồ, Sân phơi+ Sổ đỏ phân lô vuông tờ A4, sẵn sàng giao dịch.+ Giá: 7.5 tỷ (có thương lượng)+ Liên hệ: Em Tuy.0963 161 *** ",75 m²,7.5 tỷ,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962483,batdongsan_com_vn_35962483,,,4 tầng,4 phòng,,
"['Hà Nội', 'Thạch Thất', 'Xã Đồng Trúc', 'Đường Đại lộ Thăng Long']","
* Nhà em cần bán lô đất mặt trục chính Khoang Mái đường 12m kinh doanh đỉnh. Liên hệ em Hằng SĐT 0373 585 *** hoặc add zalo 0373 585 *** để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.* Thông tin mô tả khu Khoang Mái.- Diện tích dao động từ 65 - 92m².- Mặt tiền 5,5m.* Nằm ở vị trí đắc địa, cửa ngõ khu công nghệ cao.- Cách đường vành đai công nghệ 50m.- Cách đại lộ Thăng Long 300m.- Sát ngay nhà máy In Tiền Quốc Gia.- Cách trung tâm tổ hợp y tế 700m.- Gần tổ hợp các nhà máy của Vingroup.* Pháp lý.- Sổ đỏ từng lô công chứng trong ngày.- Vị trí thích hợp đầu tư ngắn hạn từ 4 - 6 tháng lợi nhuận từ 10 - 20% hoặc xây trọ cho thuê, với lượng công nhân cực kỳ đông đúc, giao thông thuận tiện.* Hỗ trợ xe đưa đón khách từ hà nội và vay vốn ngân hàng 60% giá trị đất.* Liên hệ em Hằng SĐT 0373 585 *** hoặc add Zalo 0373 585 *** để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.            ",70 m²,Thỏa thuận,6 m,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,34605649,batdongsan_com_vn_34605649,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường Quốc lộ 21A(Quốc lộ 21)']","
Chính chủ bán gấp lô đất gần ngay khu công nghệ cao giá đầu tư liên hệ em Hằng 0373 585 *** để được hỗ trợ và xe đưa đón.- DT từ 60m², 70m², 80m², 100m², 150m².- Gần khu tổ hợp viện nghiên cứu, các nhà máy vingruop, Nidec, Hanwa.- Gần hồ tân xã, và đại lộ thăng long.- Giá siêu rẻ, đầu tư siêu lợi nhuận.- Đường rộng xe ô tô đỗ trước cửa.- Mua đầu tư, xây nhà trọ, kinh doanh đỉnh.- Hệ thống điện nước sẵn có.- Sẵn sổ, công chứng ngay trong ngày.- Liên hệ e Hằng 0373 585 *** để được hỗ trợ check quy hoạch và Hỗ trợ xe đưa đón đi xem đất.            ",60 m²,900 triệu,6 m,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35949346,batdongsan_com_vn_35949346,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường 419']","
Gần hồ Tân Xã DT 60 đến 100m² trục chính Tân Xã.- Liên hệ Mr Hằng 0373 585 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.- Cạnh công nghệ cao Hòa Lạc, đại học FPT, Hanwha,... Khách hàng làm việc hoặc có con theo học mua xây để ở hoặc cho thuê đều rất thuận lợi ho việc đi lại.- Diện tích từ 60 - 100m² full thổ cư.- Ngay sát ngã 3 của khu, giao thông đi lại cực thuận tiện.- Nằm ngay sát doanh trại quân đội, an ninh được đảm bảo.- Vị trí: Đường trục chính, ô tô ra vào thoải mái.- Sổ đỏ trọn đời, công chứng ngay trong ngày.- Giá đầu tư chỉ nhỉnh 1 tỷ.- Giao thông đi lại thuận tiện, dễ dàng di chuyển Tỉnh lộ 420 và 419 ĐH FPT, khu Công nghệ cao Hòa Lạc.- Giap công nghệ cao.- Cách tỉnh lộ 420 chỉ 700m, Tỉnh lộ 4109 đúng 600m.- Sát Hồ Tân Xã.- Nằm cạnh khu dân cư, gần chợ, trường học, ủy ban nhân dân.Với sự phát triển từng ngày của khu Công nghệ cao Hòa Lạc cùng với việc mở rộng TL 420 lên 24m sẽ thúc đẩy giá đất quanh khu vực phát triển mạnh mẽ trong tương lai.- Liên hệ Mr Hằng 0373 585 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.Gọi ngay hotline: Để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất. (Hỗ trợ xe đưa đón khách hàng).            ",60 m²,Thỏa thuận,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,34658720,batdongsan_com_vn_34658720,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', '18 ngách 164 ngõ 36 Phố Trần Thái Tông']","
Chính chủ bán nhà số 18 ngách 164, Ngõ 36 Dịch Vọng Hậu, Cầu Giấy, 46m², giá 5.1 tỷ.(đi được ngõ 44 Trần Thái Tông).+ Diện tích 46m², 4 tầng, 5 phòng ngủ.+ Mặt tiền 4m.+ Sổ đỏ vuông đét.+ 2 mặt ngõ, thoáng vĩnh viễn.+ Ảnh thật 100%.+ Nhà vượng lộc, bán sang định cư hẳn ở Úc.+ Vô vàn tiện ích: Khu vui chơi, trung tâm thương mại, trạm y tế, công an phường, trường học các cấp...+ Liên hệ chính chủ c Hà.+ Gần các tuyến phố: Hoàng Quốc Việt, Trích Sài, Võng Thị, Thụy Khuê, Phùng Chí Kiên, đường 800A, Hoàng Hoa Thám, Đào Tấn, Văn Cao,...            ",46 m²,5.1 tỷ,3 m,,21/11/2022,28/11/2022,Tin thường,35822152,batdongsan_com_vn_35822152,4 m,,4 tầng,5 phòng,4 phòng,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
- Cạnh công nghệ cao Hòa Lạc, đại học FPT, Hanwha,... Khách hàng làm việc hoặc có con theo học mua xây để ở hoặc cho thuê đều rất thuận lợi ho việc đi lại.- Diện tích từ 60 - 100m² full thổ cư.- Giá đầu tư chỉ nhỉnh 1 tỷ.- Ngay sát ngã 3 của khu, giao thông đi lại cực thuận tiện.- Nằm ngay sát doanh trại quân đội, an ninh được đảm bảo.- Vị trí: Đường trục chính, ô tô ra vào thoải mái.- Nằm cạnh khu dân cư, gần chợ, trường học, ủy ban nhân dân.- Giao thông đi lại thuận tiện, dễ dàng di chuyển Tỉnh lộ 420 và 419 ĐH FPT, khu Công nghệ cao Hòa Lạc.- Giáp công nghệ cao.- Cách Tỉnh Lộ 420 chỉ 700m, Tỉnh lộ 4109 đúng 600m.- Sát hồ Tân Xã.- Sổ đỏ trọn đời, công chứng ngay trong ngày.Với sự phát triển từng ngày của khu Công nghệ cao Hòa Lạc cùng với việc mở rộng TL 420 lên 24m sẽ thúc đẩy giá đất quanh khu vực phát triển mạnh mẽ trong tương lai.- Liên hệ Mr Hằng 0373 585 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.Gọi ngay hotline: Để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất. (Hỗ trợ xe đưa đón khách hàng).            ",70 m²,Thỏa thuận,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35678515,batdongsan_com_vn_35678515,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường ĐT 419']","
Gần hồ Tân Xã DT 60 đến 100m² trục chính Tân Xã.- Liên hệ Mr Hằng 0388 845 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.- Cạnh công nghệ cao Hòa Lạc, đại học FPT, Hanwha,... Khách hàng làm việc hoặc có con theo học mua xây để ở hoặc cho thuê đều rất thuận lợi cho việc đi lại.- Diện tích từ 60 - 100m² full thổ cư.- Ngay sát ngã 3 của khu, giao thông đi lại cực thuận tiện.- Nằm ngay sát doanh trại quân đội, an ninh được đảm bảo.- Vị trí: Đường trục chính, ô tô ra vào thoải mái.- Sổ đỏ trọn đời, công chứng ngay trong ngày.- Giá đầu tư chỉ nhỉnh 1 tỷ.- Giao thông đi lại thuận tiện, dễ dàng di chuyển Tỉnh lộ 420 và 419 ĐH FPT, khu Công nghệ cao Hòa Lạc.- Giap công nghệ cao.- Cách tỉnh lộ 420 chỉ 700m, Tỉnh lộ 4109 đúng 600m.- Sát Hồ Tân Xã.- Nằm cạnh khu dân cư, gần chợ, trường học, ủy ban nhân dân.Với sự phát triển từng ngày của khu Công nghệ cao Hòa Lạc cùng với việc mở rộng TL 420 lên 24m sẽ thúc đẩy giá đất quanh khu vực phát triển mạnh mẽ trong tương lai.- Liên hệ Mr Hằng 0388 845 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.Gọi ngay hotline: Để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất. (Hỗ trợ xe đưa đón khách hàng).            ",100 m²,1.7 tỷ,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,34758118,batdongsan_com_vn_34758118,,,,,,
