address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Đường vào,Nội thất
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Gia đình định cư nước ngoài với con nên cần bán gấp căn liền kề 132m² cửa hướng Bắc, không lỗi phong thủy.Thông tin chi tiết:- Diện tích 132m² (6 x 22m).- Nhà xây 4 tầng.- Hướng Bắc.Cơ sở hạ tầng đã hoàn thiện, nhà đã có sổ đỏ.Anh chị quan tâm liên hệ: 0979 925 *** ",132 m²,43.5 tỷ,6 m,Bắc,4 tầng,4 phòng,4 phòng,Sổ đỏ,27/11/2022,04/12/2022,Tin thường,30791413,batdongsan_com_vn_30791413,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Heritage West Lake']","
Chung cư Heritage Westlake bán căn 145m² tầng cao trên 20:- Thiết kế 3 phòng ngủ, 3 vệ sinh, 2 bếp: 1 bếp khô và 1 bếp ướt, 2 mặt thoáng.- Ban công Đông Nam, view trực diện Hồ Tây.- Đã đóng 30%, ký HĐMB trực tiếp CĐT.Liên hệ phòng bán hàng chung cư Heritage Westlake: 0979 925 *** ",145 m²,Thỏa thuận,,,,3 phòng,3 phòng,Hợp đồng mua bán,24/11/2022,01/12/2022,Tin thường,35365707,batdongsan_com_vn_35365707,Đông - Nam,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Triều Khúc', 'Ngõ 147']","
Ngõ 147 Triều Khúc(Thanh Trì) 39m² 5T kinh doanh ô tô đỗ cửa giá 3,69 tỷ LH 0913 140 ***- Vị trí nhà quá đẹp, ngõ 147 thông ra 300 Nguyễn Xiển sát Chung cư Eco Dream, sát The Manor Central Park, hưởng trọn mọi tiện ích, tương lai sáng ngời.- Chủ bán để chuyển vào Sài Gòn trong tháng tới cho kịp đoàn tụ gia đình trong dịp Tết nên rất thiện chí.- Ngõ vào nhà rộng thoáng sạch sẽ, trước cửa gần 3m, ô tô đỗ sát nhà. Gần khu biệt thự liền kề nên giao thông rất thuận tiện.- Nhà 5 tầng chủ tự xây dựng cực đẹp,- Ở giữ gìn nên khách mua về ở ngay không phải sửa sang gì cả.- SĐCC vuông vắn pháp lý chuẩn giao dịch ngay.- Xem nhà LH trực tiếp SĐT: 0913 140 *** ",39 m²,3.69 tỷ,4 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35852043,batdongsan_com_vn_35852043,,3.5 m,Full nội thất
"['Hà Nội', 'Nam Từ Liêm', 'Phường Xuân Phương', 'Đường 70', 'Dự án Khu đô thị Xuân Phương']","
Đ/c. Xuân Phương - Nam Từ Liêm - Hà Nội.Cần bán gấp căn hộ thương mại 70m² lô góc view đẹp về ở ngay giá 1,45 tỷ. Lh 0356 686 ***Vị trí đẹp nhất đường 32, tiếp giáp nhiều tuyến đường lớn huyết mạch nối liền TT Hà Nội và các vùng lân cận.Tiện ích nội khu: TTTM, café, phòng gym, spa, bệnh viện. Mầm non nội trú.Gần trường các cấp 1, 2, 3 đại học công nghiệp, học viện...Sổ hồng lâu dài, pháp lý chuẩn giá chỉ 1,45 tỷ (cần bán gấp).Lưu ý: Khu vực đầy tiềm năng phát triển giá bđs tại khu vực sẽ tăng giá mạnh trong thời gian tới.LH ngay 0356 686 *** Hoàng Sơn để được tư vấn và biết thêm thông tin chi tiết.            ",70 m²,1.45 tỷ,,,,,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,33776472,batdongsan_com_vn_33776472,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Nguyễn Khánh Toàn']","
Bán nhà Nguyễn Khánh Toàn vị trí đỉnh giáp quận ba Đình xung quanh là trường học, bệnh viện trung tâm thương mại khu vực đầy đủ tiện nghi.- Tầng 1: Gara ô tô và kinh doanh.- Tầng 2: Phòng khách và ăn.- Tầng 3, 4: 4 phòng ngủ khép kín.- Tầng 5: 1 phòng rộng.- Tầng 6: Phòng thờ, sân phơi.Liên hệ em Minh 0366 300 *** ",65 m²,10.4 tỷ,5.4 m,,6 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35925001,batdongsan_com_vn_35925001,,5 m,Nội thất cơ bản
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình']","
Đ/C Nam Từ Liêm - Hà Nội.Chính chủ bán gấp căn hộ thương mại 70m² lô góc view đẹp về ở ngay. LH 0356 686 ***Vị trí mặt đường 32 tiếp giáp nhiều tuyên đường huyết mạch nối liền TT Hà Nội và các vùng lân cận.Tiện ích nội khu: TTTM, café, phòng gym, spa, bệnh viện, mầm non nội trú.Gần trường các cấp 1, 2, 3 Đại học Công Nghiệp, Học Viện...Sổ hồng lâu dài, pháp lý chuẩn giá chỉ 1,38 tỷ (cần bán gấp).Lưu ý: Là khu vực tiềm năng giá BĐS tại khu vực sẽ tăng mạnh trong thời gian tới.LH ngay 0356 686 *** Hoàng Sơn để được tư vấn và xem nhà miễn phí.            ",70 m²,1.38 tỷ,,,,,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,33496867,batdongsan_com_vn_33496867,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công', 'Dự án Udic Westlake']","
Bán căn góc 168m² dự án Udic Westlake ban công Đông Nam, tầng cao view sông Hồng, cầu Nhật Tân, hồ Tây, full nội thất, nhận nhà ở ngay.Thiết kế 3 phòng ngủ, 2 vệ sinh, phòng khách rộng 70m², 3 ban công, căn hoa hậu dự án Udic Westlake.Liên hệ phòng kinh doanh chủ đầu tư Udic Westlake: 0979 925 *** ",168 m²,Thỏa thuận,,,,3 phòng,2 phòng,,24/11/2022,01/12/2022,Tin thường,34897558,batdongsan_com_vn_34897558,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân']","
Quá hiếm - tòa nhà văn phòng - 7 tầng - thang máy - full nội thất - 3 thoáng vĩnh viễn - kinh doanh mọi loại hình - khu kinh doanh sầm uất.Vị trí đỉnh gần phố Duy Tân, Cầu Giấy tập trung nhiều tòa nhà văn phòng khu vực phát triển nhất Cầu Giấy.Thiết kế hiện đại.+ Tầng: Văn phòng hoặc gara, vệ sinh.+ Tầng 2,3,4: Thông sàn và 2 vệ sinh.+ Tầng 5: 2 phòng ngủ và 2 vệ sinh.+ Tầng 6: 4 phòng.+ Tầng 7: Phòng thờ và sân phơi.Liên hệ em Minh 0366 300 *** ",82 m²,17.9 tỷ,5.8 m,,7 tầng,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35950323,batdongsan_com_vn_35950323,,5 m,Tặng nội thất 
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán biệt thự đơn lập Starlake Tây Hồ Tây:- H7 lô 350m² đơn lập Đông tứ mệnh, có hầm, 3 tầng, hoàn thiện, sổ đỏ chính chủ. Giá 130 tỷ.- H7 lô 390m² đơn lập Tây tứ mệnh view hồ điều hòa, 3 tầng hoàn thiện, sổ đỏ chính chủ. Giá 250 tỷ.- K5 lô 320m² đơn lập Đông tứ mệnh, 3 tầng, cuối năm 2022 bàn giao, giá 131 tỷ.Liên hệ: 0979 925 *** ",350 m²,372 triệu/m²,,,3 tầng,,,Sổ đỏ,24/11/2022,01/12/2022,Tin thường,34417171,batdongsan_com_vn_34417171,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Ngụy Như Kon Tum']","
BÁN NHÀ NGỤY NHƯ KON TUM PHỐ VÍP QUẬN THANH XUÂN DT RỘNG 85M+MT KHỦNG 10M GIÁ NHỈNH 40 TỶ THƯƠNG LƯỢNG.NHÀ ĐẸP NHẤT PHỐVỊ TRÍ ĐỈNH CỰC HIẾM 2 MẶt NGÕ Ô TÔ TRÁNH DỪNG ĐỔ NGÀY ĐÊM KINH DOANH ĐỈNH CHO THUÊ VĂN PHÒNG DÒNG TIỀN KHỦNG GẦN 2 MẶT PHỐ NGỤY NHƯ KON TUM VÀ KHUẤT DUY TIẾN.KHU VƯC TOÀ NHÀ BIỆT THỰ TOÀN ĐAI GIA SINH SỐNG.+ Thiết kế 8 tầng, 1 tầng hầm, 7 tầng nổi:+ Tầng hầm: Gara, phòng bảo vệ.+ Tầng 2,3,4 thông sàn.+ Tầng 5,6: 2 Phòng Ngủ rộng, VS khép kín.+ Tầng 7: Phòng khách, bếp, phòng ăn, VS.Liên hệ Em Minh 0366 300 *** ",85 m²,45 tỷ,10 m,,8 tầng,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35951794,batdongsan_com_vn_35951794,,6 m,Nội thất cơ bản
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Đường Phạm Văn Đồng', 'Dự án Sunshine City']","
Chủ đầu tư Sunshine Group bán căn hộ chung cư cao cấp Sunshine City:1. Căn 2 phòng ngủ, diện tích 80m², ban công hướng Bắc, cửa hướng Nam, bàn giao full nội thất. Gía 3.5 tỷ đã bao phí.2. Căn 3 phòng ngủ diện tích 91m², ban công Tây, cửa hướng Đông, bàn giao full nội thất cao cấp. Gía 4.5 tỷ đã bao phí.3. Căn duplex tòa S6 diện tích 158m², thiết kế 3 phòng ngủ, 2 phòng khách, 4 vệ sinh, bàn giao full nội thất cao cấp, ban công Tây Bắc, cửa Đông Nam. Gía căn duplex 9.3 tặng quà 300tr, chiết khấu 6% giá còn 8.5 tỷ đã bao gồm VAT.Liên hệ phòng bán hàng chung cư Sunshine City để xem căn thực tế: 0979 925 *** ",80 m²,3.5 tỷ,,Nam,,2 phòng,2 phòng,,24/11/2022,01/12/2022,Tin thường,34645998,batdongsan_com_vn_34645998,Bắc,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Vũ Xuân Thiều']","
Nhà mặt ngõ ô tô tránh - gara ô tô - thiết kế hiện đại, sang trọng có nhà Vũ Xuân Thiều Long Biên.Vị trí đỉnh quận Long Biên gần Vinhomes Riverside Khu vực đại gia sinh sống khu vực phát triển mạnh nhất Long Biên giao thông đỉnh. Gần trung tâm thương mại trường học tiện nghi đầy đủ.Nhà 6 tầng hiện đại, sang trọng, thiết kế hợp lý:- Tầng 1: Gara ô tô, wc.- Tầng 2: Phòng khách to rộng, bếp, wc.- Tầng 3: 3 phòng ngủ, wc.- Tầng 4: Phòng ngủ lớn + phòng thay đồ sang trọng, wc.- Tầng 5: Phòng thờ, sân vườn hồng siêu đẹp.- Tầng 6: Vườn rau xanh mát khu giải trí ngày làm việc căng thẳng.Liên hệ em Minh 0366 300 *** ",55 m²,7.6 tỷ,5 m,,6 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin thường,35935373,batdongsan_com_vn_35935373,,,Nội thất cơ bản.
"['Hà Nội', 'Ba Đình', 'Phường Trúc Bạch', 'Đường Trúc Bạch']","
Bán nhà mặt phố Trúc Bạch  Ba Đình, view Hồ Trúc Bạch:+ Diện tích: 69m² sổ/73m² thực tế, mặt tiền 4.2m, phù hợp vừa ở vừa Kinh doanh.+ Pháp lý: Sổ đỏ chính chủ.+ Giá bán: 33 tỷ.+ Xem nhà: LH 0987104878.  (E Thịnh chuyên nhà phố, dòng tiền, khách sạn).            ",73 m²,33 tỷ,4.2 m,,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35962445,batdongsan_com_vn_35962445,,20 m,
