address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Ngõ 26']","
Bán đất Ngõ 26 Lê Trọng Tấn, tổ 3, La khê, Hà Đông.Dt: 57,1m².Mt 3.75 x h 3.75 x 15,5m.Hướng Tây Nam.Ngõ xe ô tô nhỏ vào.Cách đường đôi Lê Trọng Tấn 200m.Cách ngã tư Văn Phú 500m.Thuận tiện giao thông, ngõ thông thoáng, cách khu trung tâm hành chính phường La Khê 100m.Tiện ích đầy đủ, dân cư thân thiện. An ninh tuyệt đối.Phù hợp xây nhà ở hoặc mua đầu tư sinh lời.Giá 4 tỷ.ACE có nhu cầu inbox 0965 300 *** gặp Ms Đường.Để biết thêm cụ thể.            ",57.1 m²,4.2 tỷ,3.75 m,3 m,Tây - Nam,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,32586295,batdongsan_com_vn_32586295,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Cầu Giấy']","
Trung tâm Cầu Giấy - đẹp long lanh - 9 ngủ - dòng tiền 500tr/năm - giá tốt.+ Diện tích 50/55m² x 5 tầng.+ Giá bán 7,35 tỷ.+ LH Trần Bộ.- Căn nhà hiếm trong tầm tiền, với dòng tiền tốt, khách mua về có thể vừa ở vừa cho thuê.- Nội thất cơ bản đầy đủ: Điều hòa, nóng lạnh, tủ, giường, tủ bếp, máy giặt, sấy, khóa cửa vân tay.- Thiết kế:+ Tầng 1: Xe + 1PN khép kín.+ Tầng 2, 3, 4,5: 2PN + Wc Khép Kín.- Sổ đỏ chính chủ, vuông vắn.            ",50 m²,7.35 tỷ,4 m,3 m,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35875863,batdongsan_com_vn_35875863,5 tầng,9 phòng,9 phòng,Đầy đủ,
"['Hà Nội', 'Chương Mỹ', 'Xã Nam Phương Tiến', 'Đường 21A']","
Diện tích: 211m², TC 130m².Mặt tiền: 7m x 30m.Đường 8,5m, xe tải tránh nhau.Cách đường Hồ Chí Minh 500m.Giao thông thuận tiện.Gần trường, gần chợ.Cách ngã tư chợ Cá 500m.Cách ngã tư Xuân Mai 6km.Cách Hà Đông 25 km.Sổ đỏ pháp lý đầy đủ.            ",211 m²,7.6 triệu/m²,7 m,8.5 m,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,33867948,batdongsan_com_vn_33867948,,,,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
Phân lô - ô tô đỗ cổng - khẩu Gia Thuỵ vip.Nội thất xịn sò.Nội thất để lại 90% quá ấm. Vác vali là tới ở.Mô tả:Tầng 1: Phòng khách + Bếp.Tầng 2: 1 Phòng Ngủ + VS Ngoài.Tầng 3: 1 Phòng Ngủ + VS Ngoài.Tầng 4: 2 Phòng + VS Giữa.Tầng 5: Phòng thờ + Sân phơi.Sổ đỏ chính chủ. Sẵn sàng giao dịch.            ",50 m²,4.6 tỷ,5 m,,,Sổ đỏ/ Sổ hồng.,24/11/2022,01/12/2022,Tin thường,34751351,batdongsan_com_vn_34751351,5 tầng,4 phòng,3 phòng,Nội thất xịn sò.,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Phố Trạm']","
Cần bán gấp căn nhà dân xây cực đẹp nở hậu ngay tại phố Trạm, ngay chân cầu Vĩnh Tuy, hàng xóm TTTM Aeon Mail Long Biên, khu vực phát triển nhất nhì quận Long Biên.Mô tả:+ Nhà nằm ngay mặt ngõ, vị trí cực đẹp, ô tô 7 chỗ, ngõ asphalt 5m thông thông tứ tung, kết nối giao thông với Cổ Linh, Bát Khối, Đàm Quang Trung, 5 phút di chuyển qua phố.+ Nhà dân xây 4 tầng cực kỳ chắc chắn, tâm huyết, có thiết kế ban công cây xanh, với 4PN thoáng sáng, đầy đủ công năng sử dụng, chỉ việc xách vali về ở ngay.+ Khu vực an ninh cực tốt, an sinh đỉnh, tiện ích bạt ngàn xung quanh: Hàng xóm Aeon Mail, cạnh cầu Vĩnh Tuy, gần chợ, trường học các cấp, công viên hồ Đắp Nếp,...+ Sổ đỏ chính chủ, vuông như tờ A4, sẵn sàng giao dịch.Liên hệ: Mr. Hảo 0966 167 *** để đi xem nhà và tư vấn hỗ trợ pháp lý miễn phí.Cảm ơn A/C đã dành thời gian đọc tin!            ",52 m²,5 tỷ,4.2 m,5 m,,Sổ đỏ/ Sổ hồng,25/11/2022,03/12/2022,Tin thường,35951699,batdongsan_com_vn_35951699,5 tầng,4 phòng,5 phòng,Full Nội Thất,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chính chủ bán căn 1PN + 1 đa năng 47.7m² rẻ nhất thị trường, giá chỉ 1.65 tỷ, ở ngay.Nội thất có sẵn theo tiêu chuẩn Vinhomes bàn giao.Khu Vinhomes Smart City nên nhiều tiện ích, an ninh, an toàn.Các tiện ích đã có sẵn:- Bệnh viện quốc tế Vinmec.- Trung tâm thương mại Vincom Mega Mall.- Trường học liên cấp Vinschool và trường công lập Tây Mỗ.- Bể bơi 4 mùa và ngoài trời (miễn phí cho cư dân).- Vườn Nhật (miễn phí cho cư dân).- Sân bóng rổ, tennis, cầu lông, bóng bàn (miễn phí cho cư dân).- Hơn 1.000 máy tập ngoài trời (miễn phí cho cư dân).- 4 bãi đỗ xe nổi và các bãi đỗ xe ngoài trời.- Khu vui chơi trẻ em (miễn phí cho cư dân).- Công viên hồ điều hòa (miễn phí cho cư dân).- Vườn nướng BBQ (miễn phí cho cư dân).- Xe bus di chuyển nội khu (miễn phí).Liên hệ xem nhà miễn phí: Đặng Hải 0986 668 *** ",47.7 m²,1.65 tỷ,,,,Sổ đỏ/ Sổ hồng.,26/11/2022,06/12/2022,Tin thường,35846354,batdongsan_com_vn_35846354,,2 phòng,1 phòng,Nguyên bản chủ đầu tư bàn giao,
"['Hà Nội', 'Gia Lâm', 'Xã Kim Sơn', 'Đường Tỉnh lộ 181']","
- 2 oto tránh, xe 3 chân vào được cách mặt đường 181 chỉ 300m- Sổ đỏ chính chủ, sang tên ngay- Đất vuông đẹp- cách trường cấp 1,2,3 Kim Sơn 500m- cách khu hành chính xã 50m- cách trạm y tế 50m-  có thể làm vườn ao chuồng, trồng cây lâu năm- có thể làm nhà xưởng - Năm 2025 lên quận Gia Lâm Liên hệ Mrs: Giáp 0901 516 *** ",560 m²,Thỏa thuận,15 m,,,,26/11/2022,03/12/2022,Tin thường,35959480,batdongsan_com_vn_35959480,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Phan Trọng Tuệ', 'Dự án Chung cư Đại Thanh']","
Gia đình làm ăn có chút lộc lá nên chuyển xuống nhà mặt đất khu Cầu Giấy để tiện cho công việc. Vì vậy gia đình quyết định bán nhanh căn hộ tầng trung tòa CT8 chung cư Đại Thanh cho gia đình nào có nhu cầu để thêm tiền sắm nội thất chỗ ở mới.Tòa nằm trên đường Phan Trọng Tuệ gần đường Kim Giang, dưới chân tòa đầy đủ tiện ích từ siêu thị, chợ dân sinh, tạp hóa, phòng khám, hiệu thuốc, khu vui chơi ăn uống sầm uất.Thông tin căn hộ:- Diện tích: 57m².- Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh.- Nội thất: Nhà mình đã làm sàn gỗ, trần thạch cao, tủ bếp, điều hòa, nóng lạnh, giường tủ... (Gần như full đò).- Pháp lý: Sổ hồng chính chủ, sẵn sàng giao dịch.- Giá 1,13 tỷ (có thương lượng).Liên hệ Mr Giỏi: 0374 406 *** hoặc zalo để xem nhà và ép giá trực tiếp.            ",57 m²,1.13 tỷ,,,Tây - Bắc,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35950570,batdongsan_com_vn_35950570,,2 phòng,1 phòng,Đầy đủ,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Hoàng Đạo Thành']","
Bán nhà riêng Hoàng Đạo Thành, QuậnThanh Xuân sát Phố chính - gần đường ô tô tránh. Dt 86m² x 4 T. MT 6.7m. Giá thanh lý gấp chỉ 8.9 tỷ.Nhà có thể về ở hoặc Phù hợp xây toà CCMN 7 tầng thang máy doanh thu dòng tiền hơn 50tr/tháng.Sổ đỏ chính chủ sẵn sàng giao dịch.Cam kết thông tin thật 100%.Lh ngay để xem nhà miễn phí 0812 998 *** A Phi Thường.            ",86 m²,8.9 tỷ,6.7 m,2.8 m,,Sổ đỏ chính chủ.,26/11/2022,03/12/2022,Tin thường,35887516,batdongsan_com_vn_35887516,4 tầng,3 phòng,3 phòng,Tặng nội thất cơ bản,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông']","
Bán đất Cổ Đông, Gần Ủy Ban Nhân Dân, Trường mầm non, trường tiểu học, cấp 1, cấp 2, cấp 3- Đường hai ô tô tránh nhau, tôi bán lô đất 60m, Full thổ cư, 650TRGọi cho tôi: 0987 664 ***Thông tin chi tiết:* Vị trí:- Trung Tâm Xã Cổ Đông- Đường 5mGọi cho tôi 0987 664 *** để biết thêm thông tin về lô đất và về Hòa Lạc.            ",70 m²,770 triệu,,5 m,Tây - Bắc,,26/11/2022,03/12/2022,Tin thường,35962115,batdongsan_com_vn_35962115,,,,,
