address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Láng Hòa Lạc', 'Dự án Nam An Khánh']","
Cần chuyển nhượng căn BT 3.5 tầng - TT6 khu hồ nhỏ Nam An Khánh.Diện tích: 485m² - hướng Nam.Sau nhà là hồ view đẹp. Gần công viên, vườn hoa.Nhiều nhà xung quanh đang sửa về ở.Sổ đỏ riêng - hỗ trợ bank.Giá bán cực hợp lý: 3x tỷ (x bé xíu).Liên hệ trực tiếp xem nhà: 0936 123 *** ",485 m²,Thỏa thuận,13 m,Nam,Sổ đỏ,26/11/2022,06/12/2022,Tin thường,35736399,batdongsan_com_vn_35736399,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Láng Hòa Lạc', 'Dự án Nam An Khánh']","
Nam An Khánh - ngày 1 đẹp lên - mà giá thì cứ ì.Ạch đứng im - so với các dự án xung quanh.Cập nhật bảng hàng tháng 11/2022 cho ACE tham khảo.Giá.Shophouse:+ 188m² - Vista - 21.5 tỷ.+ TT27b - gần Vinschool - 130m² - 12 tỷ.+ TT20 - 150m² - 13 tỷ.+ TT70 - 195m² - 22 tỷ.Biệt thự:+ TT1: Mặt hồ - 620m² - cả nhà và đất 7.x tr/m².+ TT6: Mặt hồ - 485m² - cả nhà và đất 6.x tr/m2+ TT38: Mặt hồ vista - 388m² - 16.x tỷ+ TT82: 580m² - mặt chung cư - đường 35m - 6,x tr/m².+ TT84 - 638m² - 2 mặt đường trước sau - 5xtr/m².+ TT 10: 385m² - ven hồ nhỏ - 6xtr/m².+ TT21 - góc đẹp 390m² - 7xtr/m² gần công viên, hồ.Liền kề:+ TT7: 201m² - góc đẹp - 16 tỷ.+ TT14: 280m² - cả nhà 13.7 tỷ.+ TT15: 146m² - cả nhà 12 tỷ.+ TT29: 242m² - 14.x tỷ.Anh chị có nhu cầu tìm hiểu , mua- bán bds tại dự án Liên hệ trực tiếp em Tỵ Alo +zalo : 0936 123 *** để biết thêm thông tin !            ",188 m²,21 tỷ,,,,26/11/2022,06/12/2022,Tin thường,35736692,batdongsan_com_vn_35736692,,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội']","
Cần bán 40m² gần cầu Đông Trù, Đông Hội, Đông Anh, HN. Mặt tiền 4mx10, hai mặt tiền, đường rộng 2m, hướng Tây Bắc, cách cầu Đông Trù 600m. Giá: 37 triệu/m² (có thương lượng).LH: 0979 685 *** - số nhà 65 đường Đông Hội - VPGD nhà đất Hà Thành.            ",40 m²,37 triệu/m²,,Tây - Bắc,,22/11/2022,29/11/2022,Tin thường,33832874,batdongsan_com_vn_33832874,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân']","
+) 50m ra Đại Lộ Thăng Long vừa được rót 5500 tỷ mở rộng+) Đối diện với Trường Đại Học Quốc Gia, rất đông sinh viên và giảng viên đang học tập làm việcGọi cho tôi: 0987 664 ***+) Đường rộng 5m hai ô tô tránh nhau+) Diện tích 75m full thổ cư+) Có sổ đỏ, sang tên nhanh chóng+) Thích hợp mua để ở, đầu tư, xây nhà trọ cho thuêGọi cho tôi 0987 664 *** để biết thêm thông tin về lô đất và về Hòa Lạc.            ",75 m²,1.7 tỷ,5 m,Tây - Bắc,,26/11/2022,03/12/2022,Tin thường,35959420,batdongsan_com_vn_35959420,,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội']","
Cần bán 61m² đất thôn Đông Ngàn, Đông Hội, Đông Anh, HN. Mặt tiền 4x15,30m, đường rộng 2m7, hướng Đông Nam, cách mặt sông 50m, cách cầu Đông Trù 1000m. Giá: 29tr/1m² (có thương lượng).LH: 0979 685 *** - số nhà 65 đường Đông Hội - VPGD nhà đất Hà Thành.            ",61 m²,29 triệu/m²,,Đông - Nam,,22/11/2022,29/11/2022,Tin thường,30064591,batdongsan_com_vn_30064591,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Văn Phú']","
Nhà nằm tại vị trí trung tâm, lô góc cực thoáng, hai mặt ô tô, đường rộng thênh thang hai ô tô tải tránh thoải mái, kinh doanh nhỏ được, rất gần phố Quang Trung, Lê Trọng Tấn, Ba La, Trần Phú, Tô Hiệu, Lê Hồng Phong...Tiện ích xung quanh ngập tràn gần Metro Hà Đông, chợ đầu mối 365, trường chuyên Nguyễn Huệ, TTTM Aeno, chợ Hà Đông...Thiết kế: Đầy đủ công năng với 3 phòng ngủ, ưc, thoáng mát nhiều ánh sáng tự nhiên.Sổ đẹp sẵn sàng giao dich.Liên hệ: Hoàng Thuỳ 0869 629 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",45 m²,5.1 tỷ,6 m,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35887205,batdongsan_com_vn_35887205,4.5 m,3 tầng,3 phòng,3 phòng,Đầy đủ,
"['Hà Nội', 'Đông Anh', 'Xã Mai Lâm']","
Cần bán 51m² đất thôn Mai Hiên, xã Mai Lâm, Đông Anh, HN. Mặt tiền 3,80x13,42, hướng Tây Bắc, đường rộng 3m², ngõ thông cách cầu Đông Trù 2000m. Giá: 42.5tr/1m² (có thương lượng). LH: 0979 685 *** - số nhà 65 đường Đông Hội - VPGD nhà đất Hà Thành.            ",51 m²,41 triệu/m²,,Tây - Bắc,,25/11/2022,02/12/2022,Tin thường,35818437,batdongsan_com_vn_35818437,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Nguyễn Khánh Toàn']","
Ngõ 158 Nguyễn khánh toàn oto tránh to như phố, vị trí Nhà phân lô, oto qua, ba bước ra ô tô tránh, Di chuyển các hướng Đào Tấn, Nguyễn Văn Huyên, Dương Quảng Hàm, Cầu Giấy, Công Viên Nghĩa Đô trong vòng nốt nhạc, các phố vip Trần Đăng Ninh, Trần Quý Kiên, Cầu Giấy, Nguyễn Phong Sắc, Hoàng Quốc Viêt, Siêu tiện lợi.Nhà 2 mặt tiền, phía sau phường đã lên kế hoạch làm đường to, tương lai nhà 2 mặt tiền sáng lạngmua đất tặng nhà 2 tầng.Chủ xác định bán đất tặng nhà, chủ mới mua về đập đi xây lại thành 2 lô trước sau ngon lành.Lh; em Thuận 18+ chuyên nhà phố, xem nhà miễn phí 24/24. con nguyên            ",69 m²,7.95 tỷ,3 m,,,26/11/2022,03/12/2022,Tin thường,35956197,batdongsan_com_vn_35956197,4 m,2 tầng,2 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú']","
Vị trí đắc địa, giao thông cực kỳ thuận tiện, cách mặt phố Trần Phú chỉ 50m, gần KĐT Văn Quán, Nguyễn Trãi, Quang Trung, Mỗ Lao, Vũ Trọng Khánh, Nguyễn Văn Lộc, Khuất Duy Tiến...Tiện ích xung quanh ngập tràn không thiếu thứ gì, gần Big C Hà Đông, Hồ Gươm Plaza, ga tàu điện trên cao, Hồ Văn Quán, ĐH Kiến Trúc, HV Bưu Chính Viễn Thông, ĐH Nghệ Thuật Trung Ương, Giao Thông Vận Tải.Dân trí cao, hàng xóm thân thiện, nhà đẹp, khách chỉ việc về ở luôn.Thiết kế:+ Tầng 1: Khách + bếp + wc.+ Tầng 2: 2 phòng ngủ + wc.+ Tầng 3: 1 phòng ngủ + phòng thờ + sân phơi.Sổ chính chủ, sẵn sàng giao dịch, có thương lượng.Liên hệ: Hoàng Thuỳ 0869 629 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",58 m²,7.1 tỷ,,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35368133,batdongsan_com_vn_35368133,,3 tầng,3 phòng,2 phòng,Đầy đủ.,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội']","
Chính chủ cần bán 68m² đất thổ cư gần cầu Đông Trù, Đông Hội, Đông Anh, HN, trục chính thôn Phúc Thọ. Mặt tiền 4x17, đường rộng 4m, hướng Tây Bắc, cách cầu Đông Trù 700m. Giá: 43tr/1m². LH: 0979 685 *** - số nhà 65 đường Đông Hội - VPGD nhà đất Hà Thành.            ",68 m²,43 triệu/m²,,Tây - Bắc,,25/11/2022,02/12/2022,Tin thường,35478594,batdongsan_com_vn_35478594,,,,,,
