address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng
"['Hà Nội', 'Phúc Thọ', 'Xã Hiệp Thuận', 'Đường 421']","
Diện tích: 105m² đất ở và 50m² đất ao (không tính tiền chuyển nhượng).Mặt tiền: 15m.- Hai mặt tiền rộng, mặt tiền chính ngoảnh ra Tỉnh Lộ 421 là 15m. Để xe thoải mái trên vỉa hè.- Tuyến đường đông đúc dân cư, giao thông thuận tiện, nằm trong khu dân cư, ngay làng nghề may mặc. Phù hợp làm nhà hàng, kinh doanh buôn bán, hoặc tách làm 2 xây dựng cho thuê kinh doanh.Trên trục đường các hộ xung quanh buôn bán kinh doanh.- Gía bán: 2,85 tỷ (miễn trung gian, môi giới).Liên hệ: SĐT 0974 415 *** ",105 m²,2.85 tỷ,15 m,20 m,Đông - Nam,Sổ đỏ/ Sổ hồng,14/11/2022,14/12/2022,Tin Vip 2,35820148,batdongsan_com_vn_35820148,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Nguyễn Trãi', 'Ngõ 73']","
Chính chủ bán nhà 3 mặt tiền rộng, mặt chính 12m, 2 mặt còn lại 8m.Diện tích 138m² theo sổ.Hướng Đông Bắc.Ngõ rộng, ô tô vào tận cửa.Phù hợp làm khách sạn hoặc văn phòng cho thuê cao tầng, chung cư mini.Vị trí đẹp, trung tâm Thanh Xuân. Gần Royal City, gần chợ Ngã Tư Sở, gần trường học, gần rạp chiếu phim, bể bơi...LH Minh Anh zalo 0904 465 *** ",138 m²,Thỏa thuận,12 m,,Đông - Bắc,,11/11/2022,11/12/2022,Tin Vip 2,22855198,batdongsan_com_vn_22855198,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Dự án Green House']","
Do không có nhu cầu để ở, gia đình tôi muốn bán lại căn hộ chung cư ở Long Biên. 0989 080 ***Vị trí: Tòa CT17, chung cư Green House - GH3 - Việt Hưng, Việt Hưng, Long Biên.- Diện tích 152.6m².- Thiết kế: 3 p. Ngủ, 2 wc.- Hướng nhà Đông Nam, ban công thoáng mát.- Nhà còn mới.- Nội thất đầy đủ. Gia đình tôi để loại toàn bộ nội thất cho khách hàng nào có thiện chí.- Chỉ việc xách valy vào ở.- Sổ đỏ chính chủ.- Khu chung cư văn minh, dịch vụ tiện ích.- Giá 4,35 tỷ, liên hệ 0989 080 *** - chị Duyên.Không tiếp trung gian môi giới, ai thật sự có nhu cầu liên hệ tôi SDT 0989 080 *** hoặc zalo 0989 080 *** ",152.6 m²,4.35 tỷ,,,Đông - Nam,Sổ đỏ/ Sổ hồng,11/11/2022,11/12/2022,Tin Vip 2,35791339,batdongsan_com_vn_35791339,Đông - Bắc,3 phòng,2 phòng,"Nội thất đầy đủ, sofa, bàn ăn, điều hoà, nóng lạnh, loa âm trần, cam, tủ kệ.",
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Kim Giang']","
Chính chủ bán nhà mặt phố vị trí cực đẹp đường 40 Kim Giang, Thanh Xuân, ô tô đỗ cửa, mặt tiền 11m, nhà 7 tầng, có 18 phòng, nội thất full có đầy đủ điều hoà mới 100%, có thang máy, có gara để xe, ưu tiên phòng khám, văn phòng, trường học, đầy đủ trang thiết bị điều hòa, gần Royal, rất tiện ích gần khu trung tâm mua sắm và ăn uống, diện tích 120m² một sàn. Gần trường học, gần chợ Kim Giang, rất thuận tiện đi lại. Hiện đang cho thuê văn phòng giá 80 tr/ tháng và hợp đồng trên 5 năm trả tiền 6 tháng 1. Không qua trung gian.Giá bán 36 tỷ có thương lượng.Liên hệ: 0963 526 *** ",120 m²,36 tỷ,11 m,,,,01/11/2022,01/12/2022,Tin Vip 2,35682834,batdongsan_com_vn_35682834,,18 phòng,,,7 tầng
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
- Chính chủ cần bán shophouse TMDV 5 tầng đã hoàn thiện đầy đủ nội thất.- Địa chỉ: San Hô 2A, khu đô thị Vinhomes Ocean Park I, Gia Lâm, Hà Nội (đối diện cổng Đại học VinUNI).- Hướng nhà: Đông Nam.- Đường trước cửa: 10,5m.- Mặt tiền 5,5m, diện tích đất 74m², diện tích xây dựng 65m²; tổng diện tích sàn 318m². Nhà xây 5 tầng và 1 tum cụ thể như sau: Tầng 1 và tầng 2 để trống để chủ nhà tự kinh doanh hoặc cho thuê (mỗi tầng đều có WC riêng). Tầng 3: Có 2 phòng ngủ, mỗi phòng ngủ đều có WC khép kín riêng. Tầng 4: Có 1 phòng ngủ có WC khép kín và 1 phòng làm việc. Tầng 5: Có phòng khách, bếp, WC. Tầng 6: Khu giặt, sân phơi, nướng BBQ.- Hiện tại đã hoàn thiện mới tinh, đầy đủ nội thất rất xịn xò cho tất cả cả các phòng (thang máy Tây Ban Nha, điều hòa Daikin; quạt trần Panasonic; thiết bị bếp Châu Âu; thiết bị vệ sinh, sen vòi INAX, thiết bị điện Schneider... ). Chủ mới chỉ việc xách vali về ở.- Khu San Hô 2A là khu phố trung tâm, hiện tại có nhiều nhà ở và có nhiều công ty tập trung kinh doanh nhất so với các khu thấp tầng khác trong Vinhomes Ocean Park. Do đó rất phù hợp để ở, hoặc để cho thuê làm văn phòng, kinh doanh hàng tiêu dùng, thời trang, mỹ phẩm, y tế, thẩm mỹ, nhà thuốc, spa...- Liên hệ chính chủ: 0983 168 *** - 0912.225.116.            ",74 m²,15.9 tỷ,5.5 m,10.5 m,Đông - Nam,,31/10/2022,30/11/2022,Tin Vip 2,35667306,batdongsan_com_vn_35667306,Đông - Nam,5 phòng,5 phòng,Nội thất đầy đủ.,5 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường 70', 'Dự án Louis City']","
Chủ đầu tư tập đoàn Lã Vọng dự án Louis City kính chào quý khách!Hotline: 0981 627 ***/ 0918 185 ***Xin giới thiệu: Khu đô thị Louis City kiến trúc Pháp - Đại Mỗ, Quận Nam Từ Liêm, Hà Nội.Cơ hội đầu tư bền vững.Giá gốc nội bộ trực tiếp từ chủ đầu tư: 90 triệu/m² cùng với đường nội bộ 12m. 90 triệu/m² đường 27m, giá 110 triệu/m², đường 17m, 95 triệu/m² với shophouse đường 21m, đường 40m mặt Lê Quang Đạo.Giá 140 triệu/m², diện tích tùy chọn:Liền kề: 96m², shophouse, 100m², 120m², 150m², biệt thự: 200m², 240m²...* Tiện ích:Nằm trên 2 con đường lớn huyết mạch Lê Quang Đạo kéo dài vừa mới được phê duyệt tổng mức đầu tư, Chỉ trong 2 - 3 năm tới sẽ đi vào sử dụng. Đường 70 mới 2 làn 40m hiện đã nối điểm đầu là Lê Trọng Tấn di qua siêu thị Aone Mall Hà Đông đã là làm đến đự án. Còn khoảng 400m ra đường Tố Hữu.- Hệ thống trường liên cấp tiêu chuẩn EU: Trường mầm non năng khiếu Louis, cấp I (tiểu học cơ sở), cấp II (trung học cơ sở). Cách 200m là hệ thống trường cấp 2 và cấp 3 Quốc tế Nhật Bản ở Simco Sông Đà - mật độ cây xanh cao chiếm 30% quỹ đất - An ninh được kiểm soát 24h.* Cơ hội đầu tư:1. Hiện tại giá đất đang tăng không ngừng, chưa có dấu hiệu giảm. Vì vậy mua sớm được ngày nào rẻ ngày đó. Các khu đô thị khác như; Him lam, Dương Nội, An Hưng, Geleximco cũng tăng không ngừng cho dù vị trí tiềm năng không thể bằng dự án Luois City..2. Trục đường Lê Quang Đạo nối vào trụ sở Bộ Ngoại giao đang trong giai đoạn thực hiện đầu đã được phê duyệt ngân sách chậm nhất giải ngân hết trong 3 năm, tính tại thời điểm này. Kết nối nhanh chóng với Mỹ Đình, hứa hẹn cơ hội đầu tư đầy tiềm năng. Đường 70 đang trong giai đoạn gấp rút thông vào trục Lê Văn Lương, mặt cắt ngang của hai tuyến đường trên là 40m hai làn.3. Siêu thị Aeon Mall Hà Đông đã đi vào hoạt động được 3 năm nay. Bệnh viện Quốc tế Nhật Bản Dương Nội (đã đi vào hoạt động).4. Khu đô thị được thiết kế theo phong cách kiến trúc Pháp mang hướng cổ điển nổi tiếng không bao giờ lỗi mốt. Thiết kế tối đa 5 tầng, hoàn thiện toàn bộ mặt ngoài, trong có chỗ chờ thang máy vô cùng thuận lợi.Ưu thế dự án.Với 4 mặt tiếp giáp các trục đường chính. Đường 70 nối với Lê Văn Lương. Xung quanh là các khu đô thị hiện đại Nam Cường, Vincom, Blenheim, FLC và các khu đô thị hiện đại khác phía Tây thủ đô.Chủ đầu tư uy tín: Tập đoàn Lã Vọng dự án Louis City.+ Tổng quy mô dự án: 32,5 ha.+ Trong đó có 570 căn liền kề và shophouse, 28 căn biệt thự, 3 tòa chung cư cao 38 tầng, 3 cấp học, siêu thị, bến đỗ xe nổi, ngầm, 8 công viên cây xanh. Ngay cạnh là hồ nước 20ha Dương Nội, cạnh là khu đô thị FLC, Dương Nội.+ Mật độ xây dựng: 35%.+ Dân số dự kiến: 7.300 người.+ Shophouse và liền kề, biệt thự: Diện tích liền kề, shophouse, mặt đường 70, tùy chọn: 90m² - 96m² - 108m² - 120m², 150m².+ Biệt thự: Diện tích: 200m², 240m². Giá 100 tr/m², sau lưng có vườn hoa.Thông tin chi tiết liên hệ: Mr dân trưởng phòng dự án; 0981 627 ***/// 0918 185 ***Trân trọng hợp tác!            ",120 m²,Thỏa thuận,6 m,20 m,,,31/10/2022,30/11/2022,Tin Vip 2,35663450,batdongsan_com_vn_35663450,,,,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Cổ Linh']","
Mô tả:+ Nhà mình vị trí tuyệt đẹp, toạ lạc trên trục đường đôi Cổ Linh trước khi đến Aeon Mall.+ Khu vực kinh doanh cực kỳ sầm uất, đa dạng các loại hình.+ Hiện trạng là nhà 8 tầng, Chủ tự xây cực kỳ tâm gì huyết.+ Doanh thu 80-100 triệu/ tháng.Chủ tâm sự bán giá đất, tặng nhà 7 tầng.Sổ đỏ vuông đẹp, sẵn sàng giao dịch.            ",85 m²,Thỏa thuận,,40 m,,"Sổ đỏ đẹp, sẵn sàng giao dịch",27/11/2022,07/12/2022,Tin Vip 3,35964287,batdongsan_com_vn_35964287,,6 phòng,10 phòng,"Đầy đủ, cao cấp",8 tầng
"['Hà Nội', 'Long Biên', 'Dự án Le Grand Jardin Sài Đồng']","
- Thiết kế đa dạng:+ Căn 2PN diện tích 77m2+ Căn 2PN+1 diện tích 84m2+ Căn 3PN diện tích 105m².- Tầm view tuyệt đẹp trực diện là hồ Sài Đồng, bên cạnh là khu nhà giàu Vinhomes Riverside.- Nội thất bàn giao cơ bản: Sàn gỗ công nghiệp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn chiếu sáng, cửa gỗ công nghiệp chống cháy, kính tràn viền, khóa thông minh...- Tiện ích dự án: Bể bơi, siêu thị, sân tập yoga, vườn BBQ, sân cầu lông, sân bóng rổ...- Bán kính 3km di chuyển đến các TTTM lớn, bệnh viện đa khoa, trường học quốc tế, chợ dân sinh...----------------------------* Chính sách bán hàng dự kiến:- Chiết khấu tới 5% GTCH- Vay 70% GTCH, hỗ trợ lãi suất 0% 12 tháng, miễn phí trả nợ trước hạn trong thời gian hỗ trợ lãi suất- Miễn 12 tháng phí dịch vụ- Tặng 2-3 chỉ vàng Liên hệ em Nga tư vấn chọn căn hộ đẹp nhất: 0327 750 ***call/zalo)            ",105 m²,Thỏa thuận,,,,,27/11/2022,04/12/2022,Tin Vip 3,35964285,batdongsan_com_vn_35964285,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công', '68', 'Tây Hồ Residence']","
Chủ nhà gửi bán căn hộ 2 phòng ngủ tòa Sun, 3 phòng ngủ tòa Moon dự án HDI Tây Hồ, 68 Võ Chí Công.Căn hộ 70.5m², 2 phòng ngủ, 2 vệ sinh và 1 ban công full nội thất chỉ về ở. View Hồ Tây.Căn hộ 85m², 3 phòng ngủ, 2 vệ sinh và 2 ban công full nội thất.Căn hộ 95m², 3 phòng ngủ, 2 vệ sinh và 1 ban công full nội thất, view Hồ Tây.Căn hộ 88m², 3 phòng ngủ, 2 vệ sinh và 1 ban công full nội thất.Căn 107m², 3 phòng ngủ, 2 vệ sinh và 2 ban công.Giao thông thuận lợi, gần trường học, bệnh viện, mất 5p đi ra Hồ Tây.Giá bán căn 2PN/73m²/ 4,4 tỷ.Căn 3PN/107m²/ 6,1 tỷ.LH em Hoàng: 0839 454 *** ",107 m²,6.1 tỷ,,,,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin Vip 3,35933936,batdongsan_com_vn_35933936,Nam,3 phòng,2 phòng,Full nội thất,
"['Hà Nội', 'Huyện Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
CĂN 2 NGỦ 2 VỆ SINH GÓC TẦNG TRUNG BAN CÔNG ĐÔNG BẮC VIEW SIÊU THOÁNG MÁT  GIÁ CHỈ 2.1 TỶ BAO PHÍ - Diện tích TT 68m²/ Thông thủy 63m2- Căn hộ đã full đồ nội thất chỉ việc dọn vào ở ngay - Tầng Trung Ban Công ĐB hướng mát - Ngay mặt đường trung tâm của dự án gần nhà để xe- View siêu thoáng công viên bồ công anh , sân chơi trẻ em- Hưởng chọn tiện ích của khu đô thị như biển hồ, nướng BBQ, bể bơi bốn mùa- Gần nhà nổi để xe 5 tầng- Pháp lý rõ ràng, đã có sổ đỏ không vay ngân hàng= Giá siêu hấp dẫn như săn sale chỉ 2.1 tỷ bao phíLiên hệ ngay để biết thêm thông tin 0978 327 ***Cam kết giá tốt nhất thị trường. Nhận nhà ở ngay.Xem nhà trực tiếp.Hỗ trợ thủ tục chuyên nghiệp, tận tâm, nhiệt tình và chu đáo nhất            ",68 m²,2.1 tỷ,,,Tây - Nam,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin Vip 3,35964083,batdongsan_com_vn_35964083,Đông - Bắc,2 phòng,2 phòng,Đầy đủ,
