address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Nội thất,Mặt tiền,Đường vào,Hướng nhà
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Giáp Bát']","
Bán nhà Giáp Bát - Trương Định, nhà nằm tại vị trí đắc địa, ngõ trước nhà rộng nông ôtô tránh, gần đường Kim Đồng, Giải Phóng, bến xe Giáp Bát, xung quanh là các siêu thị, bệnh viện Bạch Mai, Thanh Nhàn và các trường đại học KTQD, Bách Khoa bán kính 2km.Nhà được xây mới, thiết kế 5 tầng, đầy đủ công năng sử dụng hiện đại, nội thất cao cấp, xách vali về ở ngay.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá bán: 5.85 tỷ (có thương lượng mạnh tay cho khách thiện chí).Anh/chị có nhu cầu mua nhà liên hệ em Lộc chuyên nhà đất thổ cư để được tư vấn và xem nhà hoàn toàn miễn phí...Em Lộc - BĐS thổ cư, điện thoại/ Zalo: 0981 434 *** Thông tin chính xác, tiết kiệm thời gian.            ",40 m²,5.85 tỷ,5 tầng,5 phòng,3 phòng,Sổ đỏ.,26/11/2022,03/12/2022,Tin thường,35266233,batdongsan_com_vn_35266233,,,,,
"['Hà Nội', 'Gia Lâm', 'Đường Lý Thánh Tông', 'Dự án The Pavilion - Vinhomes Ocean Park']","
Căn hộ góc Pavillon 2 - Vinhomes Ocean Park Gia Lâm.Diện tích 63m² (2 + 1).P2 - 05 view hồ điều hoà và quảng trường Ocean View.Giá: 2,8 tỷ. Được vay NH 80% HTLS 0% trong 3 năm kể từ ngày ký.Hotline: 0899 996 *** ",63 m²,2.8 tỷ,,2 phòng,2 phòng,,26/11/2022,03/12/2022,Tin thường,35881965,batdongsan_com_vn_35881965,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án King Palace']","
Thông tin căn hộ:Căn số 01.Diện tích 124m² căn góc.View thành phố cực đẹp.Giá 7,2 tỷ bao thuế phí và tặng kèm nội thất cao cấp chưa sử dụng nhiều.Liên hệ: Em Tuân 0899 996 *** ",124 m²,7.2 tỷ,,3 phòng,2 phòng,,21/11/2022,28/11/2022,Tin thường,35897653,batdongsan_com_vn_35897653,Đông - Bắc,Full nội thất,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Thông tin lô LK:- Diện tích 100m².- Nhà mới nhận nhà hướng Đông Bắc.View trực diện hồ điều hoà đang thi công.Giá mong muốn 10,7 tỷ thấp hơn giá thị trường rất nhiều.Tính ra khoảng 80tr/m² đất.Lh: 0899 996 *** em Tuân ạ.            ",100 m²,10.7 tỷ,5 tầng,,,,26/11/2022,03/12/2022,Tin thường,35874200,batdongsan_com_vn_35874200,Đông - Bắc,,5 m,15 m,Đông - Bắc
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Hữu Thọ']","
Vị trí ở rất sướng, dân trí rất cao, toàn quan chức nhà nước và các giáo sư tiến sĩ ngự.Thuận tiện di chuyển các hướng nội ngoại thành và đi các tỉnh thành trên cả nước.Giao thông Vành Đai 3, Kim Giang, Giải Phóng, Nguyễn Xiển, Nguyễn Trãi, Trân Phú, Văn Quán, Đại lộ Chu Văn An.Thiết kế 3 tầng, gồm 5 ngủ, gara phòng khách, bếp, phòng thờ sân phơi.Sổ đỏ vuông đẹp, giao dịch ngay.Chủ là quan chức lãnh đạo cao cấp, bán để mua nhà trên phố cổ.Anh chị liên hệ nhạc sĩ Phi Thường để được tư vấn và xem nhà miễn phí.Lưu ý: Không tiếp môi giới.            ",185 m²,26 tỷ,3 tầng,5 phòng,4 phòng,Sổ đỏ.,26/11/2022,03/12/2022,Tin thường,35213929,batdongsan_com_vn_35213929,,Đầy đủ.,10 m,15 m,Tây - Bắc
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Phòng kinh doanh chủ đầu tư bán căn hộ không đồ và có đồ ở khu vực Tây Hồ, Ciputra (để ở hoặc làm văn phòng). Khu vực chung cư quanh hồ Tây hoặc trong khu đô thị cao cấp Ciputra. Uy tín - tận tâm - giá rẻ nhất thị trường với 10 năm kinh nghiệm trong ngành bất động sản khu vực Ciputra, khu đô thị Ciputra, Starlake, giá cực rẻ, xem nhà 24/10.Liên hệ Mr Đức Anh: 0967 805 **** Giá bán.- Trung bình từ 32 - 40 triệu/m²/căn tòa E1.- Các tòa khác giá trung bình từ 31 - 43 triệu/m².* Pháp lý minh bạch, rõ ràng. Sẵn sàng giao dịch.* Danh sách căn hộ Ciputra bán:Tòa G02,03:- DT 119m² 3PN, 2WC căn hộ cửa Đông Bắc đã có đầy đủ đồ.- DT 150m² 4PN, 2WC căn góc hướng Tây Bắc, view thoáng và mát nhà đồ cơ bản.Tòa E4, E5:- DT 142m² 4PN, căn góc cửa chính Tây Bắc, view đẹp và thoáng.- DT 153m² 4PN cửa hướng Tây Nam view sân chơi thoáng mát.Tòa E1:- DT 120m² 3PN, 02WC ban công Tây Bắc view thoáng.- DT 142m² 4PN căn góc hướng Đông Nam view vườn ươm hoa.Tòa P1, P2:- DT 123m² 3 phòng ngủ view sân golf.- DT 145m² 3PN ban công Tây Bắc view đài phun nước.- DT 182m² 4PN ban công Đông Nam view sân golf.Tòa L1, L2.- DT 60m² - 70m² view nội khu.- DT 114m² ban công Đông Bắc tầng trung, view nội khu.- DT 154m² 3PN, view 3 mặt thoáng.- DT 267m² 4PN view ban công Tây Bắc view toàn bộ sân golf, thoáng mát.Em Đức Anh: 0967 805 *** để tìm được căn hộ ưng ý nhất. Kính trân trọng. Uy tín quý hơn vàng.            ",123 m²,3.8 tỷ,,3 phòng,2 phòng,,21/11/2022,28/11/2022,Tin thường,35728090,batdongsan_com_vn_35728090,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang']","
Bán nhà mặt ngõ Kim Giang, Q. Hoàng Mai, TP. Hà Nội. Diện tích 41m² xây 5 tầng, mặt tiền rộng 3,6m, giá 4,05 tỷ.- Vị trí đẹp, ngõ to rộng thoáng, gần bãi gửi ô tô, gần trường học Đại Kim, Kim Giang, Đại học Thăng Long, khu đô thị Đại Kim, đường lớn. Rất thuận lợi di chuyển ra Nguyễn Xiển, Ngã Tư Sở, Linh Đàm, Hà Đông, Thanh Xuân các trường Đại học Kiến Trúc, Đại học Hà Nội, Học viện Bưu chính viễn thông, Đại học Nhân Văn, Khoa học tự nhiên...- Thiết kế: Hiện đại, xây khung cột bê tông cực chắc chắn 5 tầng, khách mua về ở ngay, tặng toàn bộ nội thất xịn:+ Tầng 1: Khách + Bếp.+ Tầng 2,3,4 mỗi tầng 2 phòng + wc.+ Tầng 5: Phòng thờ, sân phơi, trồng cây.- Sổ đỏ vuông vắn, nở hậu, sẵn sàng giao dịch.- Liên hệ em Định để xem nhà.            ",41 m²,4.05 tỷ,5 tầng,6 phòng,4 phòng,Sổ đỏ.,23/11/2022,03/12/2022,Tin thường,35358977,batdongsan_com_vn_35358977,,"Nội thất xịn, đầy đủ.",3.6 m,3 m,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh', 'Dự án Vinhomes Nguyễn Chí Thanh']","
Bán gấp căn hộ 3 phòng ngủ - Vinhomes Nguyễn Chí Thanh.Diện tích: Tim tường 109m², thông thủy 102m².Thiết kế 3 phòng ngủ 2WC.Nội thất: Hoàn thiện full đồ cao cấp, hiện đại, tiện nghi.Pháp lý: Thuận tiện giao dịch, sổ đỏ chính chủ.Tình trạng: Căn hộ hoàn thiện, sẵn sàng vào ở.Giá 8.2 tỷ bao toàn bộ thuế phí.Ngoài ra em còn quỹ hàng bán và cho thuê giá tốt tại các dự án Metropolis, Nguyễn Chí Thanh, Skylake...Anh / chị có nhu cầu vui lòng liên hệ em Phương: 0326 392 ***Zalo/call).            ",109 m²,8 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35683640,batdongsan_com_vn_35683640,Đông - Nam,"Căn hộ đã có đầy đủ nội thất gồm: Tivi, giường tủ, điều hoà, nội thất.",,,Tây - Bắc
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Đường Hồ Đắc Di']","
Bán đất phố Hồ Đắc Di Đống Đa Kinh Doanh cực đỉnh 70m² mặt tiền 5,2m giá chỉ 6,5 tỷ.Vị trí đắc địa, ba bước chân ra Hồ Đắc Di, bãi gửi ô tô cách 20m, mảnh đất nằm ngay khu trung tâm Đống Đa, giao thông thuận tiện, 1 phút ra phố Xã Đàn, Ô Chợ Dừa, Tôn Đức Thắng, Hoàng Cầu, Đê La Thành, Nguyễn Lương Bằng... Gần bệnh viện Đa Khoa Đống Đa TTTM Mipec Tây Sơn, royal city.- Mảnh đất phù hợp xây tòa chung cư mini 7 - 8 tầng, căn hộ dịch vụ, cho thuê dòng tiền ổn định thu nhập 150tr/tháng.- Vị trí kinh doanh tốt, hiện trạng nhà 3 tầng cũ đang cho thuê kinh doanh, chủ xác định bán đất.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá 6,5 tỷ.- Liên hệ Anh Bắc 0355 823 *** ",70 m²,6.5 tỷ,,,,,26/11/2022,03/12/2022,Tin thường,35325877,batdongsan_com_vn_35325877,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Minh Giám', 'Dự án Mandarin Garden']","
Chính chủ cần bán gấp lại căn hộ 168m² chung cư Mandarin Garden, Hoàng Minh Giám, Trung Hòa, Cầu Giấy, Hà Nội.Căn hộ gồm 3 phòng ngủ, 2 vệ sinh, phòng khách.- Diện tích 168m², nhà tầng trung sạch sẽ thoáng mát view đẹp.View nhìn ra hồ.- Nội thất đầy đủ gia đình để lại toàn bộ chỉ việc xách vali về ở.- Khu căn hộ đầy đủ tiện ích cao cấp: Bể bơi, phòng gym, siêu thị, cafe, nhà hàng... Giao thông đi lại vô cùng thuận lợi.- Sổ đỏ chính chủ sẵn sàng sang tên.- Giá xin liên hệ em Huy 0888 618 *** ",168 m²,Thỏa thuận,,3 phòng,2 phòng,Sổ đỏ,23/11/2022,30/11/2022,Tin thường,34532821,batdongsan_com_vn_34532821,,Nội thất đầy đủ.,,,
