address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số phòng ngủ,Số toilet
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Hồ Tùng Mậu']","
Siêu hiếm nhà riêng 35m² 6T phân lô ô tô đường Hồ Tùng Mậu - Mai Dịch - Cầu Giấy - ô tô tránh vào nhà - ngõ thông cách phố 50m.Vị trí:- Nhà nằm trong khu phân lô bàn cờ Phố Mai Dịch, ngõ thông sang Doãn Kế Thiện. Dân trí cao, văn minh lịch sự.- Trước nhà ô tô tránh vào nhà, cách mặt phố 50m.- Cách chợ Đồng Xa 100m. Gần trường THPT, THCS, gần công viên. Xung quanh nhiều tiện ích,- Khu vực nhiều trường đại học như là Sân khấu Điện Ảnh, Thương mại, Nhà Hát Quân đội, Chợ Đồng Xa...Thiết kế: Phòng ngủ công năng đầy đủ.- Sổ đỏ phân lô vuông trước sau như một.- Giá chào: 5.9 tỷ thương lượng ạ.- Liên hệ em ngay ạ: Tuấn Anh (Chuyên BĐS Cầu Giấy và Hà Nội).            ",35 m²,5.9 tỷ,6 tầng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,26/11/2022,06/12/2022,Tin thường,35853059,batdongsan_com_vn_35853059,,,,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm']","
+ Chính chủ có việc cần phải bán căn nhà quá đỉnh với thông số vàng, vị trí đắc địa phố Ngọc Lâm.+ Vỉa hè rộng 15 m, đường trước nhà ô tô tránh, mặt tiền rộng hiếm có, đang kinh doanh rất đông khách, phía trên làm văn phòng.+ Khu vực vô vàn tiện ích, dân cư đông đúc, buôn bán sầm uất khách mua có thể tiếp tục cho thuê KD, thu nhập khủng.+ Sổ đỏ đẹp, pháp lý chuẩn.+ Giá bán: 19.2tỷ(có thương lượng).Liên hệ Anh Dũng để làm việc trực tiếp chủ nhà.ĐT, zalo (gọi hoặc inbox 24/24g) 0988 521 ***Miễn phí xem nhà - Nguồn hàng phong phú - Hỗ trợ tận tâm 24/24 h...            ",195 m²,Thỏa thuận,5 tầng,Sổ đỏ/ Sổ hồng.,,26/11/2022,06/12/2022,Tin thường,35393765,batdongsan_com_vn_35393765,9.2 m,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
Mình cần bán căn nhà liền kề khu C, khu đô thị Geleximco Lê Trọng Tấn, Dương Nội, Hà Đông, Hà Nội.Diện tích 95m², mt 5m, nhà xây 4 tầng thô, hoàn thiện mặt ngoài, sổ đỏ rồi, đường trước nhà 13.5m, hướng Đông Nam.Vị trí mặt sau giấy đi siêu thị AEON, ngay gần mặt đường Lê Trọng Tấn, gần trường học,Giá 11tỷ nhà và đất, có thương lượng cho khách thiện chí.Quý khách hàng quan tâm xin liên hệ 0963 930 ***. Ạ.            ",95 m²,11 tỷ,4 tầng,,,18/11/2022,28/11/2022,Tin thường,35875524,batdongsan_com_vn_35875524,5 m,13.5 m,Đông - Nam,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Dịch Vọng']","
Bán nhà riêng 35m² 5T phố Dịch Vọng - trung tâm Cầu Giấy - ô tô đỗ cách 5m - cách phố 50m nhỉnh 5 tỷ.Vị trí:- Vị trí đẹp, trung tâm Quận Cầu Giấy nhiều tiện ích. Vài bước ra ô tô, 100m ra phố Cầu Giấy, con phố được mệnh danh là kinh đô thời trang, trung tâm kinh tế của Hà Nội, kinh doanh buôn bán tấp nập.- Tiện ích xung quanh đủ đầy không thiếu thứ gì từ trường học các cấp, chợ, bệnh viện, công viên cây xanh rợp bóng cây...Thiết kế: Nhà xây chắc chắn, cẩn thận, thiết kế hợp lý, nội thất đẹp mắt. Thoáng các mặt ánh sáng ngập tràn.- Sổ đỏ chính chủ đẹp, sẵn sàng giao dịch.- Giá chào: 5.5 tỷ thương lượng.- Liên hệ em ngay ạ: Tuấn Anh - 0977040368.(Chuyên BĐS Cầu Giấy và Hà Nội).            ",35 m²,5.5 tỷ,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,26/11/2022,06/12/2022,Tin thường,35853108,batdongsan_com_vn_35853108,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án The Manor Central Park']","
Bán shophouse mặt phố đi bộ The Manor Central Park.- Diện tích: 75m², phố đi bộ dài 1km, mặt tiền rộng đẹp.Nhận nhà ở hay cho thuê được giá cao.- Giá bán: 29,3 tỷ bao thuế phí.- Đường trước nhà rộng, khu phố có nhiều tiện ích cửa hàng cafe, văn phòng nhộn nhịp.Làm văn phòng, làm nhà hàng, cửa hàng. Hoặc vừa ở vừa kinh doanh đều rất thuận tiện.Quý anh chị quan tâm đầu tư vui lòng liên hệ: Em Liên 0988 798 *** ",75 m²,29.3 tỷ,5 tầng,,,19/11/2022,29/11/2022,Tin thường,34923875,batdongsan_com_vn_34923875,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Cảnh Dị', 'Dự án KĐT Đại Kim']","
Cần bán liền kề Đại Kim mặt đường 30m đang cho thuê kinh doanh tốt.- Diện tích: 68,9m² xây 5 tầng đẹp mặt tiền 6,1m, Hướng Đông.- Đang cho thuê mở cửa hàng ăn uống, xung quanh là các khu chung cư đông dân cư, văn phòng, trường đại học Thăng Long.Mặt đường trước nhà rộng 30m thông ra Nguyễn Xiển, Kim Giang. Tương lai còn tăng giá nữa.- Giá bán: 20 tỷ bao phí sang tên.Liên hệ: 0988 798 *** em Liên dẫn đi xem nhà và đàm phán giá tốt.            ",68.9 m²,20 tỷ,5 tầng,Đã có sổ.,,16/11/2022,29/11/2022,Tin thường,35287545,batdongsan_com_vn_35287545,6.1 m,30 m,Đông,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
SIÊU PHẨM CẦU GIẤY - 7 TẦNG THANG MÁY - NHÀ MỚI XỊN SÒ - Nhà Xây Mới Tinh .- Thiết kế 7 tầng Thang máy.+ Tầng 1 : Thông Sàn + Thang Máy + Tầng 2,3,4 : Thông Sàn + WC.+ Tầng 5 : Làm Bếp .+ Tầng 6: 2 phòng .+ Tầng 7 : Tum + Sân phơi.- Khu Vực Tiện ích Không Thiếu Gì , Gần Hồ Điều hòa, ô tô gần.- Sổ đỏ chính chủ nở Hậu -Giá bán 8,3 tỷ có thương lượng (MTG)-Lh 0938 823 *** ",42 m²,8.3 tỷ,7 tầng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35960053,batdongsan_com_vn_35960053,,,Đông,5 phòng,6 phòng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Bán biệt thự đơn lập có hầm rộng siêu cao cấp ở trung tâm Mỹ Đình. Cả khu Mỹ Đình chỉ có 20 căn biệt thự siêu cao cấp phiên bản giới hạn.- Diện tích: 267m² - 312,9m², hướng Đông Nam và Tây Bắc.- Giá bán từ 94 tỷ/căn hoàn thiện mặt ngoài.- Được xây 1 tầng hầm + 4 tầng nổi + 1 tầng áp mái (tầng hầm siêu rộng hơn 90m).- Mặt tiền 14,8m. Đường trước nhà 13,5m, Sổ đỏ lâu dài.- Bàn giao thô, hoàn thiện mặt ngoài. Gia chủ có thể thoải mái thiết kế nội thất tuỳ theo phong cách của mình.- Có hỗ trợ lãi suất ngân hàng 0%/18 tháng. TT Sớm giảm giá 8%.- Vị trí nằm trong quần thể dự án The Zei và HD Mon vị trí đắc địa, gần công viên các trường đại học lớn, bệnh viện.- Quần thể đã hoàn thiện đồng bộ.- Khu biệt thự nằm cạnh tòa chung cư cao cấp The Zei với tiện ích, phù hợp được với nhất nhiều nhu cầu của khách hàng như vừa ở vừa kinh doanh, văn phòng, mở spa... Ở cũng rất yên tĩnh có bảo vệ khu biệt thự.Chủ đầu tư: HD Mon Holdings.- Vị trí trái tim của Mỹ Đình 2, tiếp giáp với 4 mặt đường lớn:+ Đường Hàm Nghi.+ Đường Lê Đức Thọ.Biệt thự The Zei giá ngoại giao, chọn lô đẹp (vào hợp đồng luôn, tiến độ đóng tiền thỏa thuận trực tiếp với CĐT.Quí anh chị quan tâm xem nhà liên hệ em ạ: 0988 798 *** Ms Liên.            ",312.9 m²,125 tỷ,5 tầng,Sổ đỏ/ Sổ hồng,,19/11/2022,29/11/2022,Tin thường,35370659,batdongsan_com_vn_35370659,,13.5 m,Đông - Nam,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị']","
Chủ nhà muốn định cư nước ngoài nên gửi bán căn nhà cực đẹp view Hồ Tây, khu vực Võng Thị, gần các trục đường Trích Sài, Lạc Long Quân, Thụy Khuê. Nhà thuộc khu vực đầy đủ tiện ích ven hồ, nhiều người nước ngoài sinh sống, dòng tiền luôn ổn định, có thể kết hợp để ở cực thích, chỉ vài bước ra hồ.Diện tích: 120m2Mặt tiền: 9mGiá: 55.7 tỷ (Thương lượng cực mạnh)Nhà thiết kế đầy đủ công năng, 15 phòng cho thuê dòng tiền ổn định, có thể chỉnh sửa để tăng hiệu suất tối đaSổ đỏ chính chủ, chỉ chờ sang tên.Liên hệ xem nhà và tư vấn pháp lý miễn phí: Mr Duy 0902 555 *** ",120 m²,55.7 tỷ,,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35955017,batdongsan_com_vn_35955017,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án The Manor Central Park']","
- Shophouse diện tích: 75m² x 5 tầng, bàn giao full nội thất hoàn thiện CĐT, hướng Đông Nam.- View chung cư, phía sau là công viên cây xanh.- Đường rộng 17m.- Giá bán: 24 tỷ bao thuế phí. Liên hệ em Liên 0988 798 ***Ngoài ra em còn nhiều thông tin căn biệt thự, liền kề, shophouse khác chủ nhà gửi bán. Anh chị có nhu cầu mua nhà tại The Manor vui lòng gọi em để dẫn xem nhà trực tiếp và đàm phán giá.Điện thoại: 0988 798 ***Zalo/Viber).            ",75 m²,24 tỷ,,Sổ đỏ/ Sổ hồng,,19/11/2022,29/11/2022,Tin thường,34981209,batdongsan_com_vn_34981209,,,Đông - Nam,,
