address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất,Số tầng,Pháp lý,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
Gia đình chuyển lên chung cư cần bán căn nhà riêng trong ngõ phố Lê Trọng Tấn - Thanh Xuân, đối diện sân tennis Lê Trọng Tấn. Diện tích 55m² nhà xây kiểu cũ 3,5 tầng, mặt tiền 5m cực thoáng. Cách phố chỉ 30m, hoặc có thể sửa để ô tô vào nhà. Chủ nhà thiện chí bán cần tìm khách thiện chí mua, giấy tờ chuẩn chỉ pháp lý sạch sẽ. Lh: 0944 040 *** ",55 m²,148 triệu/m²,5 m,22/11/2022,29/11/2022,Tin thường,33040312,batdongsan_com_vn_33040312,,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Bán căn hộ chung cư tòa 24T2 khu đô thị Trung Hòa Nhân Chính: Diện tích 160m², thiết kế 3 phòng ngủ, 3 WC, nhà đã làm lại đẹp để làm văn phòng công ty của gia đình, thiết bị vệ sinh cao cấp nhập khẩu, thiết bị điện tử âm trần kiểu smart home. Chung cư nằm ở ngay mặt đường Hoàng Đạo Thúy và đường Nguyễn Thị Thập, đối diện với tòa N05, vị trí trung tâm, khu vực đông dân cư, dân trí cao, an ninh tốt, với đầy đủ các dịch vụ tiện ích nằm trong tòa nhà. Giá bán 33tr/m² có thương lượng cho khách thiện chí. LH: 0944 040 *** ",160 m²,33 triệu/m²,,22/11/2022,29/11/2022,Tin thường,34608040,batdongsan_com_vn_34608040,3 phòng,3 phòng,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Hoàng', 'Dự án Mỹ Đình Plaza 2']","
Nhà tôi cần bán gấp căn hộ chung cư Mỹ Đình Plaza 2, 70m² full đủ, giá: 2,95 tỷ.Ngày đăng: Hôm nay.Thông tin chi tiết căn hộ như sau:+ Căn hộ thiết kế 2PN - 2WC.+ Hướng cửa TB, ban công ĐN.+ Tầng trung view thoáng.+ Nội thất đầy đủ.+ Sổ đỏ chính chủ sẵn sàng giao dịch.            ",70 m²,2.95 tỷ,,25/11/2022,02/12/2022,Tin thường,35737974,batdongsan_com_vn_35737974,2 phòng,2 phòng,Tây - Bắc,Đông - Nam,Đủ đồ,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Do không có nhu cầu sử dụng mình cần bán nhanh căn hộ tại toà R1 Goldmark City.Diện tích 139m².Hướng cửa Tây Nam, ban công Đông Bắc.Tầng trung view thành phố cực đẹp.Thiết kế căn hộ 3 ngủ 2 vệ sinh là căn góc nên 3PN đều có ánh sáng tự nhiên để lại toàn bộ nội thất như hình.Giá 5,2 tỷ.Pháp lí sổ hồng.            ",139 m²,5.2 tỷ,,25/11/2022,02/12/2022,Tin thường,35412251,batdongsan_com_vn_35412251,3 phòng,2 phòng,Tây - Nam,Đông - Bắc,Đủ đồ,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Đường 21B']","
+ Tầng 1: Phòng khách + bếp + wc.+ Tầng 2: Phòng ngủ + wc.+ Tầng 3: Phòng ngủ + wc.+ Tầng 4: Phòng ngủ + phòng thờ + sân phơi.- Nhà xây dựng với thiết kế trẻ trung hiện đại - nhà có kheo thoáng trước sau rất mát.- Tiện ích trường Mầm non - tiểu học trong vòng bán kính 300m.- Nhà cách QL21B chỉ 100m. Cách Vành Đai 4 500m, chợ đầu mối Nam Hà Nội 1km...* Cách KĐT Thanh Hà Đường Cienco 5 chỉ 2km.* Giao thông thuận tiện đến.* Pháp lý sổ đỏ chính chủ.* Hỗ trợ vay ngân hàng 70%.* Liên hệ: Em Đạt 0961 418 *** Hoặc Kết Bạn Zalo Để Được Xem Nhà Miễn Phí.            ",34 m²,1.9 tỷ,,26/11/2022,03/12/2022,Tin thường,34548370,batdongsan_com_vn_34548370,3 phòng,3 phòng,,,,4 tầng,Sổ đỏ,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Đường Huyền Kỳ']","
Vị Trí nhà gần cây xăng Xốm.Cách QL21B 100m. 30m ra đường ô tô qua. Gần trường đại học. Gần chợ xốm. Chợ gia dụng Bắc Lãm. Gần bến xe ga tàu điện. Có xe bus di chuyển.Diện tích 32m².T1: Phòng khách, bếp, nvs.T2 + T3 + T4: Mỗi tầng 1 phòng ngủ, 1 nvs.T5: Gian thờ, sân phơi đồ.Tủ bếp gỗ công nghiệp cao cấp.Thiết bị vệ sinh cao cấp, phòng tắn có vách kính.Trần thạch cao + đèn LED 3 màu Full 4 tầng.Sàn gỗ, rèm cửa các phòng.* Tặng giường tủ + Điều hoà + Bình nóng lạnh đầy đủ các phòng.Liên hệ: Em Đạt 0961 418 *** để được tư vấn và xem nhà.Ngoài ra em còn 1 số căn:Nhà xây mới 3 - 5 tầng khu vực.Phú Lương - Phú Lãm từ 1,99 tỷ.Hà Trì - Đa Sỹ - Mậu lương từ 2,7 tỷ.Yên Nghĩa từ 2.2 tỷ.Dương Nội từ 2,68 tỷ.            ",32 m²,2.38 tỷ,,26/11/2022,03/12/2022,Tin thường,34548539,batdongsan_com_vn_34548539,4 phòng,4 phòng,,,,5 tầng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Trường Chinh']","
Siêu phẩm, mặt phố Trường Chinh, KD sầm uất, 200m², MT 8m, giá hơn 60 tỷ. LH 0901 766 ***Mặt phố - mặt Vành đai 2 - đoạn đẹp nhất phố - MT rộng - giá quá ngon.- Vị trí đoạn giữa Ngã Tư Sở và Tôn Thất Tùng, qh ổn định, vỉa hè siêu rộng.- Chủ check không quy hoạch gì, xây 9 tầng thoải mái.- MT quá đẹp, thửa đất vuông vắn, nở hậu nhẹ, quá ổn để xây tòa.- Vành đai 2 sắp hoàn thiện.            ",298 m²,Thỏa thuận,10 m,26/11/2022,03/12/2022,Tin thường,34562105,batdongsan_com_vn_34562105,,,,,,,,30 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Phố Huế', 'Phố Phố Vọng']","
Mặt phố Vọng, kinh doanh sầm uất, mặt tiền siêu khủng, 600m², giá 165tr/m². LH 0901 766 ***+ Thửa đất tọa lạc tuyến phố kinh doanh sầm uất ngày đêm.+ Mặt tiền siêu lớn, phù hợp xây dựng mọi loại hình kinh doanh.+ Vài bước chân ra bệnh viện Bạch Mai, Việt Pháp... Và các trường đại học lớn như Bách Khoa, Kinh Tế Quốc Dân...Liên hệ ngay em Tiến 0901 766 *** để được giao dịch chính chủ.            ",600 m²,165 triệu/m²,,26/11/2022,03/12/2022,Tin thường,31528337,batdongsan_com_vn_31528337,,,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Biệt thự vip, KĐT Gamuda Gardens, Q. Hoàng Mai, 190m², 4 tầng, MT 9m, giá 36 tỷ. LH 0901 766 ***Khu đô thị sinh thái Gamuda Gardens, là công ty Gamuda Land vốn nước ngoài Malaysia Tài trợ, với quy mô dự án 75 ha và mật độ xây dựng 48% còn lại là cho không gian cây xanh, giao thông, tiện ích.+ Tiện ích: Trường học quốc tế, bệnh viện, nhà trẻ, bể bơi, sân thể thao, phòng tập gym, trung tâm thương mại... Đã xây dựng xong và đi vào hoạt động cho cư dân sử dụng.+ Trường Liên cấp Quốc tế SIS (Singapore): Là trường quốc tế top đầu tại Hà Nội. Có trang bị cơ sở vật chất hiện đại, chương trình giáo dục tiên tiến và đội ngũ giáo viên có trình độ cao.+ Bệnh viện quốc tế, và hệ thống an ninh tới 3 lớp an toàn tuyệt đối.Thiết kế Biệt thự song lập, 3 mặt thoáng sáng, cây xanh quanh nhà.+ Diện tích xây dựng là 110m², diện tích sàn 294m².+ Tầng 1: Gara + sân vườn, khách, bếp, wc.+ Tầng 2: 2 phòng ngủ rộng khép kín wc.+ Tầng 3: 2 phòng ngủ rộng khép kín wc.+ Tầng 4: Phòng thờ sân phơi.Sổ đỏ chính chủ.            ",190 m²,36 tỷ,9 m,26/11/2022,03/12/2022,Tin thường,35549203,batdongsan_com_vn_35549203,6 phòng,4 phòng,,,,4 tầng,,20 m
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Phố Từ Hoa']","
Bán nhà mặt ngõ phố Từ Hoa  Tây Hồ, view Hồ Hàm Long: + Diện tích: 115m², mặt tiền 9.3m+ Thiết kế: Nhà xây 7 tầng thang máy, 4 mặt thoáng nên phòng nào cũng thoáng sáng, tổng có 10 căn hộ cho thuê.Pháp lý: Sổ đỏ chính chủ.+ Giá bán: 46.8 tỷ.+ Xem nhà: LH 0987104878.  (E Thịnh chuyên nhà phố, dòng tiền, khách sạn).            ",115 m²,46.8 tỷ,9.3 m,26/11/2022,06/12/2022,Tin thường,35961925,batdongsan_com_vn_35961925,,,,,,,Sổ đỏ/ Sổ hồng,10 m
