address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Pháp lý,Mặt tiền,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Nam Từ Liêm', 'Dự án Imperia Smart City']","
CẦN CHUYỂN NHƯỢNG GẤP CĂN 1PN+1 CHUNG CƯ MASTERI GIÁ SIÊU RẺ LIÊN HỆ MR HỢI 090484486            ",42 m²,50 triệu/m²,1 phòng,1 phòng,26/11/2022,03/12/2022,Tin thường,35959785,batdongsan_com_vn_35959785,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
- Nhà diện tích 58m² x 5 tầng, 2 mặt thoáng trước sau.- Nhà nằm trên ngõ to như phố, trước nhà ô tô tránh nhau.- Ngay cạnh nhà là nhà văn hóa và khu vui chơi công cộng, gần trường mầm non, tiểu học và THCS Gia Thụy, gần chợ, siêu thị... Tiếp giáp phố Nguyễn Văn Cừ, phố Hoàng Minh Đạo, Phố Nguyễn Sơn, Lâm Hạ...- Sổ đỏ chính chủ phân lô vuông vắn như tờ A4 sẵn sàng giao dịch.- Giá chào 7,8 tỷ.- Liên hệ: Mrs Hương ĐT/zalo 0853 602 *** ",58 m²,134.5 triệu/m²,,,26/11/2022,03/12/2022,Tin thường,35713249,batdongsan_com_vn_35713249,5 tầng,Sổ đỏ/ Sổ hồng.,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bùi Ngọc Dương']","
Nhà sổ đỏ riêng, 15m² x 3.5T, Bùi Ngọc Dương - Hồng Mai, quận Hai Bà Trưng sát cạnh nhà hát Cải Lương.Diện tích: 13m². Giá 1,45 tỷ có thương lượng.Mô tả: Thực tế diện tích sử dụng 13m² tầng 1, tầng 2 - 3 và tum là 15m² sử dụng. Gồm 2 ngủ, 2 vệ sinh, khách, bếp.Nhà có sổ đỏ chính chủ, mua bán công chứng nhanh chóng.LH mua nhà: 0969 987 *** ",13 m²,1.45 tỷ,2 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,35512519,batdongsan_com_vn_35512519,4 tầng,Sổ đỏ/ Sổ hồng,3 m,2 m,Nội thất đầy đủ,,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột', 'Phố Tôn Đức Thắng']","
Bán tập thể tầng 1, ngõ ô tô - kinh doanh.Địa chỉ: Phố Tôn Đức Thắng, Đống Đa, Hà Nội (tập thể Hóa chất, phường Hàng Bột).+ Nhà sổ đỏ gần 30m², diện tích sử dụng 45m², gồm 1 Phòng để thông sàn, 1 bếp, 1 wc, Khu giặt phơi, phòng kho.+ Nhà có 2 hai lối đi, 1 cửa chính bán hàng và 1 cửa ngõ ra lối sân tập thể.Nhà nằm ở vị trí đẹp, có cửa hàng kinh doanh tốt, ngõ vào rộng thông thoáng, ô tô đỗ cửa, cách mặt phố Tôn Đức Thắng vài trăm mét, rất thuận tiện kinh doanh, Ở, sinh hoạt.Giá bán: 1,75 tỷ.Liên hệ: A. Kiên 0969 987 *** ",45 m²,1.75 tỷ,1 phòng,1 phòng,26/11/2022,03/12/2022,Tin thường,35652738,batdongsan_com_vn_35652738,,Sổ đỏ/ Sổ hồng,,,Nội thất đầy đủ.,Tây - Bắc,Tây - Bắc
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc']","
+ Lô đất nằm trong quần thể KĐT Vạn Phúc, Hà Đông. Hàng xóm Him Lam, xung quanh trường tiêu học Vạn Bảo, đường đôi Vạn Phúc, Dọc bún 1 thông KĐT Văn Khê khu vực đang rất hót tiện ích không thiếu thứ gì, đường lớn Tố Hữu.+ Chủ nhà làm Công An Thành Phố, tính tình vui vẻ, đất bố mẹ cho do k có nhu cầu xây và ở nên muốn bán gấp để mua nhà trên Thanh Xuân.+ Diện tích 50m², Phân lô, ô tô tránh vào nhà, mặt tiền 5m, khẳng định tầm giá đẹp nhất khu vực.+ Sổ đỏ chính chủ cất két sẵn sàng giao dịch.+ Gía nhỉnh 7 tỷ (có ra lộc cho khách thiện chí).+ Cam kết miễn phí mọi thủ tục kể cả khi giao dịch thành công.+ Liên hệ Em Đạt nhà đẹp nhiệt tình, kinh nghiệm, tận tâm để xem nhà ngay 0965 890 *** ",50 m²,7.1 tỷ,,,23/11/2022,30/11/2022,Tin thường,35653144,batdongsan_com_vn_35653144,,Sổ đỏ/ Sổ hồng.,5 m,10 m,,,
"['Hà Nội', 'Quận Bắc Từ Liêm', 'Dự án Goldmark City']","
Gia đình chuyển công tác cần bán căn hộ 2PN Goldmark City - 136 Hồ Tùng MậuDiện tích 68m 2PN 2WC.Nội thất chủ nhà đã thiết kế và hoàn thiện rất đẹp.View nội khu thoáng mát.LH 0346 533 *** ",68 m²,3 tỷ,2 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,35959320,batdongsan_com_vn_35959320,,Sổ đỏ/ Sổ hồng,,,Đầy đủ,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu']","
Bán gấp nhà phân lô, Trần Quang Diệu - Đống Đa, 6 Tầng, Thang máy, kinh doanh VP, Ô tô tránh.+ DT: 65M2 * MT 6m * 6 tầng, thang máy.+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.+ Giá 18 TỶ Hơn.* Nhà bán nằm trong Khu phân lô Trần Quang Diệu, Đống Đa, đường thông bàn cờ, trước nhà ô tô tránh. Tiện ích an sinh đầy đủ không thiếu gì, gần Quận Ủy, Vườn hoa 1/6, hồ Hoàng Cầu... Ga tàu điện trên cao. + Hiện tại chủ nhà đang ở và kinh doanh văn phòng.+ Liên hệ: E Lạc 0969 618 ***) Chuyên bất động sản thổ cư Hà Nội_Miễn TG.            ",65 m²,18 tỷ,4 phòng,5 phòng,26/11/2022,03/12/2022,Tin thường,35752011,batdongsan_com_vn_35752011,6 tầng,Sổ đỏ/ Sổ hồng,6 m,6 m,Cao cấp,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Đào Văn Tập']","
- Nhà diện tích 36m² x 5 tầng đủ công năng.- Ngõ rộng ba gác đua.- Vị trí cực đẹp, gần đường ô tô tránh, hàng xóm là cư dân Vinhomes, khu vực đông dân, an ninh tốt, tiện ích đầy đủ, gần trường, gần chợ dân sinh, siêu thị Big C... Tiếp giáp Vũ Đức Thận, Ngô Gia Tự, Đào Văn Tập...- Giá chào 3.3 tỷ.- Liên hệ: Mrs Hương ĐT/zalo 0853 602 *** ",36 m²,3.3 tỷ,,,24/11/2022,01/12/2022,Tin thường,35752701,batdongsan_com_vn_35752701,5 tầng,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Quỳnh Mai', 'Đường Quỳnh Lôi']","
Bán tập thể tầng 3 - Quỳnh Lôi - quận Hai Bà Trưng. 1.39 tỷ.LH trực tiếp gặp chủ nhà SĐT. 0969 987 ***Nhà tầng 3, khu 5 tầng. Ô tô đỗ chân cầu thang.+ Nhận ký gửi, môi giới, mua bán, thanh khoản Nhà - Đất.Từ 1 - 100 tỷ chuyên sâu địa bàn trung tâm Hà Nội: Đống Đa, Ba Đình, Thanh Xuân, Hai Bà Trưng, Tây Hồ, Cầu Giấy, Hoàng Mai.            ",50 m²,1.39 tỷ,2 phòng,1 phòng,26/11/2022,03/12/2022,Tin thường,35231191,batdongsan_com_vn_35231191,,Sổ đỏ/ Sổ hồng.,,,Nội thất đầy đủ.,Bắc,Bắc
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án An Bình City']","
Liên hệ e Quyên: 0961 894 ***Chính chủ gửi bán gấp căn hộ sau:* Căn hộ có diện tích 75m² thiết kế 2N 2WC, full nội thất đẹp, có slot ô tô.Pháp lý rõ ràng, sổ hồng lâu dài, sang tên nhận nhà luôn.* Căn hộ có diện tích 90m² thiết kế 3N 2WC, Nhà đã đầy đủ nội thất đẹp - xịn, chủ nhà sửa lại hết. Có slot ô tô.Giá bán: 4,1 tỷ bao phí.Tiện ích xung quanh đã đầy đủ như: Vincom, Vinmart, trường học, công viên có hồ điều hòa, khu vui chơi trẻ em, bể bơi bốn mùa, có các phòng gym, yoga, spa..., giá điện nước tính theo giá nhà nước, ô tô: Vé xe máy 90k/xe/ ô tô 1,2tr/tháng.Anh chị có nhu cầu liên hệ em hỗ trợ tới khi mua nhà: E Quyên 0961 894 *** ",75 m²,Thỏa thuận,2 phòng,2 phòng,22/11/2022,29/11/2022,Tin thường,35469726,batdongsan_com_vn_35469726,,Sổ đỏ/ Sổ hồng,,,"Nhà đã trang bị đủ đồ nội thất, sàn gỗ, trần thạch cao, hệ thống chiếu sáng, thiết bị vệ sinh, vách tắm kính. Khách vào ở được ngay.",Bắc,Nam
