address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Mặt tiền,Hướng nhà,Hướng ban công
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
Chính chủ - bán chung cư A1 Xuân La - Võ Chí Công - Tây Hồ.Liên hệ Hưng chủ đầu tư: 0982 882 ***Căn hộ xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi.Giá bán: 589tr - 605tr - 735 triệu - 928tr - 1 tỷ.Diện tích: 46m² - 49m² - 50m² - 51m² - 53m² - 60m².Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Chủ đầu tư: 0982 882 ***Liên hệ trực tiếp chủ đầu tư để mua nhà - add Zalo để nhận video căn hộ.            ",46 m²,589 triệu,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,21/11/2022,28/11/2022,Tin thường,35818133,batdongsan_com_vn_35818133,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Thụy Khuê']","
+ Nhà xây mới, chắc chắn, thiết kế hiện đại, đầy đủ công năng. Mua chỉ việc xách vali về ở.+ Nhà trung tâm Tây Hồ, ngõ rộng gần Hồ Tây lộng gió. Khu dân trí cao, an ninh đảm bảo.+ Thiết kế:- Tầng 1: Bếp, phòng khách, bếp, wc.- Tầng 2 - 3 - 4: Mỗi tầng 1 PN và WC.- Tầng 5: Phòng thờ và sân phơi.- Tầng 6: Tum chống nóng.+ Sổ đẹp, nở hậu, sẵn sàng giao dịch. Miễn TG.+ Liên hệ Phưng Thu.            ",40 m²,5.5 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",26/11/2022,06/12/2022,Tin thường,35852902,batdongsan_com_vn_35852902,2.5 m,5 tầng,,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Sơn']","
- Nhà diện tích 42 m² x 6 tầng, 4 ngủ đủ công năng sử dụng.- Nhà xây mới, hiện đại, gara, thang máy, ô tô tránh, thoáng mát.- Vị trí trung tâm Nguyễn Sơn, ngay cạnh các cơ quan thuộc hàng không Vietnam airlines, Trung tâm văn hóa hàng không, cạnh trường mầm non Chim Én, gần trường Tiểu học và THCS Gia Thụy, tiếp giáp phố Nguyễn Văn Cừ, Ngọc Lâm, Hoàng Minh Đạo, Lâm Hạ...- Tiện ích xung quanh bạt ngàn: Siêu thị, chợ, tạp hóa, hàng quán ăn uống, hàng xách tay,... Không thiếu thứ gì.- Sổ đỏ vuông đẹp, giao dịch ngay.- Giá chào 8.65 tỷ.- Liên hệ: Mrs Hương ĐT/zalo 0853 602 *** ",40 m²,216.2 triệu/m²,4 phòng,,Sổ đỏ.,,23/11/2022,30/11/2022,Tin thường,35734028,batdongsan_com_vn_35734028,,6 tầng,,,
"['Hà Nội', 'Cầu Giấy', 'Dự án The Park Home']","
* Vị trí.Ngã tư Trần Thái Tông - Thành Thái - Duy Tân - đối diện công viên Cầu Giấy.Trung tâm hành chính quận Cầu Giấy.Kết nối đa điểm giao thông thuận tiện, từ trường học, bệnh viện, phố ẩm thực, cafe, mua sắm...Chủ đầu tư uy tín.Cty CP đầu tư và phát triển nhà Hà Nội số 52.Bàn giao full nội thất cao cấp nhập khẩu.Căn hộ thiết kế hiện đại - tinh tế - ban công thoáng rộng.* Tiện ích cao cấp.The Park Home sở hữu đầy đủ các dịch vụ, tiện ích cao cấp với tầng khối đế là Trung tâm thương mại dịch vụ sang trọng. Phòng Gym, Spa, nhà hàng ẩm thực, Sky Bar trên tầng thượng, khu vui chơi trẻ em, phòng sinh hoạt cộng đồng...Hầm đỗ xe thông minh.Hệ thống camera an ninh và PCCC chuẩn quốc tế.Hệ thống gom rác tự động...Tiến độ thanh toán linh hoạt.Sổ sở hữu lâu dài.            ",80 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,26/11/2022,03/12/2022,Tin thường,35957739,batdongsan_com_vn_35957739,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Masteri West Heights']","
Cần bán gấp căn Studio view thành phố cực đẹp, giá không thể rẻ hơn thuộc dự án cao cấp nhất Vinhomes Smart City.Vị trí: Toà C Masteri West Heights.Diện tích: 30.4m² thông thuỷ, 33.9m² tim tường.Giá bán: 1.5 tỷ đã gồm nội thất cao cấp Kohler, Daikin, Teka,...Hướng view nội khu cực thoáng, view đẹp.Toà căn hộ 1 bước ra đến hồ trung tâm, thuận tiện nhà để xe cao tầng, 2 tầng hầm để xe kèm hệ tầng để xe thông minh, khắc phục đc nhược điểm của các khu cũ.Bể bơi tầng thượng riêng từng toà, có lễ tân và sảnh thang máy xịn xò.Số lượng rất hữu hạn.Đầu tư cho thuê giá từ 10 - 13tr/tháng hoặc làm Homestay giá từ 1 - 1.5tr/đêm, tỷ suất lợi nhuận cao nhất trong các dòng căn hộ.Pháp lý chuẩn, ký HĐMB và thanh toán trong 7 ngày.Liên hệ sở hữu ngay 0945 542 *** ",30.4 m²,1.5 tỷ,,,,,22/11/2022,29/11/2022,Tin thường,35756429,batdongsan_com_vn_35756429,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Cảnh Dị', 'Dự án KĐT Đại Kim']","
Nhà thuộc lô KĐT Đại Kim, đối diện trường quốc tế Reigate Grammar (ISV). Gần dự án Aeon Mall Hoàng Mai. Vị trí vô cùng đẹp, kinh doanh bất chấp từ văn phòng đến coffee...+ Đường 3 ô tô tránh, vỉa hè rộng. Ô tô dừng đỗ ngày đêm.+ Nhà mới coong, chủ xây ở được vài năm, trang thiết bị xịn sò khách mua về ở luôn.+ Thiết kế:- Tầng 1: Ga ra + bếp + WC.- Tầng 2: Phòng khách + phòng ngủ + WC.- Tầng 3,4: 4 ngủ + WC.- Tầng 5: Phòng thờ + sân phơi.+ Sổ đỏ đẹp phân lô.Quý khách xin liên hệ Mr Hòa 0396 518 *** để xem mua nhà đẹp.            ",58 m²,15 tỷ,4 phòng,4 phòng,Sổ đỏ.,,26/11/2022,03/12/2022,Tin thường,35072180,batdongsan_com_vn_35072180,10 m,5 tầng,4.5 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Giải Phóng']","
Nhà xây rất hiện đại, trắc chắn, vừa ở và kinh doanh đa ngành nghề.Vị trí cực đẹp, giao thông thuận tiện.Nhà xây 5 tầng cầu thang máy thiết kế:Tầng 1 phòng khách, phòng bếp cầu thang giữa.Tầng 2,3,4 mỗi tầng 2 phòng ngủ vệ sinh khép kín.Tầng 5 phòng thờ, sân phơi.Sổ đỏ chính chủ vuông nét sang tên nhanh chóng.ALo ngay Mr Hòa chuyên mua bán ký gửi nhà đẹp 0396 518 *** ",60 m²,16.2 tỷ,6 phòng,5 phòng,,,26/11/2022,03/12/2022,Tin thường,34465603,batdongsan_com_vn_34465603,18 m,5 tầng,5 m,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Thiên Hiền']","
Chính chủ - bán chung cư N1 Thiên Hiền - Mỹ Đình - Nam Từ Liêm.Liên hệ Hưng chủ đầu tư: 0982 882 ***Tòa nhà nằm trung tâm quận, đi lại thuận tiện giữa các quận, gần công viên, gần chợ, siêu thị, trường học cấp 1 cấp 2 cấp 3.Giá bán: 595tr - 752tr - 950tr - hơn 1 tỷ.Diện tích: 45m² - 48m² - 49m² - 50m² - 52m² - 56m².Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Chủ đầu tư: 0982 882 ***Liên hệ trực tiếp chủ đầu tư để mua nhà - add zalo để nhận video căn hộ.            ",50 m²,800 triệu,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất - về ở ngay,23/11/2022,30/11/2022,Tin thường,33896090,batdongsan_com_vn_33896090,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp']","
Cực hót, dễ bay Nhà đẹp Thanh Trì, 39m², 5 tầng, ô tô đỗ cổng, mới đẹp, ở ngay. Nhỉnh 3 tỷ.Vị trí rất ít nhà bán, khu vực giao thông thuận lợi kết nối trục Ngọc Hồi - Giải Phóng, thông sang Khu Đô Thị Hồng Hà Eco, Trung tâm hành chính Thanh Trì bán kính 300m, Chợ Văn Điển, TTTM Thanh Trì, Bệnh viện đa Khoa Thanh Trì cách vài bước chân. Khu vực tiện ích ngập tràn, không thiếu thứ gì.Giá chào: 3.5 tỷ (có thương lượng).Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: 0354 158 *** gặp chính chủ đàm phán.            ",39 m²,3.5 tỷ,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nhập khẩu hiện đại.,26/11/2022,03/12/2022,Tin thường,34315159,batdongsan_com_vn_34315159,4 m,5 tầng,3.8 m,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
* Chiết khấu tối đa 600 triệu khi khách hàng thanh toán mua căn hộ chỉ trong tuần này, số lượng có hạn ACE liên hệ em ngay để đi xem thực tế căn hộ sớm nhé.* Chính sách bán hàng tốt nhất thị trường Hà Nội thời điểm hiện tại đón Tết tại nhà mới.+ 10 căn hộ duy nhất được mua đồng giá không phân biệt hệ số tầng (siêu hot) ko phân biệt tầng thấp, cao, trung khách hàng tiết kiệm lên tới 600tr.+ Nhận nhà ở ngay đón Tết, sổ đỏ trao tay.+ Chiết khấu cao lên đến 8% khi thanh toán sớm nhận nhà ở luôn.+ Hỗ trợ vay lãi suất 0% và ân hạn gốc trong 18 tháng.* Thiết kế thông minh, rộng rãi, tối ưu công năng.+ 100% căn hộ có 2 Logia đảm bảo thông thoáng, nhiều ánh sáng tự nhiên.+ Căn 2PN, 2WC: 81 - 88m². (2pn + 1).+ Căn 3PN, 2WC: 100 - 107m².+ Căn 4PN, 3WC: 127 - 134 - 141m².- 4 Tòa (A1, A2, B1, B2), cao 25 tầng với tổng 736 căn hộ.- 4 Thang máy / tòa.- Chỉ 08 căn hộ/sàn toàn bộ căn góc.* Vị trí đắc địa.- Dự án nằm tại trung tâm của Thanh Trì. Gần các tuyến đường huyết mạch: Đường Trần Thủ Độ kéo dài, Quốc lộ 1A, đường Ngọc Hồi, đường Giải phóng.- Gần các cơ quan hành chính của Thanh Trì như: UBND huyện, CA huyện.- Bến xe nước ngầm: 5 phút di chuyển.- Bệnh viện Nông Nghiệp: 3 phút di chuyển.- Bệnh viên Bạch Mai: 15 phút di chuyển.- Pháp Vân Cầu giẽ: 2 phút di chuyển.- Công viện Yên Sở: 10 phút di chuyển.Wesite: teccogardens.comHotline: 0346 130 *** em Tú PKD.            ",127 m²,2.98 tỷ,4 phòng,3 phòng,Sổ đỏ.,,22/11/2022,29/11/2022,Tin thường,35921214,batdongsan_com_vn_35921214,,,,Tây - Nam,Đông - Bắc
