address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Trần Phú', 'Đường Thanh Lân']","
Bán nhà Thanh Lân, Hoàng Mai ô tô đỗ gần DT: 50m² giá 3.75 tỷ.Nhà thiết kế 3 phòng ngủ, thoáng mát sạch sẽ gần chợ và các trường học.Sổ đỏ vuông đẹp.LH: 0925 789 *** em Thủy.            ",50 m²,3.75 tỷ,3.5 m,3 m,3 tầng,3 phòng,3 phòng,Sổ đỏ.,Cơ bản.,26/11/2022,03/12/2022,Tin thường,35801408,batdongsan_com_vn_35801408,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
- Chỉ 1,5 tỷ cần bán bán gấp nhà phố Bạch Mai, Hai Bà Trưng. Nhà 3 tầng khung cột BT chắc chắn, thêm tầng thoải mái.- Gần ngã tư phố Huế - Đại Cồ Việt - Bạch Mai.- Gần ĐH Bách Khoa HN.- Cách phố khoảng 40m.Liên hệ: 0925 789 *** em Thủy.            ",16 m²,1.5 tỷ,2.4 m,2 m,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,26/11/2022,03/12/2022,Tin thường,35785871,batdongsan_com_vn_35785871,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Tả Thanh Oai']","
- Do cần tiền đầu tư cuối năm,gia đình cần bán gấp lô đất 40 mét vuông, cách ô tô chỉ vài bước chân, phù hợp mua đầu tư xây chung cư mi ni, mua xây nhà ở hoặc đầu tư giữ tiền- Khu vực đang phát triển từng ngày,với đường tả thanh oai mở rộng,bờ kè sông đang được triển khai- Sổ đỏ vuông văn,chính chủ,nở hậu, gia đình cần bán gấp, giá có thương lượng,sang tên trong ngày- Miễn tiếp môi giới,trung gian. LH Hải 0334 344 *** ",40 m²,1.85 tỷ,3.5 m,3 m,,,,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35961674,batdongsan_com_vn_35961674,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn']","
Cần bán nhà Phú Diễn, Bắc Từ Liêm, 59m², 5.1 tỷ.Nhà rộng, hàng hiếm, gần ô tô, sổ vuông, xem là chốt.- Nhà nằm khu vực đang phát triển của quận Bắc Từ Liêm, khu vực giá nhà đất đang lên.- Giao thông, cơ sỏ hạ tầng kết nối thuận tiện, khu vực an ninh tốt, văn minh.- Sổ đỏ hoa hậu, sẵn sàng giao dịch.- Chủ nhà thân thiện.            ",59 m²,5.1 tỷ,,,,,,,,26/11/2022,03/12/2022,Tin thường,35686210,batdongsan_com_vn_35686210,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Khuất Duy Tiến', 'Dự án Việt Đức Complex']","
Tầng 8.Nội thất cơ bản.Cửa Đông Nam.2 ban công Tây Nam - Đông Bắc.Hướng Tây được che nắng.View thoáng không bị chắn tầm nhìn.Xem nhà gọi trước 30p: 0985 800 *** ",126 m²,4 tỷ,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,32322955,batdongsan_com_vn_32322955,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
Cần bán nhà Phú Diễn, Bắc Từ Liêm, 59m² - 17.7 tỷ.Kinh doanh, phân lô, ô tô, vỉa hà 2 bên, ven thoáng, thang máy, nhà mới tặng nội thất.- Căn nhà 7 tầng, sát ngã ba điểm giao của đường rộng 30m tương lai. Nhà view 2 thoáng nhìn ra trường mầm non và cấp 1 Hồ Tùng Mậu, tận dụng được cả vỉa hè 2 bên đỗ xe thoải mái.- Nhà mới 100%, chủ nhà đầu tư để ở nhưng lại chuyển đổi mục đích.- Nhà 7 tầng công năng tiện ích đầy đủ hiện đại.            ",59 m²,17.7 tỷ,,,7 tầng,,,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35718601,batdongsan_com_vn_35718601,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', '286', 'Eco Green City']","
Tôi (chính chủ) có căn 2 ngủ cần bán ở Eco Green, 286 Nguyễn Xiển.Tôi chuyển sang căn hộ 3 phòng ngủ nên muốn chuyển nhượng lại căn 67 m² Eco Green Nguyễn Xiển. Cụ thể:- Diện tích 68 m² thông thủy, 75m², giá 2.1 tỷ, mọi thuế phí tôi lo hết.- Căn hộ được thiết kế 2PN 2WC theo phong cách hiện đại.- Full đồ nội thất, chỉ xách vali về ở: Tủ bếp, điều hòa, nóng lạnh, tivi, máy giặt, bàn ghế, sofa đầy đủ(tặng luôn dàn âm thanh 100tr tôi mới mua từ đầu năm, còn bảo hành 20 tháng).Do không thường xuyên online nên ai có nhu cầu liên hệ tôi nhé.: 0985 800 *** (0985 800 ***).Giá 2.1 tỷ.            ",75 m²,2.1 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,26/11/2022,03/12/2022,Tin thường,34592961,batdongsan_com_vn_34592961,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án Imperia Garden']","
Ban công Đông Bắc.Nội thất nguyên bản chủ đầu tư (điều hòa âm, tủ bếp, WC... ).Nhà đang để không.Sổ đỏ chính chủ: 120m².3 phòng ngủ chính + 1 phòng phụ.Cần bán gấp.Xem nhà gọi trước 10 phút.            ",120 m²,4.5 tỷ,,,,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Nội thất nguyên bản chủ đầu tư (điều hòa âm, tủ bếp, WC... ).",26/11/2022,03/12/2022,Tin thường,32075198,batdongsan_com_vn_32075198,Tây - Nam,Đông - Bắc
"['Hà Nội', 'Gia Lâm', 'Dự án The Zenpark']","
Bán nhanh căn 1PN + 1 view vườn nhật hồ cá koi, diện tích 53,5m tại phân khu đẳng cấp - The Zenpark - Nhận nhà ở luôn.- Giá 1.9x tỷ đã bao gồm VAT và KPBT.+ Tặng gói dễ mua - dễ bán lên tới 255tr trừ luôn vào giá.+ Chiết khấu khủng lên tới 10,5%.+ Tặng voucher mua xe VF 150tr.+ Tặng gói smathomes tiêu chuẩn Gold.- HTLS0% đến tháng 12/2023.- Thiết kế 1PN + 1, với phần + 1 đa năng có thể làm phòng ngủ nhỏ, phòng làm việc, phòng thờ Giá căn 1PN mà công năng sử dụng như căn 2PN.- Là căn duy nhất còn lại view hồ cá koi và toàn cảnh vườn Nhật an nhiên, tĩnh lặng. Thích hợp cho bố mẹ ở hưởng tuổi già, gia đình trẻ, các khách hàng mua đầu tư...- Đầu tư cho thuê hàng tháng thu về 9tr - 10tr/tháng.Hãy gọi ngay 0947 153 ***em Hồng)để được tư vấn ạ.-----------------------------------------------* Tiêu chuẩn bàn giao cao cấp nhất tại Vinhomes OCP.- Toàn bộ sàn gỗ nhập khẩu cao cấp.- Điều hòa trung tâm âm trần, cho độ mát sâu và lọc sạch không khí.- Cửa kính chạm sàn cho tầm nhìn Panorama.- Hệ tủ bếp và tủ tường gỗ An Cường phủ Acrylic cực kỳ sang trọng.- Thiết bị bếp Gorenje.- Thiết bị phòng tắm Grohe.- Khóa cửa hiện đại 3 chức năng (khóa cơ, mật khẩu, vân tay).* Đặc quyền chỉ riêng tại The Zenpark:- Nội khu đẳng cấp với vườn Nhật, hồ cá Koi, cạnh bể bơi mái kính 4 mùa.- Sảnh cư dân, phòng gym... Đẳng cấp.- Đặc quyền sử dụng miễn phí BBQ, bể bơi 4 mùa cùng nhiều tiện ích 5* khác.- Mỗi sảnh đều có lễ tân và bảo vệ riêng.* Quyền lợi và cam kết khi khách hàng làm việc với em Hồng.- Tất cả các căn hộ đều mua trực tiếp từ giá gốc chủ đầu tư.- Được hỗ trợ tận tình từ khi xem dự án, nhà mẫu đến khi đặt cọc mua nhà, nhận bàn giao, làm nội thất, ra sổ đỏ.- Tất cả thông tin được cung cấp chính xác, nhanh chóng và đầy đủ nhất.+ Bảng giá.+ Chính sách, quà tặng siêu khủng cập nhật mới nhất.+ Vị trí, thiết kế.+ Dòng tiền thanh toán.- Hỗ trợ khách hàng nhận nhà ở ngay trong 10 ngày.Hotline: 0947 153 *** Tks.            ",54 m²,1.9 tỷ,,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35961219,batdongsan_com_vn_35961219,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy']","
Bán 31m đất tái định cư phường Ngọc Thụy, đường 7m, hướng Đông, giá 4 tỷ.Diện tích: 31m², mặt tiền 3.1m vuông vắn, 2 mặt thoáng trước và sau, sổ đỏ chính chủ.Hướng Đông, đường trước mảnh đất rộng 7m, phía sau nhà có rãnh thoát nước chung 2m, hai mặt thoáng trước và sau.Vị trí đẹp tại khu tái định cư phường Ngọc Thụy, đường rộng rãi, cách trung tâm thành phố 3km.Giá 4 tỷ.Liên hệ: 0948 278 ***Cảm ơn quý khách đã đọc tin!            ",31 m²,4 tỷ,3.1 m,7 m,,,,Sổ đỏ/ Sổ hồng.,,26/11/2022,03/12/2022,Tin thường,35494473,batdongsan_com_vn_35494473,Đông,
