address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Hướng ban công
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Trần Hữu Dực', 'Dự án Florence Mỹ Đình']","
Chủ nhà cần tiền bán nhanh căn 3 ngủ, 83m², tầng trung full nội thất đẹp nhất toà R1 chung cư Florence Mỹ Đình.Do gia chủ không còn nhu cầu sử dụng nữa, nên cần bán lại để đầu tư cái khác, cụ thể như sau:+ Căn góc ban công hướng Tây Bắc, cửa hướng Đông Nam.- Thiết kế: 3 ngủ 2 VS, DT: 83m² thông thủy.- Nội thất đẹp thiết kế sang trọng trẻ trung (Ảnh thật).- Phòng khách, bếp, thiết bị vệ sinh tất cả đều mới và sử dụng tốt.- Nhà đã có sổ pháp lý rõ ràng.- View nội khu nhìn vào quảng trường và đài phun nước.- Tầng trung nên không bị ồn ào, bụi bặm, nắng chiếu.- Nhà đã có sổ, sẵn sàng giao dịch.- Giá bán: 3.380 tỷ. Bao thuế phí.Liên hệ: 0932 526 *** Mr. Chiến (Miễn quảng cáo, trung gian).            ",83 m²,3.38 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ, cao cấp.",24/11/2022,01/12/2022,Tin thường,33915696,batdongsan_com_vn_33915696,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Thạch Hòa', 'Đường 21A']","
Bán đất tái định cư đại học Quốc Gia. Nhà em mới bốc thăm được trên huyện lô 100m² để lại giá gốc. Đối diện dãy biệt thự, view ra hồ sân golf.Gọi 0975 482 *** để làm việc trực tiếp.- Diện tích 100m² full thổ cư. Để lại giá gốc.- Diện tích nhỏ nên rất hiếm, vừa tiền dễ mua dễ bán dễ đầu tư.- Đường 8m, vỉa hè 4m.Vị trí: Gần hồ to nhất khu, ngay mặt đường trục chính đi ra hồ (tương lai rất sầm uất).- Gần vòng xuyến có không gian rất rộng, sau này có thể tận dụng nếu nhà có lễ, tiệc, hoặc kinh doanh cafe vỉa hè.- Đối diện là dãy biệt thự: Cạnh cư dân văn minh, nhà giàu.- Giá tận gốc lúc bốc thăm đấu giá.            ",100 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,34216672,batdongsan_com_vn_34216672,5 m,8 m,Đông,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Đồng', 'Đường Nguyễn Lam', 'Dự án The Diamond Point']","
Cần bán các căn chuyển nhượng biệt thự, liền kề đẹp nhất tại dự án The Diamond Point C14 Phúc Đồng. Cam kết giá tốt nhất thị trường, đàm phán trực tiếp chủ nhà. LH: 0979 999 ***- Nằm trên đường Nguyễn Lam, Phúc Đồng, Long Biên (cạnh Vinhomes Riverside - The Harmony và 5 tòa chung cư cao cấp Sunshine Green Econic).- Khu đất vàng có vị trí siêu đẹp trên đường Nguyễn Lam: Đối diện phân khu Nguyệt Quế - The Harmony, Riverside; gần làng Đình Lệ Mật (phường Việt Hưng), nằm ngay sát phố Việt Hưng; cạnh trường mầm non Việt Hưng, PTLC VinSchool; cách Big C Long Biên 500m.Số lượng có hạn 128 lô biệt thự, liền kề Phúc Đồng - Long Biên (dự án The Diamond Point).Giá chỉ từ 19 tỷ.- Hạ tầng hoàn thiện xong. Mặt đường rộng rãi.- Xây 5 tầng, bàn giao thô và hoàn thiện mặt ngoài.+ Thiết kế theo mẫu liền kề và biệt thự hiện đại.+ Diện tích từ 102m² - 231m².+ Mặt tiền 6,4 - 7,5m.+ Nhận bàn giao sử dụng ngay.+ Sổ đỏ lâu dài, số lượng có hạn.Liên hệ ngay: 0979 999 ***Website thông tin dự án:https://bietthu-lienke-shophouse.com/the-diamond-point.html            ",102 m²,19 tỷ,,,Sổ đỏ lâu dài.,,26/11/2022,03/12/2022,Tin thường,30760074,batdongsan_com_vn_30760074,6.4 m,31 m,,5 tầng,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
Nhà chủ xây chắc chắn. Mới xây được 2 năm. Chủ xây đẹp tầng chi tiết. Nói chung là ở không chê được điểm gì. Anh chị em quan tâm nhanh. Không là bán mất.            ",44 m²,7.2 tỷ,4 phòng,5 phòng,,Nội thất mới. Xịn sò đẹp.,22/11/2022,29/11/2022,Tin thường,35923274,batdongsan_com_vn_35923274,6.6 m,8 m,,5 tầng,Đông
"['Hà Nội', 'Hà Đông', 'Dự án GoldSilk Complex']","
Chủ nhà cắt lỗ cần bán gấp căn 2PN - 1WC toà A. DT 60m² Tại THÁP GoldSilk Complex, hà đông diện tích: 68m²  thiết kế 2 phòng ngủ 1 vệ sinh ban công phòng khách , view đẹpcửa tây nam + ban công hướng Đông Namcăn hộ đã hoàn thiện trục căn cực đẹp giá bán bán: 2,2tythương lượng thêm nếu ưng ýXem nhà liên hệ 0973 262 *** ",68 m²,2.2 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35960404,batdongsan_com_vn_35960404,,,,,Đông - Bắc
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Tonkin - Vinhomes Smart City']","
Phân khu The Tonkin - Vinhomes Smart City: Phân khúc Ruby dòng căn hộ cao cấp nhất.Với số lượng cực ít.* Hotline tư vấn: 0986 498 **** Zalo: Https://zalo.me/0986 498 ***Căn 2PN (59,2m² - 65,6m²); Giá từ: 2,4 tỷ. (full VAT & KPBT).* Chính sách ưu đãi cực khủng chỉ có tại The Tonkin:+ Thanh toán sớm chiết khấu lên tới 18%.+ Tặng Voucher xe Vinfast tới 200 triệu.+ Dễ dàng sở hữu với số vốn tự có chỉ cần 20% từ 210tr ký HĐMB.+ Hỗ trợ vay đến 80% trong vòng 2 năm tới ngày 30/3/2024.+ Gói quà tặng Smart Home.+ Gói quà tặng chào hè 30 tr.+ Chiết khấu tới 1% BLNH.+ Chiết khấu dòng tiền tới 9,5%/năm.* Liên hệ 0986 498 *** giúp quý khách dễ dàng nắm được:- Vị trí căn hộ, thiết kế, tiện ích & nội thất đi kèm.- Tham quan căn hộ mẫu, căn hộ thực tế & trải nghiệm tiện ích dự án.- Số vốn tự có, dòng tiền thanh toán mua căn hộ.- Tổng tiền gốc, lãi trả hàng tháng.- Các phương án tối ưu dựa trên tài chính cá nhân của quý khách.            ",59.2 m²,2.4 tỷ,2 phòng,,Sổ đỏ/ Sổ hồng.,,26/11/2022,03/12/2022,Tin thường,34881971,batdongsan_com_vn_34881971,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Tonkin - Vinhomes Smart City']","
Phân khu The Tonkin - Vinhomes Smart City: Phân khúc Ruby dòng căn hộ cao cấp nhất.Với số lượng cực ít.* Hotline tư vấn: 0986 498 **** Zalo: https://zalo.me/0986 498 ***Căn Studio (25m² - 29,2m²); Giá từ: 1,0 tỷ (full VAT & KPBT).* Chính sách ưu đãi cực khủng chỉ có tại The Tonkin:+ Thanh toán sớm chiết khấu lên tới 18%.+ Tặng Voucher xe Vinfast tới 200 triệu.+ Dễ dàng sở hữu với số vốn tự có chỉ cần 20% từ 210tr ký HĐMB.+ Hỗ trợ vay đến 80% trong vòng 2 năm tới ngày 30/3/2024.+ Gói quà tặng Smart Home.+ Gói quà tặng chào hè 30 tr.+ Chiết khấu tới 1% BLNH.+ Chiết khấu dòng tiền tới 9,5%/năm.* Liên hệ 0986 498 *** giúp quý khách dễ dàng nắm được:- Vị trí căn hộ, thiết kế, tiện ích & nội thất đi kèm.- Tham quan căn hộ mẫu, căn hộ thực tế & trải nghiệm tiện ích dự án.- Số vốn tự có, dòng tiền thanh toán mua căn hộ.- Tổng tiền gốc, lãi trả hàng tháng.- Các phương án tối ưu dựa trên tài chính cá nhân của quý khách.            ",25 m²,1 tỷ,,,,,26/11/2022,03/12/2022,Tin thường,34846152,batdongsan_com_vn_34846152,,,,,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Cầu Am', '430', 'GoldSilk Complex']","
Gia đình chuyển nơi công tác gửi bán gấp căn hộ CC cao cấp Jasmine Goldsilk số 430 Vạn Phúc nhà thiết kế rất đẹp, theo phong cách á đông.+ Căn hộ thuộc dự án Jasmine Goldsilk, Hà Đông, thiết kế 3 phòng ngủ, 3 vệ sinh, 2 phòng vệ sinh khép kín, phòng khách + bếp rộng.+ Khu Goldsilk gồm 2 toà Tulip và Jasmine tổng 32 tầng có 1 tầng hầm.+ Tặng nội thất.+ Thiết kế nhà đẹp 3 phòng ngủ đầy đủ công năng.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá thỏa thuận.Liên hệ xem nhà: 0909 469 *** ",127 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,26/11/2022,03/12/2022,Tin thường,35565147,batdongsan_com_vn_35565147,,,Đông - Nam,,Đông - Nam
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Châu Văn Liêm', 'Số 1', 'Mỹ Đình Pearl']","
Kính chào quý khách.Tập đoàn SSG Group đã chính thức cho ra mắt tòa Pearl 2 dự án Mỹ Đình Pearl.Vị trí: Số 1 Châu Văn Liêm - đường Mễ Trì kéo dài - Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội.Nối tiếp từ sự thành công của tòa Pearl 1 với số lượng căn hộ bán hết 100%, chúng tôi tiếp tục ra mắt tòa Pearl 2, tiếp tục cung cấp tới quý khách hàng những căn hộ cao cấp tiện nghi.Tòa Pearl 2, với nhiều thiết kế cải tiến, ra mắt một loại các căn hộ view công viên hồ 14ha trực tiếp nhất.Với quy mô 38 tầng, 02 tầng hầm và 02 tầng shophouse, căn hộ bắt đầu từ tầng 3 đến tầng 38.Diện tích căn hộ bao gồm:Căn 2 phòng ngủ: 72.6 m².Bàn giao: Full nội thất cao cấp gắn tường.Tiến độ xây dựng: Đã hoàn thiện.Thời gian bàn giao: Bàn giao ngay.Pháp lý dự án: Đã có sổ hồng.Giá bán từ: 48 triệu/m².Thông tin chi tiết vui lòng liên hệ:Phòng kinh doanh chủ đầu tư.Hotline: 0938 332 ***ĐC: Số 1 Châu Văn Liêm, Phú Đô, Nam Từ Liêm, Hà Nội.Website: https://mydinhpearl.com.vn/            ",72.6 m²,48 triệu/m²,2 phòng,2 phòng,,"Sàn đá, sàn gỗ, trần thạch cao, thiết bị vệ sinh cao cấp, bình nóng lạnh, đầu chờ điều hòa, tủ bếp, thiết bị bếp...",26/11/2022,03/12/2022,Tin thường,35452777,batdongsan_com_vn_35452777,,,Đông - Bắc,,Tây - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng']","
Gia đình chính chủ cần tiền, nên cần bán nhà gần kv Vĩnh Hưng, Lĩnh Nam, Thuý Lĩnh, Nam Dư.Cách đường ô tô tránh nhau 50m.Nhà sổ đỏ chính chủ riêng biệt, sổ rất vuông đẹp nở hậu, vay được ngân hàng ngay trong ngày.Diện tích: 53m².Số tầng: 03 tầng, khung cột chắc chắn để chờ xây thêm đc 2 tầng thoải mái.Số phòng ngủ: 02 phòng, thoáng mát, không khí lưu thông ngủ dậy rất thoải mái khỏe người. Có thể xây thêm lên tầng đc thêm 3 phòng ngủ nữa.Wc: 02 ở các tầng.Khu bếp: Rộng rãi, hợp lý, thoáng khí, tiện nấu nướng hằng ngày các phòng riêng biệt.Hàng xóm: Thân thiện, Sống tình cảm.Môi trường xung quanh: Nhà gần chợ chỉ mất 1 phút đến chợ, trường học ở gần đưa đón con đi học đi làm chỉ 5 phút, sáng sớm chiều tối đi thể dục quanh khu rất thoải mái và an toàn.Đường vào nhà: Thông thoáng xe máy tránh nhau xe để trong sân nhà ko cần để trong nhà gây mùi và bẩn.Giá bán: 2.48tỷ (Có thương lượng cho người nhiệt tình thiện chí).Gọi ngay cho tôi: Vũ Văn Tôn 0903 287 *** để xem nhà.(Không làm việc qua trung gian, môi giới).P/S: Vì lý do bảo mật thông tin tránh làm phiền nên hình ảnh thường là thật hoặc có thể chỉ mang tính chất minh họa, ai có nhu cầu liên hệ xem trực tiếp xem nhà ngay trong ngày.            ",53 m²,2.48 tỷ,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,23/11/2022,30/11/2022,Tin thường,35925193,batdongsan_com_vn_35925193,5.9 m,2.5 m,,3 tầng,
