address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Đường vào,Hướng nhà
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
- Diện tích căn hộ: 68m².- Nội thất căn hộ đã hoàn thiện đầy đủ.- Pháp lý: Sổ hồng chính chủ.- Tích hợp đủ 3 yếu tố sang - xịn - mịn mang đến không gian sống hoàn hảo, tạo cảm giác thoải mái.- Giá bán: 1,89 tỷ.            ",68 m²,1.89 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,21/11/2022,28/11/2022,Tin thường,35379564,batdongsan_com_vn_35379564,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Nguyễn Ngọc Vũ']","
Nhà lô góc, gần đường ô tô, ngõ rộng, giao thông thuận tiện, khu tập trung nhiều khách thuê phòng. Nhà hiện đang cho thuê full phòng, dòng tiền ổn định.Thiết kế 6 tầng: Tổng cộng 10 phòng khép kín, đầy đủ nội thất.Sổ đỏ cất két.Liên hệ Tùng.            ",69 m²,7.3 tỷ,10 phòng,,Sổ đỏ,Đầy đủ nội thất.,23/11/2022,30/11/2022,Tin thường,35926301,batdongsan_com_vn_35926301,8 m,6 tầng,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Láng']","
- Vị trí siêu đẹp, 3 bước ra mặt phố, 5p ra Ngã Tư Sở, gần trường học các cấp Tiểu học Thái Thịnh, cấp 3 Quang Trung, ĐH Công Đoàn, Thuỷ Lợi...- Nhà lô góc, 3 mặt thoáng, ánh sáng ngập tràn, yên tĩnh ở vô cùng sướng, hàng xóm thân thiện.- Sổ đỏ chính chủ nở hậu.Không tiếp trung gian.            ",49 m²,4.95 tỷ,,,,,25/11/2022,02/12/2022,Tin thường,35598117,batdongsan_com_vn_35598117,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Phố Nguyễn Thanh Bình', 'Dự án The Terra An Hưng']","
Siêu phẩm mặt phố Tố Hữu - vỉa hè mặt tiền rộng - kinh doanh tấp nập.Mặt phố Tố Hữu - vị trí kinh doanh đỉnh cao - tổ hợp đô thị sinh thái đẳng cấp - thành phố thu nhỏ - an sinh tuyệt vời.- Thiết kế: 7 tầng 1 tum thang máy.+ Tầng 1: Với diện tích mặt bằng rộng để làm cửa hàng kinh doanh hoặc cho thuê.+ Tầng lửng: Phòng khách.+ Tầng 2, 3, 4, 5: Sàn thông.+ Tầng 6: 2PN + WC.+ Tầng 7: 1 PN bếp wc.+ Tầng 8: Sân + Phòng xông hơi WC.+ Tầng mái, tầng tum: Sân trồng cây.- The Terra An Hưng là dự án chung cư cao cấp tốt nhất Hà Nội sản phẩm của Chủ đầu tư uy tín Văn Phú Invest.- Nhà nằm tại mặt phố Tố Hữu Khả năng cho thuê cao và kinh doanh bền vững.- Bao quanh dự án The Terra An Hưng là các khu đô thị mới như: Khu đô thị Dương Nội, khu đô thị Geleximco, Khu đô thị Mỗ Lao, khu đô Trung Văn, khu đô thị Phùng Khoang và khu nhà ở Đài phát thanh phát sóng Mễ Trì...- Gần siêu thị Aeon Hà Đông, công viên thiên văn học, trường quốc tế Nhật Bản, chuyên cấp 3 Trần Hưng Đạo, đại học Thành Tây,...- Giao thông thuận tiện nằm trên con đường Nguyễn Thanh Bình, Tố Hữu, nối tiếp Lê Trọng Tấn, Lê Văn Lương và những tuyến đường lớn huyết mạch.- Vị trí phù hợp kinh doanh Cafe, VP, a siêu thị.+ Sổ đỏ đẹp đã hoàn công.Giá: 27.8 tỷ.            ",100 m²,27.8 tỷ,3 phòng,,Sổ đỏ,,25/11/2022,05/12/2022,Tin thường,35946237,batdongsan_com_vn_35946237,,8 tầng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
- Nhà thiết kế 3 tầng cũ giá như mua đất, tổng 6p ngủ, khách mua về sửa lại ở hoặc thiết kế ccmn thêm tầng thêm phòng cho thuê thì dòng tiền siêu đỉnh, khu vực nhu cầu cho thuê cực cao lúc nào cũng full kín phòng.- Vị trí đẹp, cách mặt phố 20m, gần trường cấp 2 Nguyễn Trãi, chợ Khương Trung, 5p ra Ngã Tư Sở.- Sổ đẹp chính chủ, giao dịch ngay.            ",53 m²,5 tỷ,6 phòng,,Sổ đỏ/ Sổ hồng,,25/11/2022,02/12/2022,Tin thường,35412348,batdongsan_com_vn_35412348,,3 tầng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi']","
Chính chủ cần bán nhà Nguyễn Trãi, 3.7 tỷ, DT 33m².- Trung tâm quận Thanh Xuân, xe Matiz đỗ cửa, cách phố 20 bước đi bộ, sang đường là tới TTTM Royal city với đầy đủ tiện ích siêu thị, bể bơi, phòng tập gym, yoga. Sát vách sân bóng cơ khí.- Nhà 4 tầng 5p ngủ, 3wc, sân phơi, đầy đủ công năng. Trước nhà có sân chơi trẻ em và tập thể dục cho người già.- Hàng xóm cực kì thân thiện, tốt bụng, bán anh em xa mua láng giềng gần.- Sổ đỏ hoa hậu, chính chủ, sang tên luôn.Liên hệ để xem nhà miễn phí, gọi trước 60p.Không tiếp MG, TG, QC.            ",33 m²,3.7 tỷ,5 phòng,,Sổ đỏ chính chủ.,,25/11/2022,02/12/2022,Tin thường,34944920,batdongsan_com_vn_34944920,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hào Nam']","
--Vị trí đẹp, ngõ xe ba gác thông, thông sang Vũ Thạnh và Đê La Thành, 200m ra hồ Hoàng Cầu, giao thông thuận tiện, trường chợ có đủ cả.- Thiết kế hiện đại, tặng full nội thất, 4 tầng, 4 phòng ngủ, giếng trời sân phơi đẳng cấp, góc cf cuối tuần cực chill. Sân để xe riêng.- Sổ đẹp hơn hoa hậu, sang tên phút mốt.Không tiếp TG            ",45 m²,4.95 tỷ,,,Sổ đỏ/ Sổ hồng,,25/11/2022,02/12/2022,Tin thường,35465383,batdongsan_com_vn_35465383,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Buồm', 'Đường Đào Duy Từ']","
Bán nhà mặt phố Đào Duy Từ, vỉa hè phố đi bộ, kinh doanh đa loại hình: 65m² x 3 tầng MT 5.5m, 58 tỷ.+ Mặt phố Đào Duy Từ, phố cổ, phường Hàng Buồm - Quận Hoàn Kiếm hiện là một trong những con phố đi bộ, con phố cổ kính của thủ đô, nơi buôn bán tấp nập ngày đêm.+ Phố Đào Duy Từ dài 290m, bắt đầu từ Ô Quan Chưởng, nối dài sang Phố Mã Mây. Thông các phố Thanh Hà, Nguyễn Siêu, Chợ Gạo, Hàng Buồm, Mã Mây đến Lương Ngọc Quyến.+ Vị trí nhà Cực đẹp: Không gian thoáng, sáng, vỉa hè rộng, kinh doanh tấp nập ngày đêm. Đặc biệt dịp cuối tuần: Du khách trong và ngoài nước đi bộ mua sắm và hưởng thụ các Dịch vụ Phố Cổ. Căn nhà có ban công Tầng 2 cực thoáng, đậm phong cách Phố Cổ.+ Diện tích 65m², Mặt tiền lớn 5.5m, Vỉa hè rộng.+ Sổ đỏ chính chủ, hình thửa đẹp, sẵn sàng giao dịch.+ Giá: 58 tỷ - có thương lượng.Hãy liên hệ với tôi 24/7: Nguyễn Đức.Miễn trung gian môi giới.Xin trân trọng cảm ơn.            ",65 m²,58 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,04/11/2022,04/12/2022,Tin thường,35310995,batdongsan_com_vn_35310995,5.5 m,3 tầng,20 m,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
Bán đất phố Lạc Long Quân, Quận Tây Hồ, 140m² - PH Tòa 8T 1 hầm mặt tiền 8.5m: 28 tỷ.Mô tả:+ Vị trí: Siêu đẹp, Ô tô, Kinh doanh tòa Văn phòng, Căn hộ dịch vụ, ngắm hồ tây, Quy hoạch ổn định.+ Thửa đất vuông vắn, mặt tiền 8.5m.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá 28 tỷ.Hãy liên hệ với Tôi 24/7: Nguyễn Đức.Miễn trung gian Môi giới.Xin Trân trọng Cảm ơn.            ",140 m²,28 tỷ,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Full,04/11/2022,04/12/2022,Tin thường,35489663,batdongsan_com_vn_35489663,8.5 m,8 tầng,10 m,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Ngõ Hoà Bình 7']","
Ngõ Hoà Bình 7 - Minh Khai: 50m² x 4,5m mặt tiền. Chính chủ chào bán 5,5 tỷ.LH Mr Chiến: 0904 684 *** ace nhé.Nhà bán cách ngõ ô tô tránh đúng 20m, một bước ra phố Minh Khai, sát chợ Mơ, bệnh viện, trường học các cấp nằm cách nhà không quá 2km.Nhà xây được vài năm, thiết kế 4 tầng kiên cố:- Tầng 1: Sân để xe rộng, khách, bếp, WC.- Tầng 2,3: Mỗi tầng 2 ngủ + 1WC giữa.- Tầng 4: Phòng thờ, sân phơi.Sổ đỏ sẵn sàng giao dịch.            ",50 m²,5.5 tỷ,4 phòng,4 phòng,Sổ đỏ,Phun đồ,26/11/2022,04/12/2022,Tin thường,35250756,batdongsan_com_vn_35250756,4.5 m,4 tầng,3 m,
