address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Đường vào
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy']","
+ Vị trí nhà đẹp,lô góc 3 thoáng, Ngõ vào nhà ba gác đua xe máy, khu vực sầm uất+ Tiện ích ngập tràn, khu vực dân trí văn minh lịch sự, ngõ thông tứ tung, tương lai quy hoạch ra mặt đường lớn+ Nhà dân xây khung cột chắc chắn, khách về sơn sửa quà là ở sướngThiết kế:+ Tầng 1: để xe, phòng khách,phòng ngủ +wc+ Tầng 2: Phòng ngủ với ban công rộng + wc+ Tầng 3: Phòng ngủ + wc khép kín.+ Tầng 4: Phòng thờ, sân phơi, phòng bếp +wcSổ đỏ pháp lý chuẩn, sẵn sàng giao dịchXem nhà liên hệ Mr Dũng 0397 092 *** ",51 m²,4.15 tỷ,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,26/11/2022,03/12/2022,Tin thường,35961556,batdongsan_com_vn_35961556,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Kim Sơn', 'Đường Quốc Lộ 17']","
Cần bán nhanh lô CL4 khu tái định cư Kim Sơn, Kim Sơn, Gia Lâm.- Diện tích: 80m².- Mặt tiền: 4.32m, hướng Đông Nam thoáng mát.- Đường trước đất rộng 11.5m, chia lô bàn cơ nên cực thông thoáng.* Giá bán: 52 tr/m² rẻ hơn so với thị trường.- Vị trí: Khu đất tọa lạc tại Phố Keo, mặt đường quốc lộ 17 Gia lâm - Bắc Ninh dân cư đông đúc, kinh doanh sầm uất nhất khu vực.- Năm 2022 huyện Gia Lâm tiếp tục đầu tư cải tạo, mở rộng các tuyến đường các xã Phú Thị; Kim Sơn; Lệ Chi + huyện giáp ranh Thuận Thành (Bắc Ninh) lên Thị Xã; mở bán dự án khu đô thị Phú Mỹ Hưng... Là đòn bẩy tác động lớn nhất đến BĐS.* Hotline: 0936 358 *** - 0936 152 777 (Mr. Tinh).            ",80 m²,52 triệu/m²,,,,,,25/11/2022,02/12/2022,Tin thường,34250337,batdongsan_com_vn_34250337,4.32 m,Đông - Nam,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại lộ Chu Văn An', 'Dự án Bea Sky']","
Chính chủ cần bán căn góc tháp A số 06 diện tích: 79.2m², 3 hướng thoáng tầng 22 toà nhà Bea Sky địa chỉ tại số 1 đại lộ Chu Văn An, quận Hoàng Mai, Hà Nội.Có sẵn lot để xe oto.Có bể bơi, khu tập gym, khu vui chơi trẻ em trong tòa.Ban công và cửa sổ hướng Đông Nam. Căn có vị trí đẹp và mát nhất toà.Toà nhà đối diện Toà Án nhân dân và viện kiểm sát TP HN. Gần công viên Chu Văn An. Thuận tiện đi lại mọi đường.Nhà đã được sửa lại rất đẹp và hợp lý.Sổ Hồng chính chủ.Giá thương lượng.Liên hệ: 0988 698 *** ",79.2 m²,Thỏa thuận,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,23/11/2022,30/11/2022,Tin thường,35411387,batdongsan_com_vn_35411387,,Đông - Nam,Đông,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án Bea Sky']","
Chính chủ bán căn hộ Bea Sky diện tích 69,1m², ban công đông nam.- Diện tích: 69,1m².- Căn hộ có 2 mặt thoáng gió và ánh sáng tự nhiên.- Cửa vào Đông Bắc ban công Tây Nam. Có hai logia.- Thiết kế 2 phòng ngủ, hai phòng vệ sinh.- Trang thiết bị nội thất: Full nội thất như trong ảnh. Chỉ việc xách vali đến ở.- Sổ đỏ chính chủ. Tầng đẹp.Giá: Bán nhanh thương lượng.Liên hệ ngay để được gọi lại miễn phí.Tell: 0984 202 *** - Mr Thế Anh (call, zalo, viber 24/7).Email: theanhbds86@gmail.com ",69.1 m²,Thỏa thuận,,2 phòng,2 phòng,Sổ đỏ.,Đầy đủ nội thất.,23/11/2022,03/12/2022,Tin thường,35652987,batdongsan_com_vn_35652987,,Đông - Bắc,Tây - Nam,
"['Hà Nội', 'Hai Bà Trưng', 'Minh Khai', 'Sunshine Garden']","
* Tuy giá chỉ 2tỷ bao phí nhưng:- Chất lượng nhà - chất lượng dự án tốt thuộc dòng cao cấp của BĐS chung cư.- Nhà đẹp - giá đẹp nhất - rẻ nhất khu vực Minh Khai.- Căn hộ còn nguyên bản chủ đầu tư, thiết kế 2 ban công thoáng mát.- Liên hệ em Tuấn Anh ngay để có toàn bộ căn 1n trong tay.- Sale nhiệt tình - có tâm với khách hàng.- Sale chất - bán nhà chất - giá rẻ.Liên hệ em 0964 997 *** ",46 m²,2 tỷ,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35016250,batdongsan_com_vn_35016250,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Liễu Giai']","
BÁN TOÀ LIỄU GIAI BA ĐÌNH 100 M x 9 T x MT 5.5 M x GIÁ NHỈNH 30 TỶ. DÒNG TIỀN 210 Tr/1T. VỊ TRÍ SIÊU ĐẸP. LH : 0386 979 ***+ Vị Trí : Vị trí vô cùng đắc địa, cách phố 10m , ngõ ô tô tránh, đường thông tứ tung, thông ra Vạn Phúc, Quần Ngựa, Nguyễn Đình Thì, Trích Sài, Đội Cấn Khu vục đỉnh nhất phố, tập chung nhiều nhà nước ngoài sinh sống.+ Nhà mới thiết kế 9 tầng đẹp lòng lanh, dòng tiền 210 tr1/t, đầy đủ GP PCCC VÀ GPXD .+ Sổ đỏ vuông vắn , pháp lý sạch sẵn sàng giao dịch.+ Giá chào 38 tỷ, thương lượng trực tiếp với chủ.+  LH : C Thanh Thoát Mặt Phố 0364 521 ***/ 0386 979 *** - Hỗ Trợ mọi thủ tục 24/24 , miễn phí 100% ( Miễn Trung Gian ).            ",100 m²,38 tỷ,9 tầng,21 phòng,21 phòng,,,26/11/2022,03/12/2022,Tin thường,35961550,batdongsan_com_vn_35961550,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé', 'Dự án Sunshine Garden']","
Em là cư dân Sunshine Garden căn hộ G1 - 1104 và cũng là sale làm ở Sunshine Garden từ thời đầu chủ đầu tư.- Nhà cô em đang có nhu cầu chuyển nhượng để xuống biệt thự.- Giá cả thương lượng gặp trực tiếp chủ nhà.- Giá cả không chênh, không hét giá.- Vì chủ nhà thiện chí bán nên để giá tốt nhất thị trường ạ.- Mọi thông tin về căn hộ vui lòng liên hệ em Tuấn Anh 0964 997 ***- Xem nhà 24/7.Cao Tuấn Anh - Sunshine Garden Minh Khai - 0964 997 *** ",140 m²,5.5 tỷ,,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35153455,batdongsan_com_vn_35153455,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Dự án Mỹ Đình Pearl']","
Chủ đầu tư Mỹ Đình Pearl cập nhật quỹ căn hộ bán chuyển nhượng tại Mỹ Đình Pearl giai đoạn 1.- Căn hộ 1 ngủ 50m² giá chỉ 2.3 tỷ đồng, bao gồm đầy đủ tiền thuế phí sang tên người mua mới.Căn hộ được cho thuê ổn định giá 12 - 14 triệu/m².Liên hệ xem nhà 0938 332 *** ",50 m²,2.3 tỷ,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35183405,batdongsan_com_vn_35183405,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án Kim Văn Kim Lũ']","
Bán căn hộ tòa D Vinaconex 2 để chuyển lên căn rộng hơn cùng tòa, do giá đình mới có thêm thành viên nên cần 1 không gian rộng hơn cho các bé sinh hoạt được thoải mái. Căn hộ này gia đình mình ở rất giữ gìn hầu như nội thất trong nhà vẫn còn dùng tốt, khách mua về chỉ việc mang đồ cá nhân đến ở. Thông tin căn hộ như sau:Diện tích: 48m². Pháp lý: Sổ đỏ chính chủ.Thiết kế: 1 ngủ, 1 wc, phòng khách bếp.Hướng: Cửa Tây Nam, ban công Đông Bắc, view thoáng mát, rất đẹp.Nội thất: Sàn gỗ, trần thạch cao, tủ bếp, điều hòa, tivi, tủ lạnh.. Để lại toàn bộ.Giá 1,8 tỷ (có thương lượng cho khách thiện chí).Liên hệ xem nhà trực tiếp Diệu Hương 0867 838 *** ",48 m²,1.8 tỷ,,1 phòng,1 phòng,Sổ đỏ.,Đầy đủ,26/11/2022,03/12/2022,Tin thường,35960616,batdongsan_com_vn_35960616,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án Kim Văn Kim Lũ']","
Mình được chính chủ nhà nhờ bán CH Kim Văn Kim Lũ, mặt đường Vành Đai 3, cạnh ĐH Thăng Long.DT 74m², thiết kế 3 ngủ, 2WC.Tặng khách nội thất cơ bản.Giá bán: 1.83 tỷ, SĐCC.LH xem nhà: 0907 005 *** gặp My.Miễn TG, MG.            ",74 m²,1.83 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,25/11/2022,02/12/2022,Tin thường,35714117,batdongsan_com_vn_35714117,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa']","
⚡️⚡️SIÊU PHẨM TOÀ NHÀ VĂN PHÒNG - MỚI TINH - 2 THANG MÁY - VỊ TRÍ MẶT PHỐ - Phố Quan Hoa.Dt 191m² x 9t mt 10m chị 98 tỷ ✅ Nhà xây mô hình văn phòng thông sàn: 1 hầm, 8 nổi, 2 tháng máy tốc độ cao, điều hòa âm trần, mặt tiền siêu đẹp.✅ Nhà 2 thoáng, 1 mặt phố, 1 mặt ngõ ba gác sau nhà. ✅ Vị trí mặt phố, view mặt  sông Tô Lịch tọa lạc ngay ngã tư đường phố Quý khách quan tâm : liên hệ a kiên đt 0915 843 *** ",191 m²,98 tỷ,9 tầng,,,Sổ đỏ riêng chính chủ,,26/11/2022,06/12/2022,Tin thường,35956610,batdongsan_com_vn_35956610,10 m,,,15 m
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Chùa Láng']","
Nhà đẹp đón Tết phố Chùa Láng Q.Đống Đa DT 40m² x 5 Tầng mt 4m - Giá 4.85 Tỷ   Nhà cực đẹp - gần phố ngõ thông thoáng - bàn giao full nội thất   Tầng 1: Phòng khách - Bếp - Để xe riêng.   Tầng 2: Gồm 2  Phòng ngủ WC khép kín   Tầng 3: 1 Phòng ngủ master   Tầng 4: Phòng thờ, sân phơi.   Tầng 5: Tum chống nóng.  Sổ đỏ đẹp, cất két sẵn sàng giao dịch. Quan tâm liên hệ Mr Long  : 0978 419 *** để xem & mua nhà.            ",40 m²,4.85 tỷ,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,26/11/2022,06/12/2022,Tin thường,35960669,batdongsan_com_vn_35960669,4 m,Đông - Nam,,4 m
"['Hà Nội', 'Quận Cầu Giấy', 'Dự án Central Field Trung Kính']","
Diện tích: 70m², 2 phòng ngủ, 2vs, 2 ban công, nhà căn góc, chủ nhà mới sửa lại nhà mới tinh chưa vào ở, nội thất gần như đầy đủ, khách mua về dọn đồ vào ở ngay. Chủ nhà cực thiện chí bán Sổ đỏ chính chủ, sang tên ngay GIá: 3.1 tỷ ( có thương lượng sâu cho khách thiện chí mua ) Liên hệ xem nhà 24/24. Mr Hiệp. 0355 106 *** ( zalo - có ảnh )            ",70 m²,3.1 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,26/11/2022,03/12/2022,Tin thường,35960092,batdongsan_com_vn_35960092,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Kim Giang']","
Bán nhà đẹp ở ngay, 2 thoáng Kim Giang - Thanh Xuân 38m² x 4 tầng - giá 3.6 tỷ.- Vị trí trung tâm Thanh Xuân thông ra Khương Đình, Hoàng Đạo Thành, Nguyễn Trãi... Giao thông rất tiện. Gần trường, chợ, bệnh viên... An sinh rất tốt.Tầng 2 đua ra thành 40m² thiết kế tầng 2 phòng đẹp.- Nhà nằm ở vị trí đẹp, ngõ rộng, thoáng sạch sẽ. Đường trước nhà ba gác đỗ cửa thoải mái, nhà không bị đối cửa với nhà khác tiện sinh hoạt, để xe.- Nhà xây khung cột rất chắc chắn, thiết kế hợp lý, có chỗ để xe riêng. Với 2 mặt thoáng trước, sau nên phòng nào cũng có cửa sổ.- Tầng 1: Sân để xe, khách, bếp.- Tầng 2,3: Mỗi tầng 2 phòng ngủ, wc.- Tầng 4: Phòng thờ, sân phơi.- Sổ đỏ vuông đẹp, nở hậu.            ",38 m²,3.6 tỷ,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,01/12/2022,Tin thường,35860035,batdongsan_com_vn_35860035,4 m,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Ngõ 179']","
Cần bán nhà Triều Khúc - Thanh Xuân nhà đẹp ở ngay - tặng lại nội thất - 50 m² x 5T nhỉnh 3 tỷ.- 50 m² x 5 tầng - mặt tiền 3.8m - Giá 3.3 tỷ.+ Nhà nằm gần hồ điều hòa, ngõ 179 Triều Khúc, thông tứ tung ra ngõ 111 Triều Khúc, Ngõ 80 Tân Triều, 286 Nguyễn Xiển... Giao thông thuận tiện.- Trước nhà thoáng sáng, ngõ xe ba gác tránh, dân trí cao, an ninh tốt.- Nhà xây được vài năm còn rất đẹp đầy đủ nội thất, chủ mới chỉ việc sách vali về ở.- Chủ rất thiện trí bán, giá cả thương lượng.+ Nhà thiết kế hiện đại, nội thất đẹp, chủ tặng lại nội thất cho khách thiện chí.Tầng 1: Khách + bếp.Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ khép kín.Tầng 5: Phòng thờ + sân phơi.- Sổ đỏ vuông đẹp, gửi nhân hàng, khách cọc chủ tự rút sổ.            ",50 m²,3.3 tỷ,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,24/11/2022,01/12/2022,Tin thường,33909052,batdongsan_com_vn_33909052,3.8 m,,,2.5 m
