address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Đường vào,Nội thất,Mặt tiền,Số tầng
"['Hà Nội', 'Nam Từ Liêm', 'Roman Plaza']","
Vợ chồng e cần bán cực gấp căn hộ chung cư 3 phòng ngủ tòa nhà Roman Plaza mặt đường Tố Hữu Diện tích nhà rộng 100m² .Thiết kế 3 ngủ 2vs Ban công hướng Đông Nam Nhà full nội thất đẹp Gia đình cần bán gấp nên rất mong gặp được khách thiện trí Lh 0988 246 *** để xem nhà ngay            ",100 m²,3.58 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35960234,batdongsan_com_vn_35960234,,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê']","
Chính chủ cần bán nhanh căn cc the pride hải phát Bc Đông Bắc Cửa Tây Nam Sổ đỏ chính chủ sang tên trong ngày Dt 73m² 2pn 2vs full nt chỉ việc ở Giá 2 tỷ bao hết thuế phí  có thương lượng Chỉ việc xách va ly vào là ởCó gia lộc cho khách về ở cho may mắnLh xem nhà 0965 850 *** ",73 m²,1.96 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35960177,batdongsan_com_vn_35960177,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Dự án Eurowindow Twin Parks']","
Hiện tại tôi đang có một số suất ngoại giao DA Eurowindow Twin Parks vị trí đẹp giá tốt cần bán.- Lô 75m² đường 17m hướng TB.- Lô 75m² đường 13.5m view công viên hướng ĐN.- Lô 82m² đường 17m hướng TN.- Lô góc 95,5m view bể bơi - Lô biệt thự view vườn hoa hướng TN DT 192m².Cam kết giá tốt nhất thị trường.Khách hàng quan tâm vui lòng liên hệ 0962 712 *** ",75 m²,Thỏa thuận,26/11/2022,03/12/2022,Tin Vip 3,32131772,batdongsan_com_vn_32131772,Tây - Bắc,,,,,17 m,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Lạc Long Quân']","
Cần Bán Gấp Nhà Mới Đẹp Lạc Long Quân Thang Máy ô tô Tránh Kinh Doanh Đỉnh 63m  7T  12.8 tỷ -Nhà xây 7 tầng đẹp lung linh , đẹp từ trên xuống dưới từ trong ra ngoài , chủ nhà xây bằng cả tâm huyết, thiết kế hiện đại sang trọng -Tầng 1: Gaga ôtô + Bếp  Phòng ăn + WC + hoặc kinh doanh -Tầng 2: Phòng khách sang trọng + WC-Tầng 3,4,5: mỗi tầng 1 phòng ngủ  cực rộng + WC-Tầng 6: phòng thờ + phòng thưởng trà + WC + sân phơi-Tầng 7 sân trồng cây cảnhNằm trên mặt ngõ ô tô tránh thông tứ tung sang ngõ 127 - 175 Lạc Long Quân, 100 Võ Chí Công.-Ngõ rộng thông thoáng, cực kỳ an ninh, dân trí thì khỏi phải chê, bậc nhất nhì phố Lạc Long Quân. Vừa ở kết hợp kinh doanh Spa, Thẩm mỹ viện, Hiệu thuốc, Văn phòng, Siêu thị mini .... Cực tiện lợi-Giao thông thuận tiện sang  tuyến phố Võ Chí Công đi sân bay về các tỉnh thành , qua Hồ Tây và dễ dàng sang các tuyến phố khác.-Sổ đỏ chính chủ đẹp như gái đôi mươi, chủ nhà cần tiền gấp mót bán giá thương lượng sâuLiên Hệ : 0858 929 *** ",63 m²,12.8 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35959805,batdongsan_com_vn_35959805,,,,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương', 'Dự án Packexim 2 Tây Hồ']","
Cần bán căn hộ chung cư Packexim 2.- Diện tích 65m² gồm 2 phòng ngủ, 2 WC, 1 khách, 1 bếp. Nội thất cao cấp, sàn gỗ trần thạch cao, bếp, tủ bếp, điều hòa, nóng lạnh, vệ sinh ToTo, hệ thống cửa chống cháy, có 3 thang máy, 2 thang bộ, an ninh tốt dân trí cao, hành lang sạch sẽ quét dọn thường xuyên.- Vị trí đẹp giao thông thuận tiện, cách Hồ Tây 500m, sông Hồng 300m không gian thoáng mát, kết nối nhiều đô thị đẳng cấp nhất Hà Nội như KĐT Ciputra, KĐT Tây Hồ Tây, trung tâm thương mại Lotte lớn nhất Việt Nam khu vui chơi thủy cung khách sạn 5 sao, là cửa ngõ quốc tế cách sân bay Nội Bài chỉ 10p, gia đình cần chuyển đổi sang diện tích rộng nên mới bán, sổ đỏ chính chủ giao dịch ngay.Quý khách hàng quan tâm liên hệ em Hà 0983 929 ***miễn trung gian) cảm ơn đã đọc tin.            ",65 m²,2.05 tỷ,23/11/2022,03/12/2022,Tin Vip 3,35933510,batdongsan_com_vn_35933510,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,"Nội thất cao cấp, sàn gỗ trần thạch cao, bếp, tủ bếp, điều hòa, nóng lạnh, vệ sinh ToTo, hệ thống cửa chống cháy.",,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương', 'Dự án Packexim 2 Tây Hồ']","
Cần bán căn hộ chung cư Packexim - Diện tích 100m², gồm 3 phòng ngủ, 2 WC, 1 khách, 1 bếp. Nội thất cao cấp, sàn gỗ trần thạch cao, bếp, tủ bếp, điều hòa, nóng lạnh, vệ sinh ToTo, hệ thống cửa chống cháy, có 3 thang máy, 2 thang bộ, an ninh tốt dân trí cao, hành lang sạch sẽ quét dọn thường xuyên.- Vị trí đẹp giao thông thuận tiện, cách Hồ Tây 500m, sông Hồng 300m không gian thoáng mát, kết nối nhiều đô thị đẳng cấp nhất Hà Nội như KĐT Ciputra, KĐT Tây Hồ Tây, trung tâm thương mại Lotte lớn nhất Việt Nam khu vui chơi thủy cung khách sạn 5 sao, là cửa ngõ quốc tế cách sân bay Nội Bài chỉ 10p, gia đình cần chuyển đổi sang diện tích rộng nên mới bán, sổ đỏ chính chủ giao dịch ngay.Quý khách hàng quan tâm liên hệ em Hà.            ",100 m²,2.95 tỷ,25/11/2022,05/12/2022,Tin Vip 3,35949597,batdongsan_com_vn_35949597,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Bán Toà nhà phố Xã Đàn, Đống Đa, 340m², xây 12 tầng, lô góc, doanh thu 6 tỷ/năm, hơn 90 tỷ.+ Chính chủ tin tưởng nhờ bán toà nhà phố Xã Đàn, quận Đống Đa, vị trí gần ngã 6 Ô Chợ Dừa. + Toà nhà có vị trí đắc địa, lô góc 3 mặt thoáng, mặt tiền 13.5m, vuông đẹp, chủ nhà thiết kế 12 tầng thông sàn làm văn phòng, với 2 thang máy, thang bộ, hệ thống phòng cháy chữa cháy, thang thoát hiểm đầy đủ.+ Chủ đã vận hành được 5 năm, doanh thu bình quân khoảng 5-5.5 tỷ/ năm kể cả mùa Covid vẫn không ảnh hưởng đến giá thuê.+ Chủ nhà nhiều tuổi muốn bán đi để chia tài sản cho con.+ Chủ xây dựng rất tâm huyết mục đích là có nguồn thu lâu dài nhưng bây giờ bán đi để chia tài sản.+ Sổ đỏ vuông đẹp, lô góc, pháp lý chuẩn, đất thổ cư lâu dài, sẵn sàng giao dịch.---- Quý khách có nhu cầu sở hữu Toà Nhà này xin liên hệ Nguyễn Duy để được hỗ trợ tốt nhất.            ",340 m²,95 tỷ,26/11/2022,06/12/2022,Tin Vip 3,35959547,batdongsan_com_vn_35959547,,,12 phòng,24 phòng,Sổ đỏ/ Sổ hồng,20 m,Cao cấp,14 m,12 tầng
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Tôi chính chủ đăng tin ko phải môi giới mng cần cứ alo trực tiếp nhé.Nhà tôi có kd bãi gửi xe ô tô ở gần nhà này nên khách mua được tôi tặng free 1 năm phí gửi xe ở bãi.Chiều cao 4 tầng, dt đất 75m², mặt tiền 5m, có 2 mặt thoáng trước sau, cạnh căn góc, đằng sau là sân thể thao cây xanh rất mát mẻ trong lành.- Nhà tôi chuyển về biệt thự Dương Nội cần bán căn liền kề 2 mặt thoáng, dãy 2 của đường đôi Xala, sau lưng ngân hàng Techcombank.- Nhà tôi xây 4 tầng để ở nên rất cầu kỳ chắc chắn, hiện tại đang cho 1 văn phòng thuê làm việc với giá 15 triệu/ tháng.- Nhà cạnh căn góc nên đi lại thuận tiện, cách Vinmart có 50m đi bộ, ngay gần đường to, ngã tư, đường kđt rộng rãi ô tô đỗ cửa.- Sổ đỏ đã làm xong tài sản gắn liền trên đất, chuyển nhượng đơn giản.Call: 0947 091 *** Tú.            ",75 m²,12.5 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35878468,batdongsan_com_vn_35878468,Nam,Nam,4 phòng,3 phòng,Sổ đỏ,11 m,,5 m,4 tầng
"['Hà Nội', 'Quận Ba Đình', 'Dự án Vinhomes Metropolis - Liễu Giai']","
LOẠI 01 PHÒNG NGỦ 0919 861 ***M1 tầng 22 - ĐN      55m²       giá 4.3 tỷ full đồM1 tầng 25 - TB       55m²       giá 4.3 tỷM1 tầng 10 - ĐN       55m²       giá 4.3 tỷM1 tầng 40 - ĐN       55m²       giá 4.25 tỷM2 tầng 37 - ĐB       57m²       giá 4.2 tỷ view check HồM2 tầng 17 - ĐB       49m²       giá 4.2 tỷ view Hồ TâyM2 tầng 43 - ĐB        49m²       giá 4.4 tỷ view Hồ TâyM3 tầng 39 - TB        55m²       giá 4.25 tỷM3 tầng 30 - ĐN        55m²       giá 4.65 tỷ view hai hồLOẠI 02 PHÒNG NGỦ 0919 861 ***M1 tầng 10 - TB    79m²       giá 6.3 tỷM1 tầng 05 - TB    79m²       giá 6.5 tỷM1 tầng 14 - ĐN    80m²       giá 6.9 tỷM1 tầng 22 - TB    80m²       giá 7 tỷ full đồM2 tầng 06 - ĐB    79m²       giá 7.1 tỷ full đồM2 tầng 12 - TN    76m²       giá 7.0  tỷ view Kim Mã full đồM2 tầng 32 - TN    80m²       giá 7.3 tỷ view Kim MãM2 tầng 43 - ĐB    80m²       giá 7.1 tỷ view Hồ Tây( cho Vinhomes thuê full đồ 40 triệu tháng)M2 tầng 43  -TN    79m²       giá 7.3 tỷ view HồM2 tầng 20 -  ĐB   73m²       giá 7.4 tỷ view Hồ TâyM3 tầng 15 - TB    79m²       giá 7.2 tỷM3 tầng 19 - TB    80m²       giá 7.2 tỷ M3 tầng 35 - TB    80m²       giá 7.2 tỷ full đồNgoài ra còn có các tầng khác; Khách hàng cần chi tiết liên hệ ạ:Hotline: 0919 861 ***LOẠI 03 PHÒNG NGỦ* Diện tích căn 3PN từ 100m²-110m²-115m²-120m²-130m²; Giá dao động từ 9tỷ --- 14 tỷ M1 tầng 12 -  ĐN   115m²       giá 8.3 tỷM1 tầng 18 - TN    110m²       giá 8.95 tỷM1 tầng 30 - ĐN    115m²       giá 8.6 tỷM1 tầng 35 - ĐN    115m²       giá 8.95 tỷM1 tầng 27 - ĐB    130m²       giá 11.8 tỷ M1 tầng 11 - ĐN    120m²       giá 10.1tỷM1 tầng 33 - ĐN    120m²       giá 10.2 tỷM2 tầng 08 - TN    120m²       giá 9.5 tỷM2 tầng 05 - TN    100m²       giá 7.0 tỷ (3pn full)M2 tầng 26 - ĐN    120m²       giá 10.6 tỷ cho Vin thuêM2 tầng 34 - ĐN    120m²       giá 10.2 tỷM2 tầng 29 - TN    100m²       giá 8.3 tỷ full đồM3 tầng 07 - ĐN    115m²       giá 8.2 tỷM3 tầng 20 - ĐN    115m²       giá 9.2 tỷ view hồ tâyM3 tầng 32 - ĐN    115m²       giá 9.2 tỷM3 tầng 11 - ĐN    115m²       giá 8.7 tỷ full đồ M3 tầng 11 - ĐB    130m²       giá 11.4 tỷLOẠI 04 PHÒNG NGỦ 0919 861 **** Diện tích 04 phòng ngủ: 143m² và 146m² Giá từ 14 tỷ--- 18 tỷM1 tầng 07 - ĐB    146m²       giá 14.0 tỷ View VườnM1 tầng 17 - ĐB    146m²       giá 15.8 tỷ View Hồ TâyM1 tầng 25 - ĐB    146m²       giá 15tỷ View Hồ TâyM1 tầng 31 - ĐB    146m²       giá 16.3 tỷ View Hồ Tây full đã sửa 2PNM1 tầng 35 - ĐB     146m²      giá 17.5 tỷ View Hồ Tây nguyên bảnM2 tầng 09 - ĐB    143m²       giá 14.5 tỷ View vườnM2 tầng 34 - ĐB    143m²       giá 14.0 tỷ View Hồ TâyM3 tầng 26 - ĐN    146m²      giá 17.2 tỷ View Hồ TâyM3 tầng 24 - ĐN    146m²      giá 16 tỷ View Hồ TâyM3 tầng 39 - ĐN    146m²      giá 18 tỷ View Hồ TâySkyvillas M3 có bể bơi giá 95 tỷCặp căn đập thông 200m² giá 23 tỷLH xem nhà và đàm phán giá trực tiếp với chủ nhà: 0919 861 *** ",150 m²,13 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35959545,batdongsan_com_vn_35959545,,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'đường Mỹ Đình']","
Chính chủ cần bán mảnh đất 40m² lô góc 2 mặt đường to vỉa hè rộng kinh doanh sầm uất và đa ngành nghề khu Mỹ Đình - Nam Từ Liêm.- Mảnh đất nằm sau bệnh viện đa khoa Hồng Ngọc lớn nhất quận nam từ liêm - mọi tiện ích đều nằm phía sau bệnh viện và mảnh đất lại trực diện cổng, kinh doanh các kiểu thu nhập khủng.- Đường 12m có vỉa hè trước mặt, bên hông rộng 8m vỉa hè. Đường thông thoáng, phù hợp xây nhà ở và kinh doanh, lô góc 2 mặt thoáng xây tầng 2 đua ra được 50 - 55m. Mở quán cà phê - tiệm thuốc...- Vị trí đẹp lại gần phố lê quang đạo, châu văn liêm. Sân bóng mỹ đình.. Rất đẹp và tiện.- Mảnh đất tiềm năng cho các nhà đầu tư và dân mua để kinh doanh... Sổ đỏ chính chủ.Giá 7,8 tỷ. Thuế phí bên nào bên ý chịu. Có gia lộc cho khách nhanh và thiện trí.Hotline: 0906 621 *** Quang Hùng.            ",40 m²,7.8 tỷ,26/11/2022,06/12/2022,Tin Vip 3,35954150,batdongsan_com_vn_35954150,,,,,,,,,
