address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số toilet,Nội thất,Pháp lý,Mặt tiền,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Mậu Lương']","
+ Bán nhà Kiến Hưng Hà Đông 52m² Kinh doanh ô tô vào nhà 5.1 tỷ+ Nhà dân xây vô cùng chắc chắn, sửa sang đẹp mới bán+ Tầng 1 tách riêng khu kinh doanh và để xe+ Thiết kế tầng 2 phòng rộng thênh thang+ Alo cho Mrs Thương để xem nhà nhé            ",52 m²,5.1 tỷ,3 tầng,3 phòng,26/11/2022,03/12/2022,Tin thường,35960755,batdongsan_com_vn_35960755,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Giải Phóng', '897', 'Geleximco Southern Star']","
Do không có nhu cầu sử dụng tôi muốn bán nhanh căn hộ 3PN tại dự án như sau:- Mã căn: 05, tầng 16, block A.- View hồ Linh Đàm.- Thiết kế vuông vắn, 3 phòng ngủ đều có ánh sáng tự nhiên.* Liên hệ chính chủ để biết thêm thông tin: 0976 809 *** ",92.8 m²,3.75 tỷ,,3 phòng,26/11/2022,03/12/2022,Tin thường,35790691,batdongsan_com_vn_35790691,Bắc,Nam,2 phòng,Bàn giao cơ bản.,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Tân Mai', 'Dự án Mandarin Garden 2']","
Tôi có 1 căn hộ 3PN tại chung cư Hòa Phát Madarin nhưng gia đình không có nhu cầu sử dụng đến cần bán nhanh để dồn vốn kinh doanh:- Căn hộ 05 block A, tầng 16.- Cửa chính Tây Bắc, ban công Đông Nam.- View đẹp thoáng mát.- Đã có sổ.- Thô nguyên bản.Liên hệ chính chủ: 0976 809 *** ",98.5 m²,4.61 tỷ,,3 phòng,26/11/2022,03/12/2022,Tin thường,35790700,batdongsan_com_vn_35790700,Tây - Bắc,Đông - Nam,2 phòng,Bàn giao thô.,HĐMB.,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn']","
- Tôi phải chuyển công tác vào Sài Gòn vì vậy tôi cần bán gấp căn nhà 4 tầng ở Lê Trọng Tấn - Hà Đông.- Dt 100m², mt 10m. Giá 17 tỷ.+ Tầng 1: Gara, phòng bếp, phòng khách, wc.+ Tầng 2, 3: Gồm 3 phòng ngủ + wc.+ Tầng 4: Phòng thờ, sân phơi.+ Vị trí tuyệt đẹp có 1 0 2 khu vực Hà Đông. Khu phân lô Lê Trọng Tấn, đối diện là trường Quốc Tế ParkCity, ngay gần ngã tư Lê Trọng Tấn, Quang Trung, gần chợ, gần trường học các cấp nên rất thuận tiện. Cách 1 nhà là ra mặt phố, rất thuận tiện cho việc kinh doanh, làm văn phòng công ty. Khu vực rất có tiềm năng phát triển.- LH: Xem nhà 0912 950 *** Em Duân.            ",100 m²,17 tỷ,4 tầng,6 phòng,26/11/2022,04/12/2022,Tin thường,34265394,batdongsan_com_vn_34265394,,,5 phòng,,,10 m,18 m
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', 'Dự án Feliz Homes']","
Do có mối quan hệ nên tôi có 1 căn ngoại giao treo tên trên HĐMB dự án Feliz Homes. Nhưng hiện nay tôi không có nhu cầu ở nên muốn bán lại cho ai đang có nhu cầu mua căn hộ tại dự án này:- Căn số 08, tầng 19, block B, tòa Zen Tower.- Cửa chính Tây, ban công Đông.- View đẹp, thoáng.* Vào tên trực tiếp CĐT. Tiến độ đóng tiền rất giãn.Giá bán: 3,1 tỷ.            ",73 m²,3.1 tỷ,,2 phòng,26/11/2022,03/12/2022,Tin thường,34252053,batdongsan_com_vn_34252053,Tây,Đông,2 phòng,Bàn giao cơ bản.,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Tam Trinh', 'Dự án Helios Tower 75 Tam Trinh']","
Tôi có 1 căn 2PN tại Helios tuy nhiên gia đình không có nhu cầu sử dụng đến nên tôi muốn bán lại cho ai đang có nhu cầu:- Căn hộ nằm tại tầng trung.- Thiết kế: Căn 2PN thoáng mát, đầy đủ ánh sáng tự nhiên.- Đã có sổ.* Liên hệ trực tiếp: 0976 809 *** ",70 m²,2.95 tỷ,,2 phòng,25/11/2022,02/12/2022,Tin thường,35790725,batdongsan_com_vn_35790725,Tây,Đông,2 phòng,Bàn giao full đồ.,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Ngõ 72']","
Lô góc Ôtô đỗ cửa - mặt tiền rộng ngõ thông ngay sát TTTM RoyalCity dân trí cao an sinh đỉnh - vượng tài lộc khí.Ngõ 72 Nguyễn Trãi - P. Thượng Đình - Q. Thanh Xuân - TP. Hà Nội.DTSD: 45 m² - Mặt tiền: 4m - Số tầng: 5.Giá chào: 5.5 tỷ. Có thương lượng.Liên hệ: Không chín tám sáu ba sáu năm bốn ba ba (số zalo).(Nói không với ảnh fake - thật 100%).Mô tả:- Vị trí: Toạ lạc gần nút giao thông Ngã Tư Sở sầm uất, ngõ thông huyền thoại ôtô tránh, nối thông từ Đường Nguyễn Trãi sang Phố Quan Nhân, đi lại rất thuận tiện.- Gần ngay chợ, trường học các cấp. Tiện ích xung quanh nhiều. Hàng xóm Royal City.- Ngõ vào nhà ôtô đỗ cửa, nông và rộng. Khu dân cư ổn định, dân trí cao. Không quy hoạch.- Thiết kế:+ Tầng 1: Phòng khách + bếp + WC.+ Tầng 2,3,4: Mỗi tầng 2 phòng ngủ + WC. Tổng cộng: 6 phòng ngủ đủ công năng.+ Tầng 5: Phòng thờ + WC.- Lô góc, 2 thoáng vĩnh viễn. Cầu thang đều có khe thoáng thông khí từ tầng 1 lên tầng 5.- Nhà mới kính koong. Khách chỉ việc xách vali về ở.- Sổ đỏ đẹp, nở hậu, giao dịch nhanh.            ",45 m²,5.5 tỷ,5 tầng,6 phòng,22/11/2022,02/12/2022,Tin thường,35686240,batdongsan_com_vn_35686240,,,5 phòng,Nội thất cao cấp,Sổ đỏ/ Sổ hồng,4 m,4 m
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Minh Giám', 'Dự án Mandarin Garden']","
Căn hộ diện tích 145m² thiết kế 3 phòng ngủ sáng, phòng khách đều view hồ - công viên Thanh Xuân, phòng bếp, 2 phòng tắm. Nội thất đầy đủ.LH: 0979 460 *** A Minh (Miễn trung gian).            ",145 m²,Thỏa thuận,,3 phòng,21/11/2022,29/11/2022,Tin thường,31984323,batdongsan_com_vn_31984323,,,2 phòng,Nội thất đầy đủ,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
- Vị trí siêu đẹp, căn góc 2 mặt tiền đường khu cư dân hiện hữu đẳng cấp, ngay cạnh trường UNIS.- Một trong những phân khu đáng sống nhất trong KĐT Quốc Tế Ciputra, hàng xóm toàn cộng đồng tinh hoa, rất ít nhà cho thuê.- Nhà đã hoàn thiện nội thất mua có thể về ở ngay, chủ nhà thiện chí bán giá 70 tỷ.Liên hệ để xem nhà và sở hữu. Mr. Dương 0911 690 *** ",215 m²,324 triệu/m²,3 tầng,,24/11/2022,04/12/2022,Tin thường,35943586,batdongsan_com_vn_35943586,Tây - Bắc,Tây - Bắc,,Đầy đủ,Sổ đỏ/ Sổ hồng,30 m,12 m
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Tô Vĩnh Diện', 'Ngõ 86']","
Mô tả:+ Ngõ 86 là ngõ vip nhất phố Tô Vĩnh Diện, thông tứ tung các ngả, trước nhà ô tô tránh & đỗ cửa ngày đêm.+ Khu phân lô quân đội sĩ quan cấp cao, văn minh, dân trí cao, an ninh trật tự tốt.+ Khu vực hiếm nhà bán, lên nhà nào bán nhà đó.+ Vị trí toạ lạc gần các TTTM & các Trường ĐH, bệnh viện lớn khu vực an ninh tốt & an sinh đỉnh bậc nhất.+ Thiết kế: Nhà xây mới 6 tầng thông sàn hiện đại.- Tầng 1: Gara ô tô + + WC.- Tầng 2: Phòng khách + Khu bếp + WC.- Tầng 3,4,5: Mỗi tầng 1 phòng ngủ rộng + WC.- Tầng 6: Phòng thờ + Sân phơi.+ Sổ đỏ chính chủ vuông nét không lỗi phong thủy, sẵn sàng giao dịch.            ",45 m²,6.8 tỷ,6 tầng,4 phòng,22/11/2022,02/12/2022,Tin thường,35802897,batdongsan_com_vn_35802897,,,4 phòng,Nội thất đầy đủ,Sổ đỏ/ Sổ hồng,4 m,4 m
