address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Số tầng,Pháp lý
"['Hà Nội', 'Gia Lâm', 'Vinhomes Ocean Park Gia Lâm']","
Bán shophouse sao biển 23, 67.5 m² xây 4 tầng 1tum dự án Vinhomes Ocean Park – Gia Lâm giá 13,5 tỷ Căn shophouse 4 tầng 1 tum ngay cạnh ngã tư, gần khu công viên vị trí đẹp tại dự án Vinhomes Ocean Park – Gia Lâm, Hà Nội Với diện tích: 67.5 m² Đã có sổ sang tên Liên hệ : Em Hải 0973 755 *** ",67.5 m²,13.5 tỷ,26/11/2022,03/12/2022,Tin thường,35960661,batdongsan_com_vn_35960661,,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Vượng Villa']","
Cần bán nhanh căn biệt thự An Vượng KĐT Dương Nội view vườn hoa đường 28m ngay sát công viên thiên văn học.DT 180m².Hướng Đông Nam.Đã có sổ đỏ.Giá 24 tỷ, có thương lượng cho khách thiện chí.Liên hệ xem nhà: 0934 588 *** ",180 m²,24 tỷ,22/11/2022,29/11/2022,Tin thường,35916992,batdongsan_com_vn_35916992,Đông - Nam,,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', '79', 'Rose Town']","
Rose Town 79 Ngọc Hồi có 2 suất ngoại giao giá rẻ cần nhượng lại.Hiện tại mình đang có 2 suất ngoại giao căn hộ 2PN, 3PN tại tòa DV04 Ký HĐMB trực tiếp với CĐT tại dự án chung cư Rose Town 79 Ngọc Hồi, Hoàng Mai, Hà Nội. Cần bán gấp, giá thấp hơn CĐT từ 150 triệu đến 200 triệu.- Căn 07 tòa DV03 tầng 19, diện tích thông thủy 93m². Cửa vào hướng Tây Nam, ban công hướng Đông Bắc - Đông Nam. Giá 3,2 tỷ.- Căn 08 tòa DV03 tầng 20, diện tích thông thủy 64m², cửa vào hướng Đông Bắc, ban công hướng Đông Nam view nội khu. Giá 2.5 tỷ.* Ký trực tiếp CĐT, có chính sách vay 0% nếu cần hỗ trợ từ ngân hàng.* Vị trí: Gần trung tâm thành phố, mặt đường giải phóng, gần trường đại học, bệnh viện lớn, cách công viên Yên Sở 500m.* Tiện ích: Sân vườn dạo bộ, tầng TTTM, bể bơi 4 mùa, sân thể thao, cầu lông, vườn nướng BBQ.* An ninh: 3 lớp, camera hầm, sảnh, thang máy.Liên hệ tham khảo thủ tục hoặc xem căn hộ:            ",93 m²,3.2 tỷ,23/11/2022,30/11/2022,Tin thường,35591411,batdongsan_com_vn_35591411,Tây - Nam,Đông - Nam,3 phòng,2 phòng,Nội thất CĐT,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án PVV-Vinapharm 60B Nguyễn Huy Tưởng']","
Chính chủ cần bán căn hộ tại 68B Nguyễn Huy Tưởng.Căn 05 tầng đẹp, DT: 97m², giá: 3,8 tỷ. Sổ đỏ. View đẹp. Full nội thất. Nội thất xịn sò. Thiết kế 3PN, phòng khách, 2WC. Cửa Đông Bắc.Khách mua vui lòng liên hệ số 0974 183 ***Nguyệt).            ",97 m²,3.8 tỷ,26/11/2022,03/12/2022,Tin thường,35643095,batdongsan_com_vn_35643095,Đông - Bắc,,3 phòng,2 phòng,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án The Manor Central Park']","
Cập nhật nhanh nhất các căn cắt lỗ tại dự án The Manor Central Park:1. Shophouse 75m² x 5 tầng mặt phố đi bộ, 2 mặt tiền đường trước nhà và sau nhà, hướng Tây Nam. Nhà đã hoàn thiện vào ở được ngay. Giá bán: 20 tỷ có thương lượng.2. Shophouse 75m² x 5 tầng mặt đường 17m, hiện đang cho thuê làm văn phòng giao dịch nội thất, giá thuê 35tr/tháng. Giá 22 tỷ.3. Shophouse 99m² x 5 tầng đường 30m, đang cho thuê tầng 1, tầng trên để ở. Giá 28 tỷ.4. Biệt thự 200m², đang để trống, chưa về ở ngày nào, giá bán 42 tỷ bao phí.5. Biệt thự 160m², đang để ở, để lại toàn bộ nội thất, giá 35 tỷ bao phí.Các căn đều có thể đến xem trực tiếp vị trí và nội thất bàn giao căn hộ, giao dịch thỏa thuận trực tiếp với chủ nhà.Quỹ hàng được bổ sung thêm các căn đẹp, anh chị quan tâm liên hệ 0945 096 *** ",75 m²,20 tỷ,23/11/2022,30/11/2022,Tin thường,35848871,batdongsan_com_vn_35848871,Đông - Nam,,,,,6.6 m,30 m,5 tầng,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Căn 2PN 2WC + 1 căn góc diện tích 63m² nội thất đầy đủ cả đồ điện tử chỉ việc xách vali về ở giá 2,4tỷ.2PN + 1 2WC - 63m nội thất chủ đầu tư, tầng trung view đẹp, giá 2,5 tỷ.2PN + 1 2WC - 63m nội thất chủ đầu tư, tầng cao view bể bơi thoáng, giá 2,5 tỷ.2PN + 1 2WC - 63m tầng trung view bể bơi hướng ĐN, view bể bơi giá 2,6 tỷ.2PN + 1 2WC - 63m tầng trung, view thoáng, hướng mát, full nội thất giá 2,65 tỷ.Gọi em Phong 0936 359 *** để biết thêm thông tin căn hộ, xem nhà trực tiếp, hỗ trợ thủ tục pháp lý, giải ngân.(Không làm việc qua zalo).            ",63 m²,2.4 tỷ,21/11/2022,28/11/2022,Tin thường,35898362,batdongsan_com_vn_35898362,,,2 phòng,2 phòng,Full đồ,,,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Gia đình tôi cần tiền bán gấp căn biệt thự KĐT Dương Nội 3.5 tầng đã xây thô hoàn thiện mặt ngoài, nhận nhà ngay.DT 175m².Hướng Tây tứ trạch.Giá bán 17 tỷ (thu về).Anh chị có nhu cầu xin liên hệ xem nhà trực tiếp.ĐT: 0934 588 *** ",175 m²,17 tỷ,26/11/2022,03/12/2022,Tin thường,35873782,batdongsan_com_vn_35873782,,,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Cần bán nhanh căn hộ Vinhomes Smart City do cần tiền bán cắt lỗ cực sâu giá chỉ 2,2 tỷ.Diện tích 64m².Thiết kế 2 phòng ngủ + 1 và 2 vệ sinh.Ban công hướng mát. View đẹp.Tòa đẹp nhất dự án.(Mong gặp được khách hàng có nhu cầu thiện chí mua luôn, có thỏa thuận với khách nhiệt tình).Gọi ngay: 0936 359 ***không làm việc qua zalo).            ",64 m²,2.2 tỷ,21/11/2022,28/11/2022,Tin thường,35898220,batdongsan_com_vn_35898220,,Đông - Nam,2 phòng,2 phòng,Full đồ,,,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Do từ khi ở căn hộ này, gia đình có lộc làm ăn thuận lợi nên có nhu cầu chuyển sang căn hộ lớn hơn.Nên cần bán căn hộ 1N + 1 Vinhomes Smart City.Diện tích: 45m².Giá chỉ 1 tỷ 500tr.Gần công viên, view đẹp, full nội thất cao cấp, sàn gỗ An Cường, gần nhà để xe nổi.Liên hệ: 0936 359 ***không làm việc qua Zalo).            ",45 m²,1.5 tỷ,21/11/2022,28/11/2022,Tin thường,35898300,batdongsan_com_vn_35898300,Đông - Nam,Đông - Nam,1 phòng,1 phòng,,,,,Sổ đỏ/ Sổ hồng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chuyển nhượng Căn hộ 3PN - 2WC tại khu đô thị thông minh Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội giá gốc cdt view đẹp.- Diện tích tim tường 82m²(thông thuỷ 76.2m²), cửa chính hướng Đông Nam, hai ban công Tây Bắc và Đông Bắc tầng trung, view thoáng.- Giá 3,350 tỷ.- Đã có sổ.- Đầy đủ nội thất.Liên hệ xem nhà: 0985 190 ***Các tiện ích đã có sẵn tại dự án:- Bệnh viện quốc tế Vinmec (dự kiến tháng 5/2023 bắt đầu hoạt động).- Trung tâm thương mại Vincom Mega Mall.- Trường học liên cấp Vinschool và trường công lập Tây Mỗ.- Bể bơi 4 mùa và ngoài trời (miễn phí cho cư dân).- Vườn Nhật (miễn phí cho cư dân).- Sân bóng rổ, tennis, cầu lông, bóng bàn (miễn phí cho cư dân).- Hơn 1.000 máy tập ngoài trời (miễn phí cho cư dân).- 4 bãi đỗ xe nổi và các bãi đỗ xe ngoài trời.- Khu vui chơi trẻ em (miễn phí cho cư dân).- Công viên hồ điều hòa (miễn phí cho cư dân).- Vườn nướng BBQ (miễn phí cho cư dân).- Xe bus di chuyển nội khu (miễn phí).Liên hệ xem nhà: Đào Mai 0985 190 *** ",82 m²,3.35 tỷ,21/11/2022,01/12/2022,Tin thường,35897079,batdongsan_com_vn_35897079,Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Full nội thất.,,,,Sổ đỏ/ Sổ hồng.
