address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Quận Nam Từ Liêm', 'Dự án Vinhomes Green Bay Mễ Trì']","
Mình chính chủ cần bán gấp căn hộ Studio tòa G3 dự án Vinhomes Greenbay. Giá 1,1 tỉ.- diện tích 28m2- view thoáng đẹp vĩnh viễn-nội thất làm đẹp long lanh- full đồ , chỉ việc xách vali đến ở luônGiá: 1,1 tỉ            ",28 m²,1.1 tỷ,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35960469,batdongsan_com_vn_35960469,,,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
- Tôi bán nhà riêng phố Thụy Khuê, phường Thụy Khuê, nhà bên chẵn phía Hồ Tây, đi bộ 30m ra Nguyễn Đình Thi mặt Hồ Tây, cách mặt phố Thụy Khuê 50m, chỗ gửi oto cách 80m, cạnh trường cấp 1 Chu Văn An, chợ Tam Đa, vườn hoa, Bách Thảo, BV Thu Cúc... Rất thuận tiện sinh hoạt.- DT 40m² 4 tầng, 4m mặt tiền, các tầng đều thoáng sáng tự nhiên, riêng biệt không chung đụng.- Sổ đỏ chính chủ, pháp lý rõ ràng.- Giá 4.9 tỷ khách thiện chí thương lượng.- LH với tôi theo số 0943 387 ***, Chiến, miễn TG MG.- Xin cảm ơn.            ",40 m²,4.9 tỷ,Sổ đỏ/ Sổ hồng,26/11/2022,06/12/2022,Tin thường,35759315,batdongsan_com_vn_35759315,4 m,3 m,4 tầng,4 phòng,3 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Tô Ngọc Vân']","
Bán toà Apartment đẳng cấp phố Tô Ngọc Vân, Tây Hồ. Nhà có DT 176 m², mặt tiền rộng 6 m. Nhà mới xây thiết kế hiện đại 8 tầng, thang máy, nội thất rất đẹp và phong cách, dòng tiền đang cho thuê 6.500 $/tháng. Giá bán 56 tỷ có TL. Sổ đỏ chính chủ.Liên hệ Ngọc Hải (Không tiếp MG, trung gian).            ",176 m²,56 tỷ,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin thường,35657472,batdongsan_com_vn_35657472,6 m,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Nhà nằm mặt phố Minh Khai mới mở rộng, trung tâm mới quận Hai Bà Trưng, đường đôi rộng rãi, lưu lượng đông đúc, kinh doanh sầm uất! Khu vực nằm gần các khu đô thị cao cấp Times city, Imperial, Hinode... Dân trí cao, thu nhập cao, bên cạnh trường đại học Kỹ Thuật Công Nghiệp, gần Kinh Tế, Bách Khoa...Nhà xây chắc chắn 3 tầng đã lâu, tổng diện tích đất 170m, mặt tiền 6.3m, xác định bán đất mặt phố. Khách mua thuận tiện xây một tòa nhà hoành tráng, phù hợp mọi loại hình kinh doanh.Sổ đỏ chính chủ, giá bán 57 tỷ, có thương lượng.Khách gọi ngay!0965 520 *** ",170 m²,57 tỷ,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,34943891,batdongsan_com_vn_34943891,6.3 m,20 m,3 tầng,5 phòng,4 phòng,,,
"['Hà Nội', 'Hoài Đức', 'Xã Đông La', 'Đường Đồng Lầu']","
Bán nhà 4T x 40m² gần UBND Đông La ô tô đỗ gần, vị trí cực đẹp khu vực đang phát triển, giá 2.25 tỷNhà 4 tầng xây mới thoáng trước sau, ngõ trước nhà 3m rộng rãi.Thửa đất vuông như viên gạch, nhà thiết kế chia.Tầng 1: Phòng khách + wc + bếp.Tầng 2 + 3: Phòng ngủ + wc.Tầng 4: Phòng ngủ, thờ + sân phơi.Thông số:- Mặt tiền: 4m.- Diện tích: 40m.- Hướng: Đông Nam.- Ngõ trước nhà: 3m.Nội thất: Hoàn thiện cơ bản bao gồm tủ bếp, thiết bị WC, đồng hồ điện nước, lan can cầu thang và cửa các phòng gỗ lim Nam Phi.Tiện ích đầy đủ trong khu vực:Ủy ban xã, trường học mần non, cấp 1, cấp 2, Hồ điều hòa, chợ Đông La.Đường Đại Lộ Thăng Long (5Km).Khu đô thị Đô Nghĩa, công viên Âm Nhạc (5 phút đi xe).Đường Vành đai 4 tương lai (400m).Xung quanh dân cư sinh sống đông vui nhộn nhịp, an ninh rất tốt.Giá: 2.25 tỷ có thương lượng nhẹ.Sổ đỏ chính chủ, ngân hàng hỗ trợ vay vốn 70% giá trị nhà.LH 0966 982 *** em Dương.            ",40 m²,2.25 tỷ,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35683060,batdongsan_com_vn_35683060,4 m,3 m,4 tầng,4 phòng,3 phòng,Đông - Nam,Đông - Nam,Cơ bản đầy đủ
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Đường Giang Biên']","
+ Vị trí căn nhà đẹp, ngõ trước nhà rộng thoáng, 20m ra ngõ ô tô, gần Vinhomes Riverside, KĐT Việt Hưng. Tiện ích bạt ngàn gần các trường học chất lượng cao các cấp, trường Chu Văn An, chợ dân sinh...+ Nhà thiết kế 4 tầng, đầy đủ công năng gồm PK, bếp, 3 phòng ngủ + wc khép kín. Nội thất thiết kế thi công rất đẹp.+ Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch ngay.+ Giá chào: 3.4 tỷ (Có ra lộc).+ Khách thiện chí mua sẽ thương lượng trực tiếp với chủ.+ Liên hệ: Mr Thành 0979 999 ***Nhận mua bán ký gửi nhà, đất).Miễn phí xem nhà đất Nguồn nhà đất phong phú Hỗ trợ 24/24h.            ",32 m²,3.4 tỷ,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35284132,batdongsan_com_vn_35284132,4.4 m,2 m,4 tầng,3 phòng,4 phòng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Đường Tân Xuân', 'Dự án Ecohome 3']","
Ecohom 3 cực hiếm hàng bán - nhà hướng đông, ban công hướng Tây, view sân chơi.+ Thiết kế hiện đại, phòng khách, bếp, khu giặt phơi, 2 ngủ, 2 wc, đầy đủ công năng cho 1 hộ gia đình nhỏ.* Pháp lý rõ ràng, sổ đỏ lâu dài cất két giao dịch ngay.Liên hệ mua: 0974 183 ***Nguyệt).            ",66 m²,2 tỷ,,21/11/2022,28/11/2022,Tin thường,35898302,batdongsan_com_vn_35898302,,,,2 phòng,2 phòng,,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', '16', 'BRG Grand Plaza']","
Bán căn 1PN dự án BRG Grand Plaza 16 Láng Hạ, đã cất nóc, bàn giao quý III/2022. Căn 1PN diện tích 56m² giá 4,6 tỷ.View hồ Thành Công 6.4ha mà không bị che chắn bởi bất kỳ tòa nhà nào.Chính sách cực kỳ hấp dẫn:- Miễn phí dịch vụ 12 tháng.- Miễn phí dịch vụ Valet Parking 12 tháng.- Chiết khấu từ 3 - 5% GTCH.- Tặng gói tân giá từ 100 - 350tr.- Hỗ trợ lãi suất 0% tới 30/11/2022.Thiết kế 7 căn/1 sàn.Căn 1PN: 54 - 56m.Căn 2PN: 82 - 100m.Căn 3PN: 123m.Bàn giao full nội thất cao cấp: Sàn, trần, điều hòa âm trần, tủ bếp, bếp từ, hút mùi, chậu rửa, thiết bị vệ sinh đầy đủ cả nóng lạnh, hệ thống tủ quần áo...Liên hệ PKD: 0827 818 ***Tổng quan dự án chung cư 16 Láng Hạ.Tên dự án: Chung cư BRG Grand Plaza - 16 Láng Hạ.Diện tích tòa căn hộ: 8.152m, cao 19 tầng, 4 tầng hầm, 18 tầng căn hộ, tầng mái là phòng gym, phòng đa năng và khu vực tiện ích phục vụ cư dân.Thiết kế 7 căn/1 sàn.Căn 2PN: 82 - 100m.Căn 3PN: 123m.Thiết kế tối ưu căn hộ không góc chết, 100% các phòng đều lấy ánh sáng và gió trực tiếp, gần hết các căn hộ có hướng view trực diện Hồ Thành Công, đây là hướng view vĩnh viễn vì dự án ngay sát hồ không bị chắn bởi các dự án khác.Vị trí.Chung cư 16 Láng Hạ là chung cư cao cấp nằm tại trung tâm thành phố Hà Nội, mảnh đất vàng của thủ đô với vị trí vô cùng thuận lợi khi được nằm gần rất nhiều địa điểm lớn của thành phố như: Rạp chiếu phim quốc gia, siêu thi FiviMart, chợ Láng Hạ, triển lãm Giảng Võ, siêu thị Big C cùng nhiều trường học, bệnh viện và trung tâm thương mại đáp ứng mọi nhu cầu thiết yếu cho các hộ gia đình.Nằm trên khu đất vàng thành phố, chung cư 16 láng hạ là một trong số ít khu căn hộ hạng sang đầu tiên có giếng trời thông tầng và căn hộ có sân vườn riêng tại vị trí thủ đô Hà Nội. Với các tiện ích đạt tiêu chuẩn quốc tế, chung cư oriental plaza sẽ là không gian sống lý tưởng, mang tới cho cư dân một phong cách sống đẳng cấp giữa trung tâm thành phố nhộn nhịp và hiện đại.Liên hệ em để biết thêm thông tin: 0827 818 *** ",56 m²,4.6 tỷ,,21/11/2022,28/11/2022,Tin thường,35893084,batdongsan_com_vn_35893084,,,,1 phòng,1 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Golden River']","
Mở bán căn hộ hạng sang Sunshine Golden River Ciputra Tây Hồ. Căn hộ sân vườn trên không đầu tiên tại Hà Nội. Giá 9.37 tỷ/143m² - Diện tích rộng - Ban công lớn - Nội thất độc bản cao cấp - Tầm view sông Hồng, cầu Nhật Tân, cầu Thăng Long, sân golf Ciputra. Ký hợp đồng CĐT, sổ đỏ lâu dài.Liên hệ phòng bán hàng CĐT nhận bảng giá và thông tin chi tiết: 0827 818 ***.1. Chính sách bán hàng cực ưu đãi cho khách hàng:+ Miễn phí tiền dịch vụ quản lý 2 năm đầu tiên.+ Hỗ trợ lãi suất 0% với 12 tháng từ ngày giải ngân, miễn phí trả nợ trước hạn, ân hạn trả nợ trong TG HTLS.+ CK 8% khi KH thanh toán thanh toán bằng vốn tự có 95% GTHĐ.+ Chiết khấu thêm 11% / số tiền thanh toán sớm theo tiến độ.* Đa dạng diện tích Sunshine Golden River:- Căn 2PN: Diện tích 124,8m².- Căn 3PN: Diện tích 142,5 - 163,3m².- Căn 4PN: Diện tích 212,9m².- Nội thất độc bản nhập khẩu cao cấp từ các thương hiệu nổi tiếng trên thế giới như: Porta Door, Duravit, Hafele, Hansgrohe.3/ Ưu điểm chỉ có tại dự án:+ Nằm giữa lòng KĐT Quốc tế ở quận Tây Hồ Ciputra văn minh, yên tĩnh và đa văn hóa.+ Tiện ích dành riêng cho cư dân Sunshine: Nhà thông minh smart home công nghệ 4.0, đặt lệnh sinh hoạt, dịch vụ 7 sao 24/7 trên ứng dụng di động Smart Living, an ninh bảo mật đa lớp.+ Nội thất đẳng cấp, đỉnh cao tiện ích nghỉ dưỡng tại gia, hệ sinh thái chuẩn khách sạn: Sân golf tầng thượng, bể bơi ngoài trời 5 sao, sàn tắm nắng, gym, spa, bar Cigar Lounge thương gia, phòng billard, sân thể thao đa năng, trường Maple Bear, shophouse...4/ Thông tin cơ bản dự án:- CĐT: Sunshine Group.- Nhà thầu thi công: SCG.- Tư vấn giám sát: APAVE.- Diện tích đất: 9.004m.- Quy mô: 01 tòa nhà 35 tầng với 217 căn hộ, 5 tầng TTTM, 3 tầng hầm; 27 lô liền kề shophouse.- Hình thức sở hữu: Sổ đỏ lâu dài.- Bàn giao: Quý I/2023.- Tiện ích: Bể bơi bốn mùa, bể bơi ngoài trời, khu tập Golf trên mái, Sky Bar, Rooftop Café, Cigar Lounge/Bar thương gia, S - Plus Café, S - School, S - Mart, S - Fitness, Sauna, nhà hàng, thư viện, phòng sinh hoạt cộng đồng, khu vui chơi trẻ em, vườn BBQ, đường dạo bộ, chòi hóng mát, ghế thư giãn...Khách hàng quan tâm liên hệ: 0827 818 ***.            ",143 m²,9.37 tỷ,,22/11/2022,29/11/2022,Tin thường,35730081,batdongsan_com_vn_35730081,,,,3 phòng,2 phòng,,Nam,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Trần Nguyên Đán', 'Dự án KĐT Định Công']","
Vị trí nhà nằm trong khu đô thị Định Công đường Trần Nguyên Đán, thông ra Lê Trọng Tấn, Trần Điền. Cơ sở hạ tầng đồng bộ hiện đại với hệ thống biệt thự, liền kề, công viên cây xanh không khí trong lành sạch sẽ, an sinh bậc nhất quận Hoàng Mai. Tiện ích bạt ngàn; bệnh viện, siêu thị, chợ dân sinh, trường cấp 1,2,3. Khu vực vip nhiều quan chức đang ở.Nhà xây trên nền đất 100 mét vuông, sổ đỏ chính chủ đẹp, lô góc nên tổng 2 mặt tiền là hơn chục mét, đường ô tô tránh nhau. Trong nhà thiết kế đầy đủ sân, gara ô tô, các phòng chức năng, 4 phòng ngủ, kho... Có thể ở luôn hoặc kinh doanh, hoặc cho thuê văn phòng công ty.Đặc biệt khu đô thị Định công ô tô tải đỗ cửa vận chuyển hàng vào nhà thoải mái rộng rãi. Nhiều công ty ở các tỉnh tìm đặt văn phòng tại đây bởi mua mặt phố lớn xe khó đỗ để vận chuyển hàng hóa kinh doanh. Do vậy hiếm nhà bán, bởi căn nhà 100 mét vuông xây 4 tầng kiên cố, lô góc mặt tiền rộng phù hợp mọi loại hình kinh doanh.Giá bán 15,9 tỷ, có thương lượng.Khách quan tâm gọi ngay!0965 520 *** ",100 m²,15.9 tỷ,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35679174,batdongsan_com_vn_35679174,12 m,10 m,4 tầng,4 phòng,4 phòng,,,
