address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Phan Đình Giót']","
Bán nhà riêng khu Phan Đình Giót 36m², 3 tầng, nhà mới đẹp giá 3.8 tỷ cách đường ô tô 10m, khu vực dân trí cao, an ninh tốt, gần trường học, bệnh viện, chợ, siêu thị...            ",36 m²,3.8 tỷ,3 tầng,3 phòng,3 phòng,24/11/2022,01/12/2022,Tin thường,34510387,batdongsan_com_vn_34510387,,,,,,
"['Hà Nội', 'Hà Đông', 'Dự án CT5 Văn Khê']","
+ Bán Chung cư KĐT Văn Khê, Hà Đông CĂN GÓC 115m², 2 ngủ, 2 vs, nội thất VIP chỉ 2.05 tỷ( có thương lượng)+ Thiết kế hiện đại đầy đủ công năng của 1 gia đình hiện đại,  gồm 1 phòng khách, 2 ngủ, 2 vs và 1 phòng tiện ích.+ Nhà căn góc nên các phòng đều sáng thoáng, ánh sáng ngập tràn.+ Khu vực vip  tập trung nhiều các Trung tâm thương mại và hành chính.+  Vị trí Trung tâm Quận Hà Đông, ba bước chân ra Công viên Thiên Văn Học, Siêu thị Oeon Hà Đông,  Trung tâm TM, rạp chiếu phim CGV, phòng tập Gym, bể bơi 4 mùa ngay dưới chân tòa nhà, gần ĐH Kiến Trúc, An Ninh, Đại học Văn Hóa.+ Chủ để lại toàn bộ nội thất xịn cho khách hàng thiện trí.+ Sổ đỏ sở hữu lâu dài khách có thể vay ngân hàng. + Liên hệ xem nhà: Mr Hiếu: 0984 262 *** ( Miễn trung gian)            ",115 m²,2.05 tỷ,,2 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,35960413,batdongsan_com_vn_35960413,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Dự án N01-T1 Ngoại Giao Đoàn']","
Bán chung cư N01 - T1 Ngoại Giao Đoàn, Bắc Từ Liêm, Hà Nội.Chung cư Ngoại Ngoại Giao Đoàn tọa lạc nằm ở phía Tây Hồ Tây, thuộc xã Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội Một vị trí giao thông thuận lợi và là trục phát triển chính trị kinh tế của Hà Nội. Từ vị trí khu căn hộ, cư dân có thể dễ dàng kết nối vào trung tâm thành phố và sân bay Nội bài thông qua các trục đường Phạm Văn Đồng Cầu Nhật tân một cách nhanh chóng và thuận tiện.Liên kết xung quanh dự án:- Cạnh khu đô thị mới Ciputra Tây Hồ, khu đô thị Thành Phố Giao Lưu, KĐTM Cổ Nhuế và Khu đại sứ quán các nước.- Cạnh khu công viên Hòa Bình, công viên Hữu Nghị, khu biệt thự Vườn Đào, thuận tiện giao thông và các trục phát triển kinh tế.Nằm ngay gần các hệ thống các trường đại học lớn: Học viện cảnh sát nhân dân, Học viện tài chính, ĐH Sư phạm Hà Nội, Học viện Báo trí và tuyên truyền.Bệnh viện phòng khám: Bệnh viện 19 - 8 Bộ Công An, Bệnh Viện E.Siêu thị mua sắm: Siêu thị Metro, Siêu thị BigC, Siêu thị Fivimark và các trung tâm mua sắm lớn xung quanh các khu đô thị.Diện tích: 133m², gồm 4 phòng ngủ, 3 wc. Nội thất cơ bản.Giá bán: 6,3 tỷ.Liên hệ: 0969 856 *** ",133 m²,6.3 tỷ,,4 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35960412,batdongsan_com_vn_35960412,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
Gia đình chúng tôi cần bán lại nhà, để lại toàn bộ nội thất.Vị trí: Ngõ to rộng ô tô 4 chỗ qua nhà.- Gần các trục đường lớn Lê Văn Lương, Vũ Trọng Phụng, Quan Nhân, Nhân Hòa, Hoàng Ngân.- Xung quanh nhiều chung cư, tòa văn phòng, tiện ích đầy đủ.- Gần chợ Nhân Chính, trường Phan Đình Giót.Nhà dân xây thiết kế tâm huyết, cực kì chắc chắn.Lô góc thoáng sáng, tất cả các phòng có cửa sổ.Nhà đầy đủ phòng khách, bếp, 3 phòng ngủ, phòng thờ, sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Giá bán 4.7 tỷ thương lượng cho khách thiện chí.Liên hệ xem nhà Mr Hoàng SĐT 0964 005 *** ",38 m²,4.7 tỷ,4 tầng,3 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35952355,batdongsan_com_vn_35952355,Sổ đỏ/ Sổ hồng,Cơ bản,4 m,3 m,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án KĐT Cổ Nhuế']","
Gia đình cần bán căn hộ dự án KĐT Nam Cường Cổ Nhuế.Diện tích: 90m².Thiết kế gồm 2 phòng ngủ.Nội thất: Full thiếu đồ DT.Giá bán: 3.25 tỷ.Có sổ, sẵn sàng giao dịch.Liên hệ Mr Đạt 0971 923 *** ",90 m²,3.25 tỷ,,2 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,35603952,batdongsan_com_vn_35603952,Hợp đồng mua bán,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Ngọc Trai', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần xử lý nợ ngân hàng nên gia đình cần bán căn hộ 68m², tòa Sapphire Vinhomes Ocean Park Gia lâm.- Thiết kế 2PN 2VS, cửa Đông Bắc, ban công hướng Tây Nam view thoáng.- Nội thất hòa thiện cao cấp đầy đủ đồ đẹp theo phong cách châu Âu.- Sổ hồng chính chủ.- Cần bán gấp nên để giá thiện chí 2.1 tỷ.- Liên hệ để xem và mua nhà 0904 607 *** ",68 m²,2.1 tỷ,,2 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,34661377,batdongsan_com_vn_34661377,Sổ đỏ/ Sổ hồng,Nội thất hòa thiện cao cấp đầy đủ đồ.,,,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Tố Hữu', 'Dự án Khu nhà phố thương mại 24h']","
Chính chủ cần bán gấp nhà liền kề mặt phố Tố Hữu, Vạn Phúc Hà Đông.Diện tích= 60m² vuông vắn, đã có sổ đỏ.Xây 5 tầng (gồm cả tầng hầm), có cầu thang máy.Thiết kế để kinh doanh nên tận dụng hết diện tích.Vỉa hè 8m, đường trước mặt 52m.Gần chợ, trung tâm thương mai, khách sạn, nhà hàng, chung cư nên rất sầm uất.Kinh doanh đỉnh cao.Giá thương lượng (cần bán gấp nên rẻ hơn thị trường hơn 2 tỷ).Liên hệ: Ms Huyền 0963 911 *** ",60 m²,Thỏa thuận,5 tầng,,,26/11/2022,03/12/2022,Tin thường,32033622,batdongsan_com_vn_32033622,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án Kim Văn Kim Lũ']","
Căn hộ Kim Văn Kim Lũ, diện tích 74m², 3 ngủ, 2wc, giá 1.7x tỷ. LH: 0396 858 ***+ Chung cư nằm ngay mặt đường Nguyễn Xiển, ngay cạnh khu biệt thự Đại Kim, khu đô thị Linh Đàm.+ Cách ngã tư Nguyễn Trãi khoảng 2km, Ngã Tư Sở chưa tới 10 phút di chuyển, sát cạnh ĐH Thăng Long, bệnh viện Y học cổ truyền Quân Đội, thuận tiện di chuyển ra bến xe Nước Ngầm, Giáp Bát.- Thiết kế: Căn góc diện tích 74m², 3 ngủ, 2 WC.- Pháp lý: Sổ hồng lâu dài.- Giá: 1.7x tỷ (thương lượng).LH: Hoài 0396 858 ***Tư vấn và xem nhà miễn phí).            ",74 m²,Thỏa thuận,,3 phòng,2 phòng,21/11/2022,28/11/2022,Tin thường,35898349,batdongsan_com_vn_35898349,Sổ đỏ/ Sổ hồng.,,,,,
"['Hà Nội', 'Thanh Oai', 'Xã Cự Khê', 'Đường Quốc lộ 21B']","
Chính chủ cần bán nhà lô góc tại khu đất đấu giá Cự Khê, Thanh Oai, Hà Nội, gần Đô thị Thanh Hà, hoàn thiện mặt ngoài, mặt tiền rông, vừa ở vừa kinh doanh. Ô tô đỗ cửa, vỉa hè rộng rãi.Nhà đã bàn giao xây thô 3,5 tầng, mặt ngoài hoàn thiện sơn bóng đẹp, thiết kế để chờ thang máy, có vỉa hè, ô tô đỗ cửa.Thiết kế:Tầng 1: Phòng khách + bếp + nhà vệ sinh.Tầng 2: 2 phòng ngủ.Tầng 3: 2 phòng ngủ.Tầng 4: Tum và đầu nóc thang máy.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chỉ 5,x tỷ (xx tí teo, có thương lượng nếu khách thiện chí).Liên hệ xem nhà chính chủ Ms Huyền 0963 911 *** ",60 m²,Thỏa thuận,4 tầng,4 phòng,,26/11/2022,03/12/2022,Tin thường,34600157,batdongsan_com_vn_34600157,Sổ đỏ/ Sổ hồng.,,,,,
"['Hà Nội', 'Hà Đông', 'Dự án KĐT Văn Phú']","
+ Liền kề TT31 TT33 mặt đường 24m Khu đô thị Văn Phú cạnh công viên, đường rộng, vỉa hè rộng, mặt tiền rộng.+ Liên hệ: 0989 626 ***em Hùng Văn Phú U40).+ Thích hợp làm văn phòng, trường học, kho, Spa, Nhà nghỉ, khách sạn, phòng khám, ở hoặc cho thuê đều được.+ Gần chợ, trường học, bệnh viện, công viên, khu vực dân trí cao, an ninh tốt, rất hiếm nhà bán.+ Tôi người thật thà, bán nhà sát giá, khỏi cần mặc cả, xem nhà là thích. Giá hợp lý chỉ 12.68 tỷ (có ra lộc cho khách hàng thiện chí).+ Liên hệ: 0989 626 ***em Hùng Văn Phú U40).+ Hãy đăng ký ngay để không bỏ lỡ những căn nhà đẹp giá tốt: https://bit.ly/3AgTBG1+ Zalo, viber: https://zalo.me/g/brcpsx906+ FB: https://bit.ly/3a2jIpq+ Nhanh tay nhấc máy không khách khác mua mất lại tiếc ạ.+ Miễn TG, MG, quảng cáo, báo mạng.+ Khách mua nhà không Hòa chỉ Phát.            ",91 m²,12.68 tỷ,4 tầng,4 phòng,4 phòng,26/11/2022,03/12/2022,Tin thường,35960397,batdongsan_com_vn_35960397,Sổ đỏ/ Sổ hồng,Cơ bản,5 m,24 m,,
