address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Hướng nhà
"['Hà Nội', 'Nam Từ Liêm', 'Dự án Dolphin Plaza']","
Bán chung cư Dolphin Plaza Mỹ Đình, 28 Trần Bình, phường Mỹ Đình 2, quận Nam Từ Liêm, Hà Nội.Tòa nhà Dolphin Plaza có vị trí cực kỳ thuận lợi, nằm trong khu vực trung tâm đô thị hành chính mới phía Tây thủ đô Hà Nội, với thiết kế đồng bộ, hoàn chỉnh. Dolphin Plaza có mặt đứng hướng Tây Bắc giáp với đường Trần Bình và mặt đứng hướng Tây Nam tiếp giáp với đường quy hoạch rộng 40m.Từ dự án Dolphin Plaza, chỉ mất khoảng 5 đến 10 phút đi ôtô, bạn có thể di chuyển đến các địa điểm lớn: Trường học, trung tâm quốc gia, công viên, siêu thị, bệnh viện.Tầng trung. Diện tích: 152m², gồm 2 phòng ngủ, 2 wc. Full nội thất.Giá bán: 5,7 tỷ.Liên hệ: 0969 856 *** ",152 m²,5.7 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,26/11/2022,03/12/2022,Tin thường,35960377,batdongsan_com_vn_35960377,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Phố Từ Hoa']","
+ Vị trí nhà cực đẹp phố Từ Hoa thông Yên Hoa, Quảng An, Xuân Diệu, trước nhà view Hồ Tây, mặt sau nhìn ra mặt phố Nghi Tàm. Ngõ nhà mình bán ngay cạnh cổng khách sạn Intercontiental Ha Noi West Lake, trước nhà rộng ô tô dừng đỗ thoải mái. Hàng xóm toàn biệt thự, tòa căn hộ cho Tây thuê.+ Nhà 7 tầng thang máy, thiết kế mỗi tầng 2 căn hộ. Thang máy xịn êm ru, hệ thống điều hoà âm trần, tổng có 10 căn hộ cho thuê, thời điểm trước dịch chủ cho thuê 24,642 triệu/ căn.+ Sổ đỏ vuông đẹp.+ Giá bán: 46 tỷ có thương lượng.+ Liên hệ: Mr Tuyên 0979 531 *** ",125 m²,46 tỷ,10 phòng,10 phòng,,Cao cấp,26/11/2022,03/12/2022,Tin thường,35759490,batdongsan_com_vn_35759490,10 m,20 m,7 tầng,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Hội']","
Mình cần bán 2 lô đất cách cổng Vin Đan Phượng 30m trục đường chính, giấy tờ pháp lý đầy đủ.Dự án Vinhomes Đan Phượng thuộc lô đất ký hiệu A4 và một phần ô quy hoạch A8 nằm trong quy hoạch phân khu đô thị S1 của huyện Đan Phượng, với đầy đủ các loại hình sản phẩm chung cư, biệt thự, liền kề, shophouse được chia làm 3 phân khu chính là phân khu Ánh Sáng The Light, khu Thời Đại The Times và phân khu Hoàng Gia The Royal.Dự án Vinhomes Đan Phượng nằm tại vị trí đắc địa giữa 2 xã Tân Hội và xã Liên Trung với khả năng kết nối nhanh chóng tới các trục đường huyết mạch như đại lộ Tây Thăng Long, quốc lộ 32, đường vành đai 3.5 hay đường vành đai 4, có thể dễ dàng di chuyển tới các quận huyện lân cận như Đông Anh, Sơn Tây, Ba Vì, Hoài Đức, Phúc Thọ.Từ dự án Vinhomes Đan Phượng có thế dễ dàng két nối tới các khu vực như:10 tới khu Ngoại giao đoàn, Hồ Tây.20 phút để tới trung tâm thủ đô: Hồ Hoàn Kiếm, Phố cổ, Ga Hà Nội,35 Phút tới sân bay Nội Bài (30Km đường cao tốc).Gần các trường học lớn như: Đại học quốc gia, ĐH Sư phạm, ĐH Thượng Mại,Những tiềm năng về hạ tầng của Vinhomes Đan Phượng trong tương lai:Đường vành đai 4 rộng 135m.Đường Tây Thăng Long rộng tới 60m.Đường nối cầu Thăng Long rộng 40m.Đường nối Hoàng Quốc Việt kéo dài.Đặc biệt trong tương lai khi cây cầu Thượng Cát bắc qua sông Hồng đi vào hoạt động sẽ giúp cư dân di chuyển sang huyện Đông Anh dễ dàng hơn.            ",80 m²,6.24 tỷ,,,Sổ đỏ/ Sổ hồng,,26/11/2022,06/12/2022,Tin thường,35261403,batdongsan_com_vn_35261403,5.33 m,13 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Trương Định']","
Siêu phẩm nhà mới vừa ở vừa kinh doanh giá đầu tư.Diện tích: 80m² x 5 tầng.Mặt tiền: 5,5m.Vị trí đắc địa, kinh doanh mọi mặt hàng, giao thông đi lại thuận tiện gần Kim Đồng Giáp Bát, dân trí cao, không lỗi phong thủy.Nội thất, thang máy nhập khẩu.Sổ đỏ chính chủ vuông nở hậu.Liên hệ xem nhà 0834 555 *** Ms. Thúy.            ",80 m²,14 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nhập khẩu đồng bộ,26/11/2022,06/12/2022,Tin thường,35951781,batdongsan_com_vn_35951781,5.5 m,,5 tầng,
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Đường Yên Phụ']","
+ Vị trí mặt phố Yên phụ kinh doanh sầm uất, dãy chẵn ổn định quy hoạch nhà bên cạnh đang xây toà 8 - 9 tầng; từ tầng 3 có thể view hồ Tây lộng gió; thông các tuyến phố Âu Cơ, Thanh Niên, Trúc Bạch, Nghi Tàm.+ Phù hợp khách mua xây dựng toà căn hộ Apartment kết hợp văn phòng; siêu thị; phòng tranh; trên ở dưới cho thuê.+ Khu vực tập trung nhiều khách Tây, người biết hưởng thụ, di chuyển ra sân bay nội bài thuận tiện.+ Chủ định cư nước ngoài nên quyết định bán nhanh lấy vốn làm ăn.+ Sổ đỏ sẵn sàng sang tên, vuông vắn.+ Giá bán: 35 tỷ có thương lượng.+ Liên hệ: Mr Tuyên 0979 531 *** ",115 m²,35 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35759481,batdongsan_com_vn_35759481,,,5 tầng,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị']","
Bán tòa căn hộ dịch vụ Võng Thị, Tây Hồ Hà Nội. View Hồ Tây, vị trí đắc địa, khu vực nhiều người nước ngoài sinh sống.- Thông số: DT 95m² x 7 tầng thang máy.- Thiết kế: 13 căn hộ khép kín full nội thất + 7 căn hộ Studio + 6 căn hộ: 01 PN + 01 PK + 1 bếp + 01 Phụ.Dòng tiền đang khai thác: 120tr/tháng. Có thể tăng lên 150tr nếu tự quản lý. Sổ đỏ chính chủ, an sinh, an ninh tốt. Giá 21,5 tỷ.Liên hệ Anh Hoà: 0912 290 ***miễn trung gian).            ",95 m²,21.5 tỷ,14 phòng,14 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp.,25/11/2022,02/12/2022,Tin thường,35866313,batdongsan_com_vn_35866313,6 m,4 m,7 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Hoàng Sâm']","
+ Vị trí nhà mặt phố Hoàng Sâm thông Hoàng Quốc Việt - Nguyễn Khánh Toàn - 800A. Vị trí cực hiếm lô góc 3 mặt thoáng 2 mặt tiền ô tô tránh...+ Thiết kế 4 tầng chắc chắn mỗi tầng 2 phòng cầu thang giữa.+ Phù hợp ở, kinh doanh, văn phòng, cho thuê...+ Sổ đỏ phân lô đẹp như a4.+ Giá bán: 18 tỷ có thương lượng.+ Liên hệ: Mr Tuyên 0979 531 *** ",66 m²,18 tỷ,4 phòng,4 phòng,,Cơ bản.,26/11/2022,03/12/2022,Tin thường,35391381,batdongsan_com_vn_35391381,5 m,25 m,5 tầng,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Ngụy Như Kon Tum', 'Dự án Chung cư The Legacy']","
Tôi không có nhu cầu sử dụng cần bán gấp căn hộ The Legacy phố Lê Văn Thiêm trung tâm quận Thanh Xuân.Căn hộ DT thông thủy 134,6m². Thiết kế: 3PN, 2VS, phòng khách, phòng bếp.- Hướng: Đông Nam Tây Bắc.- Nội thất đầu đủ, chỉ cần xách vali về ở.- Giá bán: 5,5 tỷ (có thương lượng).Liên hệ: 0986 555 ***MTG).            ",134.6 m²,5.5 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,34803423,batdongsan_com_vn_34803423,,,,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Bán nhà Hoàng Quốc Việt thang máy ô tô kinh doanh 57m giá nhỉnh 10 tỷ.+ Bán nhà mặt ngõ Hoàng Quốc Việt, khu phân lô quân đội cao cấp.Ô tô, kinh doanh 57 m² giá nhỉnh 10 tỷ.+ Nhà cách phố vài chục mét, ngõ ô tô tránh, giao thông kết nối các phố Võ Chí Công, Quan Hoa, Nguyễn Văn Huyên, Nguyễn Khánh Toàn, Khu Ngoại Giao Đoàn.+ Rất gần công viên Nghĩa Đô, các trường cấp 1,2,3, gần TTTM và các trường đại học, cao đẳng khu Cầu Giấy.+ Nhà 7 tầng, MT 4,5m mới xây, cực hiện đại,+ Thiết kế đầy đủ công năng, phù hợp làm văn phòng, kinh doanh, vừa kết hợp để ở.+ Sổ đỏ chinh chủ, vuông đét, chủ thiện chí giao dịch,+ LH Mr Tiến 0858 897 *** chuyên MG thổ cư Cầu Giấy (để được xem nhà, tư vấn miễn phí và gặp trực tiếp chủ nhà).            ",57 m²,Thỏa thuận,,,,,25/11/2022,05/12/2022,Tin thường,35945347,batdongsan_com_vn_35945347,,,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên']","
Bán nhà Long Biên gara ô tô, kinh doanh, chủ tâm huyết xây 50mx5T, ở luôn. Chủ cần bán gấp nhà quận Long Biên vị trí đẹp, ô tô thông kinh doanh, nhà diện tích 50m, chủ tâm huyết xây 5 tầng, mặt tiền rộng, ngõ thông thoáng. + Nhà ngay trung tâm, tiện ích không thiếu thứ gì, nhà tổng 4Pn, các phòng thoáng sáng, đầy đủ công năng, khách mua về ở luôn. + Nhà vị trí đẹp, kinh doanh đỉnh, nhà mới xây được 2 năm, còn rất mới. + Tiện ích xung quanh không thiếu thứ gì, gần TTTM AEON LB, Sân Golf, khu HC GOLDEN Hồng Tiến, giao thông thuận tiện đi cầu Vĩnh Tuy, cầu Trần Hưng Đạo, tiện đi Vinhomes Riverside, Vinhomes Ocean Park, Ecopark.. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá nhỉnh 5 tỷ, khách chủ trao đổi trực tiếp. Quý khách quan tâm liên hệ Đức Cầu (Cầu Thổ Cư ) để được xem nhà, giao dịch chính chủ. alo ngay  0835 399 *** để có được sản phẩm Bất động sản hợp lý nhất.            ",50 m²,5.28 tỷ,5 phòng,,Sổ đỏ/ Sổ hồng,,26/11/2022,04/12/2022,Tin thường,35959351,batdongsan_com_vn_35959351,,,5 tầng,
