address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Thanh Xuân', 'Dự án Phú Gia Residence']","
Chuyển công tác nên tôi cần bán gấp căn hộ 102m² tại chung cư Phú Gia số 3 Nguyễn Huy Tưởng. Để lại toàn bộ nội thất đang sử dụng.Tòa nhà an ninh tốt, giao thông thuận tiện, gần trường chợ.Sổ đỏ chính chủ.Giá 3.4 tỷ (có thương lượng)Liên hệ xem nhà: anh Tùng 0933 177 ***miễn trung gian)            ",102 m²,3.4 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35960000,batdongsan_com_vn_35960000,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đống Mác', 'Phố Lò Đúc']","
+ Vị trí đẹp có 1 0 2, trung tâm Hai Bà Trưng, ngõ trải nhựa xe tải tránh ba gác, cách mặt phố Lò Đúc đúng 20m.+ Bán kính 1km: Tiện ích bạt ngàn, giao thông thuận tiện, lên phố Hồ Gươm chỉ mất 5p đi xe máy, qua TTTM TIMECITY khoảng 10p xe máy.+ Mảnh đất vàng phố Lò Đúc.+ Nhà gần các phố: Trần Khát Chân, Kim Ngưu, Cảm Hội, Nguyễn Công Trứ,.+ Nhà cũ xác định bán đất, khách về xây toà nhà 5 tầng thì đẹp long lanh.+ Sổ đỏ nở hậu, sẵn sàng giao dịch.+ Liên hệ Mr Học chuyên khu vực Hai Bà Trưng.            ",40 m²,3.1 tỷ,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35951868,batdongsan_com_vn_35951868,4.2 m,4 m,1 tầng,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', '458', 'Times City']","
Do gia đình chuyển sang biệt thự cần bán lại căn 2pn tại Times City, 458 Minh Khai, HBT, HN.- Thiết kế vuông vắn với 2PN sáng, 1 bếp, 1PK và 2WC, view nội khu.- Nội thất nguyên bản: Tủ âm tường, sàn gỗ, trần thạch cao, bếp hồng ngoại. Tủ bếp, điều hòa, thiết bị vệ sinh cao cấp.- Giá siêu rẻ: 4.5 tỷ bao phí(sổ đỏ chính chủ).- Liên hệ: 0962 984 *** ",87 m²,4.5 tỷ,3 phòng,2 phòng,,26/11/2022,03/12/2022,Tin thường,35689131,batdongsan_com_vn_35689131,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Thanh Nhàn', 'Ngõ Quỳnh']","
+ Vị trí cực đẹp, ngõ to rộng, văn minh cực đẹp. Nằm ngay trung tâm thông từ Thanh Nhàn sang Bạch Mai.+ Nhà cách mặt ngõ chỉ vài bước chân, nhà thoáng, an ninh tốt.+ Bán kính 1km đầy đủ tiện ích, giao thông thuận tiện, gần trường, gần chợ.+ An sinh đỉnh, dân trí cao.+ Nhà cực đẹp, chủ làm tâm huyết, nội thất xịn xò, khách chỉ việc ở ngay.+ Nhà thiết kế 3 PN + phòng thờ, sân phơi.+ Sổ đỏ nở hậu cực đẹp.+ Liên hệ Mr Học chuyên khu vực Hai Bà Trưng.            ",32 m²,3.4 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35719733,batdongsan_com_vn_35719733,3.6 m,2 m,5 tầng,Tây - Bắc,,
"['Hà Nội', 'Đống Đa', 'Phường Quang Trung', 'Đường Trần Quang Diệu']","
Chính chủ nhờ bán gấp nhà phân lô phố Trần Quang Diệu, quận Đống Đa 52m² x 5.5 tầng x mặt tiền 4,3m.Vị trí:- Khu phân lô VIP quan chức Oto tránh, ngay sát Quận Ủy - HĐND - UBND quận,Vài bước chân ra vườn hoa, ra hồ Hoàng Cầu vị trí đắc địa, kinh doanh, văn phòng cực tốt.- Khu vực gần hồ, nhiều cây xanh nên không khí thoáng mát quanh năm, xung quanh nhà hàng quán xá ngập tràn, tiện ích không thiếu thứ gì, an ninh tuyệt vời, ở sướng.Thiết kế:- Nhà được thiết kế và xây dựng 5 tầng 1 tum.+ Tầng 1: P. Khách + khu bếp + để xe + wc.+ Tầng 2,3,4: Mỗi tầng 2P + wc.+ Tầng 5: Phòng thờ + sân phơi.- Sổ đỏ như tờ A4, pháp lý chuẩn SSGD.            ",52 m²,13 tỷ,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35792245,batdongsan_com_vn_35792245,4.3 m,5.5 m,5 tầng,Tây - Nam,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Hải Âu', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Để hoạt động kinh doanh nên Gia đình cần bán căn 100m² tòa S1.10 Vinhomes Ocean Park.Diện tích 100 m² tim tường, thông thủy 94 m² thiết kế 3PN, 2VS, 2 logia thoáng.Hướng cửa Tây Bắc, ban công Đông Nam view biển hồ, đại học Vin Uni.Nội thất cao cấp chủ đầu tư.Giá bán thiện chí: 3.7 tỷ (giá gốc 3.9 tỷ).Liên hệ trực tiếp để mua nhà: Mr. Dũng 0904 607 *** ",100 m²,3.7 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,34661363,batdongsan_com_vn_34661363,,,,Tây - Bắc,Đông - Nam,Nội thất cao cấp chủ đầu tư.
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', '458', 'Times City']","
Gia đình chuyển nơi sinh sống cần bán gấp căn 2PN Times City, 458 Minh Khai, Hai Bà Trưng, Hà Nội.- Thiết kế vuông vắn với 2PN, 1 phòng khách, 1 bếp, 2wc, view thoáng.- Nội thất nguyên bản: Tủ âm tường, sàn gỗ, trần thạch cao, bếp hồng ngoại, tủ bếp, điều hòa, thiết bị vệ sinh cao cấp.- Giá: 3.75 tỷ (sổ đỏ chính chủ).- Hotline: 0962 984 ***viber, zalo, imes).            ",75 m²,3.75 tỷ,2 phòng,,,21/11/2022,28/11/2022,Tin thường,35708935,batdongsan_com_vn_35708935,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Dự án Vinhomes Symphony Riverside']","
Căn hộ thuộc toà S6 Vinhomes Symphony.Tổng diện tích 66m².Ban công hướng Đông Bắc.Nội thất cơ bản CĐT.Sổ đỏ cầm tay.Giá 3,4 tỷ có thương lượng cho khách thiện chí.Liên hệ 0987 662 *** ",66 m²,3.4 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35928091,batdongsan_com_vn_35928091,,,,Tây - Nam,Đông - Bắc,Cơ bản
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', '458', 'Times City']","
Do gia đình ko có nhu cầu sử dụng nên cần bán lại căn hộ 110m² tại Times City, 458 Minh Khai, HBT, HN.- Thiết kế vuông vắn với 2PN rộng, 1 phòng khách, 1 bếp, 2wc, ban công Đông, view thoáng không bị che chắn.- Nội thất nguyên bản: Tủ âm tường, sàn gỗ, trần thạch cao, bếp hồng ngoại. Tủ bếp, điều hòa, thiết bị vệ sinh cao cấp.- Giá siêu rẻ: 5.45 tỷ bao phí sang tên sổ.- Liên hệ xem căn hộ: 0962 984 *** ",110 m²,5.45 tỷ,2 phòng,2 phòng,,24/11/2022,01/12/2022,Tin thường,35937766,batdongsan_com_vn_35937766,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City - Park Hill']","
- Căn góc 143m² thiết kế 4PN sáng, 3WC, phòng bếp tách biệt có logia nên khi nấu nướng sẽ không bị mùi, Ban công hướng đông tứ mệnh, View thoáng mát.- Thiết kế căn hộ thông minh, cao cấp: Điều hòa âm trần, sàn gỗ, bếp hồng ngoại, thiết bị vs, tủ âm tường, hệ thống đèn chiếu sáng...- Giá bán: 10 tỷ (sổ đỏ chính chủ).- Liên hệ để xem nhà: 0962 984 *** ",145 m²,10 tỷ,4 phòng,,,24/11/2022,01/12/2022,Tin thường,35938894,batdongsan_com_vn_35938894,,,,,,
