address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Pháp lý,Nội thất,Hướng ban công,Hướng nhà
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Đại Mỗ']","
+  NHÀ BÁN 42M2,  1TẦNG , MẶT TIỀN 4.5M   NHÀ CẠNH VIN SMART CITY , CÁCH Ô TÔ KHOẢNG 30M  + Nhà 1 tầng, CÓ GÁC XÉP, RẤT GẦN PHỐ, TRƯỚC NHÀ RỘNG RÃI, giao thông thuận tiện     + Gía 2.49 tỷ có gia lộc Liên hệ Mr Tuân 0904 614 *** ĐỂ MUA VÀ XEM NHÀ            ",42 m²,2.49 tỷ,4.5 m,3 m,1 tầng,2 phòng,26/11/2022,03/12/2022,Tin thường,35959959,batdongsan_com_vn_35959959,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công Hạ']","
Gia đình bán chuyển nhà to hơn ở Định Công, Hoàng Mai, nhà đẹp ở luôn, lô góc, mát mẻ, sổ đỏ chính chủ, gần khu đô thị Định Công, bệnh viện Bưu Điện, trường học cấp 1 - 2, trung tâm y tế, UBND phường, hàng xóm toàn gia đình trẻ thân thiện, an ninh tốt.+ Sổ đỏ 32.5m², 4 tầng, mặt tiền 3.6m.+ Thiết kế hợp lý phòng khách, bếp, sân thượng, sân phơi, 3 phòng ngủ, 3 phụ.+ Sổ đỏ chính chủ, nở hậu.+ Giá 2 tỷ 500 (có gia lộc).Hỗ trợ vay vốn ngân hàng 70% giá trị tài sản.Liên hệ trực tiếp anh Trọng: 0968 466 ***MTG).            ",32.5 m²,2.5 tỷ,3.6 m,3 m,4 tầng,3 phòng,21/11/2022,28/11/2022,Tin thường,35821882,batdongsan_com_vn_35821882,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,,
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Phố Xã Đàn']","
Chủ chuyển công tác bán nhà Xã Đàn.+ Diện tích 33m² thiết kế 3 tầng 3 phòng ngủ.+ Đường trước nhà 2m, cách mặt ngõ oto 30m.+ Vị trí trung tâm cách phố Xã Đàn, Đê La Thành, Ô Chợ Dừa chỉ vài bước chân.+ Sổ đỏ vuông vắn.+ Giá 2.7 tỷ.            ",33 m²,2.7 tỷ,7 m,2 m,3 tầng,3 phòng,26/11/2022,06/12/2022,Tin thường,35343654,batdongsan_com_vn_35343654,3 phòng,,Đủ,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
""săn nhà"" sang, nhận ưu đãi vàng.Hà Nội Melody Residences - Tâm điểm kết nối quận Hoàng Mai.--Chính sách ưu đãi đặc biệt trong tháng 10.Chiết khấu 32% cho KH TTS.Hỗ trợ vay 70%.Lãi suất 0% trong 24 tháng.Căn có 2 logia.------------Sở hữu 6 giá trị kim cương.Tọa độ hoàng kim đa kết nối.Ôm trọn tầm view triệu đô bán đảo Linh Đàm.Bộ sưu tập chuỗi tiện ích 5 sao đẳng cấp nhất.Thiết kế tối ưu,Số lượng hữu hạn, sinh lời cực hạn.Chiết khấu đặc biệt thêm 2%.Liên hệ ngay: 0399 731 ***Em Luân).Số lượng ưu đãi có hạn.            ",75 m²,2.4 tỷ,,,,2 phòng,26/11/2022,06/12/2022,Tin thường,35418593,batdongsan_com_vn_35418593,2 phòng,,Bàn giao nội thất cơ bản.,Đông - Nam,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Masteri West Heights']","
Mở bán căn hộ cao cấp Masteri West Height toà C, chính sách hấp dẫn và đầy đủ tiện ích 5 sao.4 tỷ - 61m².Nam Từ Liêm, Hà Nội.Căn hộ cao cấp tại Vinhomes Smart City - nâng tầm giá trị bất động sản.Tên thương mại: Masteri West Height.------------------------------------Chính sách quà tặng ưu đãi:Quà tặng gói bảo hiểm nhân thọ 0.8% GTCH.Quà tặng mùa thu lên đến 100 triệu đồng.Chiết khấu khủng lên tới 13,5% GTCH.Hỗ trợ lãi suất 0% trong 24 tháng đối với 80% GTCH.Miễn phí 3 năm phí dịch vụ với giá trị lên đến 65 triệu đồng.-----------------------------------Hưởng mọi tiện ích 5 sao cách vài bước chân.Khác biệt nhất: Với 2 tầng hầm để xe đây là một yếu tố ghi điểm của dự án vì sẽ cải thiện đáng kể vấn đề thiếu chỗ để xe ô tô cho cư dân.View đẹp nhất: Là toà duy nhất có mặt ban công Đông Nam của phân khúc Masteri West Height.Vị trí đẹp nhất: Đối diện hồ công viên trung tâm, số lượng giới hạn, Trọn vẹn hệ sinh thái Vinhomes - Vincom - Vinmec - Vinschool cùng vô vàn tiện ích chỉ dành cho cư dân đô thị.Hiếm có nhất: Hồ bơi cao cấp và vườn xanh trên không nằm trên tầng thượng mỗi tòa tháp, giới hạn ánh nhìn, thêm phần riêng tư. Cùng với hệ thống tiện ích giải trí ngay trong tòa nhà.ĐẦU TƯ NHẤT: Bàn giao nội thất cao cấp liền tường từ các thương hiệu lớn: Hafele, Koller, Daikin. Thiết kế tường kính chạm trần phá vỡ mọi giới hạn tầm nhìn, giúp thu trọn quang cảnh thành phố. Hệ thống ánh sáng thả trần dịu mắt, kết hợp cây xanh từ vườn trên không, tạo nên không gian thư thái và đẳng cấp chuẩn nghỉ dưỡng chuẩn 5...------------------------------------Loại hình căn hộ đa dạng:1 Căn hộ (28 - 34m²) vốn cần có 350 triệu đồng.2 Căn hộ + (43 - 47m²) vốn cần có 450 triệu đồng.3 Căn hộ (54 - 61m²) vốn cần có 600 triệu đồng.4 Căn hộ + (63 - 71m²) vốn cần có 800 triệu đồng.5 Căn hộ (74 - 95m²) vốn cần có 900 triệu.            ",61 m²,4 tỷ,,,,2 phòng,21/11/2022,01/12/2022,Tin thường,35898004,batdongsan_com_vn_35898004,2 phòng,,Bàn giao nội thất cao cấp ,Đông - Nam,
"['Hà Nội', 'Tây Hồ', 'Phường Nhật Tân', 'Đường Vệ Hồ']","
Chủ nhà cần vốn kinh doanh nên nhờ bán căn nhà mặt phố khu vực Vệ Hồ, view Hồ Tây lộng gió, nhà nằm ngay vị trí đắc địa, vỉa hè rộng, đường thoáng ô tô tránh, phù hợp kinh doanh cà phê, nhà hàng, căn hộ cho người nước ngoài, gần công viên nước Hồ Tây, Lạc Long Quân, Tô Ngọc Vân, thuận tiện đi sang các khu vực Nhật Chiêu, Trịnh Công Sơn.Diện tích: 160m2Mặt tiền: 8mGiá: 70.7 tỷ (thương lượng cực mạnh)Nhà thiết kế đầy đủ công năng, hiện đang cho đối tác thuê để khai thác doanh thu đều đặn, phù hợp làm cà phê, nhà hàng, căn hộ dịch vụ Sổ đỏ chính chủ, cất két chờ giao dịchLiên hệ xem nhà và tư vấn pháp lý miễn phí: Mr Duy 0902 555 *** ",160 m²,70.7 tỷ,,,,,26/11/2022,03/12/2022,Tin thường,35954986,batdongsan_com_vn_35954986,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Phố Trạm']","
Bán đất phố Trạm, phường Long Biên, Quận Long Biên, Hà Nội.Vị trí đẹp, cách đường lớn ô tô tránh vỉa hè 15m, ngõ rộng thông thoáng, gần trường học, công viên, chợ dân sinh,... Rất phù hợp để gia đình sinh sống và làm việc.Nhà sát khu tái định cư phường Long Biên, khu vực đang phát triển mạnh về hạ tầng, cầu Vĩnh Tuy sắp hoàn thiện, 5p ra Aeon Mall.Khu vực trung tâm quận Long Biên, 10 phút sang Hoàn Kiếm, 15 phút đến Bệnh viện, trường đại học lớn,Diện tích 40m², mặt tiền 4m, vuông vắn, hướng Đông Nam mát mẻ.Giá 75 triệu/m² có thương lượng.Liên hệ xem đất gặp trực tiếp chủ nhà 0933 462 ***không tiếp MG).            ",40 m²,3 tỷ,4 m,2 m,,,26/11/2022,06/12/2022,Tin thường,35589469,batdongsan_com_vn_35589469,,,,,Đông - Nam
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Phố Thạch Cầu']","
Bán đất Thạch Cầu, Long Biên, Hà Nội.Vị trí, phố Thạch Cầu là điểm kết nối cầu Trần Hưng Đạo, đã được TP Hà Nội phê duyệt và sắp khởi công. Di chuyển cực kỳ thuận tiện sang Nội Đô, gần TTTM Aeon Mall.Hiện trạng: Đất trống, đường trước nhà ô tô tránh, ngõ thông thoáng, kinh doanh nhỏ được.Diện tích 40m², MT 4m, sổ đỏ chính chủ, vuông vắn.Giá 3,4 tỷ, có thương lượng.Liên hệ xem đất 0933 462 ***không qua trung gian).            ",40 m²,3.4 tỷ,4 m,4 m,,,26/11/2022,06/12/2022,Tin thường,35429989,batdongsan_com_vn_35429989,,Sổ đỏ.,,,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung', '61']","
Bán đất khu phân lô 61 Lạc Trung, Hai Bà Trưng, Hà Nội.Vị trí trung tâm quận Hai Bà Trưng, chỉ 10 phút tới Hồ Gươm, bệnh viện, trường học,Nhà nằm vị trí đẹp nhất khu phân lô 61 Lạc Trung, đường ô tô tránh, thích hợp làm tòa nhà văn phòng, công ty, khách sạn.Đã có giấy phép xây dựng đầy đủ, mảnh đất vuông vắn, diện tích 145m², mặt tiền 9m, rất lý tưởng để xây dựng.Giá 38 tỷ, có thương lượng cho khách hàng thiện chí.Liên hệ: 0933 462 *** khách hàng được gặp trực tiếp chủ nhà xem đất và trao đổi giá cả.            ",145 m²,38 tỷ,9 m,5 m,,,26/11/2022,06/12/2022,Tin thường,35321143,batdongsan_com_vn_35321143,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Quận Hà Đông', 'Dự án The Pride']","
Chung cư ThePride Ct3 La Khê Hà ĐôngBán căn 2 ngủ 2 vệ sinh, 70m thông thủy.- Cửa vào Tây Bắc , ban công hướng Tây Nam- Nhà full nội thất.- Pháp lý: Sổ hồng lâu dài.- Giá bán 2.1 tỷ bp sang tên có thương lượng cho khách thiện chí.- Liên hệ xem nhà: 0383 551 *** có zalo) em Trung.Xin cảm ơn người đã đọc tin.            ",70 m²,2.1 tỷ,,,,2 phòng,26/11/2022,03/12/2022,Tin thường,35959936,batdongsan_com_vn_35959936,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Tây - Nam
