address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Dự án Tecco Diamond']","
Chủ đầu tư Tecco uy tín căn hộ đã có sổ đỏ - nhận nhà ở ngay.Hotline chủ đầu tư: 0899 161 **** Thiết kế căn hộ đa dạng:+ 2PN 2VS: 64m² - 82m² - 88m² giá chỉ từ 2,4 tỷ/căn (đã bao gồm VAT + Nội Thất).+ 3PN 2VS: 105m² - 127m² - 141m², giá chỉ từ 2,9 tỷ/căn (đã bao gồm vat + nội thất).* Dự án Tecco có gì!- Các căn hộ thiết kế hợp lý, các phòng riêng biệt, đặc biệt đều tiếp xúc ánh sáng tự nhiên tạo không gian sống thoáng đãng, đảm bảo sức khỏe cho gia chủ.- Mật độ thang máy cực thấp.- Công viên cây xanh phủ đầy dự án, khu vui chơi trẻ em, khu tập thể dục rộng rãi.- Tiện ích hiện hữu ngập tràn dịch vụ: Siêu thị, Ngân Hàng, công viên, phòng tập Gym & Spa.* Vị trí siêu đăc địa:+ Trung tâm hành chính quận Thanh Trì, ngay bên cạnh là các cơ quan nhà nước.+ 10 phút di chuyển qua Hồ Linh Đàm, công viên Yên Sở lá phổi xanh khu vực.+ 15 phút di chuyển đến các trường Đại Học và Bệnh Viện lớn Hà Nội: Bv Bạch Mai, Nội Tiết, ĐH Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân.Thuận tiện di chuyển vào trung tâm thành phố và các tỉnh Phia Nam.* Chính sách bán hàng siêu hấp dẫn.- Chiết khấu lên đến 8% giá trị sản phẩm.- Hỗ trợ vay trả góp 65% giá trị căn hộ.- Lãi suất ưu đãi 0% 18 tháng (ân hạn gốc).* Quý khách hàng quan tâm vui long liên hệ phòng kinh doanh chủ đầu tư để nhận thông tin giá + chính sách tốt nhất.Hotline: 0899 161 *** chủ đầu tư Tecco Group.            ",105 m²,Thỏa thuận,3 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35875048,batdongsan_com_vn_35875048,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Dự án Hà Nội Homeland']","
* Phòng kinh doanh dự án cập nhật thông tin chinh xác bảng hàng, chính sách tháng 11/2022.* Hotline phòng kinh doanh CĐT: 0899 161 ***+ Căn hộ 2PN 2VS: 63m²- 73m²- 77m² giá chỉ từ 1,65 tỷ (đã bao gồm VAT).+ Căn hộ 3PN 2VS: 82m²- 85m²- 98m² giá chỉ từ 1. 8 tỷ (đã bao gồm VAT).* Pháp lý rõ ràng sổ hồng lâu dài.* Vị trí đắc địa đón đầu Đông Anh lên quận 2023 thừa hưởng quy hoạch hạ tầng đồng bộ kết thuận tiện dễ dàng.- 15 phút di chuyển đến phố cổ, hồ hoàn kiếm trung tâm Hà Nội.- 5 phút di chuyển đến BigC Long Biên, TTTM Savico.- 20 phút di chuyển qua sân bay nội bài.* Tiện ích hiện hữu ngập tràn.- Bể bơi 4 mùa, phòng tập gym, dịch vụ spa.- Trung tâm thương mại 1,700m đáp ứng nhu cầu mua sắm.- Ngân hàng, nhà hàng ẩm thực, siêu thị phục vụ cư dân đầy đủ.* Chương trình tri ân đặc biệt.- Chiết khấu TTS lên đến 8% giá trị căn hộ.- Hỗ trợ mua trả góp lên đến 70%, hỗ trợ lãi suất và ân hạn gốc trong 12 tháng.- Đặc biệt với 50 Kh đầu tiên trong tháng cơ hội bốc thăm:- 01 Giải đặc biệt: Xe Madza 3 trị giá 750 triệu đồng.- 03 Giải nhất: Honda SH 125i: 90 triệu đồng/giải.- 05 Giải nhì: 1 Smart TV Samsung QLED: 20 triệu đồng/giải.- 41 giải khuyến khích: Khách hàng nhận được phần quà 01 năm phí quản lý dịch vụ khu đô thị, tương đương 6,2 triệu đồng/giải.* Để nhận thông tin chính xác và hỗ trợ tại dự án quý khách hàng liên hệ phòng kinh doanh chủ đầu tư: 0899 161 *** Mr Quân (TPKD).            ",77 m²,Thỏa thuận,2 phòng,2 phòng,22/11/2022,29/11/2022,Tin thường,34930251,batdongsan_com_vn_34930251,,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Dự án Tecco Diamond']","
* Nhận nhà ở ngay sổ đỏ trao tay với mức giá rẻ nhất thị trường.+ 2PN 2VS: Giá chỉ từ 2,4 tỷ. Diện tích 67m² - 82m² - 88m².+ 3PN 4PN 2VS: Giá chỉ từ 3 tỷ diện tích 100m² - 106m².* 5 lý do nên sở hữu căn hộ tại dự án Tecco.1. Dự án đã có sổ đỏ - nhận nhà ở ngay.2. Giá rẻ nhất thị trường Hà Nội.3. Hạ tầng đồng bộ phát triển, gần trung tâm quận Thanh Trì, đối diện quy hoạch công viên hồ điều hòa tạo không gian thoáng mát, tiềm năng tăng giá cao.4. Tiện ích phục vụ cư dân đã hiện hữu đầy đủ: Siêu thị, nhà hàng, café, trường mầm non, khu vui chơi trẻ em, công viên.5. Mật độ thấp 8 căn /sàn / 4 thang máy, tầng hầm để xe thông nhau 4 tòa rộng gần 10.000m.* Chính sách hấp dẫn.- Chiết khấu thanh toán sớm lên đến 8% GTCH.- Hỗ trợ vay vốn ngân hàng 65%.- Lãi suất ưu đãi 0% trong 18 tháng.- Cùng nhiều chương trình ưu đãi trong các buổi mở bán hấp dẫn.* Quý khách quan tâm vui lòng liên hệ phòng kinh doanh chủ đầu tư Tecco Group để được tư vấn và hỗ trợ xem thự tế dự án 24/7.Hotline: 0899 161 *** ",106 m²,Thỏa thuận,3 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35947960,batdongsan_com_vn_35947960,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh']","
Nhà lô góc kinh doanh văn phòng thương mại giá đầu tư vô cùng ngon.Nhà mặt phố oto dừng đỗ kinh doanh vô đối.            ",92 m²,38 tỷ,,,26/11/2022,03/12/2022,Tin thường,35959667,batdongsan_com_vn_35959667,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
* Phòng kinh doanh dự án Rose Town kính gửi quý KH thông tin mới nhất dự án + chính sách cập nhật từ CĐT.1. Mở bán tòa trung tâm DV01 Tòa căn hộ bàn giao fuul nội thất liền tường cao cấp.2. Thiết kế 16 căn /sàn / 5 thang máy, thang rác riêng biệt.3. Cao 27 tầng nổi, 3 tầng hầm để xe + 2 tầng nổi kết hợp thương mại dịch vụ tầng 1.4. Bể bơi trong nhà tầng 5 rộng gần 400m².5. Sổ đỏ lâu dài nhận nhà quý 3/2023.+ 2PN 2VS: 70,7m² 78,8m² 89,4m² giá chỉ từ 2.65 tỷ.+ 3PN 2VS: 104m² giá chỉ từ 3.7 tỷ.- Tất cả các căn hộ bàn giao full nội thất + đã bao gồm VAT.- Cửa chính khóa thông minh 3 chức năng, hệ thống ánh sáng.- Trần thạch cao, sang gỗ, sàn gạch, fuul thiết bị vệ sinh.- Hệ thống bếp + tủ bếp, hút mùi.- Đầu chờ điều hòa và các thiết bị điện tử.* Chính sách hấp dẫn.+ Chiết khấu lên đến 12% GTCH khi thanh toán sớm.+ Quà tặng nội thất trị giá 50 triệu.+ Hỗ trợ vay vốn 65%, lãi suất ưu đãi 0% 15 tháng.+ Thanh toán linh hoạt 7 đợt.* Tiện ích ngay tại dự án.- Trường học mầm non, khu vui chơi trẻ em.- Đường dạo bộ, công viên cây xanh.- Bãi đổ xe ngoài trời riêng biệt.- Khu vui chơi thể thao ngoài trời, café, nhà hàng.- Bể bơi 4 mùa trong nhà.* Quý khách hàng quan tâm dự án vui long liên hệ phòng kinh doanh để được tư vấn và hỗ trợ 24/7.Hotline: 0899 161 *** Mr Quân Phụ trách dự án.Xin chân thành cảm ơn!            ",78 m²,Thỏa thuận,2 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,35939192,batdongsan_com_vn_35939192,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,,,
"['Hà Nội', 'Chương Mỹ', 'Xã Phụng Châu', 'Đường 6']","
Cần bán gấp căn nhà tại Phụng Châu - Chương Mỹ, nhà xây mới, tường riêng, móng riêng, có camera theo dõi từ khi đổ móng. Cam kết chất lượng xây dựng và bảo hành lâu dài cho khách hàng.- Nằm tại vị trí trung tâm Phụng Châu - Chương Mỹ, khu vực phát triển nóng về bất động sản do là cầu nối giữa trung tâm thành phố Hà Nội và thị trấn Chúc sơn. Các dự án sắp triển khai vào cuối năm 2022 như mở rộng QL6, dự án Lê Văn Lương kéo dài và nâng cấp đường sá, tiện ích định hướng thành phố vệ tinh quanh Hà Nội. Dân cư đông đúc, lâu đời, rất an toàn và thân thiện.- Giao thông thuận tiện di chuyển: 30m ra đường oto tránh, đường trước nhà 3m, 2km đến cầu Mai Lĩnh, 2km đến thị trấn Chúc Sơn, di chuyển về trung tâm Hà Đông chỉ mất 10p.- Tiện ích như: Chợ cách 100m, bán kính 500m là trường cấp 1, 2, 3 chuẩn quốc gia, trường mầm non trung tâm với 30 phòng học rộng rãi.- Nhà diện tích: 32m².- Xây dựng: Xây dựng 3 tầng, với 3 phòng ngủ, 1 phòng khách, 1 phòng bếp, 1 sân phơi. Đáp ứng nhu cầu sinh hoạt chung cho cả gia đình nhất là với gia đình trẻ.- Hoàn thiện đầy đủ nội thất cơ bản như: Cửa ra vào gỗ lim, trần thạch cao, hệ thống điện nước, tay vịn cầu thang gỗ, gạch ốp lát, thiết bị vệ sinh, cửa sổ nhôm hệ...- Sổ đỏ chính chủ tách riêng, vuông vắn giao dịch nhanh chóng.- Hỗ trợ vay vốn ngân hàng với mức lãi suất hấp dẫn. Lên tới 70% giá trị ngôi nhà.- Giá bán: 1,27 tỷ có thương lượng, miễn hết phí thuế.- LHCC: Nguyễn Mạnh để xem nhà và tư vấn 24/24.            ",32 m²,1.27 tỷ,3 phòng,3 phòng,24/11/2022,01/12/2022,Tin thường,35053427,batdongsan_com_vn_35053427,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản cao cấp,3.5 m,3 m,Tây - Nam,Tây - Nam,3 tầng
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Nguyễn Mậu Tài', 'Dự án Highway 5 Residences Gia Lâm']","
Xin gửi tới quý khách hàng cơ hội đầu tư thấp tầng còn sót lại ở Hà Nội và thông tin thị trường BĐS tại Gia Lâm - Hà Nội.Hotline: 0899 161 *** hỗ trợ khách hàng 24/24 - giải đáp mọi thắc mắc của khách hàng).- Diện tích đất 75m².- Xây dựng 82%, 5 tầng, 300 - 540m² sàn sử dụng.- Giá: 9,5 tỷ cả xây 5 tầng.- Thanh toán chỉ 30%, hỗ trợ vay 70% lãi suất ưu đãi.- Duy nhất 5 căn shophouse ngoại giao được chiết khấu giá tốt.---------------------------------------------Chính sách Vượt trội tối ưu dành cho khách hàng:+ Chiết khấu lên tới 9% GT.+ Hỗ trợ vay 0% trong 18 tháng.+ Tặng quà tân gia có thể lên tới 150 triệu.+ Sổ đỏ sở hữu lâu dài.+ Vị trí: TQ5 Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội.+ Chủ đầu tư: Tập đoàn Thiên Minh Đức.+ Tổng diện tích dự án: 8,38 ha.+ Sản phẩm: Gần 300 lô nhà ở thấp tầng bao gồm liền kề, biệt thự, shophouse.+ Tiện ích nội khu: Nhà hàng, cafe, trường học, khu để xe, khu liền kề, hồ điều hòa, gym, spa, vườn cây,...+ Tiện ích xung quanh: Hồ điều hòa, trường đại học, bệnh viện, công viên.Bàn giao: Dự kiến quý I/2023.- Thực trạng dự án: Đã thi công phần thân nhà xây dựng đến tầng 4, đường trải nhựa, đường trạm đã hoàn thiện 100%, đang hoàn thiện hệ thống tiện ích.+ Vị trí trung tâm Quận Gia Lâm, đối diện quảng trường, hồ điều hòa 29ha của Quận Gia lâm.+ Hưởng lợi tiềm năng tăng giá từ các dự án lớn xung quanh: KĐT Vinhomes Ocean Park, KĐT Vinhomes Riverside, Vinhomes The Empire, Ecopark Văn Giang, Safari Gia Lâm, Vinpearl Gia Lâm.Hotline phòng kinh doanh của CĐT: 0899 161 ***.            ",75 m²,9.5 tỷ,,,22/11/2022,02/12/2022,Tin thường,35915464,batdongsan_com_vn_35915464,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
Siêu phẩm chung cư giá tốt nhất Hà Nội hiện tại hỗ trợ trả góp lãi suất 0% (ân hạn gốc) bàn giao full nội thất cơ bản.- Căn 2PN chỉ từ 2,4 tỷ: 82m² - 88m².- Căn 3PN 4PN chỉ từ 2,9 tỷ: 100m² - 127m² - 141m².* Sổ đỏ lâu dài nhận nhà ở ngay hotline tư vấn: 0899 161 *** Mr Quân quản lý dự án.* Vị trí thuận lợi di chuyển: Nằm ngay TT hành chính quận, liền kề các trường học liên cấp, thuận tiện di chuyển đến các tỉnh: Hà Nam, Nam Định, Thái Binh, Nghệ An.+ Tiếp giáp các tuyến đường huyết mạch Ngọc Hồi, Trần Thủ Độ kéo dài dễ dàng đi qua các quận huyện nội thành.+ Tiếp cận các trường học đại học lớn chỉ 10 phút: Đại học xây dựng, Bách Khoa, Kinh Tế Quốc Dân.+ Và các bệnh viện lớn: Bạch Mai, Nội Tiết, Tai Mũi Họng.* Tiềm năng tăng giá cao cùng cở sở hạ tầng phát triển sẽ là lựa chọn hàng đầu cho mọi khách hàng khó tính nhất.+ Dự án đang sống nhất Hà Nội cung cấp đầy đủ các tiện ích dịch vụ cao cấp như: Công viên cảnh quan, đường dạo bộ rộng rãi, phòng tập gym, khu vui chơi trẻ em, cây canh xung quanh dự án.+ Công viên hồ điều hòa dối diện dự án đã có quy hoạch.* Chính sách siêu hấp dẫn.- Chiết khấu lên đến 8% GTCH khi thanh toán sớm.- Chỉ với 30% giá trị kí HĐMB trực tiếp CĐT.- Ngân hàng bão lãnh giải ngân 65% lãi suất ưu đãi 0% 18 tháng (ân hạn gốc).* Đăng kí tham quan căn hộ + Nhận tài liệu tư vấn 24/7.Hotline: 0899 161 *** Mr Quân.            ",89 m²,Thỏa thuận,2 phòng,2 phòng,22/11/2022,29/11/2022,Tin thường,35918514,batdongsan_com_vn_35918514,Sổ đỏ.,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Phương Canh', 'Đường Trịnh Văn Bô']","
Lô góc hai mặt đường ô tô vào tận đất.Địa chỉ ngay sau trường cao đẳng FPT.Phương Canh - Nam Từ Liêm.Phù hợp xây ở, xây phòng trọ cho thuê quá hợp lý.Xin mời quý khách hàng và các nhà đầu tư liên hệ em: 0972 776 *** để được xem đất.            ",59 m²,90 triệu/m²,,,26/11/2022,03/12/2022,Tin thường,34995600,batdongsan_com_vn_34995600,Đã có sổ đỏ.,,6 m,6 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh']","
Diện tích 40m x 6 tầng - Mặt tiền 4.5m.Giá 6.2 tỷ có thương lượng.-Nhà đẹp - Trung tâm Đống Đa - Thái Thịnh - Oto đỗ cách chỉ 5M.-Nhà 6 tầng Khung Cột chắc chắn - Thang Máy - Ở ngay:+Tầng 1: Để xe, Phòng khách, Wc.+Tầng 2,3,4: Tổng 3 Ngủ, Wc khép kín.+Tầng 5: Bếp, wc.+Tầng Tum: Gian thờ , sân phơi.Sổ đẹp - Giao Dịch ngay.Liên Hệ 0938 010 *** Em Quân.            ",40 m²,6.2 tỷ,3 phòng,4 phòng,26/11/2022,03/12/2022,Tin thường,35958830,batdongsan_com_vn_35958830,Sổ đỏ/ Sổ hồng,Như ảnh,4.5 m,3 m,,,6 tầng
