address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Hướng nhà,Hướng ban công
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Núi Trúc']","
""HƠN 1 TỶ HỘ KHẨU BA ĐÌNH NÚI TRÚC NHÀ 4 TẦNG NGÕ THÔNG - Vị trí đỉnh cao, nằm giữa phố Núi Trúc, nối Kim Mã với Giảng Võ. Gần Khách sạn Hà Nội, Lotte, Bộ Y tế, các cơ quan đầu ngành,...- Mặt ngõ thông, ra phố chỉ 2 bước chân. Tầm tiền nhỉnh 1 tỷ khu vực không còn sự lựa chọn nào khác.- Nhà ở rất có lộc, phù hợp gia đình nhỏ, vợ chồng mới cưới hoặc sinh viên đi học.- Sổ đỏ chính chủ, sang tên nhanh chóng. HÀNG HIẾM -MUA NGAY KẺO LỠ!""            ",14 m²,1.76 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,26/11/2022,05/12/2022,Tin thường,35958704,batdongsan_com_vn_35958704,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Quỳnh Lôi', 'Đường Thanh Nhàn']","
Chính chủ bán nhà đường Thanh Nhàn, quận Hai Bà Trưng, Hà Nội.Diện tích: 35m² nhà xây kiên cố 5 tầng.Mặt tiền: 3,65m nở hậu.Nội thất ngoại nhập, cửa và cầu thang hoàn toàn bằng gỗ Lim.Ngõ thông và thoáng.Đối diện công viên Tuổi Trẻ, cách mặt phố Thanh Nhàn 50m, cách hồ Hoàn Kiếm 2,5km.Gần đại học Bách Khoa, Kinh Tế và Xây Dựng.Pháp lý: Sổ đỏ.Giá: 5,35 tỷ có bớt.LH 0962 255 *** nhà đẹp xem bao chốt.            ",35 m²,5.35 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35113250,batdongsan_com_vn_35113250,5 tầng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '82', 'Thống Nhất Complex']","
Chính chủ cần bán nhanh căn 3 phòng ngủ đầy đủ nội thất chung cư Thống Nhất Complex 82 Nguyễn Tuân (có chỗ để ô tô).Nhà ngay gần trường Thanh Xuân Trung, rất tiện các cháu tự đi học.Sổ đỏ chính chủ.Giá 4.25 tỷ (có thương lượng).LH: Anh Tùng 0933 177 ***miễn trung gian).            ",90 m²,4.25 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35359770,batdongsan_com_vn_35359770,,Đông - Nam,Đông - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Tam Trinh', 'ngõ 885', 'Gelexia Riverside']","
Bán Căn Hộ lô góc tại tòa chung cư Gelexia Riverside ngõ 885 Tam Trinh, Yên Sở Hoàng Mai.Diện tích 87m² 3 phòng ngủ, 2 toilet, 2 ban công, 3 điều hoà, 2 bình nóng lạnh, đầy đủ nội thất chỉ cần xách vali về ở.Tổng thể dự án có 4 block nhà cao 31 tầng, tiện ích đầy đủ, kết nối giao thông thuận lợi, cách trung tâm phố cổ chỉ mất 5km, khu vực tiềm năng phát triển mạnh trong tương lai.Tiện ích: Liền kề dự án khu đô thị Gamuda nên cư dân được hưởng trọn các tiện ích xung quanh, công viên, trung tâm thương mai, trường học quốc tế, và trường học chất lượng cao của quận đã đi vào hoạt động, chợ dân sinh... Nên rất thích hợp cho các gia đình trẻ hoặc Gia đình lớn tuổi nghỉ hưu.Pháp lý: Sổ đỏ chính chủ.Giá bán: 2,85 tỷ có thương lượng.Lh 0962 255 *** để xem trực tiếp.            ",87 m²,2.85 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,26/11/2022,03/12/2022,Tin thường,35653960,batdongsan_com_vn_35653960,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Nguyễn Văn Huyên']","
NHÀ ""HOT"" - MẶT PHỐ NGUYỄN VĂN HUYÊN - CẦU GIẤY, MT5M NHỈNH 7TỶ.- Nhà mặt phố 3 mặt thoáng.- KD đắc địa, độc nhất.- Mua đất tặng nhà có 102- Chủ đang cho thuê.NHANH CÒN KỊP ANH CHỊ ƠI.Liên hệ ngay 0348 191 *** Em Tân Tây để đặt cọc nhanh còn kịp.            ",39 m²,Thỏa thuận,1 phòng,1 phòng,,,26/11/2022,03/12/2022,Tin thường,35959632,batdongsan_com_vn_35959632,1 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính']","
Bán CHCC Central Point Cầu Giấy Trung Kính 74M2 ĐẦU 4 TỶ FULL NỘI THẤT LÔ GÓC THOÁNG VĨNH VIỄN- Vị trí siêu đjep, tòa nhà Trung tâm Cầu Giấy, mặt đường Trung kính giao thông thuận tiện.- Diện tích căn hộ 74 m² LÔ GÓC, 2 phòng ngủ, 2 vệ sinh, khách, bếp, ban công.- Nội thất đầy đủ, cửa chống cháy, bếp từ xịn, tủ lạnh electrolux, tivi 65 inch xịn xò...Chủ để lại toàn bộ đồ.- Sổ đỏ chính chủ, giao dịch trong ngày.            ",74 m²,4.03 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,26/11/2022,03/12/2022,Tin thường,35959010,batdongsan_com_vn_35959010,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án 6th Element']","
Cần bán căn 2PN do nhu cầu gia đình chuyển đổi căn lớn hơn, tôi sơ lược về căn hộ cần bán như sau:- Tầng trung căn số 10 toà D.- Diện tích 82,6m².- Hướng cửa Bắc - ban công Nam.- Giá bán thương lượng (không qua môi giới).- Pháp lý: Đã có sổ đầy đủ.Vị trí kết nối:Dự án 6th Element là dự án nằm trên đường Nguyễn Văn Huyên kéo dài kết nối vào phố chỉ mất 7p vào khu Lăng Bác, Thụy Khuê - Ba Đình, Cầu Giấy, sang khu NGĐ chỉ 2p, sân bay Nội Bài 20p,...Liên hệ xem căn thực tế: 0936 955 ***Thuý Nguyễn).            ",82.6 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,22/11/2022,29/11/2022,Tin thường,35923027,batdongsan_com_vn_35923027,,Bắc,Nam
"['Hà Nội', 'Thanh Xuân', 'The Golden Palm Lê Văn Lương']","
Chính chủ bán căn hộ chung cư The Golden Palm Lê Văn Lương.- căn góc diện tích: 82m2- Cửa vào Tây Bắc, ban công Đông Nam.Thiết kế: 2pn, 2vsNhà đã làm full nội thất liền tườngSổ đỏ chính chủGiá bán: 3,7 tỷLH: 0917 805 *** ",82 m²,3.7 tỷ,,,,,26/11/2022,03/12/2022,Tin thường,35959869,batdongsan_com_vn_35959869,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Phố Thượng Thụy', 'Dự án Tây Hồ River View']","
Cần bán gấp căn góc 2 ngủ, 3,2 tỷ bao tất cả phí, nhà mới vào ở luôn, có nội thất cơ bản quận Tây Hồ. LH: 0936 955 ***- Ban công hướng Đông Nam rất mát mẻ.- Diện tích 86m², 2 phòng ngủ, 2 WC.- Bàn giao nội thất cơ bản, nhà mới sang tên nhận bàn giao luôn.- Dự án nhiều tiện ích: Sân chơi, trường mầm non, phòng thể thao, siêu thị...Gọi xem nhà thực tế: 0936 955 ***Ms. Thuý).            ",86 m²,3.2 tỷ,2 phòng,2 phòng,Hợp đồng mua bán,Nội thất cơ bản,22/11/2022,29/11/2022,Tin thường,35922832,batdongsan_com_vn_35922832,,Tây - Nam,Đông - Nam
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Nguyễn Văn Giáp', 'Dự án Hoàng Thành Pearl']","
Căn ngoại giao 2PN tầng cao hướng ban công Đông Bắc tại dự án Hoàng Thành Pearl, Căn hộ không phòng âm, không góc tối. Kí HĐMB trực tiếp Chủ đầu tư.- Số tầng 24 căn hộ 07 (View công viên Ngọc Trai).- Quà tặng trị giá 100 triệu.- Diện tích thông thủy: 80m² - thiết kế thông thoáng 2PN, 2Logia, 2WC.- Ban công hướng Đông Bắc mát mẻ.- Nội thất bàn giao Full nội thất cao cấp gồm: Sàn gỗ, tủ âm tường, hệ thống đèn điện, tủ bếp, bếp từ, hút mùi, chậu rửa, full thiết bị vệ sinh, đến từ các thương hiệu cao cấp: ToTo, Hafele, Daikin...- Sổ hồng vĩnh viễn.* Tiện ích đầy đủ: Khuôn viên dạo bộ, sân vườn, sân khấu trung tâm, siêu thị, trường học, khu thể thao...* Vị trí: Gần Ga Metro. Trường Đoàn Thị Điểm, Trường Liên Cấp Việt Úc,..., Trường ĐH Thương Mại, ĐH Quốc Gia Hà Nội, ĐH Sư Phạm Hà Nội. Bệnh viện 198, Bệnh Viện Quốc Tế Hồng Ngọc, Sân vận động Quốc Gia Mỹ Đình.Xem nhà trực tiếp: 0936 955 ***Nguyễn Thúy).            ",80 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Full nội thất cao cấp.,21/11/2022,28/11/2022,Tin thường,35817166,batdongsan_com_vn_35817166,,Tây - Nam,Đông - Bắc
