address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Nội thất
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Phố Liễu Giai']","
Nhà nằm trên con phố giá trị nhất nhì quận Ba Đình, ngay gần VinMetropolis, Lotte, khách sạn Daewoo, đại sứ quán Nhật bản, bệnh viện 354, trường tiểu học, thcs Thực nghiệm, 500m ra Hồ Tây......Nhà cách phố 25m .Ngõ cụt nên rất yên tĩnh . Thích hợp cho gia đình Giá : 9 Tỷ . ( có thương lượng)Miễn trung gian            ",57 m²,9 tỷ,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin Vip 3,35951237,batdongsan_com_vn_35951237,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Do gia đình không có nhu cầu dùng nên cần bán căn hộ 50m² tại chung cư Xuân Mai, Dương Nội, Hà Đông, Hà Nội.Diện tích 50m² thiết kế 2 ngủ, 1wc, phòng khách và ban công thoáng mát.Nhà tôi làm đủ nội thất rồi đến chỉ cần ở thôi.Tôi bán giá 1,53 tỷ.Ai có nhu cầu liên hệ: 0982 753 *** ",50 m²,1.53 tỷ,,2 phòng,,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin Vip 3,29036290,batdongsan_com_vn_29036290,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '82', 'Thống Nhất Complex']","
Chính chủ cần bán căn hộ 3 phòng ngủ tại chung cư 82 Nguyễn Tuân - Thống Nhất Complex - quận Thanh Xuân - Hà Nội.- Tầng 19.- Diện tích thông thủy: 95m².- Căn góc ban công Đông Nam.- Thiết kế rất hợp lý 3 ngủ đều thoáng có ánh sáng và cửa sổ, 2 vệ sinh, 2 ban công.- Nhà ở ít người nên rất giữ gìn sạch sẽ, nội thất xịn xò còn mới, chủ đầu tư giao nhà về ở được 2 năm.- Sổ đỏ chính chủ.- Có slot ô tô.- Khuôn viên dưới tòa nhà rộng, có ngân hàng, siêu thị, trường mầm non, bể bơi, khu vui chơi, nhà hàng, cafe,... Trung tâm quận Thanh Xuân.- Giá bán 4 tỷ.* Thông tin chi tiết, xem nhà vui lòng liên hệ: 0913 583 ***Call hoặc Zalo).            ",95 m²,4 tỷ,,3 phòng,2 phòng,Sổ đỏ chính chủ,25/11/2022,02/12/2022,Tin Vip 3,34256906,batdongsan_com_vn_34256906,Tây - Bắc,Đông - Nam,,,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Đường Núi Trúc', 'Dự án Lancaster Hà Nội']","
Bán chung cư The Lancaster 20 Núi Trúc.LH: 0944 412 *** Mr Khánh TrìnhHiện tôi đang bán rất nhiều căn hộ với loại diện tích khác nhau như: 45m, 110m, 118m, 125m, 138m, 170m, 172m. Ban công Đông Nam, view Hồ Tây, hồ Giang Võ, sổ đỏ chính chủ. Thiết kế sang trọng, là khu chung cư dân trí cao, rất thích hợp để ở và đầu tư cho thuê với giá cao. Chi tiết:1. Căn hộ 125m, có 3 phòng ngủ, WC, thiết kế đẹp, ban công view Kim Mã và nhìn chéo Núi Trúc.Đã nhận nhà và có thể ở ngay. Giá bán 70tr/m, thương lượng. Ngoài ra:2. Căn hộ 129m, có 3 phòng ngủ, WC, thiết kế đẹp, ban công view Kim Mã và nhìn chéo Núi Trúc.Đã nhận nhà và có thể ở ngay. Giá bán 71 triệu/m.3. Căn hộ 124m, căn góc, 3 phòng ngủ, 3WC, thiết kế thoáng mát. Ban công chính nhìn phố Núi Trúc, và Kim Mã. Giá bán 72 triệu/m.4. Căn hộ 123m, có 2 phòng ngủ, 2 WC. Ban công Đông Nam nhìn về phố Giảng Võ. Giá 65 triệu.5. Căn hộ 116m, thiết kế 3 phòng ngủ, 2 WC. Ban công nhìn Kim Mã và chéo hồ Giảng Võ.Giá bán 66 tr/m, có thương lượng.6. Căn hộ 110m, tầng cao. Có 3 phòng ngủ, 2 WC. Ban công thoáng mát, nhìn thẳng view Hồ Tây rất đẹp và view cả hồ Giảng Võ. Giá bán 65triệu/m.7. Căn hộ 94m², có 2 phòng ngủ, 2 WC, ban công Đông Nam. Giá 68 triệu/m, có TL.8. Căn hộ 45m, loại căn hộ studio, ban công view phố Núi Trúc. Giá bán có thương lượng.9. Căn hộ 138m3, ban công đông nam nhìn xuống phố Giảng Võ, giá bán 68 triệu/m, sổ đỏ chính chủ.10. Căn hộ 142m, căn góc view hồ đẹp nhất dự án. Giá bán 73 triệu.Khu căn hộ cao cấp 5 sao, nội thất xịn đã bàn giao nhà có thể về ở ngay. Khu căn hộ cao cấp, dân trí cao, có bể bơi trong nhà, phòng gym, TTTM có thang cuốn, nhà trẻ, trường học quốc tế, và các dịch vụ khác...Quý khách có nhu cầu.LH 0944 412 *** A. Trình để được tư vấn và xem nhà miễn phí (phục vụ 24/24).            ",94 m²,68 triệu/m²,,2 phòng,2 phòng,,25/11/2022,02/12/2022,Tin Vip 3,35951362,batdongsan_com_vn_35951362,,Đông - Nam,,,
"['Hà Nội', 'Long Biên', 'Bát Khối']","
Gia đình cần bán nhà biệt thự mặt phố - quận Long Biên:- Diện tích: 130m², diện tích xây dựng 70m² (sổ đỏ), sân vườn có bể cá koi và để đc 2 xe oto: 60m².- Thiết kế: Thiết kế rất đẹp, nhiều không gian cho các thành viên của gia đình. Mặt tiền rộng 5m; 5 tầng 1 tum, tầng thượng là phòng thờ và sân view toàn bộ khu vực. Nhà có 2 phòng khách, 1 phòng bếp, 1 phòng thờ, 6 phòng ngủ, vệ sinh riêng biệt từng phòng.- View trước mặt rộng thoáng sáng thẳng mặt đường đê. Đường trước mặt là mặt đường chính Bát Khối to rộng ô tô tránh, dừng đỗ ngày đêm;- Vị trí thuận tiện đi lại, xe oto dừng đỗ ngày đêm, vào thẳng sân nhà: Gần ngã tư Cổ Linh - Aeon mall, cầu Vĩnh Tuy, cầu Trần Hưng Đạo đang triển khai. Gần dự án Safari của Vingroup.- Pháp lý: Sổ đỏ CC.- Giá bán có thương lượng: 11,5 tỷ.- Liên hệ chính chủ 0902 362 ***Cảm ơn đã đọc tin và liên hệ chính chủ để biết chi tiết.            ",130 m²,11.5 tỷ,,6 phòng,5 phòng,,25/11/2022,05/12/2022,Tin Vip 3,35950282,batdongsan_com_vn_35950282,Tây - Nam,Tây - Nam,5 m,10 m,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Láng', 'Dự án Lancaster Luminaire']","
Lancaster Luminaire đã đi đến giai đoạn hoàn thiện cuối cùng và chuẩn bị bàn giao vào tháng 12/2022.Độc quyền bán quỹ căn sổ đỏ lâu dài!Hiện quỹ căn của chủ đầu tư đã bán hết và chỉ còn những căn chuyển nhượng. Em Trình Phạm độc quyền quỹ căn với tất cả diện tích tại dự án.Lưu ý: Đây là những căn hộ thuộc cho loại hình căn hộ sổ đỏ lâu dài.Hỗ trợ khách hàng hoàn thiện thủ tục sang tên.Hỗ trợ khách hàng thay đổi thiết kế.Hỗ trợ khách hàng xin sửa nhà sớm.Danh sách các căn độc quyền:1. Căn Studio 48m², thiết kế 1 ngủ.2. Căn 92m²: Loại căn hộ 2 ngủ + 1 cực hiếm tại dự án.3. Căn góc 120m²: Đây là loại căn góc 3 ngủ 3 vệ sinh. Có lượng tìm kiếm nhiều nhất, nhưng đây cũng là căn hiếm nhất vì cả tòa nhà cũng chỉ có 8 căn tất cả.4. Căn 146m²: Thiết kế 3 ngủ, 3 vệ sinh, ban công Đông Nam, view Lotte Hà Nội.5. Căn 172m². Căn góc 4 phòng ngủ. Cũng thuộc hàng hiếm vì rất ít người bán!===================Mọi thông tin tham khảo tại:Website: Lancasterluminairehanoi.comHotline: 0944 412 *** ",120 m²,80 triệu/m²,,3 phòng,3 phòng,,25/11/2022,02/12/2022,Tin Vip 3,35507479,batdongsan_com_vn_35507479,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Cần bán căn hộ hạng sang có sân Vườn cực đẹp như mơ nằm trong Ciputra.Thông tin căn hộ:Diện tích: 161,4 m².Thiết kế 3 phòng ngủ.Nội thất cực kì cao cấp.Sân vườn rộng 35 m².Cực kỳ đẹp.Bể bơi bốn mùa, bể bơi ngoài trời, khu tập golf trên mái, sky bar, rooftop café, cigar lounge/bar thương gia, S - Plus Café, S - School, S - Mart, S - Fitness, sauna, nhà hàng, thư viện, phòng sinh hoạt cộng đồng, khu vui chơi trẻ em, vườn BBQ, đường dạo bộ, chòi hóng mát, ghế thư giãn...Chỉ cần trả trước 30% có thể thanh toán nhiều đợt.            ",161.4 m²,Thỏa thuận,,3 phòng,2 phòng,Hợp đồng mua bán,25/11/2022,05/12/2022,Tin Vip 3,35322927,batdongsan_com_vn_35322927,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
- Sổ đỏ không thời hạn, Pháp lý rõ ràng, ký trực tiếp chủ đầu tư.- Diện tích 82m², hướng Nam.- Vị trí: Trung tâm, ngay trên trục đường chính 50m, kế cạnh trường học.- View hồ, công viên trung tâm.- Nhận nhà ở ngay.LH đi xem nhà ngay: 0941 032 *** ",82 m²,3.15 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,21/11/2022,28/11/2022,Tin Vip 3,35893867,batdongsan_com_vn_35893867,Đông - Bắc,Nam,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
Nhà e chuyển việc nên cần bán gấp căn hộ 88m², 3 ngủ 2 wc 2 ban công. Nhà làm nội thất rất đẹp, e để lại hết đồ. Nhà ban công đông nam rất mát ạ.            ",88 m²,3.3 tỷ,,3 phòng,2 phòng,,25/11/2022,02/12/2022,Tin Vip 3,35950908,batdongsan_com_vn_35950908,,Đông - Nam,,,Full đồ
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
Gia đình cần chuyển nhượng nhà mặt phố Trần Thái Tông, tuyến phố kinh doanh sầm uất của Quận Cầu Giấy.Diện tích: 175m², mặt tiền 8m.Nhà 5 tầng hiện đang cho thuê, dòng tiền thu được ổn định.Giá bán: 540tr/m² có thương lượng, thiện chí cho khách mua nhanh.Liên hệ xem nhà: Ms Hiên 0977 246 *** ",175 m²,540 triệu/m²,,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin Vip 3,35950856,batdongsan_com_vn_35950856,,,,,Đầy đủ
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn']","
- Nhà nằm giữa trung tâm Hai Bà Trưng, khu vực dân trí cao, 50 mét ra đường Trần Khát Chân, Lò Đúc, Kim Ngưu... Rất thuận tiện đi lại.- Nhà dân tự xây, thiết kế vô cùng hợp lý, thang máy nhập khẩu sịn sò.- Nhà 6 tầng, 46m² thiết kế 4 phòng ngủ rộng đẹp, tràn ngập ánh sáng.- Phòng nào cũng có ban công.LH: 0986 988 *** ",46 m²,7 tỷ,6 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin Vip 3,35950547,batdongsan_com_vn_35950547,,,,,Cơ bản
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '47', 'GoldSeason']","
BQL dự án Goldseason 47 Nguyễn Tuân cập nhật quỹ căn hộ 2 ngủ và 3 ngủ mới nhất tại dự án.Liên hệ xem căn hộ SĐT 0979 433 *** (24/7)- Tòa đã có sổ .    + Căn 2 ngủ 1 vệ sinh 59m² giá 2.8 tỷ full nội thất      + Căn 2 ngủ 1 vệ sinh 59m² giá 2.950 tỷ full nội thất.      + Căn 2 ngủ 2 vệ sinh 75m² giá 3.6 tỷ ban công Tây Bắc đồ cơ bản tầng trung.   + Căn 2 ngủ 2 vệ sinh 75m² giá 3.750 ban công ĐN full đồ.   + Căn hộ 2 ngủ 2 vệ sinh 75m² giá 3.8 ban công TB full nội thất.    + Căn hộ 3 ngủ 2 vệ sinh 80m² giá 3.9 tỷ ban công ĐN full đồ.    + Căn hộ 3 ngủ 2 vệ sinh 80m² tầng trung giá 3.950 ban công ĐN    +Căn hộ 3 ngủ 2 vệ sinh 90 m² ban công ĐB giá 4.3 tỷ tầng trung.    + Căn hộ 3 ngủ 2 vệ sinh 90m² ban công ĐB giá 4.5 tỷ tầng cao full nội thất, view thành phố.    + Căn Duplex sửa thành 2 ngủ 2 vệ sinh 105m² giá 4.9 tỷ full nội thất.     + Căn hộ 3 ngủ 2 vệ sinh 102m² full nội thất cửa ĐN ban công TB giá 4.8 tỷ     + Căn hộ 3 ngủ 2 vệ sinh 102m² full kinh , full nội thất cửa TB ban công ĐN giá 5.3 tỷ.      + Căn hộ 3 ngủ 2 vệ sinh 102m², Nội thất cơ bản giá 5.2 tỷ ban công ĐN   - Tòa FS 50 năm      - Căn hộ 2 ngủ 1 vệ sinh tầng trung đồ cơ bản giá 2.3 tỷ    - Căn hộ 2 ngủ 1 vệ sinh Full nội thất ban công ĐB giá 2 tỷ 450    - Căn hộ 2 ngủ 2 vệ sinh full nội thất 75m² giá 3.1 tỷ   - Căn hộ 2 ngủ 2 vệ sinh full nội thất 75m² giá 3.3 tỷ  - Căn hộ 3 ngủ 2 vệ sinh 102m² giá 3.950 full nội thất , tầng trung ban công ĐN  - Căn hộ 3 ngủ 2 vệ sinh 102m² giá 4.0 tỷ full đồ ban công TB  - Căn hộ 3 ngủ 2 vệ sinh 90m² giá 3.6 tỷ full đồ.Bảng hàng được cập nhật thường xuyên theo ngày.LH Em Phượng 0979 433 *** ",102 m²,4.6 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin Vip 3,33027047,batdongsan_com_vn_33027047,,,,,
"['Hà Nội.', 'Hoài Đức', 'Xã Đông La']","
- Chính chủ cần bán gấp 58m² mặt đường Đồng Nhân, Đông La, ô tô vào nhà.- Vị trí gần tuyến đường Vành đai 4, đường Lê Văn Lương kéo dài.- Trung tâm xóm 3 Đồng Nhân, khu dân trí cao an ninh tốt, gần UBND, bệnh viện Nhi Hà Nội, BX Yên Nghĩa, công viên Âm nhạc, trường học và chợ.- Mặt tiền rộng, thoáng mát xây nhà để ở, kinh doanh đều tuyệt vời.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Phong thủy tốt, tiềm năng X nhiều Tài sản.- Liên hệ ngay: A. Sơn 0898 798 *** ",58 m²,42 triệu/m²,,,,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin Vip 3,33612593,batdongsan_com_vn_33612593,,,11 m,6 m,
